doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date,preprocessed_text,hard_rule_keep,hard_rule_reason,policy_gate,policy_gate_reason,priority_keep,semantic_status,semantic_similarity,nli_status,nli_score,key_hit,final_status
_536d9f0875ad,_536d9f0875ad_u009,(圖/翻攝自黃尚禾臉書) 2024總統大選倒數、候選人、民調分析盡在TVBS 維持體態不費力!,context,"(圖/翻攝自李千娜YouTube) 黃尚禾(左)在親友見證下向李千娜求婚,畫面曝光感動大批粉絲。",41歲王心凌:掌握2個8分原則 維持體態不費力!,[],[],False,,37830d6163b951f40538895f402246a2,False,03_Lai_tvbs_news,2023-10-11 11:01:00,(圖/翻攝自黃尚禾臉書) 2024總統大選倒數、候選人、民調分析盡在TVBS 維持體態不費力!,True,institution_only,True,gate: core_election,False,KEEP,0.7285681962966919,,,True,KEEP
_399584c9bfdd,_399584c9bfdd_u000,"民進黨總統候選人賴清德萬里老家違建爭議越演越烈,賴昨(20)日於政見發表會上宣示,願意將老家交付「公益信託」,做為礦工生活紀念館。",context,,"對此,國民黨副總統候選人趙少康今(21)日拿出一份空白的董事辭職書,「只要賴清德一捐我就立刻簽名,我立刻辭職,今天捐今天辭!」被問到賴清德稱願意將老家交付「公益信託」,趙少康今怒批,賴這種作法基本上就是緩兵之計、推託之詞,當斷不斷,還說要等到礦區的居住權問題解決之後,才要做公益信託,「拜託!礦區居住權何時能解決?是要先報給經濟部礦業局,變更之後才能交給其他政府單位,太拖了」 2024總統大選 TVBS報票員招募中 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 快來下載TVBS新聞APP,天天打卡抽咖啡 iPhone 15免費抽!","[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""民進黨"", ""party"": ""DPP""}]","[""政見發表會|procedure""]",True,debate/manifesto,d4a0c5e10216e4003513d5cc2afd8edc,False,03_Lai_tvbs_news,2023-12-21 12:54:00,"民進黨總統候選人賴清德萬里老家違建爭議越演越烈,賴昨(20)日於政見發表會上宣示,願意將老家交付「公益信託」,做為礦工生活紀念館。",True,cooccur: actor×institution,True,gate: actor×inst,True,KEEP,1.0,KEEP,1.0,True,KEEP
_399584c9bfdd,_399584c9bfdd_u001,"對此,國民黨副總統候選人趙少康今(21)日拿出一份空白的董事辭職書,「只要賴清德一捐我就立刻簽名,我立刻辭職,今天捐今天辭!」被問到賴清德稱願意將老家交付「公益信託」,趙少康今怒批,賴這種作法基本上就是緩兵之計、推託之詞,當斷不斷,還說要等到礦區的居住權問題解決之後,才要做公益信託,「拜託!礦區居住權何時能解決?是要先報給經濟部礦業局,變更之後才能交給其他政府單位,太拖了」 2024總統大選 TVBS報票員招募中 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 快來下載TVBS新聞APP,天天打卡抽咖啡 iPhone 15免費抽!",claim,"民進黨總統候選人賴清德萬里老家違建爭議越演越烈,賴昨(20)日於政見發表會上宣示,願意將老家交付「公益信託」,做為礦工生活紀念館。",「金CAR獎」年度最佳車款由您決定!,"[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""趙少康"", ""party"": ""KMT""}, {""name"": ""國民黨"", ""party"": ""KMT""}]",[],False,,1d3dcbe6d91ef47fdbcc8e9e39871fb3,False,03_Lai_tvbs_news,2023-12-21 12:54:00,"對此,國民黨副總統候選人趙少康今(21)日拿出一份空白的董事辭職書,「只要賴清德一捐我就立刻簽名,我立刻辭職,今天捐今天辭!」被問到賴清德稱願意將老家交付「公益信託」,趙少康今怒批,賴這種作法基本上就是緩兵之計、推託之詞,當斷不斷,還說要等到礦區的居住權問題解決之後,才要做公益信託,「拜託!礦區居住權何時能解決?是要先報給經濟部礦業局,變更之後才能交給其他政府單位,太拖了」 2024總統大選 TVBS報票員招募中 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 快來下載TVBS新聞APP,天天打卡抽咖啡 iPhone 15免費抽!",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.5855971574783325,,,True,KEEP
_c8fc7ac2c1e8,_c8fc7ac2c1e8_u000,"根據「2024選戰溫度計 贏讚台灣未來」官方網站,8日最新公布的桃園市第六選區(中壢、大溪、八德、復興)立委參選人當選預測,國民黨邱若華當選率42.4%,贏過無黨籍趙正宇的39.4%以及民眾黨李慕妍的18.3%。",context,,"邱若華家族政治勢力助選情 趙正宇秀政績拚三連任 「2024選戰溫度計 贏讚台灣未來」 邱若華家族政治勢力助選情 趙正宇秀政績拚三連任 邱若華宣傳大溪競總助攻好感度 鄭文燦站台提升趙正宇新聞擴散廣度 DailyView 網路溫度計 2024總統大選倒數、候選人、民調分析盡在TVBS 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 快來下載TVBS新聞APP,天天打卡抽咖啡 2024十二生肖運勢搶先看 「這生肖」把握前途無量的一年 👉早上空腹喝黑咖啡的真相 👉代謝出狀況?","[{""name"": ""國民黨"", ""party"": ""KMT""}, {""name"": ""民眾黨"", ""party"": ""TPP""}]",[],False,,5a8ef9a5db04df5945138cb40aed4c29,False,03_Lai_tvbs_news,2023-12-10 10:53:00,"根據「2024選戰溫度計 贏讚台灣未來」官方網站,8日最新公布的桃園市第六選區(中壢、大溪、八德、復興)立委參選人當選預測,國民黨邱若華當選率42.4%,贏過無黨籍趙正宇的39.4%以及民眾黨李慕妍的18.3%。",True,cooccur: actor×institution,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP
_c8fc7ac2c1e8,_c8fc7ac2c1e8_u001,"邱若華家族政治勢力助選情 趙正宇秀政績拚三連任 「2024選戰溫度計 贏讚台灣未來」 邱若華家族政治勢力助選情 趙正宇秀政績拚三連任 邱若華宣傳大溪競總助攻好感度 鄭文燦站台提升趙正宇新聞擴散廣度 DailyView 網路溫度計 2024總統大選倒數、候選人、民調分析盡在TVBS 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 快來下載TVBS新聞APP,天天打卡抽咖啡 2024十二生肖運勢搶先看 「這生肖」把握前途無量的一年 👉早上空腹喝黑咖啡的真相 👉代謝出狀況?",context,"根據「2024選戰溫度計 贏讚台灣未來」官方網站,8日最新公布的桃園市第六選區(中壢、大溪、八德、復興)立委參選人當選預測,國民黨邱若華當選率42.4%,贏過無黨籍趙正宇的39.4%以及民眾黨李慕妍的18.3%。",你吃的可能是關鍵!,[],[],False,,e8d0a09ac91cec177f8b2569d3b3e829,False,03_Lai_tvbs_news,2023-12-10 10:53:00,"邱若華家族政治勢力助選情 趙正宇秀政績拚三連任 「2024選戰溫度計 贏讚台灣未來」 邱若華家族政治勢力助選情 趙正宇秀政績拚三連任 邱若華宣傳大溪競總助攻好感度 鄭文燦站台提升趙正宇新聞擴散廣度 DailyView 網路溫度計 2024總統大選倒數、候選人、民調分析盡在TVBS 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 快來下載TVBS新聞APP,天天打卡抽咖啡 2024十二生肖運勢搶先看 「這生肖」把握前途無量的一年 👉早上空腹喝黑咖啡的真相 👉代謝出狀況?",True,institution_only,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP
_ef486c5aea3d,_ef486c5aea3d_u000,"前民進黨立委郭正亮今天(5/19)宣布,退出民進黨,他質疑曾多次遭到檢舉,北市黨部卻首次受理並做出開除黨籍決議,雖然送到黨中央也可能被駁回,但郭正亮認為,民進黨已經違背言論自由的中心思想,因此搶在開鍘前退黨。",claim,,【重點消息】話題時事不漏接!,"[{""name"": ""民進黨"", ""party"": ""DPP""}]",[],False,,fe779d29c54ee8b4fc5b0c13e6f373e3,False,03_Lai_tvbs_news,2023-05-19 19:07:00,"前民進黨立委郭正亮今天(5/19)宣布,退出民進黨,他質疑曾多次遭到檢舉,北市黨部卻首次受理並做出開除黨籍決議,雖然送到黨中央也可能被駁回,但郭正亮認為,民進黨已經違背言論自由的中心思想,因此搶在開鍘前退黨。",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.6062099933624268,,,True,KEEP
_27d2e5a80642,_27d2e5a80642_u000,"中國「2023年版標準地圖」將南海納入,越南外交部昨晚重批中國基於九段線的相關主權與海洋主張「毫無價值」,並堅決反對中國基於九段線在南海所做出的一切主張。",claim,,"中國自然資源部28日發布「2023年版標準地圖」,當中包括西沙群島與南沙群島,還將原先的南海九段線擴張至台灣東部海域成為十段線。",[],[],False,,dde0e6e393f4c4bc254384faf94efb81,False,03_Lai_tvbs_news,2023-09-01 09:50:00,"中國「2023年版標準地圖」將南海納入,越南外交部昨晚重批中國基於九段線的相關主權與海洋主張「毫無價值」,並堅決反對中國基於九段線在南海所做出的一切主張。",True,institution_only,True,gate: 2 inst terms,False,REVIEW,0.36343157291412354,,,True,KEEP
_27d2e5a80642,_27d2e5a80642_u002,越南外交部發言人范秋姮(Pham Thu Hang)昨天晚間以書面回覆媒體詢問時做上述表示。,claim,"中國自然資源部28日發布「2023年版標準地圖」,當中包括西沙群島與南沙群島,還將原先的南海九段線擴張至台灣東部海域成為十段線。",中國新版地圖。,[],[],False,,0620990c7a91aa333ad35131c3946b98,False,03_Lai_tvbs_news,2023-09-01 09:50:00,越南外交部發言人范秋姮(Pham Thu Hang)昨天晚間以書面回覆媒體詢問時做上述表示。,True,institution_only,True,gate: strong_anchor,False,KEEP,0.47368016839027405,,,False,KEEP
_493d710f8069,_493d710f8069_u004,"(圖/TVBS資料畫面) 2024總統大選倒數、候選人、民調分析盡在TVBS 好想要你LINE著我,TVBS陪你看盡天下事 好想要你LINE著我,TVBS陪你看盡天下事 👉早上空腹喝黑咖啡的真相 👉代謝出狀況?",context,(圖/TVBS) 唐鳳邀18個友好國家「跨國網路攻防演練」。,你吃的可能是關鍵!,[],[],False,,860a189c910b9e59364c203fad38ce6d,False,03_Lai_tvbs_news,2023-10-19 10:23:00,"(圖/TVBS資料畫面) 2024總統大選倒數、候選人、民調分析盡在TVBS 好想要你LINE著我,TVBS陪你看盡天下事 好想要你LINE著我,TVBS陪你看盡天下事 👉早上空腹喝黑咖啡的真相 👉代謝出狀況?",True,institution_only,True,gate: core_election,False,KEEP,0.6211760640144348,,,True,KEEP
_2391dd0b6fcc,_2391dd0b6fcc_u000,"新光集團第三代千金吳欣盈,自從成為民眾黨副總統候選人後,一舉一動皆成為外界關注的焦點。",context,,"日前她登上《賀瓏夜夜秀》接受嗆辣提問,卻被賀瓏狠虧「在參選副總統之前沒有人認識」,並對她「新光公主」的稱號窮追猛打。","[{""name"": ""吳欣盈"", ""party"": ""TPP""}, {""name"": ""民眾黨"", ""party"": ""TPP""}]",[],False,,1e8e75964ff79f133a3009e7e73d2e7e,False,03_Lai_tvbs_news,2024-01-08 21:36:00,"新光集團第三代千金吳欣盈,自從成為民眾黨副總統候選人後,一舉一動皆成為外界關注的焦點。",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.6019647121429443,,,True,KEEP
