doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date,preprocessed_text,hard_rule_keep,hard_rule_reason,policy_gate,policy_gate_reason,priority_keep,semantic_status,semantic_similarity,nli_status,nli_score,key_hit,final_status
_0722970e3a88,_0722970e3a88_u000,"駁豪宅指控 黨內人士:賴清德萬里老家權狀29.3坪 2023/12/20 18:00 (中央社記者溫貴香台北20日電)在野持續攻擊民進黨總統候選人賴清德萬里老家爭議,黨內人士今天表示,一棟權狀29.3坪的房子,有些惡意指控講成700坪,其實室內就是1個小客廳、1間小房間,再進去有1個6人圓桌,2樓是1個通鋪,後面鐵皮屋則是權狀內的遮雨棚。",claim,,"賴清德位於萬里的老家被指為違建,賴清德下午主持中常會強調,礦區的房子早在法令之前存在,應該是合法既存的建築,這偏遠礦區的小房屋跟國民黨總統候選人侯友宜陽明山整棟的學生宿舍根本沒有辦法比較,跟民眾黨總統候選人柯文哲家的違建,以及所購買的農地當遊覽車停車場價值,也沒有辦法比較。","[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""民進黨"", ""party"": ""DPP""}]",[],False,,e2fa619b3f29a2983da8d213dc19e07c,False,01_Ho_chinatimes_news,2023-12-20 18:00:00,"駁豪宅指控 黨內人士:賴清德萬里老家權狀29.3坪 2023/12/20 18:00 (中央社記者溫貴香台北20日電)在野持續攻擊民進黨總統候選人賴清德萬里老家爭議,黨內人士今天表示,一棟權狀29.3坪的房子,有些惡意指控講成700坪,其實室內就是1個小客廳、1間小房間,再進去有1個6人圓桌,2樓是1個通鋪,後面鐵皮屋則是權狀內的遮雨棚。",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.6474647521972656,,,True,KEEP
_0722970e3a88,_0722970e3a88_u001,"賴清德位於萬里的老家被指為違建,賴清德下午主持中常會強調,礦區的房子早在法令之前存在,應該是合法既存的建築,這偏遠礦區的小房屋跟國民黨總統候選人侯友宜陽明山整棟的學生宿舍根本沒有辦法比較,跟民眾黨總統候選人柯文哲家的違建,以及所購買的農地當遊覽車停車場價值,也沒有辦法比較。",claim,"駁豪宅指控 黨內人士:賴清德萬里老家權狀29.3坪 2023/12/20 18:00 (中央社記者溫貴香台北20日電)在野持續攻擊民進黨總統候選人賴清德萬里老家爭議,黨內人士今天表示,一棟權狀29.3坪的房子,有些惡意指控講成700坪,其實室內就是1個小客廳、1間小房間,再進去有1個6人圓桌,2樓是1個通鋪,後面鐵皮屋則是權狀內的遮雨棚。","黨內人士表示,外界有太多的假訊息、謠言,藍營也一直刻意操作,做錯誤解讀,講成豪宅。","[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""侯友宜"", ""party"": ""KMT""}, {""name"": ""柯文哲"", ""party"": ""TPP""}, {""name"": ""國民黨"", ""party"": ""KMT""}, {""name"": ""民眾黨"", ""party"": ""TPP""}]",[],False,,4c63ee65f3ca218b76cd1b22904e4eda,False,01_Ho_chinatimes_news,2023-12-20 18:00:00,"賴清德位於萬里的老家被指為違建,賴清德下午主持中常會強調,礦區的房子早在法令之前存在,應該是合法既存的建築,這偏遠礦區的小房屋跟國民黨總統候選人侯友宜陽明山整棟的學生宿舍根本沒有辦法比較,跟民眾黨總統候選人柯文哲家的違建,以及所購買的農地當遊覽車停車場價值,也沒有辦法比較。",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.5418198108673096,,,True,KEEP
_0722970e3a88,_0722970e3a88_u002,"黨內人士表示,外界有太多的假訊息、謠言,藍營也一直刻意操作,做錯誤解讀,講成豪宅。",claim,"賴清德位於萬里的老家被指為違建,賴清德下午主持中常會強調,礦區的房子早在法令之前存在,應該是合法既存的建築,這偏遠礦區的小房屋跟國民黨總統候選人侯友宜陽明山整棟的學生宿舍根本沒有辦法比較,跟民眾黨總統候選人柯文哲家的違建,以及所購買的農地當遊覽車停車場價值,也沒有辦法比較。","他去過賴清德萬里老家,房子面積就是29.3坪而已。","[{""name"": ""藍營"", ""party"": ""KMT""}]",[],False,,19e58524253ef63716abda683e721b93,False,01_Ho_chinatimes_news,2023-12-20 18:00:00,"黨內人士表示,外界有太多的假訊息、謠言,藍營也一直刻意操作,做錯誤解讀,講成豪宅。",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.5057685971260071,,,False,KEEP
_0722970e3a88,_0722970e3a88_u007,"前立委邱毅等人透過空拍機拍到房子後面還有鐵皮屋,黨內人士說,那是廚房外面的遮雨棚,不是鐵皮屋,也是在原本的權狀範圍內。",claim,"透過 Google News 至於外面的空地、花園,他說,本來就是一片空地,誰都可以去,經過修整,不讓它荒煙蔓草。","(編輯:謝佳珍)1121220 趙少康批鉅資守賴老家 國安局:絕無支出高額預算 趙少康:憲法是荒謬護身符 「絲連」大陸台灣保命 賴清德老家土地 國產署:民國29年迄今均為私有 邱毅評進口蛋案法院不罰 陳駿季:這言論不可被接受 2024/01/22 16:57 2024/01/15 11:44 2024/01/14 21:26 2024/01/14 20:59 2024/01/14 20:34 2024/01/14 20:09 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。",[],[],False,,210bab52720e86b343ff0452c767cf76,False,01_Ho_chinatimes_news,2023-12-20 18:00:00,"前立委邱毅等人透過空拍機拍到房子後面還有鐵皮屋,黨內人士說,那是廚房外面的遮雨棚,不是鐵皮屋,也是在原本的權狀範圍內。",True,institution_only,True,gate: core_election,False,KEEP,0.4640570878982544,,,True,KEEP
_0722970e3a88,_0722970e3a88_u008,"(編輯:謝佳珍)1121220 趙少康批鉅資守賴老家 國安局:絕無支出高額預算 趙少康:憲法是荒謬護身符 「絲連」大陸台灣保命 賴清德老家土地 國產署:民國29年迄今均為私有 邱毅評進口蛋案法院不罰 陳駿季:這言論不可被接受 2024/01/22 16:57 2024/01/15 11:44 2024/01/14 21:26 2024/01/14 20:59 2024/01/14 20:34 2024/01/14 20:09 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。",context,"前立委邱毅等人透過空拍機拍到房子後面還有鐵皮屋,黨內人士說,那是廚房外面的遮雨棚,不是鐵皮屋,也是在原本的權狀範圍內。",,"[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""趙少康"", ""party"": ""KMT""}]",[],False,,094c6af0ec5bc735661cd6c30eecd84f,False,01_Ho_chinatimes_news,2023-12-20 18:00:00,"(編輯:謝佳珍)1121220 趙少康批鉅資守賴老家 國安局:絕無支出高額預算 趙少康:憲法是荒謬護身符 「絲連」大陸台灣保命 賴清德老家土地 國產署:民國29年迄今均為私有 邱毅評進口蛋案法院不罰 陳駿季:這言論不可被接受 2024/01/22 16:57 2024/01/15 11:44 2024/01/14 21:26 2024/01/14 20:59 2024/01/14 20:34 2024/01/14 20:09 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。",True,cooccur: actor×institution,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,False,KEEP
_7111c7e2ea51,_7111c7e2ea51_u000,"選前之夜賴清德侯友宜新北拚場 柯文哲凱道衝刺【圖輯】 2024/1/12 18:14 (1/12 23:13 更新) (中央社網站12日電)2024總統立委選舉明天投票,藍綠白候選人在今晚選前之夜舉辦大型造勢活動,把握最後機會全力催票。",context,,"民進黨總統候選人賴清德先赴本命區台南造勢,再到新北衝刺,國民黨總統候選人侯友宜回到大本營新北拉抬聲勢,民眾黨總統候選人柯文哲在凱道辦造勢晚會。","[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""侯友宜"", ""party"": ""KMT""}, {""name"": ""柯文哲"", ""party"": ""TPP""}]",[],True,campaigning,8518d3d888484c4d0cff728e7643ec17,False,01_Ho_chinatimes_news,2024-01-12 18:14:00,"選前之夜賴清德侯友宜新北拚場 柯文哲凱道衝刺【圖輯】 2024/1/12 18:14 (1/12 23:13 更新) (中央社網站12日電)2024總統立委選舉明天投票,藍綠白候選人在今晚選前之夜舉辦大型造勢活動,把握最後機會全力催票。",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.7064617276191711,,,True,KEEP
_7111c7e2ea51,_7111c7e2ea51_u001,"民進黨總統候選人賴清德先赴本命區台南造勢,再到新北衝刺,國民黨總統候選人侯友宜回到大本營新北拉抬聲勢,民眾黨總統候選人柯文哲在凱道辦造勢晚會。",context,"選前之夜賴清德侯友宜新北拚場 柯文哲凱道衝刺【圖輯】 2024/1/12 18:14 (1/12 23:13 更新) (中央社網站12日電)2024總統立委選舉明天投票,藍綠白候選人在今晚選前之夜舉辦大型造勢活動,把握最後機會全力催票。",(編輯:趙敏雅)1130112 (編輯:趙敏雅)1130112 台鐵估單日最高運量近76萬人 超過2020年總統大選 2024總統立委大選須知 投票地點流程必帶物品一篇看懂 賴清德:侯友宜切割馬英九 顯然是為了選舉 侯友宜喊藍白沒合選票合 柯文哲:每天操作棄保沒其他招 選戰倒數侯友宜台中掃街 籲支持者要有危機感拉票投票 柯文哲賴清德侯友宜拚2024總統大選 7大政見比一比 13日零時起禁拉票 LINE臉書IG抖音助選最重罰200萬 總統立委選舉公報這裡查 柯文哲賴清德侯友宜學經歷政見一次看 圖解大選選舉歷史數據 回顧政黨版圖變化與國會席次消長 生技、電力股走強 台股17600點關卡震盪 陸學者:台灣三黨,"[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""侯友宜"", ""party"": ""KMT""}, {""name"": ""柯文哲"", ""party"": ""TPP""}, {""name"": ""民進黨"", ""party"": ""DPP""}, {""name"": ""國民黨"", ""party"": ""KMT""}, {""name"": ""民眾黨"", ""party"": ""TPP""}]",[],True,campaigning,0a81bdc0a1944c49654ea5bb12cdfce2,False,01_Ho_chinatimes_news,2024-01-12 18:14:00,"民進黨總統候選人賴清德先赴本命區台南造勢,再到新北衝刺,國民黨總統候選人侯友宜回到大本營新北拉抬聲勢,民眾黨總統候選人柯文哲在凱道辦造勢晚會。",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.7065784335136414,,,True,KEEP
_7111c7e2ea51,_7111c7e2ea51_u002,(編輯:趙敏雅)1130112 (編輯:趙敏雅)1130112 台鐵估單日最高運量近76萬人 超過2020年總統大選 2024總統立委大選須知 投票地點流程必帶物品一篇看懂 賴清德:侯友宜切割馬英九 顯然是為了選舉 侯友宜喊藍白沒合選票合 柯文哲:每天操作棄保沒其他招 選戰倒數侯友宜台中掃街 籲支持者要有危機感拉票投票 柯文哲賴清德侯友宜拚2024總統大選 7大政見比一比 13日零時起禁拉票 LINE臉書IG抖音助選最重罰200萬 總統立委選舉公報這裡查 柯文哲賴清德侯友宜學經歷政見一次看 圖解大選選舉歷史數據 回顧政黨版圖變化與國會席次消長 生技、電力股走強 台股17600點關卡震盪 陸學者:台灣三黨,claim,"民進黨總統候選人賴清德先赴本命區台南造勢,再到新北衝刺,國民黨總統候選人侯友宜回到大本營新北拉抬聲勢,民眾黨總統候選人柯文哲在凱道辦造勢晚會。","不過半 賴清德施政受制衡 法國外交部賀台灣選舉展現民主 呼籲尊重現狀 新北市議會民進黨團要求侯友宜到會補施政報告 2024/01/12 23:38 2024/01/12 20:48 2024/01/12 20:38 2024/01/12 18:14 2024/01/12 17:08 2024/01/12 16:31 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。","[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""侯友宜"", ""party"": ""KMT""}, {""name"": ""柯文哲"", ""party"": ""TPP""}]",[],True,debate/manifesto,7ec6fae34ba2e44cc02bf5de90eb7e80,False,01_Ho_chinatimes_news,2024-01-12 18:14:00,(編輯:趙敏雅)1130112 (編輯:趙敏雅)1130112 台鐵估單日最高運量近76萬人 超過2020年總統大選 2024總統立委大選須知 投票地點流程必帶物品一篇看懂 賴清德:侯友宜切割馬英九 顯然是為了選舉 侯友宜喊藍白沒合選票合 柯文哲:每天操作棄保沒其他招 選戰倒數侯友宜台中掃街 籲支持者要有危機感拉票投票 柯文哲賴清德侯友宜拚2024總統大選 7大政見比一比 13日零時起禁拉票 LINE臉書IG抖音助選最重罰200萬 總統立委選舉公報這裡查 柯文哲賴清德侯友宜學經歷政見一次看 圖解大選選舉歷史數據 回顧政黨版圖變化與國會席次消長 生技、電力股走強 台股17600點關卡震盪 陸學者:台灣三黨,True,cooccur: actor×institution,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP
_7111c7e2ea51,_7111c7e2ea51_u003,"不過半 賴清德施政受制衡 法國外交部賀台灣選舉展現民主 呼籲尊重現狀 新北市議會民進黨團要求侯友宜到會補施政報告 2024/01/12 23:38 2024/01/12 20:48 2024/01/12 20:38 2024/01/12 18:14 2024/01/12 17:08 2024/01/12 16:31 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。",claim,(編輯:趙敏雅)1130112 (編輯:趙敏雅)1130112 台鐵估單日最高運量近76萬人 超過2020年總統大選 2024總統立委大選須知 投票地點流程必帶物品一篇看懂 賴清德:侯友宜切割馬英九 顯然是為了選舉 侯友宜喊藍白沒合選票合 柯文哲:每天操作棄保沒其他招 選戰倒數侯友宜台中掃街 籲支持者要有危機感拉票投票 柯文哲賴清德侯友宜拚2024總統大選 7大政見比一比 13日零時起禁拉票 LINE臉書IG抖音助選最重罰200萬 總統立委選舉公報這裡查 柯文哲賴清德侯友宜學經歷政見一次看 圖解大選選舉歷史數據 回顧政黨版圖變化與國會席次消長 生技、電力股走強 台股17600點關卡震盪 陸學者:台灣三黨,,"[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""侯友宜"", ""party"": ""KMT""}, {""name"": ""民進黨"", ""party"": ""DPP""}]",[],False,,12ab8f785994659cf5e4d062825c2931,False,01_Ho_chinatimes_news,2024-01-12 18:14:00,"不過半 賴清德施政受制衡 法國外交部賀台灣選舉展現民主 呼籲尊重現狀 新北市議會民進黨團要求侯友宜到會補施政報告 2024/01/12 23:38 2024/01/12 20:48 2024/01/12 20:38 2024/01/12 18:14 2024/01/12 17:08 2024/01/12 16:31 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。",True,cooccur: actor×institution,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,False,KEEP
_b871e14414ac,_b871e14414ac_u000,"賴清德:新潮流看破手腳不支持 柯文哲就此抹黑攻擊 2023/12/30 16:54 (12/30 19:48 更新) (中央社記者王承中台北30日電)民進黨總統候選人賴清德今天在辯論會交叉詰問時表示,新潮流後來看破民眾黨總統候選人柯文哲的手腳,認為不值得繼續支持,從此柯文哲就不斷抹黑造謠攻擊新潮流;",claim,,"為了要凸顯自己的財政紀律,更用錯誤的訊息攻擊前高雄市長陳菊。","[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""柯文哲"", ""party"": ""TPP""}, {""name"": ""民進黨"", ""party"": ""DPP""}, {""name"": ""民眾黨"", ""party"": ""TPP""}]","[""辯論|procedure""]",True,debate/manifesto,819c0cf94f12994937a7359cf17b78b4,False,01_Ho_chinatimes_news,2023-12-30 16:54:00,"賴清德:新潮流看破手腳不支持 柯文哲就此抹黑攻擊 2023/12/30 16:54 (12/30 19:48 更新) (中央社記者王承中台北30日電)民進黨總統候選人賴清德今天在辯論會交叉詰問時表示,新潮流後來看破民眾黨總統候選人柯文哲的手腳,認為不值得繼續支持,從此柯文哲就不斷抹黑造謠攻擊新潮流;",True,cooccur: actor×institution,True,gate: actor×inst,True,KEEP,1.0,KEEP,1.0,True,KEEP
