doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date,preprocessed_text,hard_rule_keep,hard_rule_reason,policy_gate,policy_gate_reason,priority_keep,semantic_status,semantic_similarity,nli_status,nli_score,key_hit,final_status
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u036,"赖清德: 连续三场公办政见会,我都仔细聆听两位竞选对手的发言。",context,"赖清德: 主持人,侯市长,柯主席,提问的媒体代表,现场嘉宾,电视机前以及在线收看直播的全国父老乡亲,大家午安 大家好,大家好, 大家好, 大家好。",我特别注意到侯市长。,"[{""name"": ""赖清德"", ""party"": ""DPP""}]",[],FALSE,debate/manifesto,ea981b526e0084fd3ba373821e76d8e1,FALSE,总统辩论,,"赖清德: 连续三场公办政见会,我都仔细聆听两位竞选对手的发言。",TRUE,cooccur: actor×institution,TRUE,gate: actor×inst,FALSE,KEEP,0.603945613,,,FALSE,KEEP
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u042,"赖清德: 更特别的是台湾目前的再生能源已经高过核能发电,他还要重启核四。",context,"世界的经贸已经发生结构性变化了,还在提重启服贸。","拿上个时代的政策来当政见,表示只准备考古题,没有准备好。","[{""name"": ""赖清德"", ""party"": ""DPP""}]","[""核能|energy""]",FALSE,,5e17f31b6e2e2d66513dba9c7fb27089,FALSE,总统辩论,,"赖清德: 更特别的是台湾目前的再生能源已经高过核能发电,他还要重启核四。",TRUE,cooccur: actor×institution,TRUE,gate: actor×inst,FALSE,REVIEW,0.403532416,,,TRUE,KEEP
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u043,"拿上个时代的政策来当政见,表示只准备考古题,没有准备好。",claim,"赖清德: 更特别的是台湾目前的再生能源已经高过核能发电,他还要重启核四。","那柯主席的话呢,平常就是有说法,没有做法。","[{""name"": ""赖清德"", ""party"": ""DPP""}]",[],FALSE,debate/manifesto,295dc81d1db8ea7da5390cc878fec71a,FALSE,总统辩论,,"拿上个时代的政策来当政见,表示只准备考古题,没有准备好。",TRUE,institution_only,TRUE,gate: core_election,FALSE,KEEP,0.490541041,,,FALSE,KEEP
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u045,"赖清德: 不过很难得在这一次三场的政见发表会当中,他提了许许多多的主张。",claim,"那柯主席的话呢,平常就是有说法,没有做法。","但是我听起来愈听愈熟悉,原来都是目前政府正在做的,例如要重视财政纪律,但蔡英文总统任内总共还了九千亿新台币。","[{""name"": ""赖清德"", ""party"": ""DPP""}]","[""政见发表会|procedure""]",TRUE,debate/manifesto,40fe7f2848f5bf704b5e633e21470754,FALSE,总统辩论,,"赖清德: 不过很难得在这一次三场的政见发表会当中,他提了许许多多的主张。",TRUE,cooccur: actor×institution,TRUE,gate: actor×inst,TRUE,KEEP,1,KEEP,1,FALSE,KEEP
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u046,"但是我听起来愈听愈熟悉,原来都是目前政府正在做的,例如要重视财政纪律,但蔡英文总统任内总共还了九千亿新台币。",context,"赖清德: 不过很难得在这一次三场的政见发表会当中,他提了许许多多的主张。",赖清德: 是历任总统还债最多的。,"[{""name"": ""赖清德"", ""party"": ""DPP""}]",[],FALSE,,45fed5044f43c3d90f0d4ccc08aa7457,FALSE,总统辩论,,"但是我听起来愈听愈熟悉,原来都是目前政府正在做的,例如要重视财政纪律,但蔡英文总统任内总共还了九千亿新台币。",TRUE,institution_only,TRUE,gate: core_election,FALSE,KEEP,0.520493746,,,FALSE,KEEP
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u047,赖清德: 是历任总统还债最多的。,context,"但是我听起来愈听愈熟悉,原来都是目前政府正在做的,例如要重视财政纪律,但蔡英文总统任内总共还了九千亿新台币。","要盖社会住宅,我当行政院长的时候,我成立了住都中心,积极兴建。","[{""name"": ""赖清德"", ""party"": ""DPP""}]",[],FALSE,,cbdaaec648a11da61b851366b84639fa,FALSE,总统辩论,,赖清德: 是历任总统还债最多的。,TRUE,cooccur: actor×institution,TRUE,gate: actor×inst,FALSE,KEEP,0.480688334,,,FALSE,KEEP
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u048,"要盖社会住宅,我当行政院长的时候,我成立了住都中心,积极兴建。",context,赖清德: 是历任总统还债最多的。,"目前中央所兴建的社会住宅已经超过了地方政府,类似的情况不胜枚举。","[{""name"": ""赖清德"", ""party"": ""DPP""}]",[],FALSE,,fa8690e0addc81993db2f426fd5c6b9c,FALSE,总统辩论,,"要盖社会住宅,我当行政院长的时候,我成立了住都中心,积极兴建。",TRUE,institution_only,TRUE,gate: core_election,FALSE,REVIEW,0.379220128,,,FALSE,KEEP
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u049,"目前中央所兴建的社会住宅已经超过了地方政府,类似的情况不胜枚举。",context,"要盖社会住宅,我当行政院长的时候,我成立了住都中心,积极兴建。","赖清德: 我会把复制贴上当作是对政府的赞美,也谢谢柯主席,对执政团队的肯定。","[{""name"": ""赖清德"", ""party"": ""DPP""}]",[],FALSE,,da6e53340ab8ad777e330da3763c80a3,FALSE,总统辩论,,"目前中央所兴建的社会住宅已经超过了地方政府,类似的情况不胜枚举。",TRUE,institution_only,TRUE,gate: 2 inst terms,FALSE,DROP,0.24323231,REVIEW,0.080936849,FALSE,KEEP
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u050,"赖清德: 我会把复制贴上当作是对政府的赞美,也谢谢柯主席,对执政团队的肯定。",context,"目前中央所兴建的社会住宅已经超过了地方政府,类似的情况不胜枚举。","各位父老乡亲,过时的政策,我们一定要抛弃,过去的努力,我们一定要升级。","[{""name"": ""赖清德"", ""party"": ""DPP""}]",[],FALSE,,8cfe6b82e3780b688d6d8929ef1d8593,FALSE,总统辩论,,"赖清德: 我会把复制贴上当作是对政府的赞美,也谢谢柯主席,对执政团队的肯定。",TRUE,cooccur: actor×institution,TRUE,gate: actor×inst,FALSE,KEEP,0.552301407,,,FALSE,KEEP
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u059,"我会团结国人,强化国防,强化经济,强化跟民主阵营肩并肩站在一起。",context,"赖清德: 我不会跟国民党一样走回头路,甘愿沦为极权主义的附庸。","赖清德: 只要对等尊严,我的门永远都是开的。","[{""name"": ""赖清德"", ""party"": ""DPP""}]",[],FALSE,,96a689e7f08758ffa60a990cf5498f7f,FALSE,总统辩论,,"我会团结国人,强化国防,强化经济,强化跟民主阵营肩并肩站在一起。",TRUE,institution_only,TRUE,gate: 2 inst terms,TRUE,KEEP,1,KEEP,1,TRUE,KEEP
