item_id,app_id,camp,genre,disagreement_type,gpt_l207,ds_l207,human_l207,human_full_l2,human_l1,human_sides_with
A001,9001,KMT,news,gpt_true_ds_false,True,False,False,L2-08,L1-06,DeepSeek
A002,9002,TPP,news,gpt_true_ds_false,True,False,True,L2-07|L2-08,L1-01,GPT
A003,9003,DPP,news,gpt_false_ds_true,False,True,True,L2-07|L2-08,L1-01,DeepSeek
A004,9004,KMT,news,both_true,True,True,True,L2-07,L1-01,both
A005,9005,KMT,news,gpt_false_ds_true,False,True,True,L2-07,L1-01,DeepSeek
A006,9006,KMT,news,gpt_false_ds_true,False,True,True,L2-07,L1-01,DeepSeek
A007,9007,DPP,news,gpt_true_ds_false,True,False,True,L2-07,L1-01,GPT
A008,9008,DPP,news,gpt_false_ds_true,False,True,True,L2-07,L1-01,DeepSeek
A009,9009,KMT,news,gpt_true_ds_false,True,False,False,,L1-01,DeepSeek
A010,9010,TPP,news,gpt_false_ds_true,False,True,False,,L1-01,GPT
A011,9011,KMT,news,gpt_false_ds_true,False,True,True,L2-07,L1-01,DeepSeek
A012,9012,TPP,news,both_false,False,False,False,,L1-01,both
A013,9013,TPP,debate,gpt_false_ds_true,False,True,True,L2-07,L1-01,DeepSeek
A014,9014,TPP,news,gpt_true_ds_false,True,False,False,,L1-01,DeepSeek
A015,9015,TPP,news,gpt_true_ds_false,True,False,False,,L1-01,DeepSeek
A016,9016,TPP,news,gpt_false_ds_true,False,True,False,,L1-01,GPT
A017,9017,KMT,news,gpt_false_ds_true,False,True,False,,L1-01,GPT
A018,9018,TPP,news,both_true,True,True,False,,L1-01,neither
A019,9019,KMT,news,gpt_true_ds_false,True,False,False,,L1-01,DeepSeek
A020,9020,DPP,news,gpt_true_ds_false,True,False,False,,L1-01,DeepSeek
A021,9021,KMT,news,gpt_false_ds_true,False,True,False,,L1-01,GPT
A022,9022,TPP,news,gpt_true_ds_false,True,False,True,L2-07,L1-01,GPT
A023,9023,DPP,news,gpt_false_ds_true,False,True,True,L2-07,L1-01,DeepSeek
A024,9024,KMT,news,gpt_false_ds_true,False,True,False,,L1-01,GPT
A025,9025,TPP,news,gpt_false_ds_true,False,True,False,,L1-01,GPT
A026,9026,DPP,news,gpt_false_ds_true,False,True,True,L2-07,L1-01,DeepSeek
A027,9027,DPP,news,gpt_true_ds_false,True,False,True,L2-07,L1-01,GPT
A028,9028,KMT,debate,gpt_true_ds_false,True,False,False,,L1-01,DeepSeek
A029,9029,DPP,news,both_false,False,False,False,L2-08,L1-01,both
A030,9030,DPP,news,gpt_true_ds_false,True,False,False,L2-01|L2-04,L1-01,DeepSeek
A031,9031,TPP,news,gpt_false_ds_true,False,True,False,,L1-01,GPT
A032,9032,DPP,news,both_true,True,True,False,,L1-01,neither
A033,9033,KMT,news,gpt_true_ds_false,True,False,True,L2-01|L2-07|L2-08,L1-01,GPT
A034,9034,DPP,news,gpt_true_ds_false,True,False,False,,L1-01,DeepSeek
A035,9035,KMT,news,gpt_true_ds_false,True,False,False,,L1-01,DeepSeek
A036,9036,DPP,debate,both_false,False,False,False,,L1-01,both
A037,9037,DPP,news,both_true,True,True,True,L2-07,L1-01,both
A038,9038,DPP,news,gpt_false_ds_true,False,True,True,L2-07,L1-01,DeepSeek
A039,9039,KMT,news,both_false,False,False,False,,L1-01,both
A040,9040,KMT,news,gpt_true_ds_false,True,False,False,L2-08,L1-01,DeepSeek
A041,9041,KMT,news,both_true,True,True,True,L2-06|L2-07,L1-01,both
A042,9042,TPP,news,gpt_true_ds_false,True,False,False,,L1-01,DeepSeek
A043,9043,KMT,news,gpt_false_ds_true,False,True,True,L2-01|L2-02|L2-07,L1-01,DeepSeek
A044,9044,TPP,news,gpt_false_ds_true,False,True,False,L2-01|L2-08,L1-01,GPT
A045,9045,DPP,news,gpt_false_ds_true,False,True,True,L2-01|L2-02|L2-07,L1-01,DeepSeek
A046,9046,TPP,news,gpt_true_ds_false,True,False,True,L2-02|L2-07,L1-01,GPT
A047,9047,DPP,news,gpt_true_ds_false,True,False,False,L2-05,L1-01,DeepSeek
A048,9048,DPP,news,gpt_false_ds_true,False,True,True,L2-07|L2-08,L1-01,DeepSeek
A049,9049,DPP,news,gpt_true_ds_false,True,False,False,,L1-01,DeepSeek
A050,9050,TPP,news,both_false,False,False,False,L2-01|L2-05,L1-01,both
