doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date,preprocessed_text,hard_rule_keep,hard_rule_reason,policy_gate,policy_gate_reason,priority_keep,semantic_status,semantic_similarity,nli_status,nli_score,key_hit,final_status
meeting3_dc67668a6f17,meeting3_dc67668a6f17_u008,"我们如何建构一个社会安全网来让孩子跟家长可以安全地生活,这是我们作为领导人要思考的,我也邀请两位中等候选人一起思考,来提出看法。",context,"道具是拿着弹簧道具,学校不会被划线的,也不能阻止,还是我们缺的什么没有做才会这样?",,"[{""name"": ""侯友谊"", ""party"": ""KMT""}]",[],FALSE,,48a73e3bfdaf8e8babdb2e8395485b14,FALSE,meeting3,,"我们如何建构一个社会安全网来让孩子跟家长可以安全地生活,这是我们作为领导人要思考的,我也邀请两位中等候选人一起思考,来提出看法。",TRUE,institution_only,TRUE,gate: core_election,FALSE,KEEP,0.430902064,,,FALSE,KEEP
meeting3_0dc097d9fc7d,meeting3_0dc097d9fc7d_u001,"今天我们要讲医疗参照劳保健康是基本人权,它是一个普世价值,也不会因为不同的信仰、宗教、政治、经济、社会而有所不同。",context,接下来我要来谈今天的议题。,"作为一个医生,我非常注重国人的健康。","[{""name"": ""侯友谊"", ""party"": ""KMT""}]",[],FALSE,,ffd0f86469c62c94443c5ae5adf907b3,FALSE,meeting3,,"今天我们要讲医疗参照劳保健康是基本人权,它是一个普世价值,也不会因为不同的信仰、宗教、政治、经济、社会而有所不同。",TRUE,institution_only,TRUE,gate: 2 inst terms,FALSE,REVIEW,0.331093013,,,TRUE,KEEP
meeting3_a0d55cec653a,meeting3_a0d55cec653a_u002,"病人、医护人员要健康,健保要健康。",context,"我认为台湾的医疗制度必须做一个全面的体检,第一步就是要先就鉴宝。","因此我主张第一提高医疗卫生支出的到 GDP 的 8 percent,目前只有 6.6 percent。","[{""name"": ""侯友谊"", ""party"": ""KMT""}]",[],FALSE,,c3108a7a2535e9516a02aeefc1a6e261,FALSE,meeting3,,"病人、医护人员要健康,健保要健康。",TRUE,institution_only,TRUE,gate: strong_anchor,FALSE,REVIEW,0.275734663,,,TRUE,KEEP
meeting3_d15e5b547169,meeting3_d15e5b547169_u006,"因此我主张投资健康,有效医疗、永续健保。",claim,"第七, 65 岁上的长子健薄会补助,应该比照太平市的制度,我们希望长子的健康也可以减少年轻子女的负担。",投资健康就是说健康比医疗重要。,"[{""name"": ""侯友谊"", ""party"": ""KMT""}]",[],FALSE,,8eb9fed9020193c089ab150f886c28ad,FALSE,meeting3,,"因此我主张投资健康,有效医疗、永续健保。",TRUE,institution_only,TRUE,gate: 2 inst terms,FALSE,REVIEW,0.303501219,,,TRUE,KEEP
meeting3_d15e5b547169,meeting3_d15e5b547169_u009,"有效医疗要病人健康,叫医务人员健康,叫健保制度健康,医疗环境要健康,这样才能够提升整个医疗的治疗效率。",context,"OK,我们是希望病人不生病,那现在我们的国民不生病。","当然鉴宝不能倒闭,我们来谈肠灶有两个问题,它裁员不足,裁员不稳定。","[{""name"": ""侯友谊"", ""party"": ""KMT""}]",[],FALSE,,9cb8cf64f2964cd8a6b531f01ca6039c,FALSE,meeting3,,"有效医疗要病人健康,叫医务人员健康,叫健保制度健康,医疗环境要健康,这样才能够提升整个医疗的治疗效率。",TRUE,institution_only,TRUE,gate: strong_anchor,FALSE,REVIEW,0.259509265,,,TRUE,KEEP
meeting3_ed47bdbc2ef0,meeting3_ed47bdbc2ef0_u000,"卫部部长薛瑞远把打包票说,长照未来 5 年不会破产或者迟到,不会破产,因为基金里面还有钱,可是 5 年以后,所以我们不能把自己交给这种没有长期规划,走一步算一步的政府长债。",claim,,"要做得好,预算就要够,服务要多元完整。","[{""name"": ""侯友谊"", ""party"": ""KMT""}]",[],FALSE,,4bd7842535244775b64b69f76f2337c6,FALSE,meeting3,,"卫部部长薛瑞远把打包票说,长照未来 5 年不会破产或者迟到,不会破产,因为基金里面还有钱,可是 5 年以后,所以我们不能把自己交给这种没有长期规划,走一步算一步的政府长债。",TRUE,institution_only,TRUE,gate: 2 inst terms,FALSE,REVIEW,0.345861137,,,FALSE,KEEP
meeting3_0fb8c84a4ded,meeting3_0fb8c84a4ded_u005,"要让人民健康,就要义务健康,要义务健康就要健保健康。",context,这是国家领导人的责任。,"鉴宝的成功是台湾的骄傲,所以当然不能让鉴宝破产,但是也不能因为怕鉴宝破产就在压榨医务人员,因为这样将来失去保障的是国民的健康,所以我们要健薄有序,肠绕健全牢薄不正常。","[{""name"": ""侯友谊"", ""party"": ""KMT""}]",[],FALSE,,295e5da15539a0507a9e129014e6c840,FALSE,meeting3,,"要让人民健康,就要义务健康,要义务健康就要健保健康。",TRUE,institution_only,TRUE,gate: strong_anchor,FALSE,REVIEW,0.32624048,,,TRUE,KEEP
meeting3_8ca9a187dd77,meeting3_8ca9a187dd77_u000,"现在请第一轮第二位候选人侯友谊先生发表证件,时间 10 分钟。 请发言。",context,,,"[{""name"": ""侯友谊"", ""party"": ""KMT""}]",[],FALSE,,db5374eaab4dcb4b4d9ebc605674a16c,FALSE,meeting3,,"现在请第一轮第二位候选人侯友谊先生发表证件,时间 10 分钟。 请发言。",TRUE,institution_only,TRUE,gate: core_election,FALSE,REVIEW,0.417302489,,,FALSE,KEEP
meeting3_71e2a07e1629,meeting3_71e2a07e1629_u000,"现在请第一轮第三位候选人赖清德先生发表证件,时间 10 分钟。 请发言。",context,,,"[{""name"": ""赖清德"", ""party"": ""DPP""}]",[],FALSE,,3b3a4be18f2bcb5f53ab4d2863f51a48,FALSE,meeting3,,"现在请第一轮第三位候选人赖清德先生发表证件,时间 10 分钟。 请发言。",TRUE,cooccur: actor×institution,TRUE,gate: actor×inst,FALSE,KEEP,0.434832335,,,FALSE,KEEP
meeting3_cc5e1713bfdf,meeting3_cc5e1713bfdf_u010,"自从决定参选总统以来,我常常在想,相较于历任的总统,我能够额外贡献给台湾什么?",context,我们大家一起来。,"我看到国民健康署的资料,国人平均余命已经到 8081 岁,但是不健康年数也高达 8.4 年。","[{""name"": ""赖清德"", ""party"": ""DPP""}]",[],FALSE,,3fa4efab02c6a7597cabfbb1fd281d61,FALSE,meeting3,,"自从决定参选总统以来,我常常在想,相较于历任的总统,我能够额外贡献给台湾什么?",TRUE,institution_only,TRUE,gate: core_election,FALSE,KEEP,0.761759281,,,FALSE,KEEP
