annotator,L1,L2,n,composition,raw_pct
L1_gpt,L1-01,L2-01,1454,0.556,6.5
L1_gpt,L1-01,L2-02,1454,0.409,1.0
L1_gpt,L1-01,L2-03,1454,3.13,3.7
L1_gpt,L1-01,L2-04,1454,0.71,3.4
L1_gpt,L1-01,L2-05,1454,0.523,7.7
L1_gpt,L1-01,L2-06,1454,2.136,31.8
L1_gpt,L1-01,L2-07,1454,1.089,42.4
L1_gpt,L1-01,L2-08,1454,0.117,1.0
L1_gpt,L1-02,L2-01,1942,0.355,2.4
L1_gpt,L1-02,L2-02,1942,0.575,0.8
L1_gpt,L1-02,L2-03,1942,0.611,0.4
L1_gpt,L1-02,L2-04,1942,1.947,5.4
L1_gpt,L1-02,L2-05,1942,0.899,7.5
L1_gpt,L1-02,L2-06,1942,1.186,10.0
L1_gpt,L1-02,L2-07,1942,1.058,23.4
L1_gpt,L1-02,L2-08,1942,1.111,5.6
L1_gpt,L1-03,L2-01,4269,1.594,26.9
L1_gpt,L1-03,L2-02,4269,1.858,6.7
L1_gpt,L1-03,L2-03,4269,0.936,1.6
L1_gpt,L1-03,L2-04,4269,0.877,6.1
L1_gpt,L1-03,L2-05,4269,1.894,40.0
L1_gpt,L1-03,L2-06,4269,0.629,13.4
L1_gpt,L1-03,L2-07,4269,0.578,32.3
L1_gpt,L1-03,L2-08,4269,1.034,13.1
L1_gpt,L1-04,L2-01,1068,0.463,3.9
L1_gpt,L1-04,L2-02,1068,0.205,0.4
L1_gpt,L1-04,L2-03,1068,1.092,0.9
L1_gpt,L1-04,L2-04,1068,0.909,3.2
L1_gpt,L1-04,L2-05,1068,0.361,3.8
L1_gpt,L1-04,L2-06,1068,1.442,15.5
L1_gpt,L1-04,L2-07,1068,1.289,36.2
L1_gpt,L1-04,L2-08,1068,1.029,6.6
L1_gpt,L1-05,L2-01,327,0.33,4.3
L1_gpt,L1-05,L2-02,327,0.22,0.6
L1_gpt,L1-05,L2-03,327,1.169,1.5
L1_gpt,L1-05,L2-04,327,2.52,13.5
L1_gpt,L1-05,L2-05,327,0.264,4.3
L1_gpt,L1-05,L2-06,327,0.819,13.5
L1_gpt,L1-05,L2-07,327,1.191,51.1
L1_gpt,L1-05,L2-08,327,1.951,19.0
L1_gpt,L1-06,L2-01,7775,0.823,4.7
L1_gpt,L1-06,L2-02,7775,0.537,0.7
L1_gpt,L1-06,L2-03,7775,0.784,0.5
L1_gpt,L1-06,L2-04,7775,0.998,2.3
L1_gpt,L1-06,L2-05,7775,0.271,1.9
L1_gpt,L1-06,L2-06,7775,0.968,7.0
L1_gpt,L1-06,L2-07,7775,1.319,24.8
L1_gpt,L1-06,L2-08,7775,1.266,5.4
L1_gpt,L1-07,L2-01,4065,0.458,2.3
L1_gpt,L1-07,L2-02,4065,0.27,0.3
L1_gpt,L1-07,L2-03,4065,0.096,0.0
L1_gpt,L1-07,L2-04,4065,0.808,1.7
L1_gpt,L1-07,L2-05,4065,0.339,2.2
L1_gpt,L1-07,L2-06,4065,1.149,7.4
L1_gpt,L1-07,L2-07,4065,1.509,25.5
L1_gpt,L1-07,L2-08,4065,0.766,2.9
L1_ds,L1-01,L2-01,1098,0.624,7.6
L1_ds,L1-01,L2-02,1098,0.313,0.9
L1_ds,L1-01,L2-03,1098,2.911,3.9
L1_ds,L1-01,L2-04,1098,0.679,3.6
L1_ds,L1-01,L2-05,1098,0.582,9.7
L1_ds,L1-01,L2-06,1098,2.153,32.9
L1_ds,L1-01,L2-07,1098,1.093,45.3
L1_ds,L1-01,L2-08,1098,0.103,1.0
L1_ds,L1-02,L2-01,2300,0.396,2.3
L1_ds,L1-02,L2-02,2300,0.28,0.4
L1_ds,L1-02,L2-03,2300,0.538,0.3
L1_ds,L1-02,L2-04,2300,2.181,5.5
L1_ds,L1-02,L2-05,2300,0.81,6.5
L1_ds,L1-02,L2-06,2300,1.209,8.9
L1_ds,L1-02,L2-07,2300,1.068,21.3
L1_ds,L1-02,L2-08,2300,1.102,5.2
L1_ds,L1-03,L2-01,3460,1.52,27.9
L1_ds,L1-03,L2-02,3460,1.923,8.5
L1_ds,L1-03,L2-03,3460,0.905,1.8
L1_ds,L1-03,L2-04,3460,0.877,7.0
L1_ds,L1-03,L2-05,3460,1.863,47.4
L1_ds,L1-03,L2-06,3460,0.586,13.6
L1_ds,L1-03,L2-07,3460,0.579,36.4
L1_ds,L1-03,L2-08,3460,1.112,16.5
L1_ds,L1-04,L2-01,1031,0.364,3.6
L1_ds,L1-04,L2-02,1031,0.123,0.3
L1_ds,L1-04,L2-03,1031,1.152,1.3
L1_ds,L1-04,L2-04,1031,0.73,3.1
L1_ds,L1-04,L2-05,1031,0.633,8.6
L1_ds,L1-04,L2-06,1031,0.906,11.3
L1_ds,L1-04,L2-07,1031,1.52,51.2
L1_ds,L1-04,L2-08,1031,0.744,5.9
L1_ds,L1-05,L2-01,136,0.158,2.2
L1_ds,L1-05,L2-02,136,0.439,1.5
L1_ds,L1-05,L2-03,136,0.475,0.7
L1_ds,L1-05,L2-04,136,3.055,18.4
L1_ds,L1-05,L2-05,136,0.305,5.9
L1_ds,L1-05,L2-06,136,0.963,16.9
L1_ds,L1-05,L2-07,136,1.157,55.1
L1_ds,L1-05,L2-08,136,1.766,19.9
L1_ds,L1-06,L2-01,6293,0.858,6.3
L1_ds,L1-06,L2-02,6293,0.484,0.9
L1_ds,L1-06,L2-03,6293,0.893,0.7
L1_ds,L1-06,L2-04,6293,0.864,2.7
L1_ds,L1-06,L2-05,6293,0.282,2.9
L1_ds,L1-06,L2-06,6293,1.105,10.3
L1_ds,L1-06,L2-07,6293,1.327,33.4
L1_ds,L1-06,L2-08,6293,1.101,6.5
L1_ds,L1-07,L2-01,1302,0.531,4.7
L1_ds,L1-07,L2-02,1302,0.471,1.0
L1_ds,L1-07,L2-03,1302,0.235,0.2
L1_ds,L1-07,L2-04,1302,1.129,4.3
L1_ds,L1-07,L2-05,1302,0.264,3.2
L1_ds,L1-07,L2-06,1302,1.381,15.4
L1_ds,L1-07,L2-07,1302,1.341,40.5
L1_ds,L1-07,L2-08,1302,0.993,7.1
