unit_id,sentence,role,prev,next,speakers,targets,source,date,target_l1,sample_score,sampling_reason
_6100894074c7_u007,"楊懿珊承諾會轉達訴求給黨中央,她強調,集會遊行是人民重要民主能量的展現,民進黨絕對支持,也認同台灣歷經疫情衝擊後,現在正是國際經濟秩序重整、社會資源重新分配的關鍵時間點,居住正義、司法改革等確實還有努力的方向,賴清德日前拋出補助私立大學學雜費,也是站在公平正義的改革立場。",claim,"黃國昌說,他與民進黨多年來一起走在台灣民主路上,對於各種政策的具體執行方法或許有不同看法,但公共政策討論就事論事,是非常重要的價值,他歡迎民進黨對這次活動提出不同的看法、一起公開討論,但請不要抹黑抹紅這場活動,網路上潑糞言論,不是他所樂見。","至於賴清德當天是否會參與,楊懿珊說,16日剛好民進黨召開全國黨員代表大會,全黨總動員,賴清德的時間必須看當天活動的狀況才能決定,民進黨祝福活動能順利平和。","[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""民進黨"", ""party"": ""DPP""}]",[],03_Lai_chinatimes_news,2023-07-03 12:49:00,L1-07,16.3,targeted_gap_filling
_88bf70726c8a_u004,"而立法院常設委員會共8個,包括內政、外交及國防、經濟、財政、教育及文化、交通、司法及法制、社會福利及衛生環境。",context,"2008年起,立法委員席次減半為113席,分為34席不分區立委、73席區域立委、6席原住民立委。",政黨票是什麼?,[],"[""立法院|institution""]",03_Lai_tvbs_news,2024-01-09 17:14:00,L1-07,15.3,targeted_gap_filling
_88bf70726c8a_u004,"而立法院常設委員會共8個,包括內政、外交及國防、經濟、財政、教育及文化、交通、司法及法制、社會福利及衛生環境。",context,"2008年起,立法委員席次減半為113席,分為34席不分區立委、73席區域立委、6席原住民立委。",政黨票是什麼?,[],"[""立法院|institution""]",02_Ke_tvbs_news,2024-01-09 17:14:00,L1-07,15.3,targeted_gap_filling
_88bf70726c8a_u004,"而立法院常設委員會共8個,包括內政、外交及國防、經濟、財政、教育及文化、交通、司法及法制、社會福利及衛生環境。",context,"2008年起,立法委員席次減半為113席,分為34席不分區立委、73席區域立委、6席原住民立委。",政黨票是什麼?,[],"[""立法院|institution""]",01_Ho_tvbs_news.csv,2024-01-09 17:14:00,L1-07,15.3,targeted_gap_filling
_0585c89fc29d_u004,"范東亞今天在大使館舉辦新聞發布會時指出,40年來兩國政府和人民在能源、健康、培訓、賦權、外交、氣候變遷、文化和教育等各方面合作,共同見證許多重大成就,兩個獨立國家之間的夥伴關係建立在共享自由民主、和平法治的價值觀之上。",claim,"希望透過這些活動,深化聖克里斯多福及尼維斯人民和台灣人民之間的聯繫,「友誼再續40年!」 2023年逢聖克里斯多福及尼維斯獨立40年及與台灣建交40年,我國更是克國在1983年宣布獨立後第一個建交的國家。","而為了紀念這里程碑,大使館將啟動「散播善意與培育愛意」的一系列活動,包括向台灣圖書館和學校贈書、為台灣高中生舉辦英語夏令營,以及NGO志工服務等。",[],[],01_Ho_ltn_news,2023-06-01 19:51:41,L1-07,14.3,targeted_gap_filling
_9c965591d395_u009,"台灣在世界各地建立的夥伴關係,皆能提供當地人民顯著與永續的經濟與安全益處,「我們鼓勵各國擴大與台灣的往來,持續站在良善治理、資訊透明及法治的這一邊。」該發言人還強調,台灣是美國重要夥伴,也是全美洲與全世界國家的可靠夥伴,美國未來會持續依循長期政策,深化、擴大與台灣往來。",claim,"美國國務院一名發言人十五日以不具名方式表示,宏國政府應該要知道,中國所做的許多承諾都跳票,美方會持續關注後續發展;","美議員:卡蕬楚犯嚴重錯誤 美國聯邦參議院的友台派議員也警告宏國政府,參議院外交委員會首席共和黨人里契就說,宏國總統卡蕬楚擁抱中國及其「空頭支票」(empty promises)會是個嚴重錯誤,拜登政府應立即檢視並更新對宏都拉斯的作法;",[],[],03_Lai_ltn_news,2023-03-17 05:30:00,L1-07,14.3,targeted_gap_filling
_5a07172b50cc_u010,"三立集團則回應,關於土地問題,為求永續經營埔心牧場,配合都市計畫並持續增加投資文化觀光產業設施,三立影城故依法申請都市計畫變更,此為延續歷次楊梅都市計畫案(民國82年變更楊梅主要計畫「第三次通盤檢討案」),經中央與地方政府審議。",claim,"針對相關指控,東森表示:「不實指控,不予回應」。","三立影城強調相關程序皆依法依規申請,也通過相關審議。",[],[],02_Ke_chinatimes_news,2023-12-27 16:58:00,L1-07,14.3,targeted_gap_filling
_61a98eabc7d2_u004,"王寶萱表示,憲法應以台灣為本位,由全體台灣人參與制定出能保障國家正常地位,捍衛基本權利及進步價值的新憲法,因此時力2024年的修憲主張,包含「調降修憲門檻,落實還權於民」、「推動國家正常化,落實主權正義」、「推動18歲公民權,實踐世代正義」、「廢除考試院及監察院,強化權力制衡與政府效能」以及「推動國會選制改革,促進多元民意」。",claim,"既然3黨總統候選人都提出各種憲政構想,就請實質承諾,而時力作為關鍵小黨,絕對會監督3黨落實憲改承諾。","根據中華民國憲法增修條文第12條規定,修憲須經立委1/4提議,立法院院會討論,需立委總額3/4出席、出席立委3/4同意,提出憲法修正案,公告半年後經中華民國自由地區選舉人投票複決,有效同意票過選舉人總額的半數,即通過。",[],"[""修憲|constitutional""]",02_Ke_chinatimes_news,2023-12-29 14:56:00,L1-07,14.3,targeted_gap_filling
_1658e5a8b728_u004,"新宣處指出,國際指標如瑞士洛桑管理學院(IMD)的世界競爭力年報(IMD World Competitiveness Yearbook),美國智庫傳統基金會(Heritage Foundation)的經濟自由度指數(Index of Economic Freedom),亦顯示近年來我國司法公正性、司法效能有大幅成長,司法改革已有一定成效。",claim,"新宣處表示,司改國是會議2017年8月12日總結會議後,司法院即戮力推動相關改革措施,國內機構(如台灣民意基金會)的民調結果顯示,民眾對於司改由不信任轉為信任、不滿意轉為滿意,顯示司改已獲得多數民眾的認同。","民團以單一機構的民調資料,做為司法院改革不力的論據,失之偏頗,亦非事實。",[],[],02_Ke_ltn_news,2023-08-31 18:06:28,L1-07,14.3,targeted_gap_filling
_1271d4c9b259_u008,"菲利佩六世在今年的耶誕夜演說中,選擇忽略西班牙國內的其他問題和國際社會的戰亂危機,全場都在讚揚西班牙憲法的民主價值,以及西班牙的團結統一。",claim,"此外,西班牙法學界人士和媒體也針對「特赦法案」的合憲性辯論不休。","菲利佩六世強調,憲法是西班牙歷史上最重大的政治成功。",[],[],03_Lai_chinatimes_news,2023-12-27 18:21:00,L1-07,14.3,targeted_gap_filling
