doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date,preprocessed_text,hard_rule_keep,hard_rule_reason,policy_gate,policy_gate_reason,priority_keep,semantic_status,semantic_similarity,nli_status,nli_score,key_hit,final_status
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u040,例如已经到2024了还在提九二共识。,context,赖清德: 基本上都是上个时代的政策。,"世界的经贸已经发生结构性变化了,还在提重启服贸。",[],[],False,,b5846330c42c582d91eed4ee6da89161,False,总统辩论,,例如已经到2024了还在提九二共识。,True,institution_only,False,,False,REVIEW,0.4154850244522095,,,False,REVIEW
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u061,"我愿意跟中国进行交流合作,促进两岸人民的福祉。",context,"赖清德: 只要对等尊严,我的门永远都是开的。","赖清德: 我会不卑不亢维持现状,保护台湾同时稳定两岸,也促进印太的和平。",[],"[""两岸|cross-strait""]",False,,02d1bbcfa5177697aad6460e63da8ef2,False,总统辩论,,"我愿意跟中国进行交流合作,促进两岸人民的福祉。",True,institution_only,False,,False,REVIEW,0.41002556681632996,,,True,REVIEW
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u066,"台商回流,外资加码,大家看股市屡创新高。",context,赖清德: 2018年到现在。,"赖清德: 未来我将善用台湾的人才丰沛的创意,让台湾朝向全面的创新型的国家。",[],[],False,,aed0d191fc6dacf5e53cf69507e31488,False,总统辩论,,"台商回流,外资加码,大家看股市屡创新高。",True,institution_only,False,,False,REVIEW,0.24554409086704254,KEEP,0.4253695011138916,False,REVIEW
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u074,我会推动教育平权。,context,"赖清德: 为了要关心,支持年轻人,我将推动百亿清零海外圆梦基金。","我还会推动居住正义,三大政策陪伴年轻人走过每一个关卡。",[],[],False,,fdf008583025d18c384db67df1bfb159,False,总统辩论,,我会推动教育平权。,True,institution_only,False,,False,REVIEW,0.40887826681137085,,,False,REVIEW
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u075,"我还会推动居住正义,三大政策陪伴年轻人走过每一个关卡。",context,我会推动教育平权。,"赖清德: 各位父老乡亲,2024年的总统大选,国际社会都在关注啊。",[],[],False,,fa51877c329f18dd4f170bd35cef9622,False,总统辩论,,"我还会推动居住正义,三大政策陪伴年轻人走过每一个关卡。",True,institution_only,False,,False,KEEP,0.4584163427352905,,,False,REVIEW
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u086,"各位,这对治安的影响有何其重大,对台湾社会、民心士气的影响又会有多么的重大。",context,"赖清德: 如果国民党回来了,黑金集团也势必会回来。","赖清德: 第三,如果国民党回来了,我们守护台湾的军事采购必然会停止。",[],[],False,,7956759cc10ce4a5e0cb07ff88685a3d,False,总统辩论,,"各位,这对治安的影响有何其重大,对台湾社会、民心士气的影响又会有多么的重大。",True,institution_only,False,,False,KEEP,0.5301942825317383,,,False,REVIEW
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u111,"我在这里要提醒,我算你的施政做不好的事情就有够多。",context,我也觉得很失望。,我今天随便拿十项的施政来救救民进党。,[],[],False,,79f8e8c4e712504c151d551a661dd1ae,False,总统辩论,,"我在这里要提醒,我算你的施政做不好的事情就有够多。",True,institution_only,False,,False,KEEP,0.4976253807544708,,,False,REVIEW
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u114,"第一个,你的光电黑金,非核跳票。",context,"侯友宜: 你做得好还不好,这些问题也是民众要问你的。","侯友宜: 第二个,你的采购烂蛋,食安崩坏。",[],[],False,,326d9c5191c08e91bf5e340b7b659c6a,False,总统辩论,,"第一个,你的光电黑金,非核跳票。",True,institution_only,False,,False,REVIEW,0.25541824102401733,KEEP,0.2779712677001953,False,REVIEW
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u116,"第三个,诈骗猖獗,治安败坏。",context,"侯友宜: 第二个,你的采购烂蛋,食安崩坏。","侯友宜: 第四个,前瞻撒币,债留子孙。",[],[],False,,bb75b1789086b9ebf1fa536dff8fcd6a,False,总统辩论,,"第三个,诈骗猖獗,治安败坏。",True,institution_only,False,,False,REVIEW,0.40824347734451294,,,False,REVIEW
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u118,"第五个,缺水缺电,什么都缺。",context,"侯友宜: 第四个,前瞻撒币,债留子孙。","侯友宜: 第六个,专制独裁,威权ㄚ霸。",[],[],False,,0ea2155296432f9e34ad25947ea1cfaf,False,总统辩论,,"第五个,缺水缺电,什么都缺。",True,institution_only,False,,False,REVIEW,0.2706593871116638,,,False,REVIEW
