stratum,pair,n_ab,null_mean,ratio,z,p_perm,q_bh,n_sent
S1 debate,01-02,10,6.3,1.587,2.14,0.0559,0.3912,966
S1 debate,01-03,3,3.48,0.861,-0.42,1.0,1.0,966
S1 debate,01-04,5,5.74,0.871,-0.41,0.8902,1.0,966
S1 debate,01-05,13,13.03,0.998,-0.01,1.0,1.0,966
S1 debate,01-06,25,25.33,0.987,-0.1,1.0,1.0,966
S1 debate,01-07,42,37.82,1.11,1.09,0.3473,0.748,966
S1 debate,01-08,9,9.41,0.956,-0.18,1.0,1.0,966
S1 debate,02-03,0,0.29,0.0,-0.58,1.0,1.0,966
S1 debate,02-04,0,1.11,0.0,-1.12,0.6347,1.0,966
S1 debate,02-05,7,2.94,2.381,2.88,0.0279,0.2608,966
S1 debate,02-06,6,3.61,1.66,1.52,0.2315,0.6818,966
S1 debate,02-07,4,7.52,0.532,-1.76,0.0958,0.5365,966
S1 debate,02-08,3,3.03,0.989,-0.02,1.0,1.0,966
S1 debate,03-04,0,0.29,0.0,-0.55,1.0,1.0,966
S1 debate,03-05,1,1.68,0.596,-0.59,0.9581,1.0,966
S1 debate,03-06,5,4.64,1.079,0.26,1.0,1.0,966
S1 debate,03-07,10,5.91,1.693,2.65,0.0279,0.2608,966
S1 debate,03-08,0,0.56,0.0,-0.87,1.0,1.0,966
S1 debate,04-05,2,4.39,0.455,-1.58,0.1876,0.6567,966
S1 debate,04-06,9,6.66,1.352,1.3,0.3154,0.7359,966
S1 debate,04-07,6,9.53,0.63,-1.66,0.1517,0.6068,966
S1 debate,04-08,4,2.23,1.794,1.43,0.3154,0.7359,966
S1 debate,05-06,25,21.74,1.15,0.99,0.3992,0.7984,966
S1 debate,05-07,29,33.73,0.86,-1.31,0.2435,0.6818,966
S1 debate,05-08,3,4.39,0.683,-0.81,0.6148,1.0,966
S1 debate,06-07,51,54.43,0.937,-0.84,0.4551,0.8495,966
S1 debate,06-08,2,8.17,0.245,-2.68,0.012,0.2608,966
S1 debate,07-08,20,16.03,1.248,1.67,0.1437,0.6068,966
S2 own named+speaking,01-02,21,14.32,1.466,3.46,0.004,0.0279,2503
S2 own named+speaking,01-03,7,5.46,1.282,1.07,0.4431,0.8271,2503
S2 own named+speaking,01-04,25,23.79,1.051,0.59,0.7026,1.0,2503
S2 own named+speaking,01-05,59,61.4,0.961,-0.76,0.5709,0.9402,2503
S2 own named+speaking,01-06,49,47.13,1.04,0.65,0.6228,0.9687,2503
