doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date,preprocessed_text,hard_rule_keep,hard_rule_reason,policy_gate,policy_gate_reason,priority_keep,semantic_status,semantic_similarity,nli_status,nli_score,key_hit,final_status,_source_file,_corpus_tier,debate_short_review,id,custom_id,source_file,source_relpath,L1_label,L1_reasoning,L1_error,L2_labels,L2_reasoning,L2_error,L1_run1,L2_run1,L1_run2,L2_run2,L1_run3,L2_run3,_min_jaccard_L2
_909cbd15fc1f,_909cbd15fc1f_u006,"林右昌提到,整個台北市的發展逐步往東區移動,特別是軟體園區還有生技園區的發展,這在他早年於行政院服務時就是國家的重點計畫,能帶動整個台北市跟國家的生技發展;",claim,,"在地方提出興建要求後,行政院由秘書長主持會議確定由國土署(前營建署)負責,經費從13億元增加到21億餘年,中央全額補助。",[],[],False,,dd35865af35eb066b0492634499a1a05,False,01_Ho_ltn_news,2023/12/6 13:16,"林右昌提到,整個台北市的發展逐步往東區移動,特別是軟體園區還有生技園區的發展,這在他早年於行政院服務時就是國家的重點計畫,能帶動整個台北市跟國家的生技發展;",True,institution_only,True,gate: core_election,False,KEEP,0.439840436,,,False,KEEP,01_news_datasets/01_Ho_ltn_news_units.csv,1,,19526,req_400d7e5c62d8416bae856560f0e03662,merged_deduped.csv,merged_deduped.csv,L1-01,談園區與城市、生技發展屬經濟；非純政策管理,,L2-07,「國家的重點計畫」「帶動…國家的生技發展」→國家層級發展願景與動員→L2-07,,L1-01,L2-06|L2-07,L1-01,L2-01|L2-07,L1-01,L2-06,0.0
_df1362e61872,_df1362e61872_u004,(圖/翻攝自娱乐小浪花er 微博) 2024總統大選倒數、候選人、民調分析盡在TVBS 就是你!,context,"女星陳妍希憑電影《那些年,我們一起追的女孩》爆紅兩岸三地,其後轉往大陸演藝圈拓展,出演2014年電視劇版《神鵰俠侶》與男星陳曉墜入愛河,並於2016年結婚,同年便產下愛子,近年將重心擺在家庭上,無奈人紅是非多,她去(2021)年遭一名網友惡意造謠,隨即火大提告,如今律師團公開勝訴判決書,竟意外曝光陳妍希的真實姓名。",,[],[],False,,a08cac4947c494943487d85474b7b281,False,02_Ke_tvbs_news,2023-10-18 15:23:00,(圖/翻攝自娱乐小浪花er 微博) 2024總統大選倒數、候選人、民調分析盡在TVBS 就是你!,True,institution_only,True,gate: core_election,False,KEEP,0.5832035541534424,,,True,KEEP,01_news_datasets/02_Ke_tvbs_news_units.csv,1,,14117,req_fcc91789fec54c34b59f40ac14b5af44,merged_deduped.csv,merged_deduped.csv,L1-07,宣傳口號與情緒渲染，無實質議題,,L2-07,總統大選→國家政治共同體；選舉動員語氣「就是你」→L2-07,,L1-06,,L1-07,,L1-07,L2-07,0.0
_a931b557747b,_a931b557747b_u002,"賴清德競選辦公室發言人郭雅慧表示,「賴Weekly」收錄當週新聞時事,並貼心幫網友們整理畫重點,希望能讓網友更方便轉傳、分享。",claim,"〔記者陳昀/台北報導〕民進黨總統參選人暨副總統賴清德今分別在LINE及Instagram上發布全新社群企劃,分別為「賴Weekly」以及「借問賴答」,整理當週新聞讓支持者方便了解,並在Instagram限時動態回應網友提問,讓社會大眾能用更多不同的方式,獲得賴清德的第一手資訊。",,"[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],False,,e56efa172749ecaabd5516dbc74d1562,False,03_Lai_ltn_news,2023-06-19 15:50:55,"賴清德競選辦公室發言人郭雅慧表示,「賴Weekly」收錄當週新聞時事,並貼心幫網友們整理畫重點,希望能讓網友更方便轉傳、分享。",True,cooccur: actor×institution,True,gate: actor×inst,False,REVIEW,0.2962164580821991,,,False,KEEP,01_news_datasets/03_Lai_ltn_news_units.csv,1,,20231,req_a83fe1e335bc455cb3d01246f62dff59,merged_deduped.csv,merged_deduped.csv,L1-06,宣傳競選社群企劃，屬政策與治理管理，排除情緒,,,競選工具介紹，無主權/認同/威脅/動員/價值論述→無,,L1-06,,L1-06,,L1-06,,1.0
_b0e011a7bee2,_b0e011a7bee2_u013,"賴清德說,正因為要有實力,他在總統蔡英文的四大堅持之上,提出和平四大支柱行動方案;",claim,"他很關心長照服務員的薪水與社會認同度,可惜遭斷章取義,並在網路被擴大稱呼是「賴功德」,但其實並不是,「我做我該做的事情而已」。","反觀在野黨所提的接受一個中國原則,形同放棄主權,而放棄主權的和平,不是真的和平。","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],False,,2bdcf2526ae89405a251b7cacbca15a7,False,03_Lai_chinatimes_news,2023-08-24 22:05:00,"賴清德說,正因為要有實力,他在總統蔡英文的四大堅持之上,提出和平四大支柱行動方案;",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.492379367351532,,,True,KEEP,01_news_datasets/03_Lai_chinatimes_news_units.csv,1,,3894,req_900f448d2b1544cfa6c36f126e96596c,merged_deduped.csv,merged_deduped.csv,L1-03,兩岸和平路線與主權安全，非單純政策,,L2-01|L2-07,總統蔡英文四大堅持→主權立場延續→L2-01；和平四大支柱行動方案→國家戰略願景→L2-07,,L1-03,L2-01|L2-07,L1-03,L2-01|L2-07,L1-06,L2-01|L2-07,1.0
_3cedff323ac5,_3cedff323ac5_u002,"立法院本次會期延會到本月19日結束,內閣改組議題也緊接登場,顧立雄此次先被點名可能為組閣人選之一,接著又被傳為接任國防部長的黑馬人選,也讓他昨天慰勉總統府憲兵營的行程格外受到矚目。",context,"〔記者羅添斌/台北報導〕國安會秘書長顧立雄昨日赴總統府憲兵211營春節慰問,顧立雄特別代表總統祝賀官兵新年快樂及頒贈加菜金,勉勵單位戮力戰訓本務,成為捍衛國家主權與國土安全的穩定力量。","憲兵211營隸屬於憲兵202指揮部,是負責戍守總統府安全的憲兵營,俗稱「鐵衛營 」,軍方內部又稱為「天下第一營」,平時以總統府區域的水溝蓋為界,以內為憲兵營負責安全及防衛工作丶水溝蓋以外則是由台北市警察局負責維安。",[],"[""立法院|institution""]",False,,7066e44ad77df3f31bbe31d6045f80bc,False,02_Ke_ltn_news,2023-01-18 11:26:22,"立法院本次會期延會到本月19日結束,內閣改組議題也緊接登場,顧立雄此次先被點名可能為組閣人選之一,接著又被傳為接任國防部長的黑馬人選,也讓他昨天慰勉總統府憲兵營的行程格外受到矚目。",True,institution_only,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/02_Ke_ltn_news_units.csv,1,,9872,req_01c38aae01a54135b0293ab9879b49fd,merged_deduped.csv,merged_deduped.csv,L1-06,討論內閣與國防部長人事布局，屬政府管理,,,內閣改組、人事黑馬、行程受矚目→無主權/威脅/認同/動員等國族建構訊號,,L1-06,,L1-06,,L1-06,,1.0
_2f5b4f5eeb81,_2f5b4f5eeb81_u008,"她在校園與立法院裡穿梭,培育法律人才,同時從旁協助許多法案的推動。",context,"〔記者蔡彰盛/新竹報導〕民進黨新竹市立委參選人林志潔的競選主視覺今出爐了,代表她的競選活動加速啟動。","她的法律專長,有從博士時期即著手研究的刑事法律、平權研究;",[],"[""立法院|institution""]",False,,c33583772d7a955fcd87f3adf624e14b,False,02_Ke_ltn_news,2023-07-23 17:55:36,"她在校園與立法院裡穿梭,培育法律人才,同時從旁協助許多法案的推動。",True,institution_only,True,gate: core_election,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/02_Ke_ltn_news_units.csv,1,,17164,req_2bdbee2b2e9f4fdd97ca37f9db79b1a3,merged_deduped.csv,merged_deduped.csv,L1-06,強調個人專業與立院法案推動，屬治理敘事,,,描述個人經歷與專業服務，無主權、威脅、認同或動員相關語彙→無標籤,,L1-06,,L1-06,,L1-06,,1.0
_83ff911813d1,_83ff911813d1_u003,"加薩走廊衛生部也表示,以色列今天攻擊一所聯合國學校,造成至少15人死亡。",claim,"加薩當局:戰火累計9488死 以軍炸聯合國學校釀15死 2023/11/4 21:51 (11/4 22:17 更新) (中央社加薩走廊4日綜合外電報導)巴勒斯坦伊斯蘭武裝組織哈瑪斯(Hamas)治下的加薩走廊衛生部今天表示,自以色列上個月對哈瑪斯開戰以來,加薩地區死亡總數累計已達9488人。",支持巴勒斯坦難民的聯合國近東巴勒斯坦難民救濟工作署(UNRWA)也未立即發表評論。,[],[],False,,a43c39f349d5b55649d5d58a5c428b58,False,03_Lai_chinatimes_news,2023-11-04 21:51:00,"加薩走廊衛生部也表示,以色列今天攻擊一所聯合國學校,造成至少15人死亡。",True,institution_only,True,gate: strong_anchor,False,DROP,0.0132432393729686,,,False,KEEP,01_news_datasets/03_Lai_chinatimes_news_units.csv,1,,14438,req_3de3b53dde8740bd8e5b2b77b0cc0e99,merged_deduped.csv,merged_deduped.csv,L1-04,戰爭攻擊造成平民傷亡，聚焦人命,,,描述以色列攻擊UN學校傷亡，純事實戰爭報導，無主權宣示、認同、威脅動員等國族建構語彙,,L1-03,,L1-04,,L1-04,,1.0
_cf0ec4fec61c,_cf0ec4fec61c_u020,"透過 Google News 印尼1945年制定的憲法中,在序言寫道:「有鑒於獨立是所有國家不可剝奪的權利,因此,必須在這個世界上廢除一切殖民主義,因為它不符合人性和正義。」 馬契默迪解釋,根據印尼憲法,印尼反對帝國主義,因此,必須廢除世界上所有殖民主義。",claim,"印尼憲法中指出,獨立建國是所有民族的權利,且表達反對殖民主義的立場。",,[],[],False,,c5af442149cf6e021a0b6831c57e7a6a,False,02_Ke_chinatimes_news,2023-10-13 15:28:00,"透過 Google News 印尼1945年制定的憲法中,在序言寫道:「有鑒於獨立是所有國家不可剝奪的權利,因此,必須在這個世界上廢除一切殖民主義,因為它不符合人性和正義。」 馬契默迪解釋,根據印尼憲法,印尼反對帝國主義,因此,必須廢除世界上所有殖民主義。",True,institution_only,True,gate: 2 inst terms,False,REVIEW,0.3932393789291382,,,False,KEEP,01_news_datasets/02_Ke_chinatimes_news_units.csv,1,,17382,req_4fb654defeca4d618bff964af434037f,merged_deduped.csv,merged_deduped.csv,L1-02,"談反殖民與正義屬價值與道德評價,非制度說明",,,談印尼憲法與反殖民價值，無涉台灣主權/認同/動員→不屬任何L2,,L1-05,L2-08,L1-05,L2-03|L2-08,L1-05,L2-08,0.5
_75812932e39a,_75812932e39a_u006,"例如,台灣面臨中共壓迫,應加強國防力量及軍事採購,備戰才能止戰;",context,"立法院民進黨團副幹事長江永昌則表示,特別預算基於國家緊急狀況、重大事故或災害,審議過程也都討論得很清楚,編列皆具正當性且符合法律規定。","因應新冠肺炎衝擊,政府提出防疫紓困振興或疫後特別預算;",[],[],False,,d1e83a61364d90fbde2b75723d71332e,False,03_Lai_ltn_news,2023-08-04 14:37:39,"例如,台灣面臨中共壓迫,應加強國防力量及軍事採購,備戰才能止戰;",True,institution_only,True,gate: strong_anchor,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/03_Lai_ltn_news_units.csv,1,,18495,req_230648fdb2e94d78a47f005a068dd05d,merged_deduped.csv,merged_deduped.csv,L1-03,中共壓迫與備戰止戰=安全威脅框架，排除L1-06,,L2-01|L2-05,台灣面臨中共壓迫→L2-05；加強國防力量備戰止戰→L2-01,,L1-03,L2-01|L2-05|L2-07,L1-03,L2-01|L2-05,L1-03,L2-05,0.3333333333333333
_e9563208e5d7,_e9563208e5d7_u000,"民進黨2024總統參選人、副總統賴清德,授旗給嘉市信賴台灣之友會籌備會召集人前嘉市議員江熙哲(右)。",context,,"〔記者丁偉杰/嘉義報導〕民進黨2024總統參選人、副總統賴清德今天下午出席嘉義市信賴台灣之友會成立大會,賴為各後援會長授證,該會籌備會召集人前嘉市議員江熙哲說,賴清德一路走來始終不忘從政初衷,堅持理想,值得大家信賴,蔡英文總統2020年連任勝選,在嘉市拿下9萬9265票,他向現場喊話「明年讓賴清德在嘉市得票數超過10萬票以上」。","[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""民進黨"", ""party"": ""DPP""}]",[],False,,31597bef5691e5824a2ad9519c99a325,False,01_Ho_ltn_news,2023/6/3 21:32,"民進黨2024總統參選人、副總統賴清德,授旗給嘉市信賴台灣之友會籌備會召集人前嘉市議員江熙哲(右)。",True,cooccur: actor×institution,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/01_Ho_ltn_news_units.csv,1,,4347,req_c83e2867730b440ca60b8eb381463c9d,merged_deduped.csv,merged_deduped.csv,L1-06,單純活動與人物描述，無政策/情緒,,L2-07,授旗儀式、後援會→選舉動員象徵→L2-07；還有其他面向嗎？無明確主權/價值/威脅語彙,,L1-07,L2-07,L1-07,L2-07,L1-07,L2-07,1.0
