doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date,preprocessed_text,hard_rule_keep,hard_rule_reason,policy_gate,policy_gate_reason,priority_keep,semantic_status,semantic_similarity,nli_status,nli_score,key_hit,final_status
_b871e14414ac,_b871e14414ac_u001,"為了要凸顯自己的財政紀律,更用錯誤的訊息攻擊前高雄市長陳菊。",context,"賴清德:新潮流看破手腳不支持 柯文哲就此抹黑攻擊 2023/12/30 16:54 (12/30 19:48 更新) (中央社記者王承中台北30日電)民進黨總統候選人賴清德今天在辯論會交叉詰問時表示,新潮流後來看破民眾黨總統候選人柯文哲的手腳,認為不值得繼續支持,從此柯文哲就不斷抹黑造謠攻擊新潮流;","2024大選唯一一場總統候選人電視辯論會今天下午2時在公視登場,民眾黨總統候選人柯文哲、民進黨總統候選人賴清德、國民黨總統候選人侯友宜正面交鋒,辯論會進行分為第1階段「申論」、第2階段5家媒體代表提問,第3階段交叉詰問,第4階段「結論」。",[],[],False,,382699ab45d4324512a2521529b9857d,False,01_Ho_chinatimes_news,2023-12-30 16:54:00,"為了要凸顯自己的財政紀律,更用錯誤的訊息攻擊前高雄市長陳菊。",True,institution_only,False,,False,KEEP,0.5330812335014343,,,False,REVIEW
_00f09b143ff3,_00f09b143ff3_u003,"現場2萬張椅子座無虛席,國旗飄揚、人潮擠爆時代大道,氣氛熱絡。",context,"超級星期天民眾黨高雄催票 萬人喊送柯文哲進總統府 超級星期天高雄隊力挺賴蕭配 蔡英文:開出百萬票 藍綠白3陣營今天晚間重兵集結高雄,國民黨鎖定高雄市前鎮區,在夢時代前廣場舉辦「南台灣的怒吼」高雄團結勝利大會,包括前總統馬英九、侯康全國後援會總會長王金平、韓國瑜、桃園市長張善政、嘉義市長黃敏惠等到場,力挺國民黨總統候選人侯友宜;","國民黨主席朱立倫與台北市長蔣萬安陪同侯友宜大進場時,現場支持者蜂擁而上爭相握手,侯友宜花了10多分鐘才走上舞台;",[],"[""國旗|symbol""]",False,,569836be9aaafaa6559cecb2b1a3fb07,False,01_Ho_chinatimes_news,2024-01-07 19:44:00,"現場2萬張椅子座無虛席,國旗飄揚、人潮擠爆時代大道,氣氛熱絡。",True,institution_only,False,,False,REVIEW,0.30886128544807434,,,True,REVIEW
_8987670c886f,_8987670c886f_u007,"他說,資安問題也是重點,資安重要的不是防駭客而已,而是必須做好SOP等基本管理。",claim,"柯文哲表示,中共對台灣滲透靠親戚朋友關係、網路等面向,都應具備標準作業程序(SOP)及建立紀律,「不該吃的飯不要亂吃」,公務員及軍人的相關刑罰更應加重。",(編輯:翟思嘉)1121230 柯文哲賴清德侯友宜拚2024總統大選 7大政見比一比 總統候選人政見會最終場發言一覽 柯侯賴交鋒校園安全、兩岸議題 副總統候選人政見會 吳欣盈趙少康蕭美琴發言內容一次看 歷屆總統大選中國介選手段一覽 飛彈試射經貿報復擾民心 網傳投票箱夾層藏票 查核中心:錯誤訊息 黃珊珊黃國昌扛立院攻防 備戰2026肩負白營母雞重擔 台灣選後第3天 美媒聚焦三黨,[],[],False,,be7146424ddfec3e0e243ceb19b875c0,False,01_Ho_chinatimes_news,2023-12-30 15:56:00,"他說,資安問題也是重點,資安重要的不是防駭客而已,而是必須做好SOP等基本管理。",True,institution_only,False,,False,REVIEW,0.4176698625087738,,,False,REVIEW
_992752645f9b,_992752645f9b_u012,另外就是2020年他被罷免高雄市長。,context,"韓國瑜也舉兩個與侯友宜相處的故事指出,2020年競選總統時,侯友宜在投票前一個月來找他,說有任何需要絕對要交代,所以很多人說侯友宜沒有關心,是錯的。","韓國瑜透露,第一通關心他的電話,就是侯友宜打的;",[],[],False,,80258931cd8dc7df3f2407985a39d5c5,False,01_Ho_chinatimes_news,2023-10-14 22:40:00,另外就是2020年他被罷免高雄市長。,True,institution_only,False,,False,REVIEW,0.2764034867286682,,,False,REVIEW
_308f0d238ac6,_308f0d238ac6_u005,"臉書(Facebook)一PO出,許多網友留言「好感動,老市長也來相挺」,也有網友細數過去政績「還有愛河整治、捷運、輕軌促使『老市、港區』轉型國際觀光場域」,喚起不少老高雄人的回憶。",quote,"投入立委高6選區(鹽埕、鼓山、新興、前金、苓雅)的黃捷今天表示,「城市光廊」就在自己選區內,是老市長謝長廷任內一手推動,不僅成為南台灣最具代表城市美學景點,也讓高雄擺脫老舊印象,賦予高雄新生命,是高雄的榮耀,受到老市長肯定,自己備感榮幸。","城市光廊位於前金區中山路和中華路之間的五福路,英文為Urban Spotlight的城市光廊全長150公尺,由9位高雄在地藝術家合作規劃,以「光」為主題,創作一系列作品;",[],[],False,,c687d5a03ae1872f1bcc293f9012fb21,False,01_Ho_chinatimes_news,2023-12-19 10:39:00,"臉書(Facebook)一PO出,許多網友留言「好感動,老市長也來相挺」,也有網友細數過去政績「還有愛河整治、捷運、輕軌促使『老市、港區』轉型國際觀光場域」,喚起不少老高雄人的回憶。",True,institution_only,False,,False,KEEP,0.48057517409324646,,,False,REVIEW
_d89970f8468b,_d89970f8468b_u008,"同時也要照顧沒有得到關心、支持的產業,達到數位轉型正義。",claim,"台灣有150、160萬家中小企業,提供了900多萬工作機會,只要中小企業穩定、社會就會安定;","賴清德指出,未來將運用科技創新,推動全面智慧化生活,包括智慧交通、智慧旅遊、智慧教育、智慧防災、智慧家庭,甚至智慧城市,達到智慧國家,成功地數位轉型。",[],[],False,,d139ae16bd0bc5d2959b3d92061eec14,False,01_Ho_chinatimes_news,2023-12-26 15:53:00,"同時也要照顧沒有得到關心、支持的產業,達到數位轉型正義。",True,institution_only,False,,False,DROP,0.22395598888397217,REVIEW,0.04907536506652832,True,REVIEW
_d89970f8468b,_d89970f8468b_u015,"根據台電推估,2030年前需求會增加700萬瓩,但供應可達900萬瓩,未來供電會更加穩定,「缺電的時代已經過去」。",context,"賴清德說,台灣最缺電的時候是前總統馬英九把政權交給蔡總統時,2016年5月30日時,備轉容量率僅剩1.64%,現在任何時候備轉容量率都在10%到15%左右,即便尖峰時刻用電仍有剩餘;","賴清德表示,最重要的是推動能源的第二次轉型,也就是發展多元的綠能,不只風力發電、太陽能發電、氫能發電、海洋潮汐發電,充分供應綠電需求,建置儲能設備,並就台電電網智慧化發展、區域電網,讓供電更有韌性、效益。",[],[],False,,cf17e11f0097275c57a1d9e6b0a3df23,False,01_Ho_chinatimes_news,2023-12-26 15:53:00,"根據台電推估,2030年前需求會增加700萬瓩,但供應可達900萬瓩,未來供電會更加穩定,「缺電的時代已經過去」。",True,institution_only,False,,False,REVIEW,0.26492804288864136,,,True,REVIEW
_9b6f3aaf121f,_9b6f3aaf121f_u010,"文章寫道,這引發2個問題:中國假訊息影響台灣選民的效果有多大?",context,"不過,最後蔡總統仍以壓倒性勝利擊敗時任國民黨候選人韓國瑜,成功連任。","在什麼樣的情況下,中國假訊息能改變台灣選民想法?",[],[],False,,3f2f31129979ef209b918b42050ab5ac,False,01_Ho_chinatimes_news,2023-12-20 18:33:00,"文章寫道,這引發2個問題:中國假訊息影響台灣選民的效果有多大?",True,institution_only,False,,False,KEEP,0.5781930088996887,,,False,REVIEW
_9b6f3aaf121f,_9b6f3aaf121f_u011,"在什麼樣的情況下,中國假訊息能改變台灣選民想法?",context,"文章寫道,這引發2個問題:中國假訊息影響台灣選民的效果有多大?","2名學者指出,中國企圖改變台灣選民想法的假訊息攻勢看似明顯無效。",[],[],False,,ddf2e8c264f25518e59278e3ffdc52b2,False,01_Ho_chinatimes_news,2023-12-20 18:33:00,"在什麼樣的情況下,中國假訊息能改變台灣選民想法?",True,institution_only,False,,False,KEEP,0.6045117974281311,,,False,REVIEW
_9b6f3aaf121f,_9b6f3aaf121f_u012,"2名學者指出,中國企圖改變台灣選民想法的假訊息攻勢看似明顯無效。",claim,"在什麼樣的情況下,中國假訊息能改變台灣選民想法?","政治科學研究人員表示,只有在特定情況下,主要是當大部分選民對政治漠不關心、沒有特定政黨傾向時,才比較可能被中國假訊息影響投票行為。",[],[],False,,e530faf34e351b993db24f8787b41c28,False,01_Ho_chinatimes_news,2023-12-20 18:33:00,"2名學者指出,中國企圖改變台灣選民想法的假訊息攻勢看似明顯無效。",True,institution_only,False,,False,KEEP,0.4996030926704407,,,False,REVIEW
