window_id,doc_id,source,date,full_text_with_sentence_marks,l2_set_str,community_id,sampling_weight,interpretive_notes
_973f0648aabf_w0002,_973f0648aabf,02_Ke_chinatimes_news,,"[7] 民進黨立委王定宇抨擊,柯文哲其實是在利用話術,藉此包裝推銷「一國二制」。 [8] 台灣制憲基金會執行長林宜正透過新聞稿指出,所謂「兩岸和平試驗區」,是蔑視台灣人多年來用血淚打拚出來的民主自由。 [9] 他要問柯文哲如何試驗,「是要金門實施中國極權專制?一半民主一半專制?實施中國社會信用制度?民主與專制如何能相容?是金門要被派共產黨書記嗎?為何不是中國實驗民主化而是台灣要走回頭路實驗專制化?」 林宜正指出,柯文哲連內政都做不好,卻對外交國防指指點點,台灣人不是白老鼠,民主自由也不容實驗。",L2-02|L2-04|L2-05|L2-08,0,4.007324135029938,
_5e83e31eaafd_w0002,_5e83e31eaafd,02_Ke_chinatimes_news,,"[2] 1996年,台海危機爆發,中國以軍演和飛彈等武力威嚇台灣,當時,原為台南成大醫院主治醫師的他,毅然決定投入公共事務領域,捍衛剛萌芽的台灣民主。 [3] 文章提到,1996年台灣舉行戒嚴後首次總統直選,兩岸情勢緊張,北京以武力威嚇向民主改革人士釋出訊息,並支持選擇傾向其威權專制的候選人,但是那些候選人最終慘敗,台灣民主運動便開始蓬勃發展。 [4] 脫下白袍後,賴清德先後出任行政院長、副總統等職務,直至現在成為一名總統參選人。",L2-02|L2-04|L2-05|L2-08,0,4.006578632850405,
_12b5759f704f_w0002,_12b5759f704f,02_Ke_chinatimes_news,,"[3] 談到民眾黨總統候選人柯文哲稱中國有幫國民黨做民調,朱立倫表示,這種無聊的事不值得多講,國民黨的民調或是所有媒體的民調,都是專業的民調,都是專業的媒體在做的,每一個都是重要的參考,用這樣的指控沒有意義。 [4] 針對柯文哲發公開信,強調故總統蔣經國是堅定「反共」的,朱立倫則說,國民黨從頭到尾是堅定的捍衛中華民國,永遠堅守三民主義的路線,堅守民主自由,也是蔣經國的主要立場,反對台獨,反對一國兩制,反對專制獨裁,這個是國民黨長期以來的路線,也是蔣經國的堅持。 [5] 朱立倫也說,關於任何認同蔣經國路線的,他都表示贊成,但是搞台獨的、或者是破壞中華民國的,絕對不是蔣經國的路線。",L2-01|L2-02|L2-04|L2-05|L2-08,0,4.005010447751034,
_7cde582c4298_w0008,_7cde582c4298,02_Ke_chinatimes_news,,"[14] 賴清德說,「當然有可能」,九二共識已被中國國家主席習近平定義為「一國兩制」,九二共識在1992年會談時,也沒有真正的共識; [15] 但也不要因為多數台灣人不接受九二共識,兩岸交流合作就停擺,中國硬要台灣接受九二共識才願意交談,這個不好。 [16] 賴清德表示,總統蔡英文在今年國慶日提到,願意在民主共識為原則及對等尊嚴前提下,民主的程序,維持現狀為核心,和平是唯一選擇的狀況下,大家來談另一個互動基礎。",L2-01|L2-02|L2-03|L2-04|L2-05|L2-07|L2-08,0,4.004941416465174,
_3ff13f492fcd_w0000,_3ff13f492fcd,02_Ke_ltn_news,,"[1] 〔記者陳政宇/台北報導〕台灣基進今天(7日)在中正紀念堂自由廣場前舉辦「台灣大普渡」儀式,批評前總統蔣介石塑像仍矗立,轉型正義與台灣民主就是假的,期盼2024能進入國會,全力推倒蔣介石銅像。 [2]  [3] 台灣基進黨主席王興煥說,中華民國殖民屠殺遍及全台,所有犧牲的英靈憤怒匯聚於元凶的紀念堂,舉辦普渡是為「祭台灣英靈,祓中國邪氣」,拒絕遺忘土地的傷痕與台灣人的苦難,因為時間是歷史記憶與轉型正義最大的敵人,而中正紀念堂空間轉型與「把蔣介石塑像先行移除」可以並行,不能用前者拖延後者。 [4] 台灣基進台北市黨部主委吳欣岱說,台北市是台灣首都,也是白色恐怖不義遺址最密集的地方,諷刺的是,其中一座至為巨大的威權紀念堂就聳立市中心,如今選在在全台最大的不義遺址舉行儀式,盼能為台灣消災解厄。",L2-02|L2-04|L2-05|L2-07|L2-08,0,4.004538968820763,
_973f0648aabf_w0003,_973f0648aabf,02_Ke_chinatimes_news,,"[8] 台灣制憲基金會執行長林宜正透過新聞稿指出,所謂「兩岸和平試驗區」,是蔑視台灣人多年來用血淚打拚出來的民主自由。 [9] 他要問柯文哲如何試驗,「是要金門實施中國極權專制?一半民主一半專制?實施中國社會信用制度?民主與專制如何能相容?是金門要被派共產黨書記嗎?為何不是中國實驗民主化而是台灣要走回頭路實驗專制化?」 林宜正指出,柯文哲連內政都做不好,卻對外交國防指指點點,台灣人不是白老鼠,民主自由也不容實驗。 [10]  [11] 他回應,他常常講在台灣要對自己有自信,為什麼老是覺得我們是被統戰,為什麼不是我們統戰對方;",L2-02|L2-04|L2-05|L2-06|L2-08,0,4.004400886995274,
_5e83e31eaafd_w0003,_5e83e31eaafd,02_Ke_chinatimes_news,,"[3] 文章提到,1996年台灣舉行戒嚴後首次總統直選,兩岸情勢緊張,北京以武力威嚇向民主改革人士釋出訊息,並支持選擇傾向其威權專制的候選人,但是那些候選人最終慘敗,台灣民主運動便開始蓬勃發展。 [4] 脫下白袍後,賴清德先後出任行政院長、副總統等職務,直至現在成為一名總統參選人。 [5] 他發現自己與過去幾任總統所面對的情勢並無不同,因此對捍衛和平、民主以及兩岸現狀的決心,比以往任何時候都更加堅定。",L2-02|L2-04|L2-05|L2-08,0,4.0041860830079035,
_ca5080a72103_w0006,_ca5080a72103,02_Ke_chinatimes_news,,"[10] 賴清德說,根據台灣歷次民調,絕大多數民眾反對統一、也不接受一個中國原則、九二共識一國兩制,根據事實與主流民意,台灣沒有統獨的問題,民主才是台灣人民最大的共識。 [11]  [12] (編輯:林興盟)1120412 以下為賴清德談話全文: 今天我很榮幸,能夠獲得 民主進步黨 提名,參選2024總統大選,肩負起守護台灣的使命,感謝中執會以及全體黨員同志的信賴與支持。 [13] 就在上個星期,蔡英文 Tsai Ing-wen 總統出訪的同時,馬英九前總統也有一趟中國行,呈現出對台灣不同的意義和價值,馬前總統是走回一中原則的框架,蔡英文總統則是在民主的道路上迎向未來、邁向國際,而這也將會是在2024年後國家所將面對的兩種截然不同的選擇。",L2-01|L2-02|L2-03|L2-04|L2-05|L2-07|L2-08,0,4.003615360786392,
_0aa882756934_w0011,_0aa882756934,02_Ke_chinatimes_news,,"[15] 透過 Google News 另外,民進黨晚上將召開不分區提名委員會,媒體關注前衛福部長陳時中被其他醫師團體推薦人選取代。 [16] 賴清德說,民進黨這次不分區提名,秉持跨黨派、跨世代、跨領域的民主大聯盟精神,媒體所報導的,不管是哪個領域代表,都要在最後由提名委員會確定,經中執會程序,才能正式提名,目前仍在討論當中。 [17] (編輯:張良知)1121113 李全教涉台南議長賄選 更二審4年改判9個月 朱正軒控遭架脖子怒斥 李全教:再憤怒也不可能恐嚇 朱立倫站台力挺李全教 稱許是正義的好朋友 高雄大學演講被問與黑金同台 柯文哲:去問蔡賴見顏清標幾次 王婉諭716凱道集會批柯文哲靠近黑金 「算什麼第三勢力」 賴清德:兩蔣要消滅共匪 國民黨卻接受一個中國 賴清德苗栗輔選康世明、曾玟學 籲繼續走對的路 學者:民進黨恐失立法院多數 柯文哲成關鍵角色 前柯文哲機要謝泊泓涉婚外情 竹地院判賠45萬元 2024/01/22 16:57 2024/01/15 11:44 2024/01/14 21:26 2024/01/14 20:59 2024/01/14 20:34 2024/01/14 20:09",L2-02|L2-04|L2-05|L2-08,0,4.002145846728196,
_12b5759f704f_w0003,_12b5759f704f,02_Ke_chinatimes_news,,"[4] 針對柯文哲發公開信,強調故總統蔣經國是堅定「反共」的,朱立倫則說,國民黨從頭到尾是堅定的捍衛中華民國,永遠堅守三民主義的路線,堅守民主自由,也是蔣經國的主要立場,反對台獨,反對一國兩制,反對專制獨裁,這個是國民黨長期以來的路線,也是蔣經國的堅持。 [5] 朱立倫也說,關於任何認同蔣經國路線的,他都表示贊成,但是搞台獨的、或者是破壞中華民國的,絕對不是蔣經國的路線。 [6]  [7] 媒體詢問,稍早民進黨總統候選人賴清德在總統府前升旗,好像比較沒有開口唱國歌,是否是沒辦法自信的唱出國歌。",L2-01|L2-02|L2-04|L2-05|L2-08,0,4.001523121027132,
