doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date,preprocessed_text,hard_rule_keep,hard_rule_reason,policy_gate,policy_gate_reason,priority_keep,semantic_status,semantic_similarity,nli_status,nli_score,key_hit,final_status,_source_file,_corpus_tier
萧美琴专访_81d762b06ca1,萧美琴专访_81d762b06ca1_u006,"这是民进党,这个副总统候选。",context,,"所以他们想要谈一些什么猫猫,狗狗的事情,这样子那我就没有兴趣,我就非常坚持说一定要谈一些国防,外交对中国关系的东西。","[{""name"": ""萧美琴"", ""party"": ""DPP""}]",[],FALSE,,3adb36cfd50bc6efb6e9b7447552bae3,FALSE,萧美琴专访,,"这是民进党,这个副总统候选。",TRUE,cooccur: actor×institution,TRUE,gate: actor×inst,FALSE,KEEP,0.561578691,,,FALSE,KEEP,02_conference_datasets/Interview_Xiao_units.csv,3
萧美琴专访_81d762b06ca1,萧美琴专访_81d762b06ca1_u012,"所以他们想要谈一些什么猫猫,狗狗的事情,这样子那我就没有兴趣,我就非常坚持说一定要谈一些国防,外交对中国关系的东西。",claim,"这是民进党,这个副总统候选。","范琪斐: 我就一直以为我们,这组候选人就没望了。","[{""name"": ""萧美琴"", ""party"": ""DPP""}]",[],FALSE,,20f56276c74b426751e7938f397c5964,FALSE,萧美琴专访,,"所以他们想要谈一些什么猫猫,狗狗的事情,这样子那我就没有兴趣,我就非常坚持说一定要谈一些国防,外交对中国关系的东西。",TRUE,institution_only,TRUE,gate: strong_anchor,TRUE,KEEP,1,KEEP,1,TRUE,KEEP,02_conference_datasets/Interview_Xiao_units.csv,3
萧美琴专访_81d762b06ca1,萧美琴专访_81d762b06ca1_u020,"范琪斐: 我就一直以为我们,这组候选人就没望了。",context,"所以他们想要谈一些什么猫猫,狗狗的事情,这样子那我就没有兴趣,我就非常坚持说一定要谈一些国防,外交对中国关系的东西。","他既然是要选副总统了,即使他过去几年没有在国内这些东西还是要拿来问既然他代表民进党来接受访问嘛Right?","[{""name"": ""萧美琴"", ""party"": ""DPP""}]",[],FALSE,,f369154705a6af3b1e8b0bf633712f42,FALSE,萧美琴专访,,"范琪斐: 我就一直以为我们,这组候选人就没望了。",TRUE,institution_only,TRUE,gate: core_election,FALSE,KEEP,0.531136692,,,FALSE,KEEP,02_conference_datasets/Interview_Xiao_units.csv,3
萧美琴专访_81d762b06ca1,萧美琴专访_81d762b06ca1_u034,"他既然是要选副总统了,即使他过去几年没有在国内这些东西还是要拿来问既然他代表民进党来接受访问嘛Right?",context,"范琪斐: 我就一直以为我们,这组候选人就没望了。","了,总统,之后你们在对中关系上你们要怎么处理这个问题。","[{""name"": ""萧美琴"", ""party"": ""DPP""}]",[],FALSE,,9a4d5cb67264fe9d2c2ce7dcd5f239a2,FALSE,萧美琴专访,,"他既然是要选副总统了,即使他过去几年没有在国内这些东西还是要拿来问既然他代表民进党来接受访问嘛Right?",TRUE,cooccur: actor×institution,TRUE,gate: actor×inst,FALSE,KEEP,0.589822888,,,FALSE,KEEP,02_conference_datasets/Interview_Xiao_units.csv,3
萧美琴专访_81d762b06ca1,萧美琴专访_81d762b06ca1_u065,"了,总统,之后你们在对中关系上你们要怎么处理这个问题。",context,"他既然是要选副总统了,即使他过去几年没有在国内这些东西还是要拿来问既然他代表民进党来接受访问嘛Right?",,"[{""name"": ""萧美琴"", ""party"": ""DPP""}]",[],FALSE,,50100145a13e2c7e9f4542d4fe2cdc6b,FALSE,萧美琴专访,,"了,总统,之后你们在对中关系上你们要怎么处理这个问题。",TRUE,institution_only,TRUE,gate: core_election,FALSE,KEEP,0.656199396,,,FALSE,KEEP,02_conference_datasets/Interview_Xiao_units.csv,3
萧美琴专访_d60ae253e66a,萧美琴专访_d60ae253e66a_u002,"我自己是没有很喜欢台湾,这种文化,因为比如说像是蔡总统之前就会被人家说你自己没有生小孩,你没有资格谈台湾少子化的问题,或者是说像侯友宜最近在造势场合就会被人家说为什么你太太都没有出来站台就是。",claim,,"我必须要说 我必须要我常常会想说我需要制衡,我需要政党轮替,然后再加上过去这八年很多人其实是批评很多的我想要知道说对于像我,这样的选民好了,就在想说我们, 我觉得我们需要政党轮替然后我们需要制衡的这样的选民你希望跟他们说什么。","[{""name"": ""萧美琴"", ""party"": ""DPP""}]",[],TRUE,campaigning,be1a05e29679530b541a9d404155fb8f,FALSE,萧美琴专访,,"我自己是没有很喜欢台湾,这种文化,因为比如说像是蔡总统之前就会被人家说你自己没有生小孩,你没有资格谈台湾少子化的问题,或者是说像侯友宜最近在造势场合就会被人家说为什么你太太都没有出来站台就是。",TRUE,cooccur: actor×institution,TRUE,gate: actor×inst,FALSE,REVIEW,0.483454049,,,FALSE,KEEP,02_conference_datasets/Interview_Xiao_units.csv,3
萧美琴专访_d60ae253e66a,萧美琴专访_d60ae253e66a_u021,"我必须要说 我必须要我常常会想说我需要制衡,我需要政党轮替,然后再加上过去这八年很多人其实是批评很多的我想要知道说对于像我,这样的选民好了,就在想说我们, 我觉得我们需要政党轮替然后我们需要制衡的这样的选民你希望跟他们说什么。",claim,"我自己是没有很喜欢台湾,这种文化,因为比如说像是蔡总统之前就会被人家说你自己没有生小孩,你没有资格谈台湾少子化的问题,或者是说像侯友宜最近在造势场合就会被人家说为什么你太太都没有出来站台就是。",萧美琴: 我自己在立法院待 待了14年那其中有作为这个没有过半的执政党也有做过过半的执政党在政策的推动上。,"[{""name"": ""萧美琴"", ""party"": ""DPP""}]",[],FALSE,,bc57d66548893a0fd21780dd012f4a6b,FALSE,萧美琴专访,,"我必须要说 我必须要我常常会想说我需要制衡,我需要政党轮替,然后再加上过去这八年很多人其实是批评很多的我想要知道说对于像我,这样的选民好了,就在想说我们, 我觉得我们需要政党轮替然后我们需要制衡的这样的选民你希望跟他们说什么。",TRUE,institution_only,FALSE,,FALSE,KEEP,0.691739678,,,FALSE,REVIEW,02_conference_datasets/Interview_Xiao_units.csv,3
萧美琴专访_d60ae253e66a,萧美琴专访_d60ae253e66a_u022,萧美琴: 我自己在立法院待 待了14年那其中有作为这个没有过半的执政党也有做过过半的执政党在政策的推动上。,context,"我必须要说 我必须要我常常会想说我需要制衡,我需要政党轮替,然后再加上过去这八年很多人其实是批评很多的我想要知道说对于像我,这样的选民好了,就在想说我们, 我觉得我们需要政党轮替然后我们需要制衡的这样的选民你希望跟他们说什么。","我们现在有非常公开的媒体而且是非常robust,非常多不同意见的呈现甚至是相当独立性也很高的媒体环境那第二个呢,其实我们在地方政府的层次上面几乎是一面倒的国民党在执政。","[{""name"": ""萧美琴"", ""party"": ""DPP""}]","[""立法院|institution""]",FALSE,,88d95e902caab284610c4ed3ccd6fac8,FALSE,萧美琴专访,,萧美琴: 我自己在立法院待 待了14年那其中有作为这个没有过半的执政党也有做过过半的执政党在政策的推动上。,TRUE,cooccur: actor×institution,TRUE,gate: actor×inst,TRUE,KEEP,1,KEEP,1,TRUE,KEEP,02_conference_datasets/Interview_Xiao_units.csv,3
萧美琴专访_d60ae253e66a,萧美琴专访_d60ae253e66a_u027,"我们现在有非常公开的媒体而且是非常robust,非常多不同意见的呈现甚至是相当独立性也很高的媒体环境那第二个呢,其实我们在地方政府的层次上面几乎是一面倒的国民党在执政。",context,萧美琴: 我自己在立法院待 待了14年那其中有作为这个没有过半的执政党也有做过过半的执政党在政策的推动上。,"另外一点我要讲的,就是说我们的公务体系在从首次的总统民选到几次的政党轮替,已经在某种程度上成为国家的公务体系不是早年的这个党政军不分的一个公务体系。","[{""name"": ""萧美琴"", ""party"": ""DPP""}]",[],FALSE,,38ff8249bf0c5d8f54aa54b9820f621d,FALSE,萧美琴专访,,"我们现在有非常公开的媒体而且是非常robust,非常多不同意见的呈现甚至是相当独立性也很高的媒体环境那第二个呢,其实我们在地方政府的层次上面几乎是一面倒的国民党在执政。",TRUE,cooccur: actor×institution,TRUE,gate: actor×inst,FALSE,KEEP,0.552404761,,,FALSE,KEEP,02_conference_datasets/Interview_Xiao_units.csv,3
萧美琴专访_d60ae253e66a,萧美琴专访_d60ae253e66a_u029,"另外一点我要讲的,就是说我们的公务体系在从首次的总统民选到几次的政党轮替,已经在某种程度上成为国家的公务体系不是早年的这个党政军不分的一个公务体系。",claim,"我们现在有非常公开的媒体而且是非常robust,非常多不同意见的呈现甚至是相当独立性也很高的媒体环境那第二个呢,其实我们在地方政府的层次上面几乎是一面倒的国民党在执政。","范琪斐: 大使,我懂你的意思,就是说你是觉得说我们的体制就宪政体制,目前来讲已经有提供足够的制衡的机能了,可是我觉得这个没有没有办法回答。","[{""name"": ""萧美琴"", ""party"": ""DPP""}]",[],FALSE,,f6e34806ccd176bb5d710deea7a84e8a,FALSE,萧美琴专访,,"另外一点我要讲的,就是说我们的公务体系在从首次的总统民选到几次的政党轮替,已经在某种程度上成为国家的公务体系不是早年的这个党政军不分的一个公务体系。",TRUE,institution_only,TRUE,gate: core_election,FALSE,KEEP,0.664619803,,,FALSE,KEEP,02_conference_datasets/Interview_Xiao_units.csv,3
