window_id,doc_id,source,date,full_text_with_sentence_marks,l2_set_str,community_id,sampling_weight,interpretive_notes
_cea778b68875_w0015,_cea778b68875,03_Lai_ltn_news,,"[24] 這不只是讓臺美經貿關係,邁向新的里程碑,也為臺灣和主要貿易國家洽簽貿易協定,跨出重要的一步。 [25]  [26] 臺灣人民展現出對民主自由前所未有的堅持,不僅讓世界看到臺灣的韌性,也讓國際支持民主臺灣的力量變得史無前例的團結強大。 [27]  [28]  [29]  [30]  [31] 但是,蔡英文的執政團隊認真做事,也懂得反省,我們總是快速調整、找出方法、扛住壓力、解決問題,來因應國際情勢的變局,回應民意的期待。",L2-03|L2-06|L2-07|L2-08,2,2.009994219092242,
_322fdaa48a89_w0006,_322fdaa48a89,03_Lai_ltn_news,,"[6] 第二項行動,民主治理,賴清德主張建立開放政府,打造韌性繁榮的台灣,不僅要保障人民權利,也要提升人民對國家發展的參與,他將秉持公開透明,人民作主的精神,建立開放政府,提升人民對公共審議的參與,讓利害關係不同的社群,共同面對複雜的議題,透過由下而上的民主程序,達到台灣的民主韌性。 [7] 賴清德說,他也將強化台灣的經濟韌性,因應氣候變遷,地緣政治變化,以及疫後經濟復甦等種種挑戰,持續改善台灣的投資環境,申請區域經濟並簽訂貿易或投資保障協定,進入全球供應鏈,讓台灣企業可以立足台灣、佈局全球、行銷全世界,並好好發展應用AIoT等新興科技,推動人工智慧產業化,讓台灣科技產業持續壯大,同時協助中小企業轉型。 [8]  [9]  [10] 賴清德說,台灣要持續與理念相同國家共同和平保護台灣,戰爭沒有贏家,中國必須深刻體驗到,如果對台灣發動戰爭,台灣固然最直接受創,但所掀起的全球災難,中國也難以承受,不得不慎,在中國沒有放棄武力犯台前,我們必須持續增強全民國防力量,隨時做好抵抗中國入侵、保護台灣的準備。",L2-01|L2-03|L2-05|L2-06|L2-07|L2-08,2,2.009991047304742,
_739f74eeacb9_w0000,_739f74eeacb9,03_Lai_chinatimes_news,,"[0] (12/24 11:27 更新) (中央社記者王鴻國、黃旭昇新北20日電)民進黨總統候選人賴清德老家既存違建問題引發討論,國土署表示正擬定通案處理原則。 [1]  [2]  [3] 賴清德新北市萬里老家被認定為既存違建,有礦業用地居民擔心原有工寮在礦權廢止後,因未進行地目變更,導致工寮無法申請建築執照,希望政府能爭取合法居住。 [4]  [5] 內政部國土署19日透過新聞稿指出,過去礦區建物在礦權被廢止後,政府未能即時將分區進行更正,造成民眾喪失合法房屋權益,這與新北市工務局所認定的傳統違建概念相反,且新北市是全國已廢礦區面積占比最多縣市。",L2-06|L2-07,2,2.0099874337006676,
_c80fd45b2cdc_w0004,_c80fd45b2cdc,03_Lai_chinatimes_news,,"[5] 賴清德說,安倍不只是國際政治家,對日本政治與印太和平有貢獻,也是非常溫暖的人,安倍的溫暖每每令人感動不已,他在擔任台南市長時,2016年發生大地震,隔天安倍就派5個日本官員來到地震現場了解需求,要提供直接協助,那種貼心令他感動。 [6] 賴清德表示,2018年他擔任行政院長,花蓮發生地震,安倍寫了台灣加油的話鼓勵台灣人,當台灣鳳梨受到中國抵制,農民生活出現困難,安倍為了推銷台灣鳳梨,不但自己購買來吃,還拍影片在網路傳播,「真的是令人非常感動、非常溫暖的人。」 賴清德說,當台灣面臨疫情威脅,安倍當時幫忙促成日本政府捐贈疫苗累計數量超過420萬劑,幫台灣度過難關,安倍對台關心支持,所做的遠比他剛講得更多, [7]  [8] (編輯:楊凱翔)1120717 安倍昭惠抵台 民眾感謝安倍晉三舉牌歡迎 安倍昭惠率2參議員訪台 外交部:彰顯台日友誼 泉裕泰:感動台灣真心悼安倍 決心守護日台關係 訪高雄見丈夫銅像落淚 安倍昭惠:相信他靈魂也一起來了 會見蔡總統 安倍昭惠:台日患難見真情 相信丈夫靈魂一同訪台[影] 賴副總統接見安倍昭惠 盼台日繼續合作加強感情",L2-01|L2-03|L2-05|L2-06|L2-07,2,2.009986095150119,
_73b2f99cdd86_w0001,_73b2f99cdd86,03_Lai_chinatimes_news,,"[1] 兼任民進黨主席的副總統賴清德今天說,台灣經濟、民主表現優異,不能再以「行人地獄」惡名現於國際,因此邀請專家進國會。 [2] 台灣社會福利總盟舉辦年度聯合感恩餐會,總統蔡英文出席並致詞,賴清德隨後也到會場。 [3] 賴清德指出,感謝社會福利總盟長期對弱勢者的照顧,也長期提供優秀人才擔任不分區立委,與民進黨一起努力。",L2-06|L2-07|L2-08,2,2.0099758003726294,
_3196d42f7fb4_w0005,_3196d42f7fb4,03_Lai_chinatimes_news,,"[10] 設定100萬戶的目標,賴副總統表示,是因為目前家戶租屋需求大約80餘萬戶,加上青年租屋需求,共約100萬戶,因此目標設定100萬戶是要滿足民眾需求。 [11] 賴副總統指出,蔡總統任內社會住宅與包租代管達20萬戶,他未來要達30萬戶,「我們絕對有信心」。 [12] 未來社宅興建13萬戶部分,除了6都,其他縣市也會推廣,中央會負責總戶數的2/3,剩餘1/3由地方負責,中央也會協助。",L2-06|L2-07,2,2.009970346578376,
_e356ea2a1905_w0000,_e356ea2a1905,03_Lai_chinatimes_news,,"[0] 出席保全業後援會 賴清德:持續推動保障權益 2023/9/2 12:48 (9/2 13:26 更新) (中央社記者蘇木春台中2日電)民主進步黨總統參選人賴清德今天出席全國保全產業後援會成立大會,他會中表示,保全業一定要繼續壯大,他會繼續推動修改保全業法,進一步保障保全業的權益、改善工作環境。 [1] 賴清德今天到台中出席後援會成立大會,為後援會代表授旗、授證,民進黨籍立法院副院長蔡其昌與立委林靜儀、何欣純、張廖萬堅、莊競程,及立委參選人江肇國、謝子涵、謝志忠,總統府秘書長林佳龍、中華民國保全商業同業公會全國聯合會理事長張達錩等人也出席。 [2]  [3] 提到全國保全日,賴清德說,林佳龍擔任台中市長時,全力支持保全業,將12月30日定為台中保全日,並獲得總統蔡英文支持推動成為全國保全日。",L2-01|L2-06|L2-07,2,2.0099667721151917,
_4e73c668e23a_w0001,_4e73c668e23a,03_Lai_ltn_news,,"[3] 馬英九今日率團前往南京中山陵,向國民黨總理孫文參拜獻花,所致贈的花圈上寫著「中國國民黨前主席」,而非「中華民國總統」,今日下午也前往中國近代史遺址博物館(前南京總統府)參訪。 [4] 馬更聲稱,兩岸人民同屬中華民族,都是炎黃子孫。 [5] 追求和平、避免戰爭,致力振興中華,「這是兩岸中國人不可迴避的責任,我們一定要努力實現」。",L2-01|L2-02|L2-06|L2-07,2,2.0099546447258363,
_79460051916d_w0002,_79460051916d,03_Lai_ltn_news,,"[3] 魯明哲於中壢深根26年,過去當過桃園升格前的中壢市民代表、縣議員、中壢市長及市議員,4年前選上第10屆立委,魯明哲自行宣布當選表示,他會繼續在選區帶大家起努力,跟桃園市長張善政努力配合把地方經營更好,目前他得到訊息是,國民黨在桃園市6個選區有機會都當選,真的很開心。 [4]  [5] 雖然總統選舉沒辦法達成目標,但在立院跟友黨聯合過半,也是重要里程碑,這部分會繼續一起努力讓台灣更好。 [6] 桃園市副市長蘇俊賓晚間前往競選總部祝賀表示,祝賀魯明哲高票當選,讓國民黨在桃園加上其他席次立委,一定努力爭取各項建設及福利,並跟張善政一起努力建設桃園。",L2-06|L2-07,2,2.0099470174893503,
_f7309464a152_w0007,_f7309464a152,03_Lai_chinatimes_news,,"[8] 賴清德也說,桃園市第2選區立委參選人黃世杰是進步的世代,也是專業的立委,表現也有目共睹,對地方建設服務用心、不遺餘力,需要被繼續留在國會。 [9] 賴清德表示,桃園市第3選區立委參選人彭俊豪深耕中壢,在桃園市議會問政、地方推動建設都受到鄉親支持,這次要攻頂進入國會,相信一定能展現專業問政能力,推動桃園建設,讓桃園進步發展。 [10] 賴清德說,桃園市第4選區立委參選人范綱祥是環工技師也是法律專業,相信如果進入立法院,能1個人發揮2項專業,來問政、推動建設,是非常好的立委人選。",L2-06|L2-07,2,2.0099354299678684,
_b54fb6ff0eb0_w0000,_b54fb6ff0eb0,03_Lai_chinatimes_news,,"[0] 賴清德:會與年輕人站在一起 重視居住就業問題 2024/1/9 11:14 (1/9 11:37 更新) (中央社記者黃雅詩、吳昇鴻台北9日電)民進黨總統候選人賴清德今天在國際記者會表示,台灣年輕人近年確實對房價、就業就學等問題不滿意,政府非常重視,「蔡總統是歷年來投資社會做最多的總統,不夠部分我會持續加強」。 [1]  [2] 民進黨上午舉辦2024總統副總統暨立委選舉選前國際記者會,民進黨總統候選人賴清德、民進黨副總統候選人蕭美琴出席,共計有28國、128家國際媒體、217人參與。 [3] 日本媒體提問,民進黨如何應對台灣年輕人對低薪與高房價的不滿。",L2-06|L2-07,2,2.009933684984112,
_8b40a831f695_w0008,_8b40a831f695,03_Lai_chinatimes_news,,"[9] 黨內高層提到,蕭美琴回來、振奮人心,民進黨整體立委選情上揚。 [10] 透過 Google News 前民進黨副秘書長林飛帆稍早也透過臉書表示,大選到現在剩下最後52天,唯一一組確定參選總統、副總統的組合是「賴蕭配」,這場選戰的意義很明確,就是「走向世界」還是「走向中國」的決定。 [11] 林飛帆指出,蕭美琴正式接受擔任副手邀請後,國際社會各界的反應很明確,幾乎眾口一致認為這是對台灣最穩健、最具國際信賴的組合。",L2-02|L2-03|L2-06|L2-07,2,2.009930845819305,
_046aef8a19fe_w0001,_046aef8a19fe,03_Lai_ltn_news,,"[4] 她長年推動國際交流與科普教育有成,2020年曾獲環保署第一屆「女性環保楷模」獎,2020年獲故鄉嘉義縣政府「傑出女性」表揚,是環工界的女性佼佼者。 [5] 中原大學環工系擁有全國最多的環工碩博士外籍學生,不僅為國際培育人才,也媒合優秀學生續留台灣,其中一位重要推手便是王雅玢。 [6] 她堅認「妳可以影響一小群人,這一小群人就會集結成一大群人,這一大群人就會造成改變」,執教鞭努力培育國際環工人才,不僅協助外籍學生認識台灣環境政策,更透過環境外交將台灣經驗推廣到國際。",L2-01|L2-03|L2-06|L2-07,2,2.0099237556405583,
