window_id,doc_id,source,date,full_text_with_sentence_marks,l2_set_str,community_id,sampling_weight,interpretive_notes
_20afb2de1725_w0005,_20afb2de1725,01_Ho_chinatimes_news,,"[6] 法紀錄片揭TikTok試圖影響台灣大選 分化民眾改變認同 賴清德表示,如果台灣民眾每次投票都要接受中國的指指點點,台灣民主精神將蕩然無存,也枉費前人犧牲奉獻才迎來的民主時刻,希望民眾別因外來武力干預、認知作戰等影響選擇,應根據自己的意志做決定。 [7] 他重申,併吞台灣是中國的國家政策,而非受他或民進黨所刺激,也不是在野黨提出其他主張,就能改變中國意圖,加上中國國家主席習近平已清楚說過一中原則就是一國兩制,台灣若在國家定位上接受一中原則的九二共識,未來中國一旦翻臉,就連國際也無法幫助台灣,一時的和緩,不能稱作真正的和平。 [8] 賴清德說,台灣經濟已經走在正確的路上,若台灣接受了一個中國原則,又接受兩岸服務貿易協議,恐會讓經濟與產業走上回頭路。",L2-01|L2-02|L2-04|L2-05|L2-06|L2-07|L2-08,1,3.008322598013952,
_d6722e8bc410_w0032,_d6722e8bc410,01_Ho_chinatimes_news,,"[44] 他說,民進黨在推動同志權益上有象徵性變革,但處理低薪、高房價和高生活費等問題卻沒太多進展。 [45] 國民黨則是無法擺脫兩岸政策的歷史包袱,「很多選民已經超越這點,希望台灣走自己的路」,除了民進黨,民眾黨也利用這個趨勢衝一波支持率,但國民黨仍未能做到。 [46] 中央研究院副研究員鮑彤(Nathan F. Batto)日前對中央社表示,他觀察過無數台灣選戰,今年可說是「選味」最淡的一年,「選舉進入倒數,你在街上有看到拜票競選車橫衝直撞?」儘管如此,選舉仍是台灣特有民主文化的難得體驗。",L2-02|L2-04|L2-06|L2-07|L2-08,1,3.00804360915613,
_a89ac0ec0a8a_w0004,_a89ac0ec0a8a,01_Ho_ltn_news,,"[6] 謝佩芬說,她4年前以新人之姿接受民進黨徵召參選立委,民進黨非常願意給年輕人機會,也因此不斷有優秀的年輕新血入黨,讓民主的理想得以一棒傳承一棒。 [7]  [8] 中國對民主、人權的打壓從未停止,而身為台北市議會西藏連線成員,她也曾針對雙城論壇質詢蔣萬安市長,呼籲市長,世界各國都在對抗中國的人權侵犯,希望他不要站在錯誤的一方。 [9] 吳崢指出,在太陽花學運時,當時還是大學生的他,為了反抗國民黨政府將台灣經濟與中國綑綁,而走上街頭,最後踏入政壇。",L2-02|L2-03|L2-04|L2-05|L2-08,1,3.00772012432111,
_4dbcb98e1c97_w0003,_4dbcb98e1c97,01_Ho_chinatimes_news,,"[6] 柯文哲表示,預計下次國會是三黨不過半,民眾黨將在國會扮演關鍵力量,發揮監督制衡的功能。 [7] 柯文哲強調,2024年,是台灣完成第三波民主化的歷史時刻,民眾黨會在勝選後秉持初衷與理念,致力創造「社會和諧、政黨和解、兩岸和平」,用繁盛的經濟和軟實力,讓台灣成為世界的焦點。 [8] 現場外媒提問,4年前的總統大選香港議題占很重要因素,但這次大選香港議題卻消失,如何評估一國兩制的香港,以及未來與中國交流如何處理香港的狀態。",L2-02|L2-04|L2-05|L2-06|L2-07|L2-08,1,3.00716890189159,
_a89ac0ec0a8a_w0005,_a89ac0ec0a8a,01_Ho_ltn_news,,"[8] 中國對民主、人權的打壓從未停止,而身為台北市議會西藏連線成員,她也曾針對雙城論壇質詢蔣萬安市長,呼籲市長,世界各國都在對抗中國的人權侵犯,希望他不要站在錯誤的一方。 [9] 吳崢指出,在太陽花學運時,當時還是大學生的他,為了反抗國民黨政府將台灣經濟與中國綑綁,而走上街頭,最後踏入政壇。 [10] 他表示近期國民黨和民眾黨的總統候選人侯友宜、柯文哲在十年後再度拋出重啟服貿的說法,顯示台灣面臨的問題,就是有一股很強親中的力量,不斷試圖將台灣與中國綑綁在一起。",L2-02|L2-03|L2-04|L2-05|L2-08,1,3.0066166126316776,
_10b68e82843a_w0001,_10b68e82843a,01_Ho_ltn_news,,"[2] 不過,現場出現一名中年婦人鬧場,高喊「兩岸要和平」、「西藏文化是中華文化」,當場被警方勸離現場; [3]  [4] 今日遊行隊伍從忠孝復興SOGO前出發,沿著忠孝東路往信義區行前進,遊行至國父紀念館時,特定駐足為西藏犧牲的藏人默哀及磕長頭,也會在中國銀行前上演「迫害未完、真相未明、抵抗未止」行動劇,最後於終點信義無菸示範廣場,演唱西藏國歌、西藏人民起義歌。 [5]  [6]  [7] 達賴喇嘛西藏宗教基金會董事長格桑堅參強調,1951年西藏與中國簽署和平協議,僅8年時間中共就撕毀協議內容,對西藏政治、經濟制度進行改革,1959年藏人在西藏首都拉薩抗議中共統治的殘酷暴政,中共以武力鎮壓西藏,已經過了64年了,當年西藏合法政府流亡印度,那一天也是藏人失去自由的國恥日。",L2-01|L2-02|L2-04|L2-05|L2-06|L2-08,1,3.006316643991221,
_bacd33913586_w0000,_bacd33913586,01_Ho_chinatimes_news,,"[0] 民主台灣不利兩岸統一 BBC:中國想要的台灣正在消失 2024/1/10 19:25 (1/11 15:31 更新) (中央社台北10日綜合外電報導)台灣大選13日將登場,國際媒體密切關注。 [1] 英國廣播公司(BBC)報導,無論大選結果為何,對中國共產黨的統一期盼而言,台灣的自由是一大威脅,中國想要的台灣正在消失。 [2]  [3] 報導中表示,蔣介石領導的國民黨政府撤退台灣後,中國大陸成為中華人民共和國,國民黨政府則在台灣保有中華民國的稱號。",L2-01|L2-02|L2-04|L2-05|L2-08,1,3.0050074118620236,
_2001252c57f6_w0008,_2001252c57f6,01_Ho_chinatimes_news,,"[11] 賴清德表示,在印太情勢緊張之際,他的使命就是維護區域和平跟穩定,必須延續總統蔡英文4個堅持,而他投書華爾街日報提出的4大支柱則是行動方案。 [12] 全文/賴清德投書華爾街日報 提4大支柱致力維護兩岸和平 賴清德提和平4支柱 葛來儀:堅持蔡總統兩岸核心原則 主持人進一步詢問,賴清德曾說「主張台灣獨立、也可以跟中國做朋友」,究竟是何用意。 [13] 賴清德解釋,從他加入民進黨就深刻感受到,民進黨是愛、和平、非暴力的政黨,民進黨的前輩即使被關、被抓、做了很多犧牲,但從來沒有要求以牙還牙、以暴制暴或是血債血還,所以民進黨推動二二八紀念日,叫和平紀念日。",L2-01|L2-02|L2-03|L2-04|L2-05|L2-07|L2-08,1,3.0047570492622593,
_1759222f8da1_w0002,_1759222f8da1,01_Ho_chinatimes_news,,"[2] 侯友宜提出反台獨、反對一國兩制的中間路線:柯文哲則說兩岸一家親是先表達善意,底線是保有現行民主自由制度。 [3] 國家定位、兩岸關係依舊是總統候選人電視辯論會的主軸,台灣民眾黨總統候選人柯文哲、民進黨總統候選人賴清德、國民黨總統候選人侯友宜,在申論、媒體代表提問、交叉詰問及結論等階段,都見激烈交鋒。 [4] 總統候選人辯論會 賴清德侯友宜柯文哲攻防一次看 房地爭議 賴侯訴求沒炒房、柯文哲哽咽談父親買農地 針對中華民國憲法議題,賴清德認為,若以民國35年所制定的中華民國憲法來看的話,「其實你會失望的」,而當年前總統李登輝任內推動6次修憲,目前在台灣運作的這部分為中華民國憲法增修條文,即以台灣為發展為中心的內涵的增修條文。",L2-01|L2-02|L2-04|L2-05|L2-08,1,3.004695558112758,
_d6722e8bc410_w0033,_d6722e8bc410,01_Ho_chinatimes_news,,"[45] 國民黨則是無法擺脫兩岸政策的歷史包袱,「很多選民已經超越這點,希望台灣走自己的路」,除了民進黨,民眾黨也利用這個趨勢衝一波支持率,但國民黨仍未能做到。 [46] 中央研究院副研究員鮑彤(Nathan F. Batto)日前對中央社表示,他觀察過無數台灣選戰,今年可說是「選味」最淡的一年,「選舉進入倒數,你在街上有看到拜票競選車橫衝直撞?」儘管如此,選舉仍是台灣特有民主文化的難得體驗。 [47] 王樂薇相當期待開票時刻,已計劃到各候選人總部,從「搖滾區」感受選民的狂悲狂喜。",L2-02|L2-04|L2-07|L2-08,1,3.004673816015553,
