doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date,preprocessed_text,hard_rule_keep,hard_rule_reason,policy_gate,policy_gate_reason,priority_keep,semantic_status,semantic_similarity,nli_status,nli_score,key_hit,final_status,_source_file,_corpus_tier,debate_short_review,id,custom_id,source_file,source_relpath,L1_label,L1_reasoning,L1_error,L2_labels,L2_reasoning,L2_error,L1_run1,L2_run1,L1_run2,L2_run2,L1_run3,L2_run3,_min_jaccard_L2
副总统辩论_a4a3572e071e,副总统辩论_a4a3572e071e_u289,"马英九执政的时候一百二十几个缅迁国,包括美国,一个邦交国,都没有丢那他到底丢了什么主权呢?",context,为什么我们有经济实力。,"赵少康: 你们常常讲说这是他卖了主权,他出卖了什么主权呢?","[{""name"": ""民进党"", ""party"": ""DPP""}]",[],False,,24313965149e72aac1dd8465bdb5dd7a,False,副总统辩论,,"马英九执政的时候一百二十几个缅迁国,包括美国,一个邦交国,都没有丢那他到底丢了什么主权呢?",True,institution_only,True,gate: 2 inst terms,False,KEEP,0.520527303,,,True,KEEP,02_conference_datasets/vice_president_units.csv,3,,3242,req_741d5cd926ff48cab15f41165d95230f,merged_deduped.csv,merged_deduped.csv,L1-03,主權是否被出賣之辯護，安全框架，非單純政策,,L2-01|L2-03|L2-06,邦交國不減→主權完好之辯；主權爭議本身→L2-01；以國際承認數量作論據→L2-03；隱含成就與自豪→L2-06,,L1-03,L2-01|L2-06,L1-03,L2-01,L1-03,L2-01|L2-06,0.5
_cd49f6a3cdd9,_cd49f6a3cdd9_u001,"〔記者陳政宇/台北報導〕前總統李登輝百年誕辰紀念新書發表暨學術討論會今(29)日登場,李登輝基金會董事長李安妮表示,「歷史」具有被遺忘性,甚至是歷經民主化的70歲老先生,都可以忘卻民主、並說「民主可以當飯吃嗎」,她期盼活化李登輝所留下的歷史文化價值,幫助大家成為一個有歷史感、有記憶的人。",claim,,"她指出,陳儀深日前提及李登輝任內做的很多事都是「台獨基礎工程」,但就她個人解讀,這都是一個朝向台灣的意志,不但要建構台灣這樣的國家,還要把台灣人給建構起來,鼓勵國人要有自信心、建立主體意識。",[],[],False,,5ae6041b6a3901491f8b5670ea662c86,False,03_Lai_ltn_news,2023-07-29 22:10:16,"(記者劉信德攝) 2023/07/29 22:10 〔記者陳政宇/台北報導〕前總統李登輝百年誕辰紀念新書發表暨學術討論會今(29)日登場,李登輝基金會董事長李安妮表示,「歷史」具有被遺忘性,甚至是歷經民主化的70歲老先生,都可以忘卻民主、並說「民主可以當飯吃嗎」,她期盼活化李登輝所留下的歷史文化價值,幫助大家成為一個有歷史感、有記憶的人。",True,institution_only,True,gate: core_election,False,KEEP,0.5735052227973938,,,True,KEEP,01_news_datasets/03_Lai_ltn_news_units.csv,1,,8022,req_88b1d4a6b415497dae082ebf8ddaa85c,merged_deduped.csv,merged_deduped.csv,L1-04,談民主價值與歷史記憶，偏人文關懷，非制度,,L2-04|L2-08,民主化歷史+民主被遺忘→L2-04；民主可不可以當飯吃→民主價值爭議→L2-08,,L1-04,L2-04|L2-08,L1-04,L2-04|L2-08,L1-04,L2-04|L2-08,1.0
_4b1d44cb0f55,_4b1d44cb0f55_u003,"矢板明夫今下午在臉書發文悼念辜寬敏,「我第一次和辜先生直接接觸,是在3年前的一次餐會上。我和辜先生的座位隔著幾個人,但辜先生聽到主持人介紹說,我就是經常出現在媒體上的矢板明夫時,立刻就招手叫我過去。我走到近前,辜先生突然拿出了一個長長的皮夾就要打開,我吃了一驚,差一點以為辜先生是要給我拿錢。沒想到,皮夾打開以後,就看到內側貼著一行大字『做一個堂堂正正的台灣人』。」 矢板明夫接著說:「辜先生指著這行字用日語對我說,『我雖然在日本住過很多年,但我不是日本人、我也不是中國人,我是一個堂堂正正的台灣人。我希望以後所有的台灣人,不管身在哪一國,都能夠挺起胸膛告訴別人:我是一個堂堂正正的台灣人』。辜先生這幾句話說得很慢,但每一個字都清晰有力,讓人有一種莫名的感動。」 後來辜寬敏還特別邀請矢板明夫到其辦公室繼續暢談,介紹自己多年來從事台獨運動的心路歷程,更拜託矢板明夫把台灣人的聲音和想法,更多的傳遞到國際社會上去,",quote,"〔即時新聞/綜合報導〕總統府資政、台灣制憲基金會董事長辜寬敏今天(27日)上午辭世,享耆壽97歲,各界紛表哀悼。",,[],[],False,,12dc6ad48c4aeccff9483381b41194fc,False,02_Ke_ltn_news,2023-02-27 17:03:46,"矢板明夫今下午在臉書發文悼念辜寬敏,「我第一次和辜先生直接接觸,是在3年前的一次餐會上。我和辜先生的座位隔著幾個人,但辜先生聽到主持人介紹說,我就是經常出現在媒體上的矢板明夫時,立刻就招手叫我過去。我走到近前,辜先生突然拿出了一個長長的皮夾就要打開,我吃了一驚,差一點以為辜先生是要給我拿錢。沒想到,皮夾打開以後,就看到內側貼著一行大字『做一個堂堂正正的台灣人』。」 矢板明夫接著說:「辜先生指著這行字用日語對我說,『我雖然在日本住過很多年,但我不是日本人、我也不是中國人,我是一個堂堂正正的台灣人。我希望以後所有的台灣人,不管身在哪一國,都能夠挺起胸膛告訴別人:我是一個堂堂正正的台灣人』。辜先生這幾句話說得很慢,但每一個字都清晰有力,讓人有一種莫名的感動。」 後來辜寬敏還特別邀請矢板明夫到其辦公室繼續暢談,介紹自己多年來從事台獨運動的心路歷程,更拜託矢板明夫把台灣人的聲音和想法,更多的傳遞到國際社會上去,",True,institution_only,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,False,KEEP,01_news_datasets/02_Ke_ltn_news_units.csv,1,,1654,req_20ee48ee115f4be79734795109402b23,merged_deduped.csv,merged_deduped.csv,L1-07,悼念與感動情緒敘事，非道德評價,,L2-02|L2-06|L2-07,不是日本人也不是中國人→L2-02；堂堂正正的台灣人→L2-06；希望所有台灣人挺起胸膛→L2-07,,L1-04,L2-01|L2-02|L2-07,L1-04,L2-01|L2-02|L2-07,L1-07,L2-02|L2-04|L2-07,0.5
_c18dcdf67380,_c18dcdf67380_u008,"透過 Google News 他呼籲民眾,支持中國最不喜歡的候選人,讓他高票當選,是粉碎中國介選最好的手段,千萬不要支持中國指定的人選,否則以後台灣的總統都是中國指定。",claim,"賴清德表示,台灣人應同聲譴責中國介入選舉,回顧台灣每一場重大選舉,中國都會介入,這次是變本加厲最嚴重的一次。","賴清德說,未來他擔任總統,根據中華民國憲法、現行法律推動國政,這也是總統蔡英文一貫的立場,也是未來他會走的路線。",[],[],False,,529b1bc4f6b3634a4e3454460e99f098,False,01_Ho_chinatimes_news,2024-01-01 15:51:00,"透過 Google News 他呼籲民眾,支持中國最不喜歡的候選人,讓他高票當選,是粉碎中國介選最好的手段,千萬不要支持中國指定的人選,否則以後台灣的總統都是中國指定。",True,institution_only,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/01_Ho_chinatimes_news_units.csv,1,,7300,req_385079e67a60415ab53a964dbc624a6f,merged_deduped.csv,merged_deduped.csv,L1-03,中國介選威脅與主權存續，排除L1-06,,L2-02|L2-05|L2-07,中國介選威脅、以後總統都中國指定→L2-05；呼籲支持特定候選人、粉碎介選→L2-07；中國指定vs台灣選→L2-02,,L1-03,L2-05|L2-07,L1-03,L2-05|L2-07,L1-03,L2-05|L2-07,1.0
_a41729177e4f,_a41729177e4f_u008,"穩健、維持現狀這樣的路線,才是台灣當前最重要的一個路線,如果急切接受「九二共識」、「一國兩制」、服貿等,讓台灣陷入不安狀況,不是台灣人民所樂見。",context,"賴瑞隆說,堅持這樣的路線,同時也讓台灣的自由民主這幾年在全世界得到高度肯定,台灣經濟基礎成長也累績在這樣的基礎下持續推動;","「我們支持賴副這樣的路線,也肯定賴副在美國投書再次闡釋他的路線,期待這樣的路線能夠得到台灣人民支持之後,繼續讓台灣走向全世界,也讓兩岸之間能夠和平相處。",[],[],False,,f72b033d2d544ba3be9f1a342d550dd3,False,03_Lai_ltn_news,2023-07-05 17:53:55,"穩健、維持現狀這樣的路線,才是台灣當前最重要的一個路線,如果急切接受「九二共識」、「一國兩制」、服貿等,讓台灣陷入不安狀況,不是台灣人民所樂見。",True,institution_only,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/03_Lai_ltn_news_units.csv,1,,21780,req_7be2732bd7684109b4b7355a7a6b82cd,merged_deduped.csv,merged_deduped.csv,L1-03,兩岸路線與一國兩制威脅，主權安全,,L2-05|L2-06|L2-08,九二共識/一國兩制/服貿讓台灣陷入不安→L2-05；台灣人民不樂見→隱含值得更好治理→L2-06；最重要路線、價值選擇→L2-08,,L1-03,L2-05|L2-07,L1-03,L2-05|L2-06,L1-03,L2-05|L2-06,0.3333333333333333
_da9df33c5dec,_da9df33c5dec_u004,"一項期待已久、允許科索沃公民無需簽證即可前往歐洲申根地區的歐盟簽證自由化計畫,已於1月1日正式生效,西班牙跟著採取行動,承認科索沃護照。",context,"科索沃外交部長格瓦拉-施瓦茲(Donika Gervalla-Schwarz)在舊稱推特(Twitter)的社群平台X發文說:「西班牙2024年1月1日起承認科索沃護照,科索沃公民現在可以前往西班牙。」 科索沃2008年宣布脫離塞爾維亞獨立,獲得歐盟22個成員國的承認,但西班牙、斯洛伐克、賽普勒斯、羅馬尼亞、希臘這5個歐盟國並不承認人口180萬的科索沃。","這項計畫允許科索沃公民以免簽證方式赴申根國家,在任何180天期間內可停留最多90天。",[],[],False,,ba2661f209e46d4de2ebf03bb294ab50,False,03_Lai_chinatimes_news,2024-01-07 09:51:00,"一項期待已久、允許科索沃公民無需簽證即可前往歐洲申根地區的歐盟簽證自由化計畫,已於1月1日正式生效,西班牙跟著採取行動,承認科索沃護照。",True,institution_only,False,,False,DROP,0.0573076680302619,,,False,REVIEW,01_news_datasets/03_Lai_chinatimes_news_units.csv,1,,16374,req_5c3e0b7550214f8895180e79657554e5,merged_deduped.csv,merged_deduped.csv,L1-03,外交與國際承認，屬主權與安全；非單純政策,,L2-03,科索沃公民免簽、承認科索沃護照→國際體系中的正當性→L2-03,,L1-06,L2-03,L1-06,L2-03,L1-03,L2-03,1.0
_10f59ea249bf,_10f59ea249bf_u015,(編輯:楊蘭軒)1121217 柯文哲賴清德侯友宜拚2024總統大選 7大政見比一比 少子化政見 全教總:3黨參選人未脫灑幣式補助 小笠原欣幸:選戰態勢膠著賴仍領先 侯緊追、柯略下滑 外媒報大選:兩岸未來、政壇魔咒、選民激情添看點 選票流向攸關勝負 年輕人擺脫意識型態看政見投票 侯友宜:我的理念是台灣中間路線 團結共榮共好 侯辦:民進黨追殺合法凱旋苑是綠色恐怖 國中生割頸案 賴清德:投更多資源不讓遺憾再發生 謝金河遭冒名投資詐騙 Google:正在處理問題 認知作戰對象?,context,"賴清德表示,他自己是從基層出身,也接受很多基層意見,記點制涉及重複處罰、罰錢又記點等問題,還有牽涉工作權,以及地方政府跟中央政府各項配套措施尚未完備,這些基層意見都值得做政策檢討。",,"[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""侯友宜"", ""party"": ""KMT""}, {""name"": ""柯文哲"", ""party"": ""TPP""}, {""name"": ""民進黨"", ""party"": ""DPP""}]","[""兩岸|cross-strait""]",False,debate/manifesto,a499f0a013ca80bce2fc6f57383140d1,False,01_Ho_chinatimes_news,2023-12-17 22:26:00,(編輯:楊蘭軒)1121217 柯文哲賴清德侯友宜拚2024總統大選 7大政見比一比 少子化政見 全教總:3黨參選人未脫灑幣式補助 小笠原欣幸:選戰態勢膠著賴仍領先 侯緊追、柯略下滑 外媒報大選:兩岸未來、政壇魔咒、選民激情添看點 選票流向攸關勝負 年輕人擺脫意識型態看政見投票 侯友宜:我的理念是台灣中間路線 團結共榮共好 侯辦:民進黨追殺合法凱旋苑是綠色恐怖 國中生割頸案 賴清德:投更多資源不讓遺憾再發生 謝金河遭冒名投資詐騙 Google:正在處理問題 認知作戰對象?,True,cooccur: actor×institution,True,gate: taiwanicity=3,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/01_Ho_chinatimes_news_units.csv,1,,14474,req_6c61489f2ea54c80b03ac34bfd8ba71a,merged_deduped.csv,merged_deduped.csv,L1-06,選戰與政見綜合報導，偏政策與選舉,,L2-01|L2-05|L2-07,總統大選、兩岸未來、台灣中間路線→主權與國家路線隱含；選戰膠著、選票流向攸關勝負→動員氛圍；認知作戰→威脅設定,,L1-07,L2-05,L1-07,L2-01|L2-05|L2-07|L2-08,L1-06,L2-05|L2-06|L2-07,0.25
_420c9d37f1e6,_420c9d37f1e6_u004,"許淑華指出,八二三砲戰原先該是感念先烈守護中華民國台灣的紀念日,但令人遺憾的是,意圖參選總統的鴻海創辦人郭台銘把重要日子當成選舉造勢場,拋出表面打高空,實則意在與國民黨爭政治地盤的主張,把國軍的犧牲當成自己造勢的子彈。",claim,"許淑華認為,面對如今的兩岸局勢,必須感念過去國軍先烈的犧牲,更不能忘記先人們幾十年來的苦心經營與捨身捍衛,所打下的扎實民主自由與經濟基礎,這些是中華民國的根,是台灣人民的本。","許淑華質疑,代表國民黨參選總統的新北市長侯友宜,選擇在中共戰機持續繞台的時刻,在踏在無數先烈犧牲守護的土地上,堂而皇之的喊出要興建金廈大橋,美之名為「和平」,實則是對中華民國國軍先烈的踐踏,更是無知地無視如今的全球政經局勢。","[{""name"": ""國民黨"", ""party"": ""KMT""}]",[],True,campaigning,48f8452d78436cedb4daf79806dd00cc,False,01_Ho_ltn_news,2023/8/23 18:46,"許淑華指出,八二三砲戰原先該是感念先烈守護中華民國台灣的紀念日,但令人遺憾的是,意圖參選總統的鴻海創辦人郭台銘把重要日子當成選舉造勢場,拋出表面打高空,實則意在與國民黨爭政治地盤的主張,把國軍的犧牲當成自己造勢的子彈。",True,cooccur: actor×institution,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/01_Ho_ltn_news_units.csv,1,,6490,req_a41d500c65f94ff9a239b3e2a21c8a1e,merged_deduped.csv,merged_deduped.csv,L1-02,批評郭台銘操弄紀念日選舉造勢，道德譴責非安全議題,,L2-01|L2-04|L2-06,八二三砲戰、先烈守護→L2-04；守護中華民國台灣→L2-01；批評踐踏先烈犧牲→隱含國家應被尊重→L2-06,,L1-02,L2-04|L2-05,L1-02,L2-01|L2-04,L1-02,L2-01|L2-04|L2-06,0.25
_b37306b3b813,_b37306b3b813_u003,"對此,鴻海28日表示,不會參與政治活動,集團屬於海內外全體投資大眾擁有,希望透過全球地位,協助所在24個地區當地經濟發展及就業機會。",claim,"經歷:鴻海集團創辦人鴻海董事長模具同業公會理事長 8月28日宣布參選2024總統,並指出4年前已將鴻海經營權交出去,這期間他完全沒有管公司,如果中共政權說要沒收鴻海財產,他會說「Yes,please,do it」;",(編輯:張均懋)1120902 郭台銘參選2024總統 鴻海:不會參與政治活動 郭辦:9月領表登記後正式展開連署 民眾稍安勿躁 談在野整合 朱立倫:侯柯郭多見面溝通是民眾期待 學者:中共軍演頻密 源自獨裁者不安全感 郭台銘參選可以躺著選?,[],[],False,,4132024e511221e4e6bf5d119b7c18d3,False,03_Lai_chinatimes_news,2023-09-02 20:42:00,"對此,鴻海28日表示,不會參與政治活動,集團屬於海內外全體投資大眾擁有,希望透過全球地位,協助所在24個地區當地經濟發展及就業機會。",True,institution_only,True,gate: 2 inst terms,False,REVIEW,0.3897734880447387,,,True,KEEP,01_news_datasets/03_Lai_chinatimes_news_units.csv,1,,5774,req_202c91075dbc49b0af6afe2736a172cd,merged_deduped.csv,merged_deduped.csv,L1-01,談企業角色與經濟發展就業，排除施政管理,,L2-06,全球地位、24個地區經濟發展與就業→國際成就與角色展演→L2-06,,L1-01,,L1-01,,L1-01,,1.0
_9b1061ee8d9e,_9b1061ee8d9e_u018,(編輯:張芷瑄)1120810 聯大2758決議50年 一窺美國政策的變與不變 鄧振中:台美貿易倡議首簽協定 重要國家有意參考 美對台3.45億美元軍援 學者:視同準盟邦具戰略意義 美前次卿柯拉克再訪台灣 強化美台私部門連結 越戰密件吹哨者艾茲柏格逝 揭露政府謊言好萊塢翻拍成電影,context,"這也意味著,現狀其實就是「事實上」(de facto)獨立,台灣是運作良好的民主政體,有自己的政府、國家認同、外交部、國防部及貿易政策,且1949年以來從未被中華人民共和國統治過。",,[],[],False,,e2da7055b3556149c2b3aabcef39c88d,False,02_Ke_chinatimes_news,2023-08-10 07:41:00,"(編輯:張芷瑄)1120810 聯大2758決議50年 一窺美國政策的變與不變 鄧振中:台美貿易倡議首簽協定 重要國家有意參考 美對台3.45億美元軍援 學者:視同準盟邦具戰略意義 美前次卿柯拉克再訪台灣 強化美台私部門連結 越戰密件吹哨者艾茲柏格逝 揭露政府謊言好萊塢翻拍成電影 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。",True,institution_only,True,gate: 3 inst terms,False,KEEP,0.6074205040931702,,,False,KEEP,01_news_datasets/02_Ke_chinatimes_news_units.csv,1,,19996,req_7b9475fc204d43baad874666bb8c66d7,merged_deduped.csv,merged_deduped.csv,L1-03,美對台軍援與準盟邦戰略意義，安全框架，非單純政策,,L2-03|L2-05|L2-06,聯大2758決議、美台貿易倡議、軍援、準盟邦→L2-03；軍援、戰略意義→L2-05；美台連結、國際關注與肯定→L2-06,,L1-03,L2-01|L2-03|L2-05|L2-06,L1-03,L2-03|L2-05|L2-06,L1-03,L2-01|L2-03|L2-05|L2-06,0.75
