doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date,preprocessed_text,hard_rule_keep,hard_rule_reason,policy_gate,policy_gate_reason,priority_keep,semantic_status,semantic_similarity,nli_status,nli_score,key_hit,final_status
_03bf0af85fc8,_03bf0af85fc8_u000,"投票前這一夜,我們終於來到總統府前的凱道上,小草們圍繞著景福門,一路佈滿信義路、仁愛路。",context,,"謝謝你們的支持,我和台灣民眾黨,和大家一起走到這裡,我們在藍綠的夾殺下生存了下來,把希望改變的聲音傳達給全台灣,想對大家說的話很多,我帶著所有台灣民眾黨的黨工和優秀人才,千言萬語化作一句,謝謝大家。",[],[],False,,df8c641c3bee1afb9b28101562e203fd,False,02_Ke_X_datasets,2024-01-12 21:56:00,"投票前這一夜,我們終於來到總統府前的凱道上,小草們圍繞著景福門,一路佈滿信義路、仁愛路。",True,institution_only,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP
_e9ee88169c7b,_e9ee88169c7b_u001,"祁凱立研究員對台灣非常熟悉,同學們關注的問題也十分廣泛,從台美關係、兩岸關係,到國防、教育、tsmc 的發展等等,問題一個接一個,求知慾旺盛。",context,"此次訪美,我特別來到創校超過130年的 #史丹佛大學,拜訪 #胡佛研究所,與許多從事東亞區域研究的學者、同學們進行座談。","來一趟矽谷,看到全球最先進的趨勢與技術、人才培育,僅僅三天,我和團隊已經感受到世界正在AI的發明下翻天覆地,未來人類所有職業與工作內容將發生革命性變化,台灣必需跟上世界趨勢、才能持續創造優勢。",[],"[""兩岸|cross-strait""]",False,,daa533fdd2ef9aaa7f7efd360c39e96f,False,02_Ke_X_datasets,2023-10-06 05:49:00,"祁凱立研究員對台灣非常熟悉,同學們關注的問題也十分廣泛,從台美關係、兩岸關係,到國防、教育、tsmc 的發展等等,問題一個接一個,求知慾旺盛。",True,institution_only,True,gate: 2 inst terms,True,KEEP,1.0,KEEP,1.0,True,KEEP
_ca25df8ee742,_ca25df8ee742_u002,我承諾當選總統會支持消防員組工會 、全面適用職業安全衛生法。,claim,"屏東縣消防局表示,救火當下發生大爆炸,同時場內還有大量塑膠粒、橡膠等易燃物,到底消防隊到現場後,是否有得到工廠內易燃物或化學物品、平面圖等救災必要資訊,為何造成如此嚴重傷亡,一定要確實調查,以慰英勇消防隊員在天之靈。","透過制度改革,讓消防弟兄救災風險降低,平安回家。",[],[],False,,8392bf0d0072eb0a50723599220ca73a,False,02_Ke_X_datasets,2023-09-23 21:09:00,我承諾當選總統會支持消防員組工會 、全面適用職業安全衛生法。,True,institution_only,True,gate: core_election,False,REVIEW,0.3946358263492584,,,True,KEEP
_a8d8208a6a00,_a8d8208a6a00_u000,"美國商會今日啟動與總統候選人系列餐會,首場邀請到 #台灣民眾黨 #柯文哲 主席擔任午宴演講嘉賓。",context,,"柯主席針對美國商會1200位會員們相當重視的幾項議題,包括美台關係及貿易協定、能源韌性、醫療保健及半導體與科技等分享了他的政策方針及願景。","[{""name"": ""柯文哲"", ""party"": ""TPP""}, {""name"": ""民眾黨"", ""party"": ""TPP""}]",[],False,,146241fc72a65581b837e52020e2c5c6,False,02_Ke_X_datasets,2023-09-13 16:59:00,"美國商會今日啟動與總統候選人系列餐會,首場邀請到 #台灣民眾黨 #柯文哲 主席擔任午宴演講嘉賓。",True,cooccur: actor×institution,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP
_a8d8208a6a00,_a8d8208a6a00_u001,"柯主席針對美國商會1200位會員們相當重視的幾項議題,包括美台關係及貿易協定、能源韌性、醫療保健及半導體與科技等分享了他的政策方針及願景。",context,"美國商會今日啟動與總統候選人系列餐會,首場邀請到 #台灣民眾黨 #柯文哲 主席擔任午宴演講嘉賓。",我們感謝柯主席團隊與台灣民眾黨協助安排這次的分享。,[],[],False,,88041759b3460e9c39787cf38d2b1d85,False,02_Ke_X_datasets,2023-09-13 16:59:00,"柯主席針對美國商會1200位會員們相當重視的幾項議題,包括美台關係及貿易協定、能源韌性、醫療保健及半導體與科技等分享了他的政策方針及願景。",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.4961740970611572,,,True,KEEP
_e5e035673193,_e5e035673193_u004,"我主張降低兩岸惡意螺旋,增加交流對話,優先處理民生議題,同時,我們也必須務實規畫國軍訓練,打造專業能戰的軍隊,我們的立場堅定但也保有彈性,這才是確保和平的途徑。",claim,"金馬的發展需要中央政府大力支援,台澎金馬俱為一體,才能促進團結。","過去金馬在前線護衛台灣,現在台灣要協助金馬發展。",[],"[""兩岸|cross-strait""]",False,,c5f64def55f00ab906f4acd2e7a94495,False,02_Ke_X_datasets,2023-08-23 18:37:00,"我主張降低兩岸惡意螺旋,增加交流對話,優先處理民生議題,同時,我們也必須務實規畫國軍訓練,打造專業能戰的軍隊,我們的立場堅定但也保有彈性,這才是確保和平的途徑。",True,institution_only,True,gate: 2 inst terms,False,KEEP,0.49538081884384155,,,True,KEEP
_e5e035673193,_e5e035673193_u006,"人民團結、台灣自主,經濟發展,兩岸和平!",context,"過去金馬在前線護衛台灣,現在台灣要協助金馬發展。",,[],"[""兩岸|cross-strait""]",False,,ddfaccd739020b11d5948c2636e3144e,False,02_Ke_X_datasets,2023-08-23 18:37:00,"人民團結、台灣自主,經濟發展,兩岸和平!",True,institution_only,True,gate: 2 inst terms,False,KEEP,0.7600501775741577,,,True,KEEP
_04897dccdd78,_04897dccdd78_u002,"我擔任市長期間,在台北和大橋會長見過三次面,這次在東京相見,以總統參選人的身份,聊的議題更擴及國政、區域安全等層面。",context,"在日本政府中,主管東亞事務的兩位日本政府官員,也是這場晚宴的座上嘉賓。","我提到李前總統曾告訴我,台灣的國際關係要把日本當做參考點,再做微調,大概就可以了。",[],[],False,,b25c2bff9a61e3172e752bb4796a2088,False,02_Ke_X_datasets,2023-06-06 10:52:00,"我擔任市長期間,在台北和大橋會長見過三次面,這次在東京相見,以總統參選人的身份,聊的議題更擴及國政、區域安全等層面。",True,institution_only,True,gate: core_election,False,KEEP,0.6161543130874634,,,True,KEEP
_04897dccdd78,_04897dccdd78_u003,"我提到李前總統曾告訴我,台灣的國際關係要把日本當做參考點,再做微調,大概就可以了。",claim,"我擔任市長期間,在台北和大橋會長見過三次面,這次在東京相見,以總統參選人的身份,聊的議題更擴及國政、區域安全等層面。","當年美日台每個月都有國安高層會議,這個會議非常重要。",[],[],False,,2d5438b9c99c926e3013f0b41a2fb3ee,False,02_Ke_X_datasets,2023-06-06 10:52:00,"我提到李前總統曾告訴我,台灣的國際關係要把日本當做參考點,再做微調,大概就可以了。",True,institution_only,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP
_04897dccdd78,_04897dccdd78_u006,"大橋會長也分享,在李前總統去世前一年,還曾到他家裡探望。",context,"如果我們要說服美國一定要先說服日本, #台灣跟日本的合作對東亞和平非常重要。","當時李前總統特別寄託大橋會長,要維繫台日友好關係。",[],[],False,,0cf5b3bc6e7e68903a5b7861f929c476,False,02_Ke_X_datasets,2023-06-06 10:52:00,"大橋會長也分享,在李前總統去世前一年,還曾到他家裡探望。",True,institution_only,True,gate: core_election,False,REVIEW,0.4001961946487427,,,True,KEEP
