doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date,preprocessed_text,hard_rule_keep,hard_rule_reason,policy_gate,policy_gate_reason,priority_keep,semantic_status,semantic_similarity,nli_status,nli_score,key_hit,final_status,_source_file,_corpus_tier,debate_short_review,id,custom_id,source_file,source_relpath,L1_label,L1_reasoning,L1_error,L2_labels,L2_reasoning,L2_error
_da0868bede37,_da0868bede37_u001,"〔記者楊媛婷/台北報導〕民眾黨主席、總統參選人柯文哲日前指「農民保險」是「大撒幣」,被外界質疑是否若當選會廢除「農業三保一金」(農民保險、農業保險、農業職災保險、農退儲金)制度;",context,,"對於柯文哲反農保,並批是大撒幣,事務官出身的農業部代理部長陳駿季昨在立院直上火線,指柯沒有真正深入農村、跟農民座談了解農民困難,而當柯文哲在都市吹著空調時,有沒有想到農民頂著大太陽或寒流在田間持續耕作,來供應民眾糧食,更質問柯文哲是否有在天災後曾到訪過農業災區,大嗆柯文哲根本不懂農民。","[{""name"": ""柯文哲"", ""party"": ""TPP""}, {""name"": ""民眾黨"", ""party"": ""TPP""}]",[],False,,8af99fb6d2286b4286df7f94b80cb7c6,False,02_Ke_ltn_news,2023-11-01 13:35:27,"(資料照) 2023/11/01 13:35 〔記者楊媛婷/台北報導〕民眾黨主席、總統參選人柯文哲日前指「農民保險」是「大撒幣」,被外界質疑是否若當選會廢除「農業三保一金」(農民保險、農業保險、農業職災保險、農退儲金)制度;",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.5110750198364258,,,True,KEEP,01_news_datasets/02_Ke_ltn_news_units.csv,1,,12225,req_e633f84a57234884844847572a0f8f39,merged_deduped.csv,merged_deduped.csv,L1-06,討論農業保險與退休制度設計屬政策機制,,L2-06,批評農業社福政策「大撒幣」→隱含國家應有更好治理標準→L2-06；還有其他面向嗎？無主權/威脅/動員等明確訊號,
_74ff0fdbae42,_74ff0fdbae42_u002,柯文哲提勞動政見 召開國是會議每年撥補千億救勞保 回應勞團 賴清德:支持資方分潤、勞保基金不會倒 回應勞團 侯友宜:增勞工董事、調整勞保基金委外制 談能源政策 柯文哲:核二核三延役、盡速體檢核四 賴清德:未來若能解決核安與核廢料 不會排除核能 侯友宜公布能源政策 核一二三延役、安全重啟核四 柯文哲拋智慧農業政見 建立AI自動化健全體質 侯友宜提農業政策 老農免繳健保、津貼增至每月1萬 拍影片談居住正義 柯文哲:大力蓋社宅、贊成實坪制 賴清德促居住正義 提青安房貸再補貼1碼等3對策 侯友宜青年購屋政見 40歲以下首購免頭期款可貸1500萬 少子女化柯文哲拋育養津貼發至12歲 懷孕3月可領5萬 推0到22歲投資未來政見 賴清德:我挺你做自己 侯友宜少子化政見提育嬰留停全薪 3胎家庭百萬房屋補助 柯文哲拋教育政見 義務教育從5歲開始13年一貫 推0到22歲投資未來政見 賴清德:我挺你做自己 侯友宜拋6到12歲國家顧 公立國小課後照顧免費 柯文哲拋長照政見 成立中央專責機構、開徵長照保險 賴清德提公義社會5大方案 允諾與時俱進檢討貧窮線 侯友宜推老人健保政見 65歲以上排富全額補助 (編輯:簡莉庭)1121213 不分區立委是什麼?,claim,"中央社彙整各陣營提出勞工、能源、農業、居住、少子化、教育及社福7大面向政見,提供選民參考。",2024大選制度一次看 總統立委選舉公報這裡查 柯文哲賴清德侯友宜學經歷政見一次看 分析賴清德侯友宜柯文哲支持率趨勢 小笠原欣幸:8月後各有消長 彭博:台灣2024大選三足鼎立 以親美、親中劃清戰線 學者:民進黨恐失立法院多數 柯文哲成關鍵角色 學者:2024三腳督年輕中間選票關鍵 棄保操作不易 中選會公開總統、立委候選人網路版選舉公報 總統立委選舉歷史數據解析 政黨版圖變動一次看 中選會:投票所內外皆不得妨害投票 違者依法究辦 2024/01/08 22:03 2024/01/06 21:37 2024/01/04 20:00 2023/12/13 10:59,"[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""侯友宜"", ""party"": ""KMT""}, {""name"": ""柯文哲"", ""party"": ""TPP""}]","[""核能|energy"", ""社宅|housing""]",False,debate/manifesto,e0731728f30eee9acc33b1a4fdcfa307,False,01_Ho_chinatimes_news,2023-12-13 10:59:00,柯文哲提勞動政見 召開國是會議每年撥補千億救勞保 回應勞團 賴清德:支持資方分潤、勞保基金不會倒 回應勞團 侯友宜:增勞工董事、調整勞保基金委外制 談能源政策 柯文哲:核二核三延役、盡速體檢核四 賴清德:未來若能解決核安與核廢料 不會排除核能 侯友宜公布能源政策 核一二三延役、安全重啟核四 柯文哲拋智慧農業政見 建立AI自動化健全體質 侯友宜提農業政策 老農免繳健保、津貼增至每月1萬 拍影片談居住正義 柯文哲:大力蓋社宅、贊成實坪制 賴清德促居住正義 提青安房貸再補貼1碼等3對策 侯友宜青年購屋政見 40歲以下首購免頭期款可貸1500萬 少子女化柯文哲拋育養津貼發至12歲 懷孕3月可領5萬 推0到22歲投資未來政見 賴清德:我挺你做自己 侯友宜少子化政見提育嬰留停全薪 3胎家庭百萬房屋補助 柯文哲拋教育政見 義務教育從5歲開始13年一貫 推0到22歲投資未來政見 賴清德:我挺你做自己 侯友宜拋6到12歲國家顧 公立國小課後照顧免費 柯文哲拋長照政見 成立中央專責機構、開徵長照保險 賴清德提公義社會5大方案 允諾與時俱進檢討貧窮線 侯友宜推老人健保政見 65歲以上排富全額補助 (編輯:簡莉庭)1121213 不分區立委是什麼?,True,cooccur: actor×institution,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/01_Ho_chinatimes_news_units.csv,1,,19794,req_6e494b05e2fc4b088a546856b875f3ca,merged_deduped.csv,merged_deduped.csv,L1-06,各候選人多面向政見羅列，屬政策機制,,,各項政見多為民生技術分配，無主權/威脅/認同/動員/價值論述關鍵詞,
_687cf18d6610,_687cf18d6610_u006,"相關廠商得標後,預計要在今年7月推出原型機進行測試,並禁止使用中國製零件及相關供應鏈。",context,"「艦載型」由富蘭登科技公司、智飛科技得標,總決標金額達到6500萬元預算。","原型機預算部分,是利用國內現有產能,申請國科會預算,量產則運用軍事投資預算進行採購。",[],[],False,,7e7b3c5e7b11c9f258d7391a9da3b8f1,False,03_Lai_ltn_news,2023-03-10 14:00:12,"相關廠商得標後,預計要在今年7月推出原型機進行測試,並禁止使用中國製零件及相關供應鏈。",True,institution_only,True,gate: strong_anchor,False,REVIEW,0.0771001279354095,KEEP,0.6744129061698914,False,KEEP,01_news_datasets/03_Lai_ltn_news_units.csv,1,,11116,req_9d10272b05944b96a62b845b5c7d2340,merged_deduped.csv,merged_deduped.csv,L1-06,軍事標案執行與管制，屬政策管理，非安全威脅,,L2-05,禁止使用中國製零件→對中安全威脅防範→L2-05,
_5b4a8fdfb191,_5b4a8fdfb191_u027,"透過 Google News 在今晚這則報導中,NHK記者田中還在台灣採訪民眾的心聲,問台灣的選民這次大選的重要因素為何?",context,"田中表示,台灣2024總統選舉是舉行總統直接民選以來歷經27年、第8次的總統直選。","有一名女性答說:「主要是經濟,生活比較重要。」有一名男性答說:「目前不管是生育和教育,台灣都有點落後其他地方。」 有一名男性答說:「兩岸關係其實會影響整個台灣所有的事情。日本、韓國、東南亞應該都會受影響。」有一名女性答說:「我覺得就是維護台灣的主權。因為一個國家最重要的就是領土、領域,我們沒主權的話,就沒有話語權。」(編輯:陳彥鈞、楊昭彥)1121006 學者:賴清德執政包袱 三腳督藍白難棄保整合未必贏 侯友宜強化組織動員秀肌肉 尋求整合柯文哲郭台銘 清理染黑染虹戰場 柯文哲要對綠營轉守為攻 藍營防堵 郭台銘造浪拚突圍 侯友宜接受彭博專訪 暢談中國、國防預算與半導體 藍白合民調時間?",[],[],False,,f31d626a7d6fc17c9f60136313513623,False,02_Ke_chinatimes_news,2023-10-06 00:55:00,"透過 Google News 在今晚這則報導中,NHK記者田中還在台灣採訪民眾的心聲,問台灣的選民這次大選的重要因素為何?",True,institution_only,False,,False,KEEP,0.5424373149871826,,,True,REVIEW,01_news_datasets/02_Ke_chinatimes_news_units.csv,1,,21421,req_1e2b2a6dd70749599c3cf252ea800390,merged_deduped.csv,merged_deduped.csv,L1-06,描述選民投票考量，屬選舉情境，非七類主題,,L2-01,日本NHK記者在台灣採訪選民心聲→預設台灣為選舉共同體→L2-01,
_400d807ced8b,_400d807ced8b_u005,"林昆鋒指出,依程序中選會明天將就6名正副總統候選人的資格進行審議,待中選會審議完竣後,也會立即對外說明。",claim,"駁雙重國籍 蕭美琴:2002年就已放棄美國籍 國籍身分惹議 吳欣盈:已放棄美國籍12/5見真章 中選會:3組總統副總統候選人都符合資格 無外國籍 內政部發言人林昆鋒透過新聞稿表示,關於3組正副總統候選人是否擁有中華民國國籍一事,中選會函詢內政部確認,經查所詢對象3組(6人)的資格,都符合內政部執掌的相關規定,內政部並已函覆中選會。",(編輯:蘇志宗)1121204 小笠原欣幸分析綠藍白副手加分點 蕭美琴趙少康吳欣盈各有微妙影響 談吳欣盈對媒體態度 柯文哲:政治的應對進退是專業 蕭美琴:若當選 台灣第1位新住民小孩當副總統 自比趙子龍侯遭酸是阿斗 趙少康:侯友宜永遠是老大 彭博:台灣2024大選三足鼎立 以親美、親中劃清戰線 談COP28議題 吳欣盈盼台灣擴大氣候金融外交 吳欣盈:對外交部非常失望 盼讓台灣有更好能見度 蕭美琴:台灣有實力才不會被欺負 才能維持現狀 蕭美琴嘉義輔選 籲台灣需穩定掌舵者續守護民主 2024/01/22 16:57 2024/01/15 11:44 2024/01/14 21:26 2024/01/14 20:59 2024/01/14 20:34 2024/01/14 20:09,[],[],False,,5598e541bf13df85f8083ddd0a0fa7e5,False,02_Ke_chinatimes_news,2023-12-04 14:17:00,"林昆鋒指出,依程序中選會明天將就6名正副總統候選人的資格進行審議,待中選會審議完竣後,也會立即對外說明。",True,institution_only,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/02_Ke_chinatimes_news_units.csv,1,,7550,req_ba4c48ab6c104cbfbe4813ed2055cf02,merged_deduped.csv,merged_deduped.csv,L1-06,說明候選人資格審議程序與機制，屬政策治理,,,純程序說明、無主權宣示/威脅/動員/價值→無,
_9eb66269d981,_9eb66269d981_u008,"透過 Google News 賴香伶呼籲,希望對岸國台辦能夠儘速去了解原因,把相關程序完備,因為現在非常多兩岸交流活動正如火如荼展開,期待互動交流過程能讓大家安心、平和。",claim,"賴香伶今天在立法院接受媒體聯訪時說,台灣道教協會邀請她到對岸參加宗教的文化交流和對話,跟幾位宗教人士赴中參加活動,她事前也報經民眾黨的同意。","民眾黨主席柯文哲下午於台灣民眾黨中央黨部,回應媒體詢問關於賴香伶赴中交流入境受阻一事時說,兩岸交流本於對等、尊嚴原則,發生這件事,國台辦須說明。",[],"[""兩岸|cross-strait""]",False,,b4166e2fb8b8ab7152d258a7fa9b96b7,False,02_Ke_chinatimes_news,2023-05-10 12:00:00,"透過 Google News 賴香伶呼籲,希望對岸國台辦能夠儘速去了解原因,把相關程序完備,因為現在非常多兩岸交流活動正如火如荼展開,期待互動交流過程能讓大家安心、平和。",True,institution_only,True,gate: strong_anchor,False,KEEP,0.5622648596763611,,,True,KEEP,01_news_datasets/02_Ke_chinatimes_news_units.csv,1,,15834,req_58f327f386e14b1f833732bd67210598,merged_deduped.csv,merged_deduped.csv,L1-06,談兩岸交流程序與安心互動，屬行政機制非安全威脅,,L2-01|L2-07,兩岸交流、對岸國台辦→隱含兩岸主體互動L2-01；呼籲完善程序、讓大家安心平和→願景與行動期待L2-07,
_843b768ae1e8,_843b768ae1e8_u010,"行政院政務顧問林榮松受訪說,加州兩大城鄉親首度大規模合體,他並表示,台美關係現在是有史以來最好,希望總統蔡英文的執政路線能夠延續。",claim,"洛杉磯有50多名台僑搭機和坐巴士前來舊金山會合,歡迎賴副總統。","北加州台灣同鄉聯合會青年代表王意舜說,今日特地請半天假,聽聞中國僑團會來抗議,希望來「保護鄉親」,台灣僑民會以理性方式回應抗議,他同時想對賴副總統說,「在美台灣青年支持你」。",[],[],False,,efd0559ec9bc4e3a79774b6d08b71dd3,False,03_Lai_chinatimes_news,2023-08-17 06:06:00,"行政院政務顧問林榮松受訪說,加州兩大城鄉親首度大規模合體,他並表示,台美關係現在是有史以來最好,希望總統蔡英文的執政路線能夠延續。",True,institution_only,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/03_Lai_chinatimes_news_units.csv,1,,21145,req_ba08e5e06f744cb2a8952e72eda3bbc1,merged_deduped.csv,merged_deduped.csv,L1-06,評價執政路線與其延續，屬治理路線,,L2-06|L2-07,台美關係最好→L2-06；希望執政路線延續→L2-07；還有其他面向嗎？無主權/民主/威脅等明確訊號,
_d5f4187a69a6,_d5f4187a69a6_u001,"最新》柯辦:柯文哲邀請郭台銘侯友宜23日下午會面 賴佩霞領表 郭霞配是否參選到底笑而不答 黃珊珊代柯文哲赴中選會領表 未回應藍白合是否破局 「藍白合」因民調爭議卡關之際,郭台銘下午派副手賴佩霞前往中選會領取總統副總統選舉候選人登記申請書,但對於是否參選到底,賴佩霞僅笑而不答。",claim,"(11/23 15:38 更新) (中央社記者陳昱婷、吳昇鴻台北22日電)在野陣營整合狀況受矚目,鴻海創辦人郭台銘今天在臉書公布與民眾黨總統參選人柯文哲、國民黨總統參選人侯友宜這兩天聯絡內容,柯文哲同意3人今天見面,推動藍白郭力量整合,郭台銘也贊同。","柯文哲下午派競選總幹事黃珊珊到中選會領表,媒體追問藍白合是否正式破局等問題,黃珊珊未回應便搭車離去。","[{""name"": ""侯友宜"", ""party"": ""KMT""}, {""name"": ""柯文哲"", ""party"": ""TPP""}]",[],False,,e6332102aabe337da5532151b9e05924,False,01_Ho_chinatimes_news,2023-11-22 17:33:00,"最新》柯辦:柯文哲邀請郭台銘侯友宜23日下午會面 賴佩霞領表 郭霞配是否參選到底笑而不答 黃珊珊代柯文哲赴中選會領表 未回應藍白合是否破局 「藍白合」因民調爭議卡關之際,郭台銘下午派副手賴佩霞前往中選會領取總統副總統選舉候選人登記申請書,但對於是否參選到底,賴佩霞僅笑而不答。",True,cooccur: actor×institution,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/01_Ho_chinatimes_news_units.csv,1,,20310,req_7ea99988c6f24a59ae44fb2de0ec4d24,merged_deduped.csv,merged_deduped.csv,L1-06,描述在野陣營協調與登記程序，屬政治操作,,,總統副總統選舉、中選會登記→可能國家層級但無主權/認同/威脅/動員等明確訊號,
_7a9a90e44671,_7a9a90e44671_u002,"他並說,之前之所以總統沒有到立法院進行國情報告,完全是因為立法院的朝野協商並沒有獲得一致共識,也從來沒有由立法院發出對總統的邀請,所以沒有辦法成行。",claim,"藍白政黨協商達立委席次最大化共識 未提總統人選【聲明全文】 副總統賴清德今天出席桃園市機師職業工會主辦 「國際星空聯盟飛行員協會ASAP執行理事會議 」,接受媒體聯訪時,針對藍白協商昨天達成共識中有關總統應赴立法院國情報告,他表示,其實這個依照憲法、法律都已經有明定,「這部分沒有問題」。","透過 Google News 賴清德說明,憲法增修條文第4條已經明定,立法院在集會期間得邀請總統做國情報告,這表示發動的機關是立法院,如果當選總統,「立法院有邀請的話,當然我一定會應立法院的邀請到立法院來」。",[],"[""立法院|institution""]",True,legislative,f770df8736c3bff605e53e1ffaf5d5f1,False,03_Lai_chinatimes_news,2023-10-31 11:59:00,"他並說,之前之所以總統沒有到立法院進行國情報告,完全是因為立法院的朝野協商並沒有獲得一致共識,也從來沒有由立法院發出對總統的邀請,所以沒有辦法成行。",True,institution_only,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/03_Lai_chinatimes_news_units.csv,1,,21801,req_68574428cb0049d6bff5d5d5ce4cb371,merged_deduped.csv,merged_deduped.csv,L1-06,說明國情報告程序與朝野協商，屬政策機制，非安全,,,提及總統、立法院依憲法互動屬制度說明，無主權、威脅、動員等→不觸發L2,
_0a5c374ecb1c,_0a5c374ecb1c_u013,(編輯:黃世雅)1121014 亞運棒球代表隊啟程 蔡其昌:有信心能奪牌 中橫公路復建 鄭文燦:中期計畫將投入206億 賴清德:贏得總統大選要靠自己 籲支持者勿大意 氣候辯論會 主辦單位:賴清德團隊從未答應出席,claim,"賴副總統分享了他在台南市長任內,在安平港推動友善釣魚,但是他不像蔡其昌想的這麼遠,要把釣魚產業擴大到全國。",,"[{""name"": ""賴清德"", ""party"": ""DPP""}]","[""辯論|procedure""]",True,debate/manifesto,5fd29eae63b5ae44d9ad2d45bfa89fcc,False,03_Lai_chinatimes_news,2023-10-14 11:49:00,"(編輯:黃世雅)1121014 亞運棒球代表隊啟程 蔡其昌:有信心能奪牌 中橫公路復建 鄭文燦:中期計畫將投入206億 賴清德:贏得總統大選要靠自己 籲支持者勿大意 氣候辯論會 主辦單位:賴清德團隊從未答應出席 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。",True,cooccur: actor×institution,True,gate: actor×inst,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/03_Lai_chinatimes_news_units.csv,1,,8421,req_525bdc84fd0747fe9cb562f1638e2547,merged_deduped.csv,merged_deduped.csv,L1-06,多則政治新聞標題串，屬施政與選舉管理,,L2-07,贏得總統大選要靠自己、籲支持者勿大意→動員號召L2-07,
