camp,L1,l2,n,row_pct,col_pct,expected,lift,lift_lo,lift_hi,lift_sig,asr,n_L1,n_L2,N,L1_cn
ALL,L1-01,L2-04,50,0.0343878954607978,0.06729475100942127,51.68757475718865,0.9673504751361168,0.7122927497399868,1.2582576857321492,False,-0.2477918286964295,1454,743,20901,經濟
ALL,L1-02,L2-04,104,0.053553038105046344,0.13997308209959622,69.03526147074302,1.5064765133695472,1.2153681494757502,1.8328492331426318,True,4.499149551956245,1942,743,20901,道德
ALL,L1-03,L2-04,260,0.06090419301944249,0.34993270524899056,151.75671020525334,1.7132685576034556,1.5034436681805299,1.9215889081486985,True,10.029935452456352,4269,743,20901,衝突與安全
ALL,L1-04,L2-04,34,0.031835205992509365,0.04576043068640646,37.96583895507392,0.8955419117758253,0.5703232127812733,1.2706097129552016,False,-0.6728026798894332,1068,743,20901,人文關懷
ALL,L1-05,L2-04,44,0.1345565749235474,0.059219380888290714,11.624372039615329,3.785150703199279,2.554374621162354,5.062877462022264,True,9.745798487033086,327,743,20901,社會正義、平等與公平
ALL,L1-06,L2-04,182,0.023405349794238684,0.2449528936742934,276.4254341897517,0.658405405180865,0.565494770680429,0.7507811288569388,True,-7.297828935094318,7776,743,20901,合法性與政府管理
ALL,L1-07,L2-04,69,0.016974169741697416,0.09286675639300135,144.50480838237405,0.4774927614686645,0.3707519653893032,0.5990776861650882,True,-7.126189169463752,4065,743,20901,情感/情緒
ALL,L1-01,L2-06,463,0.3184319119669876,0.20236013986013987,159.16712119037368,2.908892216792836,2.679822220385602,3.166953910016898,True,26.457003657960033,1454,2288,20901,經濟
ALL,L1-02,L2-06,195,0.1004119464469619,0.08522727272727272,212.58772307545092,0.9172683971538246,0.777883630174617,1.061673471616794,False,-1.3421210624250408,1942,2288,20901,道德
ALL,L1-03,L2-06,574,0.13445771843523074,0.2508741258741259,467.3207980479403,1.2282783098840724,1.123829902370704,1.3334558042506008,True,5.862175846418539,4269,2288,20901,衝突與安全
ALL,L1-04,L2-06,166,0.15543071161048688,0.07255244755244755,116.91230084684943,1.4198677025221969,1.1867659430323108,1.6824986392907848,True,4.938638561549182,1068,2288,20901,人文關懷
ALL,L1-05,L2-06,44,0.1345565749235474,0.019230769230769232,35.7961820008612,1.229181369089626,0.8834759031081747,1.5725083957987003,False,1.4645262896619073,327,2288,20901,社會正義、平等與公平
ALL,L1-06,L2-06,544,0.06995884773662552,0.23776223776223776,851.2266398736903,0.6390777432444099,0.5893532629593369,0.6939921985326838,True,-14.081388743273557,7776,2288,20901,合法性與政府管理
