id,doc_id,unit_id,cohort,consensus_labels,swing_labels,n_swing,jaccard_consensus_only
3242,副总统辩论_a4a3572e071e,副总统辩论_a4a3572e071e_u289,has_consensus,L2-01|L2-06,,0,0.5
8022,_cd49f6a3cdd9,_cd49f6a3cdd9_u001,has_consensus,L2-04|L2-08,,0,1.0
1654,_4b1d44cb0f55,_4b1d44cb0f55_u003,has_consensus,L2-01|L2-02|L2-07,L2-04,1,0.6666666666666666
7300,_c18dcdf67380,_c18dcdf67380_u008,has_consensus,L2-05|L2-07,,0,1.0
21780,_a41729177e4f,_a41729177e4f_u008,has_consensus,L2-05|L2-06,L2-07,1,0.5
16374,_da9df33c5dec,_da9df33c5dec_u004,has_consensus,L2-03,,0,1.0
14474,_10f59ea249bf,_10f59ea249bf_u015,has_consensus,L2-05|L2-07,L2-01|L2-06|L2-08,3,0.5
6490,_420c9d37f1e6,_420c9d37f1e6_u004,has_consensus,L2-01|L2-04,L2-05|L2-06,2,0.5
19996,_9b1061ee8d9e,_9b1061ee8d9e_u018,has_consensus,L2-01|L2-03|L2-05|L2-06,,0,0.75
8622,_1c87523956d7,_1c87523956d7_u000,has_consensus,L2-01|L2-02|L2-05|L2-07|L2-08,,0,0.6
3336,_57f812ddd5d1,_57f812ddd5d1_u026,has_consensus,L2-02|L2-08,,0,1.0
19166,_a2da7ad0d2fc,_a2da7ad0d2fc_u009,has_consensus,L2-01|L2-02,L2-03|L2-06,2,1.0
5246,_844270716fb6,_844270716fb6_u005,has_consensus,L2-01|L2-04|L2-07,L2-02,1,0.6666666666666666
10950,_165bb93589c9,_165bb93589c9_u002,has_consensus,L2-01,,0,1.0
4064,_d4c8ba631e68,_d4c8ba631e68_u008,has_consensus,L2-01|L2-07|L2-08,L2-05,1,1.0
9081,_32c67d8674c0,_32c67d8674c0_u009,has_consensus,L2-02|L2-05,L2-01,1,1.0
20670,_d9fbebb12013,_d9fbebb12013_u012,no_consensus,,L2-06,1,
593,_5f80246997f2,_5f80246997f2_u011,has_consensus,L2-01|L2-04,,0,0.5
14524,_ed22340b6e7a,_ed22340b6e7a_u004,has_consensus,L2-03|L2-04|L2-08,L2-01|L2-02,2,0.3333333333333333
16655,柯文哲专访_ef48a257ba5a,柯文哲专访_ef48a257ba5a_u068,has_consensus,L2-01|L2-03,,0,0.5
16996,_c41c9e40ea6b,_c41c9e40ea6b_u005,has_consensus,L2-01|L2-03,L2-02,1,0.0
2211,_be0c724717a2,_be0c724717a2_u010,has_consensus,L2-04|L2-05|L2-08,,0,0.6666666666666666
14899,_39a5f106b912,_39a5f106b912_u006,has_consensus,L2-01|L2-02|L2-05,,0,0.6666666666666666
4918,_679ff90984cb,_679ff90984cb_u000,has_consensus,L2-01|L2-04|L2-05|L2-07,L2-03,1,0.5
11367,_ff4754bd104f,_ff4754bd104f_u005,has_consensus,L2-04,,0,1.0
9094,_4d3f66830620,_4d3f66830620_u002,has_consensus,L2-06|L2-07,,0,1.0
14143,_369cd9d141d7,_369cd9d141d7_u000,has_consensus,L2-06,,0,0.0
14597,_975fcc82b4a8,_975fcc82b4a8_u000,has_consensus,L2-08,L2-07,1,1.0
1304,_f79f6a29b86c,_f79f6a29b86c_u016,has_consensus,L2-01|L2-03|L2-07,,0,1.0
1471,_5d874263706c,_5d874263706c_u014,has_consensus,L2-01|L2-02,L2-05,1,0.5
6618,_d69a9f9be2bf,_d69a9f9be2bf_u009,has_consensus,L2-05|L2-07|L2-08,,0,1.0
11830,_d998593cde1d,_d998593cde1d_u001,has_consensus,L2-05,L2-02|L2-06,2,1.0
17179,_814990f9a28c,_814990f9a28c_u001,no_consensus,,L2-01|L2-07,2,
20525,_233badf3e4cc,_233badf3e4cc_u005,has_consensus,L2-01|L2-05|L2-06|L2-08,,0,1.0
8570,_01fc43f085ec,_01fc43f085ec_u002,has_consensus,L2-01|L2-08,,0,0.5
20490,_17678a6ce566,_17678a6ce566_u006,has_consensus,L2-01|L2-02|L2-05,L2-07,1,1.0
