case_id,layer,stratum,sentence,gold_L1,gold_L1_cot,gold_L2,gold_L2_cot,notes
1,L2,l2_mismatch,"賴清德說,他也將強化台灣的經濟韌性,因應氣候變遷,地緣政治變化,以及疫後經濟復甦等種種挑戰,持續改善台灣的投資環境,申請區域經濟並簽訂貿易或投資保障協定,進入全球供應鏈,讓台灣企業可以立足台灣、佈局全球、行銷全世界,並好好發展應用AIoT等新興科技,推動人工智慧產業化,讓台灣科技產業持續壯大,同時協助中小企業轉型。",L1-01,,L2-01|L2-07,,Run1137_vs_1238|L2_set_mismatch|L1_1137=L1-01;L1_1238=L1-01|L2_1137=L2-03|L2-07;L2_1238=L2-01|L2-05|L2-06|L2-07
2,BOTH,mixed_l1_l2,"台湾作为一个全球布局的一个很重要选项,所以台湾在整个出口国际经济贸易里面,区域经济最重要,两岸还是要维持整个相关的贸易,尤其对台商要有保障。",L1-01,,,,Run1137_vs_1238|L2_set_mismatch|ref_L2_empty|L1_1137=L1-01;L1_1238=L1-01|L2_1137=L2-01|L2-07;L2_1238=L2-06|L2-07
3,L2,l2_mismatch,"賴清德說,他衷心希望,經由結合社會努力,台灣在經濟上成為日不落國,改善台灣的投資環境,事實上台灣跟中國貿易逐年下降,轉移到印太、美國、歐洲,這是台灣產業升級、經濟轉型,有辦法成為國際級企業後,又被下一代創新投資,可以提高年輕人收入。",L1-01,,L2-01|L2-06|L2-07,,Run1137_vs_1238|L2_set_mismatch|L1_1137=L1-01;L1_1238=L1-01|L2_1137=L2-06|L2-07;L2_1238=L2-02|L2-06|L2-07
4,L1,l1_disagreement,"全球正面臨環境永續課題,淨零排放早已是各國一致的共同目標,而其中綠色能源,就是許多國家發展的重要項目之一,而在眾多可替代化石燃料的技術中,「氫氣能源」被視為解決能源問題的關鍵方案,甚至未來可能可以直接取代鋰電池電動車,它的特別之處在哪裡,看您一起來看。",L1-01,,,,Run1137_vs_1238|L1_mismatch|L1_1137=L1-01;L1_1238=L1-04|L2_1137=∅;L2_1238=∅
5,L2,l2_mismatch,"當年從金門「叛逃」游向廈門,後面一路當到世界銀行副行長的林毅夫,日前在第十五屆海峽論壇廈門論壇上,再次對與會的台灣青年與媒體喊話,根據《中新社》報導轉述,林毅夫提到自己20多歲,從金門到廈門「回歸」大陸,見證40年來快速發展、與國際影響力大增的局勢,他呼籲更多領域的台灣青年和學子,應該與他一樣登陸發展,「抓住這千載難逢的大好機會,做出一番事業!」目前是北京大學博雅講席教授的林毅夫,在論壇中指出、中國現在是世界第一大貿易國,是世界上120多個國家和地區的第一大交易夥伴,目前是近代以來最好的發展時機,身為過去40年發展的親身經歷與過來人,他喊話更多台灣青年學子們,把握機會前往大陸,能夠完成理想、創造自己的一番事業,「同時還能自豪地對外表示,自己曾對民族復興的偉業,有一份貢獻。」 前世界銀行副行長林毅夫。",L1-01,,L2-06|L2-07,,Run1137_vs_1238|L2_set_mismatch|L1_1137=L1-01;L1_1238=L1-01|L2_1137=L2-02|L2-06|L2-07;L2_1238=L2-06|L2-07
6,BOTH,mixed_l1_l2,"吳崢表示,張智倫長期以來在地方活動自我介紹時,皆稱自己爸爸是前立委張慶忠、媽媽是議員陳錦錠,甚至在本次競選文宣更印上「智倫當選,全家服務」,卻不准社會檢視其家族的爭議,雙重標準令人不解。",L1-02,,,,Run1137_vs_1238|L2_set_mismatch|ref_L2_empty|L1_1137=L1-02;L1_1238=L1-02|L2_1137=L2-06|L2-07;L2_1238=∅
7,BOTH,mixed_l1_l2,"楊家俍說,他擔心因為個人的瑕疵會影響黨的改革腳步,甚至造成2024大選中不必要的爭議,最後決定在黨正式提名前夕主動向民進黨提出放棄提名資格的申請,「今天選擇坦然為曾經犯過的錯付出代價。令大家失望,也帶來困擾,向民進黨和支持我的朋友深深致歉。」 他強調,無論民進黨提名什麼人取代他參選,都會竭盡全力輔選。",L1-02,,,,Run1137_vs_1238|L2_set_mismatch|ref_L2_empty|L1_1137=L1-02;L1_1238=L1-02|L2_1137=∅;L2_1238=L2-05|L2-07
8,BOTH,mixed_l1_l2,"王鴻薇進一步表示,力麗集團創辦人郭全木生長子郭銓慶,過去更是有貪污治罪條例、洗錢等判刑確定,潘孟安跟這些建商、綠能廠商以及貪污罪犯集團混在一起,住在他們提供的千萬豪宅,大方出入毫不避嫌,也是地方住戶看不下去才提供照片等資料。",L1-02,,,,Run1137_vs_1238|L2_set_mismatch|ref_L2_empty|L1_1137=L1-02;L1_1238=L1-02|L2_1137=L2-06|L2-07;L2_1238=L2-05|L2-06
9,BOTH,mixed_l1_l2,"賴清德表示,徐耀昌也對國民黨在苗栗提名的2名立委候選人邱鎮軍、陳超明不以為然,因為邱鎮軍與毒品案關係密切,陳超明貪污案遭判刑,非苗栗縣民的選擇。",L1-02,,,,Run1137_vs_1238|L2_set_mismatch|ref_L2_empty|L1_1137=L1-02;L1_1238=L1-02|L2_1137=L2-05|L2-06;L2_1238=L2-06
10,BOTH,mixed_l1_l2,"有中山大學學生問柯文哲,柯文哲不斷強調白色力量、從政不需貪污和複雜的政商關係,但卻不避諱與貪污、黑金、境外勢力掛勾,「請問柯主席的新政治與你口中令人厭惡的政治環境有何區別?」 柯文哲說,去年選舉時自己與苗栗縣長鍾東錦的事有讓自己稍微想一下、頓一下;",L1-02,,,,Run1137_vs_1238|L2_set_mismatch|ref_L2_empty|L1_1137=L1-02;L1_1238=L1-02|L2_1137=L2-05;L2_1238=L2-02|L2-05
