item_id,app_id,camp,genre,disagreement_type,gpt_l207,ds_l207,human_junyu,human_z,human_agree,human_and,human_or,human_sides_with,L1_junyu,L2_junyu,L1_z,L2_z
A001,9001,KMT,news,gpt_true_ds_false,True,False,False,False,True,False,False,DeepSeek,L1-06,L2-08,L1-01,
A002,9002,TPP,news,gpt_true_ds_false,True,False,True,False,False,False,True,split/NA,L1-01,L2-07|L2-08,L1-01,
A003,9003,DPP,news,gpt_false_ds_true,False,True,True,True,True,True,True,DeepSeek,L1-01,L2-07|L2-08,L1-01,L2-07
A004,9004,KMT,news,both_true,True,True,True,True,True,True,True,split/NA,L1-01,L2-07,L1-01,L2-07
A005,9005,KMT,news,gpt_false_ds_true,False,True,True,True,True,True,True,DeepSeek,L1-01,L2-07,L1-01,L2-07
A006,9006,KMT,news,gpt_false_ds_true,False,True,True,True,True,True,True,DeepSeek,L1-01,L2-07,L1-01,L2-07
A007,9007,DPP,news,gpt_true_ds_false,True,False,True,True,True,True,True,GPT,L1-01,L2-07,L1-01,L2-07
A008,9008,DPP,news,gpt_false_ds_true,False,True,True,True,True,True,True,DeepSeek,L1-01,L2-07,L1-01,L2-07
A009,9009,KMT,news,gpt_true_ds_false,True,False,False,False,True,False,False,DeepSeek,L1-01,,L1-01,
A010,9010,TPP,news,gpt_false_ds_true,False,True,False,False,True,False,False,GPT,L1-01,,L1-01,
A011,9011,KMT,news,gpt_false_ds_true,False,True,True,False,False,False,True,split/NA,L1-01,L2-07,L1-01,
A012,9012,TPP,news,both_false,False,False,False,False,True,False,False,split/NA,L1-01,,L1-01,
A013,9013,TPP,debate,gpt_false_ds_true,False,True,True,True,True,True,True,DeepSeek,L1-01,L2-07,L1-01,L2-07
A014,9014,TPP,news,gpt_true_ds_false,True,False,False,False,True,False,False,DeepSeek,L1-01,,L1-01,
A015,9015,TPP,news,gpt_true_ds_false,True,False,False,False,True,False,False,DeepSeek,L1-01,,L1-01,
A016,9016,TPP,news,gpt_false_ds_true,False,True,False,False,True,False,False,GPT,L1-01,,L1-01,
A017,9017,KMT,news,gpt_false_ds_true,False,True,False,False,True,False,False,GPT,L1-01,,L1-01,
A018,9018,TPP,news,both_true,True,True,False,False,True,False,False,split/NA,L1-01,,L1-01,
A019,9019,KMT,news,gpt_true_ds_false,True,False,False,False,True,False,False,DeepSeek,L1-01,,L1-01,
A020,9020,DPP,news,gpt_true_ds_false,True,False,False,False,True,False,False,DeepSeek,L1-01,,L1-01,
A021,9021,KMT,news,gpt_false_ds_true,False,True,False,False,True,False,False,GPT,L1-01,,L1-01,
A022,9022,TPP,news,gpt_true_ds_false,True,False,True,True,True,True,True,GPT,L1-01,L2-07,L1-01,L2-07
A023,9023,DPP,news,gpt_false_ds_true,False,True,True,False,False,False,True,split/NA,L1-01,L2-07,L1-01,
A024,9024,KMT,news,gpt_false_ds_true,False,True,False,False,True,False,False,GPT,L1-01,,L1-01,
A025,9025,TPP,news,gpt_false_ds_true,False,True,False,False,True,False,False,GPT,L1-01,,L1-01,
A026,9026,DPP,news,gpt_false_ds_true,False,True,True,False,False,False,True,split/NA,L1-01,L2-07,L1-01,
A027,9027,DPP,news,gpt_true_ds_false,True,False,True,False,False,False,True,split/NA,L1-01,L2-07,L1-01,
A028,9028,KMT,debate,gpt_true_ds_false,True,False,False,False,True,False,False,DeepSeek,L1-01,,L1-01,
A029,9029,DPP,news,both_false,False,False,False,False,True,False,False,split/NA,L1-01,L2-08,L1-01,
A030,9030,DPP,news,gpt_true_ds_false,True,False,False,False,True,False,False,DeepSeek,L1-01,L2-01|L2-04,L1-01,
A031,9031,TPP,news,gpt_false_ds_true,False,True,False,False,True,False,False,GPT,L1-01,,L1-01,
A032,9032,DPP,news,both_true,True,True,False,False,True,False,False,split/NA,L1-01,,L1-01,
A033,9033,KMT,news,gpt_true_ds_false,True,False,True,False,False,False,True,split/NA,L1-01,L2-01|L2-07|L2-08,L1-01,
