label_id,label_cn,label_en,core_definition,inclusion_criteria,exclusion_criteria
L2-01,主体性建构,Subjectivity Construction,话语的核心功能在于，通过将特定群体（如台湾、中华民国）理所当然地设定为一个国家主体，或直接探讨构成国家的基本要素（如宪法、主权、国民身份、领土、人民、政府、总统、选举等），来构建和巩固其作为国族（Nation）的身份认同。,1) 预设国家地位：在讨论内外事务时，不证自明地将“我们/台湾”作为与他国平等的行为主体；2) 定义国家要素：直接探讨构成“国家”的根本要素（宪法、领土、人民、政府等）；3) 强调集体能动性：以“我们”（国家/民族）为主语宣示独立自主的集体决断与行动。,1) vs L2-02 差异化认同强调：若核心是通过对比凸显“我们/他者”差异而非正面定义“我们是谁”，选 L2-02；2) vs L2-03 充满隐喻的国家符号：若仅以国家符号做精神隐喻而未触及国家构成，选 L2-03；3) 排除个人主体性：若主语是“我”（个体）而非“我们”（集体），不适用本标签。
L2-02,差异化认同强调,Differentiated Identity Emphasis,通过话语策略，建构并凸显我群与一个或多个他者在文化、价值观、制度或本质上的根本区别，以此巩固内部认同的独特性。,1) 明确使用“我们 vs 他们”的二元框架；2) 论述他者的行为或理念不适用于我方；3) 强调我方在文化、制度或道路上的独特性与特殊性；4) 通过否定或批判他者来反向定义我群。,1) vs L2-08 共同敌人设定：本标签可无敌意，仅强调本质区隔；若包含明确敌意与对抗，选 L2-08；2) vs L2-09 比较与竞争意识培养：若强调的是可量化指标差距和追赶，选 L2-09；3) “他者”既可为外部国家也可为内部路线/团体。
L2-03,充满隐喻的国家符号,Metaphorical National Symbols,使用具有公认象征意义的实体，并对其进行隐喻化阐释，使其成为国家精神或民族品格的抽象载体，从而强化情感投射。,1) 使用具体且知名的符号指代抽象的国家/民族概念；2) 对符号进行诗意/精神化解读，赋予其超越物理形态的意义；3) 号召民众从这些符号中汲取精神力量。,1) vs L2-05 历史叙事再造：若重点在系统性重构历史意义，选 L2-05；2) vs L2-11 民族自豪感激发：若强调符号背后的具体成就而非精神内涵，选 L2-11。
L2-04,国际合法性塑造,International Legitimacy Construction,通过援引国际法、国际准则、国际组织决议或获得他国认可，论证自身行为或政策的正当性，旨在获得国际社会的接受与支持或反驳内部质疑。,1) 引用国际条约、惯例或组织规则；2) 强调自身行为符合国际普遍期待/规范；3) 展示获得他国或国际组织的支持；4) 强调政策与国际标准接轨。,1) 核心是“合规性”：以外部更高位标准作为正当性来源；2) vs L2-01 主体性建构：若核心是“自主性/自我决定”，选 L2-01；3) vs L2-09 比较与竞争意识培养：若核心是竞赛/排名对比而非合规，选 L2-09。
L2-05,历史叙事再造,Historical Narrative Reconstruction,对重大历史事件、时期或人物进行选择性、结构化的重新诠释，以构建连贯、统一且服务于当前政治目标的官方历史版本。,1) 重新定义历史事件的性质、意义或原因；2) 强调历史发展的必然性，将现在视为必然结果；3) 纠正/批判旧有解释；4) 选择性引用人物言行以服务当前论点。,1) vs L2-06 集体记忆塑造：本标签偏宏大、结构化的“History”，而 L2-06 偏共享情感化的“Memory”；2) vs L2-11 民族自豪感激发：若仅引用历史成就以激发自豪而非系统诠释，选 L2-11。
L2-06,集体记忆塑造,Collective Memory Shaping,选择性调用、强调或重塑特定群体的共享历史经验，以服务当下的认同、价值或行动框架；核心在于动员“我们”对“过去”的共同感受来巩固“现在”的共识。,1) 调用标志性历史事件/时期并赋予特定含义；2) 援引象征性历史人物以古喻今；3) 诉诸“记忆的场所”与再现（纪念碑/馆、遗址、经典文本/影像等）；4) 使用预设共享经验的措辞（“我们都记得…/不能忘记…”），以当下目的为导向。,1) vs L2-05 历史叙事再造：L2-06 侧重广泛共享且情感化的记忆动员；2) vs “道德”类一般倡议：若未锚定特定历史经验，仅是普世劝善，不适用本标签；3) 区别于中性历史陈述：须具有明确的当下动员/正当化目的。
L2-07,共同危机建构,Shared Crisis Construction,强调我群正面临普遍、严峻、可能威胁集体生存或核心利益的系统性危机/困境（来源可为内外部），以凝聚共识并激发集体应对意愿。,1) 使用“危机/灾难/严峻挑战”等高烈度措辞；2) 论述问题已上升到国家安全/社会崩溃/全体人民层面；3) 渲染无处可逃、必须共同面对的紧迫氛围。,1) 议题烈度需高：非一般性差距或不足；2) 来源通常非人格化（趋势/状态如疫情、衰退、气候）；3) 与 L2-08 可同时标注：当危机叙述同时赋予人格化恶意（如“某方蓄意制造危机”）时，**同时**打 L2-07 与 L2-08；若仅为客观困境且无人格化指向，则仅打 L2-07。
L2-08,共同敌人设定,Defining a Common Enemy,将某个内/外部个人、团体或意识形态描绘为具有主观恶意、损害我群核心利益的威胁源，并将其作为问题归因对象，以团结我群、攻击对手。,1) 明确指认行为体为“罪魁祸首”；2) 描述其主观恶意与意图；3) 将复杂议题简化为“我们 vs 敌人”的斗争；4) 使用污名化、妖魔化语言。,1) vs L2-07 共同危机建构：若无明确人格化主体与恶意，仅为系统性困境，则选 L2-07；2) 与 L2-07 可同时标注：当“敌人”被构造成系统性威胁/危机之来源（如“中国威胁论”兼具危机与敌意）时，**同时**打 L2-08 与 L2-07；3) vs L2-02 差异化认同强调：若仅为价值/文化区隔而无敌意指控，选 L2-02。
L2-09,比较与竞争意识培养,Comparison and Competitive Awareness Cultivation,以具体、可量化指标（经济、科技、薪资等）将我群与他者对比，凸显差距、激发追赶/超越意愿，或论证改革必要性。,1) 明确提及对比对象（国家/地区/机构）；2) 援引具体数据、排名、指标；3) 强调“落后/要赶上”；4) 提出“别人能，为什么我们不能”。,1) 议题烈度低：不涉及存亡级系统性风险；若目的是渲染严重生存危机，应优先 L2-07；2) 非敌意性：他者为竞争/参照而非恶意“敌人”（若妖魔化则选 L2-08）。
L2-10,共同情感动员,Collective Emotion Mobilization,通过统一认知框架与持续传播互动，借助感染性语言、故事或符号，激发除“自豪”之外的规模化共享情绪（如希望、愤怒、恐惧、同情等）。,1) 使用强烈情感语言；2) 叙述能引发共鸣的场景/个体故事；3) 使用跨地域共鸣的符号载体（口号/表情包/象征图文）；4) 直接呼吁某种情感状态（“让我们满怀希望/我们对此感到愤怒”）。,1) 伞状标签：若情感可更精确归为 L2-11（自豪/光荣），优先 L2-11；2) 若触发机制主要依赖历史回溯，需判断目的在“铭记历史”（L2-06）还是“感受当下”（L2-10）。
