id,candidate,party,source_type,date,sentence,L1_label,L1_reasoning,L2_labels,L2_reasoning,spans,content_frames,style_markers,ideological_phrases,confidence,uncertain_boundary,error
_587fed13ee51_u003,赖清德,DPP,news,2024-01-01 08:35:00,"蔣萬安在致詞時表示,過去這段期間,他到各地輔選,看到基層民眾對於政黨輪替的渴望,對於未來改變充滿期待,所以他相信最後一定可以贏得勝選,只要團結一致,會迎來正義、繁榮、和平與藍天,改變正在開始,他感受大家非常期待,由侯友宜帶領走上正途、撥亂反正。",L1-09,文本核心聚焦選舉結果預測與政黨輪替對政治格局的影響,L2-13|L2-14,提出正義繁榮和平的未來願景，並直接呼籲團結一致,看到基層民眾對於政黨輪替的渴望|相信最後一定可以贏得勝選|由侯友宜帶領走上正途、撥亂反正,政黨輪替期待|選舉勝利預測|政治路線修正,鼓舞性語言|未來導向表述|集體行動呼籲,撥亂反正|走上正途|團結一致,high,,
_0144771eb903_u003,赖清德,DPP,news,2023-04-23 14:14:00,"賴清德表示,除了臨床貢獻,腎臟醫學會積極研究,讓台灣腎臟醫學在國際占有一席之地,他身為大家庭的一份子深感榮耀,回憶從腎臟科醫師變副總統的斜槓人生,「其實從政是我的意外之旅,學醫、濟世救人才是從小志願。」 賴清德醫學之路的緣分,是始於台灣大學復健醫學系,他說,過去執行物理治療工作,感受到復健病人勇敢、堅強不放棄的精神,雖然復健不能幫病人延長歲月,但可以讓病人擁有的歲月更好。",L1-04,文本聚焦個人從醫經歷與對病人福祉的關懷，強調醫療對生活質量的改善,L2-11,賴清德表達對台灣腎臟醫學國際成就的榮耀感，屬於民族自豪感激發,"讓台灣腎臟醫學在國際占有一席之地|他身為大家庭的一份子深感榮耀|雖然復健不能幫病人延長歲月,但可以讓病人擁有的歲月更好",醫學專業成就|個人職業歷程|醫療人文關懷,第一人稱敘事|情感化回憶|專業與人文並重,國際占有一席之地|深感榮耀|濟世救人,high,,
_587fed13ee51_u003,侯友宜,KMT,news,2024-01-01 08:35:00,"蔣萬安在致詞時表示,過去這段期間,他到各地輔選,看到基層民眾對於政黨輪替的渴望,對於未來改變充滿期待,所以他相信最後一定可以贏得勝選,只要團結一致,會迎來正義、繁榮、和平與藍天,改變正在開始,他感受大家非常期待,由侯友宜帶領走上正途、撥亂反正。",L1-09,文本核心在分析選情走向與政黨輪替對政治權力格局的影響，聚焦於勝選預測與政治後果,L2-13|L2-14,L2-13體現在描繪正義、繁榮、和平的未來願景，L2-14體現在直接呼籲團結一致,"基層民眾對於政黨輪替的渴望,對於未來改變充滿期待|只要團結一致,會迎來正義、繁榮、和平與藍天|由侯友宜帶領走上正途、撥亂反正",政黨輪替渴望|勝選預測|撥亂反正論述,期待性語言|願景描繪|團結呼籲,撥亂反正|走上正途|政黨輪替,high,,
_587fed13ee51_u003,柯文哲,TPP,news,2024-01-01 08:35:00,"蔣萬安在致詞時表示,過去這段期間,他到各地輔選,看到基層民眾對於政黨輪替的渴望,對於未來改變充滿期待,所以他相信最後一定可以贏得勝選,只要團結一致,會迎來正義、繁榮、和平與藍天,改變正在開始,他感受大家非常期待,由侯友宜帶領走上正途、撥亂反正。",L1-09,文本核心聚焦選舉結果預測與政黨輪替對政治格局的影響,L2-13|L2-14,L2-13體現在描繪正義繁榮和平的未來願景，L2-14體現在直接呼籲團結一致,"基層民眾對於政黨輪替的渴望|相信最後一定可以贏得勝選|團結一致,會迎來正義、繁榮、和平與藍天",選情預測|政黨輪替期待|未來願景描繪,鼓舞性語言|勝利宣言式表述|正向情感渲染,撥亂反正|走上正途|團結一致,high,,
_3ff13f492fcd_u003,柯文哲,TPP,news,2023-09-07 18:59:11,"台灣基進黨主席王興煥說,中華民國殖民屠殺遍及全台,所有犧牲的英靈憤怒匯聚於元凶的紀念堂,舉辦普渡是為「祭台灣英靈,祓中國邪氣」,拒絕遺忘土地的傷痕與台灣人的苦難,因為時間是歷史記憶與轉型正義最大的敵人,而中正紀念堂空間轉型與「把蔣介石塑像先行移除」可以並行,不能用前者拖延後者。",L1-05,文本核心在批判歷史不公與殖民屠殺，強調轉型正義以糾正歷史錯誤與土地傷痕，屬於社會正義與公平範疇。,L2-05|L2-06|L2-08,L2-05體現在重新詮釋中華民國歷史為殖民屠殺；L2-06通過呼籲拒絕遺忘苦難來塑造集體記憶；L2-08將蔣介石與中國設定為共同敵人。,"中華民國殖民屠殺遍及全台|祭台灣英靈,祓中國邪氣|拒絕遺忘土地的傷痕與台灣人的苦難",歷史殖民論述|轉型正義訴求|敵我二元對立,強烈批判修辭|儀式化語言|道德動員語氣,殖民屠殺|祭台灣英靈祓中國邪氣|轉型正義,high,,
_59b43711b5b5_u010,柯文哲,TPP,news,2023-02-17 15:31:59,"阿布鐸表示,他很榮幸到花蓮空軍基地,親眼目睹台灣這些年努力發展國防能力的成果,他的心情十分激動和興奮,當年在空軍服役時的記憶都湧上心頭。",L1-07,文本聚焦於個人情感體驗與回憶，使用「心情十分激動和興奮」、「記憶都湧上心頭」等情緒描述。,L2-01|L2-11,L2-01體現在將台灣國防能力視為自主發展的主體；L2-11透過讚揚國防成果激發自豪感。,親眼目睹台灣這些年努力發展國防能力的成果|心情十分激動和興奮|當年在空軍服役時的記憶都湧上心頭,國防能力發展成果|個人情感連結,情感化敘述|個人見證,發展國防能力,high,,
_5cc925f6d496_u012,赖清德,DPP,news,2023-08-27 12:12:00,"賴清德說,台灣民主自由受到空前威脅,希望大家發揮過去的精神,站出來扛頭旗,守護台灣主權與民主和平繁榮,「我們一定要贏、我們再贏一次」,成功守護台灣的主權,讓子孫知道,面對外來的威脅,絕對不怕,要堅守土地主權。",L1-03,文本核心論述台灣民主自由受到空前威脅，強調守護主權與面對外來威脅，屬於衝突與安全框架,L2-07|L2-08|L2-14,L2-07建構共同危機（空前威脅），L2-08設定共同敵人（外來威脅），L2-14直接號召團結行動,"台灣民主自由受到空前威脅|面對外來的威脅,絕對不怕,要堅守土地主權|站出來扛頭旗,守護台灣主權與民主和平繁榮",主權威脅論述|民主防衛動員|世代傳承責任,危機修辭|行動呼籲|情感激勵,守護台灣主權|面對外來威脅|堅守土地主權,high,,
_da0b9fcfbbe7_u004,赖清德,DPP,news,2024-01-08 21:15:00,"黃建賓表示,自被徵召後,便一步一腳印走遍全台東,也用超過50場的社區開講、廟口開講向鄉親闡述政見,感受到支持者們對過去12年台東這席立委的期待,呼籲支持者一定要出門投票,堅定支持黃建賓。",L1-09,文本核心聚焦選舉動員與投票呼籲，強調支持者對立委席次的期待及投票行動對政治後果的影響,L2-14,直接呼籲支持者團結投票，使用明確的團結號召語言,呼籲支持者一定要出門投票|堅定支持黃建賓,選舉動員|地方基層接觸|政治承諾,呼籲式語言|接地氣表述,一步一腳印|社區開講|廟口開講,high,,
_03132b056527_u005,赖清德,DPP,news,2024-01-01 20:53:00,"賴清德指出,自己和總統蔡英文已連續4年參加總統府前舉辦的升旗典禮,感受到政府責任重大,政府有責任讓各行各業繁榮興盛,讓人人平安好過日。",L1-08,文本核心在強調政府責任與政策目標，聚焦於政策制定與評估的範疇,L2-12|L2-13,L2-12體現在強調政府責任重大，L2-13體現在描繪讓各行各業繁榮興盛的共同願景,"政府責任重大|政府有責任讓各行各業繁榮興盛,讓人人平安好過日",政府責任論述|民生福祉承諾|經濟繁榮願景,權威性表述|願景式語言|責任導向,政府責任重大|繁榮興盛|平安好過日,high,,
_4b1d44cb0f55_u003,柯文哲,TPP,news,2023-02-27 17:03:46,"矢板明夫今下午在臉書發文悼念辜寬敏,「我第一次和辜先生直接接觸,是在3年前的一次餐會上。我和辜先生的座位隔著幾個人,但辜先生聽到主持人介紹說,我就是經常出現在媒體上的矢板明夫時,立刻就招手叫我過去。我走到近前,辜先生突然拿出了一個長長的皮夾就要打開,我吃了一驚,差一點以為辜先生是要給我拿錢。沒想到,皮夾打開以後,就看到內側貼著一行大字『做一個堂堂正正的台灣人』。」 矢板明夫接著說:「辜先生指著這行字用日語對我說,『我雖然在日本住過很多年,但我不是日本人、我也不是中國人,我是一個堂堂正正的台灣人。我希望以後所有的台灣人,不管身在哪一國,都能夠挺起胸膛告訴別人:我是一個堂堂正正的台灣人』。辜先生這幾句話說得很慢,但每一個字都清晰有力,讓人有一種莫名的感動。」 後來辜寬敏還特別邀請矢板明夫到其辦公室繼續暢談,介紹自己多年來從事台獨運動的心路歷程,更拜託矢板明夫把台灣人的聲音和想法,更多的傳遞到國際社會上去,",L1-02,文本核心在辜寬敏透過身份宣言傳達的道德價值觀與個人責任感，強調做一個堂堂正正的台灣人的倫理立場,L2-01|L2-02|L2-10|L2-12,L2-01體現在建構台灣人作為國家主體的身份認同；L2-02透過區隔日本人和中國人來強調差異化認同；L2-10透過情感語言激發感動；L2-12強調個人對台灣的責任使命,"我是一個堂堂正正的台灣人|我雖然在日本住過很多年,但我不是日本人、我也不是中國人|把台灣人的聲音和想法,更多的傳遞到國際社會上去",台灣人身份建構|台獨運動心路歷程|國際社會發聲,情感敘事|身份宣言|使命託付,堂堂正正的台灣人|台獨運動|台灣人的聲音,high,,
