id,candidate,party,source_type,date,sentence,role,prev,next,speakers,targets,target_l1,sample_score,unit_id,source
_f6db20f1037c_u007,侯友宜,KMT,news,2023-05-18 05:30:00,"賴清德表示,國際社會對台灣的一致看法是可以信賴的夥伴、充滿活力的民主,這是台灣的品牌價值,既為台灣帶來經濟繁榮,也為台灣帶來民主保障,這場選舉的結果將告訴全世界,這個品牌價值是否繼續維持提升,這個民主社會是否依舊活力滿滿、不怕困難,這塊土地上的人民始終保持善良、堅韌、樂觀、積極。",claim,"第三,台灣是國際社會的一員,是自由民主陣營重要夥伴,在全球產業分工、智慧科技發展中,更扮演重要角色。","他期待所有參與的對手都能有以上的體認與使命,這不是一場誰勝誰負的選舉,而是一場凝聚台灣共識的民主團結運動,天佑台灣、感謝大家。","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],L1-13,16.3,_f6db20f1037c_u007,01_Ho_ltn_news
_f6db20f1037c_u007,赖清德,DPP,news,2023-05-18 05:30:00,"賴清德表示,國際社會對台灣的一致看法是可以信賴的夥伴、充滿活力的民主,這是台灣的品牌價值,既為台灣帶來經濟繁榮,也為台灣帶來民主保障,這場選舉的結果將告訴全世界,這個品牌價值是否繼續維持提升,這個民主社會是否依舊活力滿滿、不怕困難,這塊土地上的人民始終保持善良、堅韌、樂觀、積極。",claim,"第三,台灣是國際社會的一員,是自由民主陣營重要夥伴,在全球產業分工、智慧科技發展中,更扮演重要角色。","他期待所有參與的對手都能有以上的體認與使命,這不是一場誰勝誰負的選舉,而是一場凝聚台灣共識的民主團結運動,天佑台灣、感謝大家。","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],L1-13,16.3,_f6db20f1037c_u007,03_Lai_ltn_news
_7d69f3fd7f3e_u002,赖清德,DPP,news,2023-05-06 09:48:00,"競選團隊指出,郭雅慧幾次獲獎的報導中,深入報導台灣各地青年創業、在地創生,聚焦弱勢、青年、生態、產業等面向,同時也有豐富的國際報導經驗,採訪足跡遍布全球5大洲20餘國,不僅4度深入北韓擔任特派員,也曾採訪南韓總統大選。",claim,"2024賴清德總統競選團隊今天透過媒體群組表示,郭雅慧除了有近19年的媒體工作經驗,更曾任2017年、2018年的國慶大典主持人,擁有厚實的專業背景,過去也曾多次入圍吳舜文報導獎,並蟬連獲得現代財經新聞獎、3度獲文創產業報導獎等殊榮。","競選團隊說,過去競選團隊發言人多為黨籍立委、議員兼任,這次延攬郭雅慧加入競選團隊,希望能以其媒體背景,扮演溝通橋樑、協助賴清德向社會大眾說明政策方向,擴大選民的支持與認同,未來,競選團隊更會納入民間多元背景的角色,制定貼近民眾的政策,守護民生經濟,持續為台灣民眾奮鬥。",[],[],L1-13,16.3,_7d69f3fd7f3e_u002,03_Lai_chinatimes_news
_ce82f56d5a2b_u009,赖清德,DPP,news,2023-12-14 14:21:00,"賴清德競選總部發言人戴瑋姍回應,蕭美琴已多次對外強調,美國總統拜登多次發聲明提及維繫台海和平穩定的重要性,對國際社會安全與經濟繁榮不可或缺,全世界都在關注台海穩定,台灣人也愛好和平,戰爭永遠不會是選項,總統蔡英文派蕭美琴駐美時,特別交代要壯大台灣的實力,拚台灣的尊嚴。",claim,"與會的國民黨台北市立委參選人張斯綱指出,請問賴清德是否知道蕭美琴引進SOA,SOA認為「台灣若干年內恐面臨中國武力犯台危機」,民進黨是否認,SOA若要求台灣比照烏克蘭成立國土防衛旅,打血腥內戰,民進黨配合嗎,「今日烏克蘭,明日台灣」,民進黨敢保證不會發生嗎。","戴瑋姍解釋,美國非常信任蔡總統的穩健路線,也就是不挑釁、不冒進、不低頭的維持現狀,有了信任基礎,美方將繼續支持深化台美關係,副總統賴清德也在蔡總統的4個堅持基礎之上推動和平4大支柱行動方案,繼續壯大台灣、與國際接軌,並持續守護台灣和平安全。","[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""蕭美琴"", ""party"": ""DPP""}]",[],L1-13,14.3,_ce82f56d5a2b_u009,03_Lai_chinatimes_news
_962afde33527_u010,赖清德,DPP,news,2024-01-11 13:41:00,"賴清德表示,已有許多國際媒體大篇幅報導中國在這次選舉中介入的嚴重程度,這幾天假訊息與認知作戰鋪天蓋地而來,盼民眾注意不要受到影響,他也在前天開記者會向國際社會說明,會與國會力量結合,守護台灣促進民主和平繁榮發展。",claim,"媒體問國民黨立委王鴻薇質疑賴清德將萬里老家交付公益信託的承諾跳票,賴清德說,王鴻薇是為創造選舉聲量,他已多次公開聲明老家就是交付信託,目前律師已依法進行程序,盼在野黨尊重勿再打擾礦區民眾生活。","賴清德指出,過去8年在總統蔡英文領導下,兩岸外交國防受國際社會肯定,在產業發展也交出漂亮成績單,會在此基礎上持續推動經濟發展。","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],L1-13,14.3,_962afde33527_u010,03_Lai_chinatimes_news
_ce82f56d5a2b_u009,柯文哲,TPP,news,2023-12-14 14:21:00,"賴清德競選總部發言人戴瑋姍回應,蕭美琴已多次對外強調,美國總統拜登多次發聲明提及維繫台海和平穩定的重要性,對國際社會安全與經濟繁榮不可或缺,全世界都在關注台海穩定,台灣人也愛好和平,戰爭永遠不會是選項,總統蔡英文派蕭美琴駐美時,特別交代要壯大台灣的實力,拚台灣的尊嚴。",claim,"與會的國民黨台北市立委參選人張斯綱指出,請問賴清德是否知道蕭美琴引進SOA,SOA認為「台灣若干年內恐面臨中國武力犯台危機」,民進黨是否認,SOA若要求台灣比照烏克蘭成立國土防衛旅,打血腥內戰,民進黨配合嗎,「今日烏克蘭,明日台灣」,民進黨敢保證不會發生嗎。","戴瑋姍解釋,美國非常信任蔡總統的穩健路線,也就是不挑釁、不冒進、不低頭的維持現狀,有了信任基礎,美方將繼續支持深化台美關係,副總統賴清德也在蔡總統的4個堅持基礎之上推動和平4大支柱行動方案,繼續壯大台灣、與國際接軌,並持續守護台灣和平安全。","[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""蕭美琴"", ""party"": ""DPP""}]",[],L1-13,14.3,_ce82f56d5a2b_u009,02_Ke_chinatimes_news
_7d69f3fd7f3e_u003,赖清德,DPP,news,2023-05-06 09:48:00,"競選團隊說,過去競選團隊發言人多為黨籍立委、議員兼任,這次延攬郭雅慧加入競選團隊,希望能以其媒體背景,扮演溝通橋樑、協助賴清德向社會大眾說明政策方向,擴大選民的支持與認同,未來,競選團隊更會納入民間多元背景的角色,制定貼近民眾的政策,守護民生經濟,持續為台灣民眾奮鬥。",claim,"競選團隊指出,郭雅慧幾次獲獎的報導中,深入報導台灣各地青年創業、在地創生,聚焦弱勢、青年、生態、產業等面向,同時也有豐富的國際報導經驗,採訪足跡遍布全球5大洲20餘國,不僅4度深入北韓擔任特派員,也曾採訪南韓總統大選。","郭雅慧表示,這次選擇加入競選團隊,是希望能以更淺白、易懂的方式,讓民眾了解艱澀難懂的政見,並期許能將民眾期待、卻不敢說出口的話語,如實地傳達回團隊,作為民眾與賴清德之間正向溝通的橋樑。","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],L1-13,14.3,_7d69f3fd7f3e_u003,03_Lai_chinatimes_news
_327fbb5cf8f0_u005,赖清德,DPP,news,2023-10-31 11:40:00,"賴清德也說:「我相信自從選舉以來,社會大眾應該已經看到我負責任的為了台灣的前途,提出完整的國政藍圖,我相信社會大眾應該也看到了藍白的企圖。」(編輯:陳政偉)1121031 柯文哲:整合看似觸礁 但與朱都認同第3波民主革命 宜蘭3鄉信賴台灣之友會 賴清德談國家希望工程 賴清德:增加外國人才來台誘因 提升台灣競爭力 因應政黨協商 國民黨不分區立委提名順延一週 藍白夜談沒共識 柯文哲:朱立倫想出辦法再決定會面 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。",claim,"賴清德並說,至於昨天他們所謂的共識,「我大概只有一句話,空!對我後續的競選活動,不會有任何影響」。",,"[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""柯文哲"", ""party"": ""TPP""}, {""name"": ""國民黨"", ""party"": ""KMT""}]",[],L1-13,13.8,_327fbb5cf8f0_u005,03_Lai_chinatimes_news
_5e83e31eaafd_u014,柯文哲,TPP,news,2023-07-05 09:01:00,"賴清德提出的4大支柱理念全文如下: 「首先,我們必須建立台灣的威懾力,防禦力是國家安全的基石。在蔡英文總統領導下,我們提高國防預算、實現兵役改革、增強軍隊實力;這些行動增加北京動武的風險和代價達到減少軍事衝突風險的目的。我將加速轉型、強化不對稱作戰,注重成本效益和機動能力。我將在兵力訓練、重組訓練程序、民防、訊息交換上,尋求與民主夥伴和盟友更廣泛的合作。 第二,經濟安全是國家安全。自民主化後,台灣展現強大科技實力。身為前台南市長,我對見證推動下一代技術的半導體產業在台南和台灣各地發展感到驕傲。身為前行政院長,我致力提高工資、減稅、和吸引新投資。 我們的經濟成果為我們帶來機會的同時,也為我們構成了挑戰,對中國貿易的依賴成為被利用的弱點、使我們承受經濟脅迫。我們必須確保供應鏈安全,同時追求能使對外貿易多元化的貿易協定。我將支持本土產業創新,減少不必要的監管措施,努力確保經濟成長的果實更為均衡共享。 第三支柱是基於與全世界民主國家建立夥伴關係。今年,台灣派出全亞洲第一支前往烏克蘭義診的醫療團,協助因戰火受傷的民眾。各國國會議員、非政府組織、智庫和官方代表訪台人數寫下紀錄,這證明儘管中共持續威脅,我們並不孤單。 第四支柱是穩定而有原則的兩岸關係領導能力。近年來,中國切斷交流,堅持九二共識和一個中國框架,習近平視此框架為實現統一的途徑。中國解放軍對台灣、日本和東南海鄰國的威脅行動,加劇區域的軍事緊張局勢。 儘管軍事和經濟挑戰日益增加,我的首要任務仍維持務實與一致性。我將支持兩岸現狀,這也符合中華民國,也就是台灣,以及國際社會的最佳利益。我不排除在對等和尊嚴的原則基礎上,進行無前提條件對話的可能性。 1996年來,儘管很多事情發生變化,但很多事情並沒有改變。中國軍機和軍艦依舊在台海四周活動、試圖影響我們的民主選舉。經濟上的緊張情勢依舊存在。每天我們都被提醒著,永遠不能將自由和民主視作理所當然。然而我現在的承諾和27年前一樣明確:我將永遠為台灣人民和國際社會的和平與穩定努力奮鬥」。",claim,看清當前所面對到的挑戰、並確保台海維持和平穩定。,"(編輯:張芷瑄)1120705 賴清德:台灣能成為經濟日不落國 重啟服貿是錯誤 賴清德:服貿若簽訂 台灣經濟將被鎖進一中原則市場 柯文哲:九二共識版本多 恢復兩岸實質交流較重要 侯友宜:接受合乎中華民國憲法的九二共識 賴清德:放棄主權的和平是假和平 籲支持守護主權者 侯友宜不排斥侯習會 促賴清德說清楚贊成或反對台獨 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。","[{""name"": ""賴清德"", ""party"": ""DPP""}]","[""兩岸|cross-strait""]",L1-13,13.8,_5e83e31eaafd_u014,02_Ke_chinatimes_news
_5e83e31eaafd_u014,赖清德,DPP,news,2023-07-05 09:01:00,"賴清德提出的4大支柱理念全文如下: 「首先,我們必須建立台灣的威懾力,防禦力是國家安全的基石。在蔡英文總統領導下,我們提高國防預算、實現兵役改革、增強軍隊實力;這些行動增加北京動武的風險和代價達到減少軍事衝突風險的目的。我將加速轉型、強化不對稱作戰,注重成本效益和機動能力。我將在兵力訓練、重組訓練程序、民防、訊息交換上,尋求與民主夥伴和盟友更廣泛的合作。 第二,經濟安全是國家安全。自民主化後,台灣展現強大科技實力。身為前台南市長,我對見證推動下一代技術的半導體產業在台南和台灣各地發展感到驕傲。身為前行政院長,我致力提高工資、減稅、和吸引新投資。 我們的經濟成果為我們帶來機會的同時,也為我們構成了挑戰,對中國貿易的依賴成為被利用的弱點、使我們承受經濟脅迫。我們必須確保供應鏈安全,同時追求能使對外貿易多元化的貿易協定。我將支持本土產業創新,減少不必要的監管措施,努力確保經濟成長的果實更為均衡共享。 第三支柱是基於與全世界民主國家建立夥伴關係。今年,台灣派出全亞洲第一支前往烏克蘭義診的醫療團,協助因戰火受傷的民眾。各國國會議員、非政府組織、智庫和官方代表訪台人數寫下紀錄,這證明儘管中共持續威脅,我們並不孤單。 第四支柱是穩定而有原則的兩岸關係領導能力。近年來,中國切斷交流,堅持九二共識和一個中國框架,習近平視此框架為實現統一的途徑。中國解放軍對台灣、日本和東南海鄰國的威脅行動,加劇區域的軍事緊張局勢。 儘管軍事和經濟挑戰日益增加,我的首要任務仍維持務實與一致性。我將支持兩岸現狀,這也符合中華民國,也就是台灣,以及國際社會的最佳利益。我不排除在對等和尊嚴的原則基礎上,進行無前提條件對話的可能性。 1996年來,儘管很多事情發生變化,但很多事情並沒有改變。中國軍機和軍艦依舊在台海四周活動、試圖影響我們的民主選舉。經濟上的緊張情勢依舊存在。每天我們都被提醒著,永遠不能將自由和民主視作理所當然。然而我現在的承諾和27年前一樣明確:我將永遠為台灣人民和國際社會的和平與穩定努力奮鬥」。",claim,看清當前所面對到的挑戰、並確保台海維持和平穩定。,"(編輯:張芷瑄)1120705 賴清德:台灣能成為經濟日不落國 重啟服貿是錯誤 賴清德:服貿若簽訂 台灣經濟將被鎖進一中原則市場 柯文哲:九二共識版本多 恢復兩岸實質交流較重要 侯友宜:接受合乎中華民國憲法的九二共識 賴清德:放棄主權的和平是假和平 籲支持守護主權者 侯友宜不排斥侯習會 促賴清德說清楚贊成或反對台獨 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。","[{""name"": ""賴清德"", ""party"": ""DPP""}]","[""兩岸|cross-strait""]",L1-13,13.8,_5e83e31eaafd_u014,03_Lai_chinatimes_news
