id,candidate,party,source_type,date,sentence,L1_label,L1_reasoning,L2_labels,L2_reasoning,spans,content_frames,style_markers,ideological_phrases,confidence,uncertain_boundary,error,batch
1,侯友宜,KMT,news,2024/1/13 21:03,"此外,侯友宜4年前以市政優先為由,拒絕擔任時任國民黨總統候選人韓國瑜的新北市競總主委、甚至在公投一役喊出「歲月靜好」,遭深藍選民質疑是切割國民黨立場;",L1-09,文本聚焦侯友宜過往政治決策對其與國民黨關係及選民支持的影響,L2-02,通過對比侯友宜與國民黨深藍選民的立場差異，建構內部群體認同的區隔,拒絕擔任時任國民黨總統候選人韓國瑜的新北市競總主委|遭深藍選民質疑是切割國民黨立場,政治人物與政黨關係緊張|選民質疑與信任危機,負面指控語氣|政治衝突敘事,市政優先|歲月靜好|切割國民黨立場,high,,,validation_set
2,侯友宜,KMT,news,2023/12/30 16:46,"明年1月13日,我要請所有相信「理性、務實、科學」,相信「民意、專業、價值」,相信政治本來就應該落實在人民生活每一天的朋友們,為了你相信的政治,請出來投票。",L1-09,文本核心是呼籲投票以影響政治進程，強調選舉對政治實踐的影響,L2-14|L2-15,L2-14體現在直接呼籲投票的團結號召，L2-15體現於以民主價值界定政治身份,"我要請所有相信「理性、務實、科學」的朋友們|為了你相信的政治,請出來投票",投票動員|民主價值實踐|政治理念認同,祈使呼籲|價值列舉|直接訴求,理性、務實、科學|民意、專業、價值,high,,,validation_set
3,侯友宜,KMT,news,2024/1/13 21:20,"侯友宜恭喜賴蕭配勝選 盼各黨派選後團結 2024/1/13 21:20 (1/13 21:25 更新) (中央社記者高華謙新北13日電)國民黨總統候選人侯友宜今晚恭喜民進黨正副總統候選人賴清德與蕭美琴當選,並喊話希望各黨派選後面對台灣挑戰一定要團結。",L1-14,文本核心是選舉結果的宣布與對政治團結的呼籲，屬於政治進程的直接後果,L2-14,侯友宜直接呼籲各黨派面對台灣挑戰要團結，符合團結號召的定義,侯友宜恭喜賴蕭配勝選|希望各黨派選後面對台灣挑戰一定要團結,選舉結果確認|跨黨派團結呼籲|面對共同挑戰,禮貌性祝賀|直接呼籲句式|中性官方表述,團結,high,,,validation_set
4,侯友宜,KMT,news,2023/12/20 11:17,"民進黨彰化縣團隊則是喊出,「2024再贏一次,彰化女力,贏得勝利!」 今天由於立委謝衣鳯未出席抽籤會場,國民黨彰化縣長王惠美與國民黨立委候選人阮厚爵、楊曜聰、鄭俊雄在抽籤結束後,一起高喊「凍蒜」。",L1-09,文本聚焦選舉活動與候選人動員，核心在選舉結果預期與政治競爭,L2-14,民進黨與國民黨陣營均直接發出團結口號與行動呼籲,"「2024再贏一次,彰化女力,贏得勝利!」|一起高喊「凍蒜」",選舉動員|政黨競爭|候選人支持,口號式語言|集體行動表述|競選造勢氛圍,贏得勝利|凍蒜,high,,,validation_set
5,侯友宜,KMT,news,2023/11/23 18:00,"朱立倫指出,侯友宜作為國民黨提名的候選人,柯文哲主席是雙重角色,也代表民眾黨,「而我作為國民黨黨主席,陪同候選人參與今天會議,不但具有正當性、必要性,而且侯友宜不能一個人完整代表所有人」。",L1-08,文本核心在說明朱立倫參與會議的正當性與必要性，屬於政策制定與政治協商過程的論述,L2-01,文本通過強調政黨代表權與政治主體性，建構國民黨作為政治行為主體的地位,"侯友宜作為國民黨提名的候選人|我作為國民黨黨主席,陪同候選人參與今天會議,不但具有正當性、必要性|侯友宜不能一個人完整代表所有人",政黨代表權論述|政治協商正當性|集體決策必要性,權威性表述|制度性論證|組織化語言,國民黨提名|黨主席|正當性、必要性,high,,,validation_set
6,侯友宜,KMT,news,2023/12/30 15:17,"侯友宜強調,他反台獨、反一國兩制,堅守民主自由制度,台灣未來由2300萬人來決定。",L1-15,文本核心在界定政治身份與政策底線，強調民主自由制度作為核心價值,L2-01|L2-15,L2-01體現在將台灣作為政治主體並強調自主決定權，L2-15體現在明確以民主自由制度界定身份邊界,反台獨、反一國兩制|堅守民主自由制度|台灣未來由2300萬人來決定,兩岸立場表態|民主制度捍衛|人民自決主張,強調語氣|價值宣示|明確邊界劃定,反台獨|反一國兩制|民主自由制度|2300萬人決定,high,,,validation_set
7,侯友宜,KMT,news,2023/12/3 12:30,"美日等宣言增核電 侯友宜:賴清德與國際趨勢背道而馳 2023/12/3 12:30 (12/3 13:10 更新) (中央社記者高華謙台北3日電)針對美日等多國在杜拜舉行的COP28會議中,承諾要在2050年之前將核能發電提升3倍,國民黨總統參選人侯友宜今天表示,能源是國安問題,民進黨總統參選人賴清德主張的非核家園,卻完全與國際趨勢背道而馳。",L1-08,文本核心在比較不同候選人的能源政策主張與國際趨勢的契合度，屬於政策制定與評估範疇,L2-09|L2-07,L2-09體現在與國際趨勢對比凸顯政策差距，L2-07體現將能源問題建構為國安危機,"美日等多國在杜拜舉行的COP28會議中,承諾要在2050年之前將核能發電提升3倍|能源是國安問題|賴清德主張的非核家園,卻完全與國際趨勢背道而馳",能源政策比較|國際趨勢對照|國安論述,對比論述|批判性措辭|權威引用,非核家園|國際趨勢背道而馳|能源是國安問題,high,,,validation_set
8,侯友宜,KMT,news,2023/12/30 15:03,"賴清德回應,蔡總統外交路線獲國際肯定,讓台灣贏得支持,也以民主自由人權為價值,與世界民主陣營站在一起,不依循國民黨老路。",L1-09,文本核心在論述外交路線對台灣國際支持與政治陣營選擇的影響，聚焦政治後果,L2-01|L2-02|L2-15,L2-01體現將台灣預設為國際行為主體；L2-02通過對比國民黨路線凸顯差異；L2-15強調民主自由人權作為核心價值,"蔡總統外交路線獲國際肯定,讓台灣贏得支持|以民主自由人權為價值,與世界民主陣營站在一起|不依循國民黨老路",外交路線評價|民主價值定位|政黨路線對比,肯定性表述|價值宣示|對比論述,民主自由人權|世界民主陣營|不依循國民黨老路,high,,,validation_set
9,侯友宜,KMT,news,2023/8/20 5:30,"我國防部嚴正指出,中共此次藉故發動軍事演習,不僅無助台海和平穩定,更凸顯其窮兵黷武心態,坐實軍事擴張霸道本質。",L1-03,文本聚焦中共軍事演習對台海安全的威脅，使用安全衝突相關詞彙,L2-07|L2-08,L2-07體現在建構台海和平受威脅的危機敘事，L2-08體現在將中共設定為具有惡意擴張本質的共同敵人,"中共此次藉故發動軍事演習,不僅無助台海和平穩定|凸顯其窮兵黷武心態,坐實軍事擴張霸道本質",軍事威脅論述|安全危機建構|敵意歸因,嚴正指控語氣|負面定性修辭|官方聲明文體,窮兵黷武|軍事擴張霸道本質|台海和平穩定,high,,,validation_set
10,侯友宜,KMT,news,2023/9/25 16:07,"人口結構改變對經濟發展將有明顯衝擊 人口結構的變化將超過人口數量所帶來衝擊,長照與社會福利費用上升、退休金與社會保險等將無以為繼,顯見少子化將導致國安危機。",L1-01,文本核心在分析人口結構變化對經濟發展、長照福利費用、退休金與社會保險的衝擊，屬於經濟資源分配與消費議題,L2-07,文本將少子化建構為威脅國家生存的系統性危機，使用'國安危機'等高烈度措辭,人口結構改變對經濟發展將有明顯衝擊|長照與社會福利費用上升、退休金與社會保險等將無以為繼|少子化將導致國安危機,人口結構衝擊經濟發展|社會福利體系不可持續|少子化國安危機,危機論述|警示性預測|系統性風險強調,國安危機|無以為繼|明顯衝擊,high,,,validation_set
11,侯友宜,KMT,news,2023/8/7 23:12,"對於藍營操作「票投民進黨、青年上戰場」,賴清德認為,這是配合中國的文宣,但禁不起檢驗,因為民進黨還沒執政前,兩岸就發生過戰爭,包括八二三砲戰、古寧頭戰役等,中國要併吞台灣不是最近的事、不是民進黨執政之後的事。",L1-03,文本核心在反駁對兩岸軍事衝突的指控，聚焦於中國對台灣的安全威脅與歷史戰爭事件,L2-07|L2-08,建構中國併吞台灣的系統性危機，並將中國設定為具有惡意威脅的共同敵人,"中國要併吞台灣不是最近的事|兩岸就發生過戰爭,包括八二三砲戰、古寧頭戰役等|這是配合中國的文宣",反駁政治指控|歷史戰爭論證|中國威脅論述,反駁性論述|歷史例證|指控性語言,票投民進黨、青年上戰場|中國要併吞台灣|配合中國的文宣,high,,,validation_set
12,侯友宜,KMT,news,2023/9/19 3:20,"(編輯:林克倫)1120919 共機擾台103架次創新高 侯友宜:無助兩岸和平 美最高將領:中國攻台門檻極高且是嚴重戰略錯誤[影] 侯友宜赴AIT華府總部會談一小時 羅森柏格親迎接 華府智庫座談 侯友宜:台灣願為印太和平負起責任 侯友宜馬拉松式拜會美議員 晤參院軍委會要角 侯友宜舊金山僑宴 南非武官之子小查克出席致謝 訪美返國 侯友宜:美方關心台海局勢、重視此行 藍白政黨協商30日登場 朱立倫:不是為個別政黨考量 選出最強總統參選人 朱立倫:我與侯柯一起坐下來談 美議員憂拜登政府援烏排擠對台支持 專家不認同 學者:賴清德過境台美緊密協調 展現長期互信 2025/05/24 10:37 2025/05/20 12:58 2025/05/20 10:36 2025/05/15 14:21 2025/05/15 14:16 2025/05/15 13:34 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。",L1-03,文本核心聚焦共機擾台、台海局勢、軍事安全等安全威脅議題，證據包括'共機擾台103架次創新高'、'美方關心台海局勢'等,L2-07|L2-08|L2-04,L2-07體現在共機擾台創新高建構安全危機；L2-08將中國設定為安全威脅來源；L2-04透過美方關切與國際協調尋求國際合法性,共機擾台103架次創新高|美方關心台海局勢、重視此行|台灣願為印太和平負起責任,軍事安全威脅|國際協調合作|兩岸和平維護,危機敘事|國際化表述|責任承諾,共機擾台|兩岸和平|印太和平,high,,,validation_set
13,侯友宜,KMT,news,2023/7/25 12:59,"游盈隆說,侯友宜過去8個月的支持度大起大落,最高是去年12月地方大選剛結束時的38.7%,最低是本月的20.2%,等於腰斬;",L1-09,文本聚焦侯友宜支持度變化對選情的影響，核心在政治後果分析,L2-09,通過具體數據對比支持度變化，凸顯政治競爭中的差距與趨勢,"侯友宜過去8個月的支持度大起大落|最高是去年12月地方大選剛結束時的38.7%,最低是本月的20.2%,等於腰斬",政治人物支持度追蹤|選舉週期影響分析|量化指標比較,數據化表述|趨勢分析語氣|客觀陳述,支持度大起大落|腰斬,high,,,validation_set
14,侯友宜,KMT,news,2023/8/2 19:01,"侯友宜談訪日感受:日本政要憂慮台海危機 2023/8/2 19:01 (8/2 19:18 更新) (中央社記者王承中台北2日電)國民黨總統參選人侯友宜今天結束訪日行程返台,他表示,訪日見到的日本政要、意見領袖,包括前首相麻生太郎,都在關心台海局勢,充分展現日方對台海危機的憂慮,而他也充分表達「我要用我的生命顧台灣,至死不渝」。",L1-03,文本核心聚焦日本政要对台海局势的担忧，明确提及'台海危机'这一安全威胁。,L2-07|L2-14,L2-07体现于'台海危机'的集体威胁建构；L2-14体现于'用我的生命顾台湾'的团结行动号召。,"日本政要、意见领袖...都在关心台海局势|充分展现日方对台海危机的忧虑|我要用我的生命顾台湾,至死不渝",台海安全危机|外部关切台海局势|生命守护台湾承诺,危机忧患表述|生命誓言修辞,台海危机|用我的生命顾台湾,high,,,validation_set
15,侯友宜,KMT,news,2023/8/21 9:55,"游盈隆指出,這項發現傳達了一個清楚且重要的訊息,那就是,2024台灣總統選情已經發生巨變,賴清德支持度4成3,創個人歷史新高,比2019年同月蔡英文支持度更高出2個百分點,遙遙領先柯文哲與侯友宜。",L1-09,文本核心在分析選情變化對政治格局的影響，包括支持度比較與領先幅度,L2-01,文本將台灣總統選舉作為國家政治進程，預設台灣作為政治主體,"2024台灣總統選情已經發生巨變|賴清德支持度4成3,創個人歷史新高|遙遙領先柯文哲與侯友宜",選情分析|支持度比較|領先幅度,數據化表述|權威專家觀點,台灣總統選情,high,,,validation_set
16,侯友宜,KMT,news,2023/8/30 11:07,"而龔正繼昨天提到「血濃於水」,今天致詞再一次說「兩岸同胞血濃於水,手足情深」,要和平、發展、交流、合作,是「兩岸民族」的共同心聲,將以更開放、更務實的舉措,讓更多的台灣民眾到中國、上海看一看,尤其是對台灣青年人在上海發展提供更加有利的幫助。",L1-08,文本聚焦於兩岸政策內容的闡述與具體措施規劃，包括交流合作、青年發展等政策方向,L2-13|L2-14,L2-13體現在描繪兩岸和平發展的共同願景，L2-14體現在呼籲兩岸同胞加強交流合作,"兩岸同胞血濃於水,手足情深|要和平、發展、交流、合作,是「兩岸民族」的共同心聲|讓更多的台灣民眾到中國、上海看一看",兩岸親情論述|和平發展願景|青年交流政策,情感化措辭|願景導向|政策承諾語氣,血濃於水|手足情深|兩岸民族,high,,,validation_set
