doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date,preprocessed_text,hard_rule_keep,hard_rule_reason,policy_gate,policy_gate_reason,priority_keep,semantic_status,semantic_similarity,nli_status,nli_score,key_hit,final_status,_source_file,_corpus_tier
_c7c910b000fc,_c7c910b000fc_u000,"現任中正萬華無黨籍立委林昶佐決定不競選連任,各黨都紛紛派出人選要來競逐該區立委。",context,,知名主持人于美人以「萬中選一黨」宣布參選台北市第五選區(中正、萬華)立委。,[],[],False,,c19ad4923f3968ac77fada77378d5908,False,01_Ho_tvbs_news.csv,2023-04-20 19:43:00,"現任中正萬華無黨籍立委林昶佐決定不競選連任,各黨都紛紛派出人選要來競逐該區立委。",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.6249082684516907,,,True,KEEP,01_news_datasets/01_Ho_tvbs_news_units.csv,1
_c7c910b000fc,_c7c910b000fc_u001,知名主持人于美人以「萬中選一黨」宣布參選台北市第五選區(中正、萬華)立委。,context,"現任中正萬華無黨籍立委林昶佐決定不競選連任,各黨都紛紛派出人選要來競逐該區立委。",現任中正萬華無黨籍立委林昶佐決定不競選連任。,[],[],False,,e716802008cb1265520775f4b46a3be6,False,01_Ho_tvbs_news.csv,2023-04-20 19:43:00,知名主持人于美人以「萬中選一黨」宣布參選台北市第五選區(中正、萬華)立委。,True,institution_only,True,gate: core_election,False,KEEP,0.6384274959564209,,,True,KEEP,01_news_datasets/01_Ho_tvbs_news_units.csv,1
_c7c910b000fc,_c7c910b000fc_u003,現任中正萬華無黨籍立委林昶佐決定不競選連任。,context,知名主持人于美人以「萬中選一黨」宣布參選台北市第五選區(中正、萬華)立委。,,[],[],False,,55fa12d35131bdc35641a922a1950a7c,False,01_Ho_tvbs_news.csv,2023-04-20 19:43:00,現任中正萬華無黨籍立委林昶佐決定不競選連任。,True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.5025330185890198,,,True,KEEP,01_news_datasets/01_Ho_tvbs_news_units.csv,1
_09d6836fc7b2,_09d6836fc7b2_u000,"民進黨總統候選人賴清德的萬里老家,遭對手質疑為違建,網友也看準Google地圖增加標示的便利性,因此把他住家和周邊地方惡搞加註各種「賴皮」的名稱!",claim,,"2024總統大選 TVBS報票員招募中 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 快來下載TVBS新聞APP,天天打卡抽咖啡 全新百貨級菜市場正式開幕!","[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""民進黨"", ""party"": ""DPP""}]",[],False,,0750b9fe0324975943ec4aebf99bb553,False,01_Ho_tvbs_news.csv,2023-12-19 19:53:00,"民進黨總統候選人賴清德的萬里老家,遭對手質疑為違建,網友也看準Google地圖增加標示的便利性,因此把他住家和周邊地方惡搞加註各種「賴皮」的名稱!",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.5802414417266846,,,True,KEEP,01_news_datasets/01_Ho_tvbs_news_units.csv,1
_09d6836fc7b2,_09d6836fc7b2_u002,"2024總統大選 TVBS報票員招募中 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 快來下載TVBS新聞APP,天天打卡抽咖啡 全新百貨級菜市場正式開幕!",context,"民進黨總統候選人賴清德的萬里老家,遭對手質疑為違建,網友也看準Google地圖增加標示的便利性,因此把他住家和周邊地方惡搞加註各種「賴皮」的名稱!",,[],[],False,,65990df8eec8f36aed59c5c90c934411,False,01_Ho_tvbs_news.csv,2023-12-19 19:53:00,"2024總統大選 TVBS報票員招募中 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 新北耶誕城「桑塔熊回歸」必看光雕秀 活動時間、交通攻略 快來下載TVBS新聞APP,天天打卡抽咖啡 全新百貨級菜市場正式開幕!",True,institution_only,True,gate: core_election,False,KEEP,0.5203911066055298,,,True,KEEP,01_news_datasets/01_Ho_tvbs_news_units.csv,1
_e2b6c7a11314,_e2b6c7a11314_u000,"第二場總統電視政見發表會後,國民黨總統候選人侯友宜向媒體發表了4分鐘的談話,表示賴清德花了一半時間在抹黑、抹紅他,「這是我最不能接受的」。",claim,,"政見會後,侯友宜比出佛光山「你好」手勢。","[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""侯友宜"", ""party"": ""KMT""}, {""name"": ""國民黨"", ""party"": ""KMT""}]","[""政見發表會|procedure""]",True,debate/manifesto,463b586a38d32d9216da91f19df2dc80,False,01_Ho_tvbs_news.csv,2023-12-26 18:10:00,"第二場總統電視政見發表會後,國民黨總統候選人侯友宜向媒體發表了4分鐘的談話,表示賴清德花了一半時間在抹黑、抹紅他,「這是我最不能接受的」。",True,cooccur: actor×institution,True,gate: actor×inst,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/01_Ho_tvbs_news_units.csv,1
_e2b6c7a11314,_e2b6c7a11314_u002,"政見會後,侯友宜比出佛光山「你好」手勢。",context,"第二場總統電視政見發表會後,國民黨總統候選人侯友宜向媒體發表了4分鐘的談話,表示賴清德花了一半時間在抹黑、抹紅他,「這是我最不能接受的」。",2023國內外10大新聞哪個議題最有感?,"[{""name"": ""侯友宜"", ""party"": ""KMT""}]",[],False,debate/manifesto,2a4cdb8910faadc2db4cc9edaa23ac06,False,01_Ho_tvbs_news.csv,2023-12-26 18:10:00,"政見會後,侯友宜比出佛光山「你好」手勢。",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.5348051190376282,,,True,KEEP,01_news_datasets/01_Ho_tvbs_news_units.csv,1
_e2b6c7a11314,_e2b6c7a11314_u005,2023國內外10大新聞哪個議題最有感?,context,"政見會後,侯友宜比出佛光山「你好」手勢。",TVBS陪你回顧 2024總統大選 TVBS報票員招募中 年度夢幻車款你選誰?,[],[],False,,200cca8326a55c6ba343f0b5e50bde74,False,01_Ho_tvbs_news.csv,2023-12-26 18:10:00,2023國內外10大新聞哪個議題最有感?,True,institution_only,False,,False,KEEP,0.4650447368621826,,,False,REVIEW,01_news_datasets/01_Ho_tvbs_news_units.csv,1
_e2b6c7a11314,_e2b6c7a11314_u006,TVBS陪你回顧 2024總統大選 TVBS報票員招募中 年度夢幻車款你選誰?,context,2023國內外10大新聞哪個議題最有感?,,[],[],False,,1a0c0d42e42f29da6c487d877b761536,False,01_Ho_tvbs_news.csv,2023-12-26 18:10:00,TVBS陪你回顧 2024總統大選 TVBS報票員招募中 年度夢幻車款你選誰?,True,institution_only,True,gate: core_election,False,KEEP,0.6175435781478882,,,True,KEEP,01_news_datasets/01_Ho_tvbs_news_units.csv,1
_feb0f8b78318,_feb0f8b78318_u000,副總統賴清德今(3日)出席國家住都中心在高雄市三民區興建的「本和安居」社宅舉行的動土典禮。,context,,"賴清德致詞時表示,總統蔡英文卸任前,「總共20萬戶社宅是一定會兌現的」,並加碼喊出社宅目前12萬戶,要再加13萬戶,共25萬戶;","[{""name"": ""賴清德"", ""party"": ""DPP""}]","[""社宅|housing""]",False,,a08f13a865bb6c10ec7dbc1cb5d64b4e,False,01_Ho_tvbs_news.csv,2023-08-03 14:01:00,副總統賴清德今(3日)出席國家住都中心在高雄市三民區興建的「本和安居」社宅舉行的動土典禮。,True,cooccur: actor×institution,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/01_Ho_tvbs_news_units.csv,1
_feb0f8b78318,_feb0f8b78318_u001,"賴清德致詞時表示,總統蔡英文卸任前,「總共20萬戶社宅是一定會兌現的」,並加碼喊出社宅目前12萬戶,要再加13萬戶,共25萬戶;",claim,副總統賴清德今(3日)出席國家住都中心在高雄市三民區興建的「本和安居」社宅舉行的動土典禮。,(圖/總統府提供) 副總統賴清德。,"[{""name"": ""賴清德"", ""party"": ""DPP""}]","[""社宅|housing""]",False,,841a6e143df7f1f808a29aca534ee590,False,01_Ho_tvbs_news.csv,2023-08-03 14:01:00,"賴清德致詞時表示,總統蔡英文卸任前,「總共20萬戶社宅是一定會兌現的」,並加碼喊出社宅目前12萬戶,要再加13萬戶,共25萬戶;",True,cooccur: actor×institution,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/01_Ho_tvbs_news_units.csv,1
_feb0f8b78318,_feb0f8b78318_u006,(圖/總統府提供) 副總統賴清德。,context,"賴清德致詞時表示,總統蔡英文卸任前,「總共20萬戶社宅是一定會兌現的」,並加碼喊出社宅目前12萬戶,要再加13萬戶,共25萬戶;","(圖/總統府提供) 賴清德說,「我希望在這個基礎上,擴大年輕人的居住需求。」他說明,社宅目前12萬戶,要再加13萬戶,總共25萬戶;","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],False,,94e841bf156db42e54e7bd384b7ff800,False,01_Ho_tvbs_news.csv,2023-08-03 14:01:00,(圖/總統府提供) 副總統賴清德。,True,cooccur: actor×institution,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/01_Ho_tvbs_news_units.csv,1
_feb0f8b78318,_feb0f8b78318_u007,"(圖/總統府提供) 賴清德說,「我希望在這個基礎上,擴大年輕人的居住需求。」他說明,社宅目前12萬戶,要再加13萬戶,總共25萬戶;",claim,(圖/總統府提供) 副總統賴清德。,(圖/總統府提供) 超神準數字測驗!,"[{""name"": ""賴清德"", ""party"": ""DPP""}]","[""社宅|housing""]",False,,f03705990519ceedbeb4c3ff3acd0b43,False,01_Ho_tvbs_news.csv,2023-08-03 14:01:00,"(圖/總統府提供) 賴清德說,「我希望在這個基礎上,擴大年輕人的居住需求。」他說明,社宅目前12萬戶,要再加13萬戶,總共25萬戶;",True,cooccur: actor×institution,True,gate: taiwanicity=3,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/01_Ho_tvbs_news_units.csv,1
