pair,raw_OR,fdsm_ratio,sign_agree
01-02,10.122,1.457,True
01-03,4.977,1.202,True
01-04,1.923,0.886,False
01-05,2.261,0.945,False
01-06,3.239,1.093,True
01-07,1.45,0.978,False
01-08,3.393,1.11,True
02-03,1.647,0.904,False
02-04,4.699,1.155,True
02-05,4.756,1.041,True
02-06,1.486,0.901,False
02-07,1.514,0.88,False
02-08,9.48,1.415,True
03-04,2.003,0.885,False
03-05,1.464,0.839,False
03-06,3.51,1.144,True
03-07,2.212,1.171,True
03-08,1.535,0.712,False
04-05,2.189,1.015,True
04-06,2.896,1.256,True
04-07,1.424,0.888,False
04-08,4.976,1.157,True
05-06,1.257,0.87,False
05-07,1.475,0.967,False
05-08,2.526,0.996,False
06-07,1.518,0.902,False
06-08,1.716,0.843,False
07-08,3.726,1.08,True
