item_id,app_id,camp,genre,disagreement_type,gpt_l207,ds_l207,human_junyu,human_z,gold_source,gold_l207
A001,9001,KMT,news,gpt_true_ds_false,True,False,False,False,consensus,False
A002,9002,TPP,news,gpt_true_ds_false,True,False,True,False,z,False
A003,9003,DPP,news,gpt_false_ds_true,False,True,True,True,consensus,True
A004,9004,KMT,news,both_true,True,True,True,True,consensus,True
A005,9005,KMT,news,gpt_false_ds_true,False,True,True,True,consensus,True
A006,9006,KMT,news,gpt_false_ds_true,False,True,True,True,consensus,True
A007,9007,DPP,news,gpt_true_ds_false,True,False,True,True,consensus,True
A008,9008,DPP,news,gpt_false_ds_true,False,True,True,True,consensus,True
A009,9009,KMT,news,gpt_true_ds_false,True,False,False,False,consensus,False
A010,9010,TPP,news,gpt_false_ds_true,False,True,False,False,consensus,False
A011,9011,KMT,news,gpt_false_ds_true,False,True,True,False,worksheet(=True),True
A012,9012,TPP,news,both_false,False,False,False,False,consensus,False
A013,9013,TPP,debate,gpt_false_ds_true,False,True,True,True,consensus,True
A014,9014,TPP,news,gpt_true_ds_false,True,False,False,False,consensus,False
A015,9015,TPP,news,gpt_true_ds_false,True,False,False,False,consensus,False
A016,9016,TPP,news,gpt_false_ds_true,False,True,False,False,consensus,False
A017,9017,KMT,news,gpt_false_ds_true,False,True,False,False,consensus,False
A018,9018,TPP,news,both_true,True,True,False,False,consensus,False
A019,9019,KMT,news,gpt_true_ds_false,True,False,False,False,consensus,False
A020,9020,DPP,news,gpt_true_ds_false,True,False,False,False,consensus,False
A021,9021,KMT,news,gpt_false_ds_true,False,True,False,False,consensus,False
A022,9022,TPP,news,gpt_true_ds_false,True,False,True,True,consensus,True
A023,9023,DPP,news,gpt_false_ds_true,False,True,True,False,worksheet(=True),True
A024,9024,KMT,news,gpt_false_ds_true,False,True,False,False,consensus,False
A025,9025,TPP,news,gpt_false_ds_true,False,True,False,False,consensus,False
A026,9026,DPP,news,gpt_false_ds_true,False,True,True,False,z,False
A027,9027,DPP,news,gpt_true_ds_false,True,False,True,False,z,False
A028,9028,KMT,debate,gpt_true_ds_false,True,False,False,False,consensus,False
A029,9029,DPP,news,both_false,False,False,False,False,consensus,False
A030,9030,DPP,news,gpt_true_ds_false,True,False,False,False,consensus,False
A031,9031,TPP,news,gpt_false_ds_true,False,True,False,False,consensus,False
A032,9032,DPP,news,both_true,True,True,False,False,consensus,False
A033,9033,KMT,news,gpt_true_ds_false,True,False,True,False,z,False
A034,9034,DPP,news,gpt_true_ds_false,True,False,False,False,consensus,False
A035,9035,KMT,news,gpt_true_ds_false,True,False,False,False,consensus,False
A036,9036,DPP,debate,both_false,False,False,False,False,consensus,False
A037,9037,DPP,news,both_true,True,True,True,True,consensus,True
A038,9038,DPP,news,gpt_false_ds_true,False,True,True,False,z,False
A039,9039,KMT,news,both_false,False,False,False,False,consensus,False
A040,9040,KMT,news,gpt_true_ds_false,True,False,False,False,consensus,False
A041,9041,KMT,news,both_true,True,True,True,True,consensus,True
A042,9042,TPP,news,gpt_true_ds_false,True,False,False,False,consensus,False
A043,9043,KMT,news,gpt_false_ds_true,False,True,True,False,worksheet(=True),True
A044,9044,TPP,news,gpt_false_ds_true,False,True,False,False,consensus,False
A045,9045,DPP,news,gpt_false_ds_true,False,True,True,False,worksheet(=True),True
A046,9046,TPP,news,gpt_true_ds_false,True,False,True,False,z,False
A047,9047,DPP,news,gpt_true_ds_false,True,False,False,False,consensus,False
A048,9048,DPP,news,gpt_false_ds_true,False,True,True,False,worksheet(=True),True
A049,9049,DPP,news,gpt_true_ds_false,True,False,False,False,consensus,False
A050,9050,TPP,news,both_false,False,False,False,False,consensus,False
