id,candidate,party,source_type,date,sentence,L1_label_v2,L2_labels
9001,—,ARB,l207_arbitration,—,"【本題判定標籤：L2-07 凝聚與願景動員 — 使用 v11 定義，非側欄 codebook 顯示的 v10 版本】
核心判準：這句話是否承載「方向性、未來性或行動指向」？不限顯性呼籲詞——政策意願（「政府應該/必須」「持續推動」）、未來願景（「成為...」「打造...」）、集體行動事件報導、批評隱含的反向期待，皆可觸發。純事實陳述/無方向性報導→不標；主權宣示無行動指向→屬L2-01；純成就數字無行動指向→屬L2-06；民主價值定義無動員→屬L2-08。完整定義見專案 INSTRUCTIONS.md。

⟪前句·僅供語境⟫
柯文哲帶立委參選人拉抬聲量 批藍綠本一家 2023/12/2 16:28 (12/2 16:57 更新) (中央社記者吳昇鴻新北2日電)2024年大選升溫,民眾黨總統參選人柯文哲今天扮演「母雞」帶著「小雞」拉抬聲勢,他批評,國民黨只攻擊他,不攻擊民進黨總統參選人賴清德,因為「藍綠本來就一家」,民進黨吃肉,國民黨多少可以分到骨頭啃,變成共犯結構。

▶▶ 待判句 ▶▶
柯文哲上午與民眾黨立委張其祿在木新市場掃街拜票,下午出席民眾黨立委邱臣遠中和聯合競選總部成立大會,民眾黨副總統參選人吳欣盈也與會。

⟪後句·僅供語境⟫
柯文哲到場致詞時表示,新北立委中和選區三腳督,民進黨立委參選人吳崢空降、國民黨立委參選人張智倫是政二代,只有邱臣遠有政見與資歷,中和就像台灣政壇縮影,民進黨代表執政黨,國民黨代表過去勢力,只有民眾黨是未來希望。

請在下方「L2 子框架」勾選是否含 L2-07（可一併勾其他 L2，但本輪重點只看 L2-07）。L1 主框架本輪不計分，可任選。",,
9002,—,ARB,l207_arbitration,—,"【本題判定標籤：L2-07 凝聚與願景動員 — 使用 v11 定義，非側欄 codebook 顯示的 v10 版本】
核心判準：這句話是否承載「方向性、未來性或行動指向」？不限顯性呼籲詞——政策意願（「政府應該/必須」「持續推動」）、未來願景（「成為...」「打造...」）、集體行動事件報導、批評隱含的反向期待，皆可觸發。純事實陳述/無方向性報導→不標；主權宣示無行動指向→屬L2-01；純成就數字無行動指向→屬L2-06；民主價值定義無動員→屬L2-08。完整定義見專案 INSTRUCTIONS.md。

▶▶ 待判句 ▶▶
(12/24 14:47 更新) (中央社記者林巧璉高雄23日電)民眾黨總統候選人柯文哲今天出席高雄岡山「齊聚高雄挺柯P」造勢活動,主辦單位宣稱現場超過4萬人。

⟪後句·僅供語境⟫
柯文哲晚間8點25分左右抵達岡山河華路現場,大進場花了近20分鐘,一路與支持者擊掌、握手,現場支持者熱烈歡迎高喊「總統好」、「阿北我愛你」等不絕於耳。

請在下方「L2 子框架」勾選是否含 L2-07（可一併勾其他 L2，但本輪重點只看 L2-07）。L1 主框架本輪不計分，可任選。",,
9003,—,ARB,l207_arbitration,—,"【本題判定標籤：L2-07 凝聚與願景動員 — 使用 v11 定義，非側欄 codebook 顯示的 v10 版本】
核心判準：這句話是否承載「方向性、未來性或行動指向」？不限顯性呼籲詞——政策意願（「政府應該/必須」「持續推動」）、未來願景（「成為...」「打造...」）、集體行動事件報導、批評隱含的反向期待，皆可觸發。純事實陳述/無方向性報導→不標；主權宣示無行動指向→屬L2-01；純成就數字無行動指向→屬L2-06；民主價值定義無動員→屬L2-08。完整定義見專案 INSTRUCTIONS.md。

⟪前句·僅供語境⟫
他分析,台灣總統大選是「親中乞和、謀統一」及「親美日抗中保台」這兩股力量在競爭,即使這兩股勢力的支持度各占5成,他也不相信有5成的台灣人願意接受中共統治。

▶▶ 待判句 ▶▶
他指出,從目前已表態或有意參選2024年總統大選的4人來看,只有賴清德有總統的樣子,其他3人沒有總統樣,只會說「下架民進黨」,卻提不出具體的治國願景。

⟪後句·僅供語境⟫
有關台灣的安全議題,余宗基在演講表示,此次訪日也拜會了日本的多位退將,他發現除了大家討論的「台灣有事即日本有事」,日方也慢慢地建立起「日本有事即台灣有事」的概念。

請在下方「L2 子框架」勾選是否含 L2-07（可一併勾其他 L2，但本輪重點只看 L2-07）。L1 主框架本輪不計分，可任選。",,
9004,—,ARB,l207_arbitration,—,"【本題判定標籤：L2-07 凝聚與願景動員 — 使用 v11 定義，非側欄 codebook 顯示的 v10 版本】
核心判準：這句話是否承載「方向性、未來性或行動指向」？不限顯性呼籲詞——政策意願（「政府應該/必須」「持續推動」）、未來願景（「成為...」「打造...」）、集體行動事件報導、批評隱含的反向期待，皆可觸發。純事實陳述/無方向性報導→不標；主權宣示無行動指向→屬L2-01；純成就數字無行動指向→屬L2-06；民主價值定義無動員→屬L2-08。完整定義見專案 INSTRUCTIONS.md。

⟪前句·僅供語境⟫
另一方面,應推動勞、資、政3方共同負擔的長照保險,確保勞工退休生活。

▶▶ 待判句 ▶▶
政府也要適度開放移工,採類別總量管制,並強化國對國直聘,增設培訓機構、放寬移工自由轉換、縮短雇主等待期。

⟪後句·僅供語境⟫
媒體詢問如何看待網路流傳政府可能引進10萬名印度移工。

請在下方「L2 子框架」勾選是否含 L2-07（可一併勾其他 L2，但本輪重點只看 L2-07）。L1 主框架本輪不計分，可任選。",,
9005,—,ARB,l207_arbitration,—,"【本題判定標籤：L2-07 凝聚與願景動員 — 使用 v11 定義，非側欄 codebook 顯示的 v10 版本】
核心判準：這句話是否承載「方向性、未來性或行動指向」？不限顯性呼籲詞——政策意願（「政府應該/必須」「持續推動」）、未來願景（「成為...」「打造...」）、集體行動事件報導、批評隱含的反向期待，皆可觸發。純事實陳述/無方向性報導→不標；主權宣示無行動指向→屬L2-01；純成就數字無行動指向→屬L2-06；民主價值定義無動員→屬L2-08。完整定義見專案 INSTRUCTIONS.md。

⟪前句·僅供語境⟫
侯友宜也說,減稅加薪到底有沒有用是良性循環問題,政府要便民、利民、愛民,便民是要給企業方便,政府效能是決定企業是否賺錢的關鍵,政府要鬆綁法令,協助企業跟國際接軌,並大力開放全球佈局,打開區域經濟貿易,企業賺錢來為員工加薪,會比政府訂定差額稅率更有效果。

▶▶ 待判句 ▶▶
侯友宜表示,目前勞保投資基金報酬率不夠好,整個委外制度要大幅改變,應參考績優國外大型基金投資方式,優化勞保基金投資方式,且必須公開透明,確保有一定的投資報酬率,才能照顧好勞工。

⟪後句·僅供語境⟫
侯友宜表示,利民是指政府不能只考慮自己稅收問題,而是要想政府少賺一點、讓企業多賺些並回饋給勞工。

請在下方「L2 子框架」勾選是否含 L2-07（可一併勾其他 L2，但本輪重點只看 L2-07）。L1 主框架本輪不計分，可任選。",,
9006,—,ARB,l207_arbitration,—,"【本題判定標籤：L2-07 凝聚與願景動員 — 使用 v11 定義，非側欄 codebook 顯示的 v10 版本】
核心判準：這句話是否承載「方向性、未來性或行動指向」？不限顯性呼籲詞——政策意願（「政府應該/必須」「持續推動」）、未來願景（「成為...」「打造...」）、集體行動事件報導、批評隱含的反向期待，皆可觸發。純事實陳述/無方向性報導→不標；主權宣示無行動指向→屬L2-01；純成就數字無行動指向→屬L2-06；民主價值定義無動員→屬L2-08。完整定義見專案 INSTRUCTIONS.md。

⟪前句·僅供語境⟫
第三輪政見發表,賴清德要求對手「不要傻傻的跟著中國定義台獨,也不要跟著中國一直檢討受害的台灣。」 他向侯柯表示,「在中國的眼中,我們3人站在這裡參選總統通通都是台獨,你們接不接受?如果你們接受這就是台獨,難不成你們是在選特首?」 賴清德細數8年執政成績,他說,「如果8年前是其他路線贏得選舉,那經過8年來的國內外挑戰,台灣會變成什麼樣子?」 政見會後,媒體提問,網友認為賴清德口才氣勢比另外兩位要好。

▶▶ 待判句 ▶▶
他並向內政部、地方政府喊話說,全國有32公頃、上面有成千上萬的礦工住戶,這些都需要幫忙。

⟪後句·僅供語境⟫
賴清德還說,他在政見會邀請侯柯分別把房子跟土地也交付公益信託,但他們沒有回答他,「也許記者可以去問他們,為什麼沒有回答我的問題」。

請在下方「L2 子框架」勾選是否含 L2-07（可一併勾其他 L2，但本輪重點只看 L2-07）。L1 主框架本輪不計分，可任選。",,
9007,—,ARB,l207_arbitration,—,"【本題判定標籤：L2-07 凝聚與願景動員 — 使用 v11 定義，非側欄 codebook 顯示的 v10 版本】
核心判準：這句話是否承載「方向性、未來性或行動指向」？不限顯性呼籲詞——政策意願（「政府應該/必須」「持續推動」）、未來願景（「成為...」「打造...」）、集體行動事件報導、批評隱含的反向期待，皆可觸發。純事實陳述/無方向性報導→不標；主權宣示無行動指向→屬L2-01；純成就數字無行動指向→屬L2-06；民主價值定義無動員→屬L2-08。完整定義見專案 INSTRUCTIONS.md。

⟪前句·僅供語境⟫
副總統賴清德上午在總統府接見中華民國診所協會全國聯合會重要幹部致詞表示,很高興與大家在總統府見面,代表總統蔡英文感謝大家的辛勞,不管是平常在第一線守護民眾的健康,或者在疫情期間站在第一線協助政府防疫,這樣繁重的工作,大家都一肩扛起,也在全國民眾共同團結之下,走過了疫情。

▶▶ 待判句 ▶▶
賴副總統表示,未來挑戰仍多,還有許許多多問題亟待克服;

⟪後句·僅供語境⟫
賴副總統指出,健保法從民國84年開始,已經將近30年,發揮了非常大的功能,除了提供全民納保、醫師在這個制度之下守護民眾與健康服務以外,其實還有一個很重大的社會功能,在過去沒有健保制度的時代,醫療支出常常是一個家庭突然之間非常大量的支出。

請在下方「L2 子框架」勾選是否含 L2-07（可一併勾其他 L2，但本輪重點只看 L2-07）。L1 主框架本輪不計分，可任選。",,
9008,—,ARB,l207_arbitration,—,"【本題判定標籤：L2-07 凝聚與願景動員 — 使用 v11 定義，非側欄 codebook 顯示的 v10 版本】
核心判準：這句話是否承載「方向性、未來性或行動指向」？不限顯性呼籲詞——政策意願（「政府應該/必須」「持續推動」）、未來願景（「成為...」「打造...」）、集體行動事件報導、批評隱含的反向期待，皆可觸發。純事實陳述/無方向性報導→不標；主權宣示無行動指向→屬L2-01；純成就數字無行動指向→屬L2-06；民主價值定義無動員→屬L2-08。完整定義見專案 INSTRUCTIONS.md。

⟪前句·僅供語境⟫
副總統認為,社會上有許多身心障礙者,但有「愛」,就能讓障礙者無「礙」,這是大家共同努力的成果。

▶▶ 待判句 ▶▶
談及政府為身心障礙者所做的努力,副總統指出,為照顧身心障礙者,政府致力建置更完善的制度來減輕身心障礙者家庭的負擔。

⟪後句·僅供語境⟫
賴副總統說,行政院已通過「身心障礙照顧服務布建計畫」,預計於113年至117年間,在5年內投入480億餘元預算,增加1355名社工,增設身心障礙家庭照顧服務據點至200處、社區居住及日間照顧據點至1812處,可增加服務1萬4572人。

請在下方「L2 子框架」勾選是否含 L2-07（可一併勾其他 L2，但本輪重點只看 L2-07）。L1 主框架本輪不計分，可任選。",,
9009,—,ARB,l207_arbitration,—,"【本題判定標籤：L2-07 凝聚與願景動員 — 使用 v11 定義，非側欄 codebook 顯示的 v10 版本】
核心判準：這句話是否承載「方向性、未來性或行動指向」？不限顯性呼籲詞——政策意願（「政府應該/必須」「持續推動」）、未來願景（「成為...」「打造...」）、集體行動事件報導、批評隱含的反向期待，皆可觸發。純事實陳述/無方向性報導→不標；主權宣示無行動指向→屬L2-01；純成就數字無行動指向→屬L2-06；民主價值定義無動員→屬L2-08。完整定義見專案 INSTRUCTIONS.md。

▶▶ 待判句 ▶▶
(12/13 15:00 更新) (中央社記者郭建伸台北13日電)民眾黨總統參選人柯文哲在民調中受到較多年輕人青睞,民眾黨這次選戰也充分運用新媒體,在YouTube、臉書等社群平台宣傳,加上YouTuber協助直播街講,線上線下串連,期盼突破同溫層。

⟪後句·僅供語境⟫
柯文哲賴清德侯友宜拚2024總統大選 7大政見比一比 選票流向攸關勝負 年輕人擺脫意識型態看政見投票 民眾黨發言人李頂立表示,抗中保台、統獨議題左右選舉的力道,已經逐年減弱,今年大選主軸也與4年前、8年前完全不同,年輕人與中間選民在意的是民生議題,包含低薪、高房價、產業缺工、勞保,能務實解決民生問題的總統參選人,最後才有可能出線。

請在下方「L2 子框架」勾選是否含 L2-07（可一併勾其他 L2，但本輪重點只看 L2-07）。L1 主框架本輪不計分，可任選。",,
9010,—,ARB,l207_arbitration,—,"【本題判定標籤：L2-07 凝聚與願景動員 — 使用 v11 定義，非側欄 codebook 顯示的 v10 版本】
核心判準：這句話是否承載「方向性、未來性或行動指向」？不限顯性呼籲詞——政策意願（「政府應該/必須」「持續推動」）、未來願景（「成為...」「打造...」）、集體行動事件報導、批評隱含的反向期待，皆可觸發。純事實陳述/無方向性報導→不標；主權宣示無行動指向→屬L2-01；純成就數字無行動指向→屬L2-06；民主價值定義無動員→屬L2-08。完整定義見專案 INSTRUCTIONS.md。

⟪前句·僅供語境⟫
如今戰貓的性格,成了蕭美琴與國際友人往來互動時的代表性精神。

▶▶ 待判句 ▶▶
賴清德競選總部發言人郭雅慧表示,期待透過「Bi-khim 戰貓喵喵喵」的全新系列節目,讓大眾能看到蕭美琴平時鮮少透露的面向,未來也預計會陸續推出其他集數,讓民眾能更直接、全面地認識蕭美琴。

請在下方「L2 子框架」勾選是否含 L2-07（可一併勾其他 L2，但本輪重點只看 L2-07）。L1 主框架本輪不計分，可任選。",,
9011,—,ARB,l207_arbitration,—,"【本題判定標籤：L2-07 凝聚與願景動員 — 使用 v11 定義，非側欄 codebook 顯示的 v10 版本】
核心判準：這句話是否承載「方向性、未來性或行動指向」？不限顯性呼籲詞——政策意願（「政府應該/必須」「持續推動」）、未來願景（「成為...」「打造...」）、集體行動事件報導、批評隱含的反向期待，皆可觸發。純事實陳述/無方向性報導→不標；主權宣示無行動指向→屬L2-01；純成就數字無行動指向→屬L2-06；民主價值定義無動員→屬L2-08。完整定義見專案 INSTRUCTIONS.md。

⟪前句·僅供語境⟫
黃暐瀚說,他可以理解前總統馬英九返鄉祭祖時說「兩岸都是中國人」的論調,但現在生活在台灣的2300萬人,大多數都只想當個「中華民國的國民」、當「台灣人」,但對岸卻告訴全世界「台灣只是中國的一部分,是一個省,不是一個國家,世上只有一個中國,叫中華人民共和國」,台灣年輕人當然越來越不喜歡聽到「中國」,因為中國代表的是「對岸」,「中國」2字已難聯想到「中華民國」。

▶▶ 待判句 ▶▶
黃暐瀚認為,「九二共識」或許真能幫助台灣解決短期內兩岸引發戰爭的問題,但「一個中國」走到最後,台灣終究只能是「一區一省」,進而失去主權,「變成香港」,「說到戰爭,我想沒人願意,但要大家沒自由、沒尊嚴的活,很多台灣民眾,也不願意」。

請在下方「L2 子框架」勾選是否含 L2-07（可一併勾其他 L2，但本輪重點只看 L2-07）。L1 主框架本輪不計分，可任選。",,
