doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date,preprocessed_text,hard_rule_keep,hard_rule_reason,policy_gate,policy_gate_reason,priority_keep,semantic_status,semantic_similarity,nli_status,nli_score,key_hit,final_status
meeting1_22046eb2a03c,meeting1_22046eb2a03c_u000,接下来我要来谈今天的议题。,context,,"今天我们要讲医疗参照劳保健康是基本人权,它是一个普世价值,也不会因为不同的信仰、宗教、政治、经济、社会而有所不同。",[],[],False,,6e77b5c8b01f7ad88b230b0fad99f7dc,False,meeting1,,接下来我要来谈今天的议题。,True,institution_only,False,,False,REVIEW,0.40071821212768555,,,False,REVIEW
meeting1_62716c68e178,meeting1_62716c68e178_u000,"鉴宝的预算不够多,可是要包山包海,在鉴宝快要破产的状态下,它就发明了一个叫总额制度,意思就是说不管你做多少钱,用这么多,难道医院就发现他做了很多?",claim,,"可是点折被打折,那医院就会亏本,医院就转过头来再来压迫这一些医的医护人员,这就是血汗医护这个问题长期以来不能解决的原因。",[],[],False,,33b5397dcfeacbc074997c5c6eaa0702,False,meeting1,,"鉴宝的预算不够多,可是要包山包海,在鉴宝快要破产的状态下,它就发明了一个叫总额制度,意思就是说不管你做多少钱,用这么多,难道医院就发现他做了很多?",True,institution_only,False,,False,REVIEW,0.19005680084228516,KEEP,0.1501089334487915,False,REVIEW
meeting1_a49008f9e698,meeting1_a49008f9e698_u003,"第三,增加工会疫苗种类,比方说轮状病毒、肠病毒、加强型水痘疫苗,我认为疫苗还是在医学上最符合效益的治疗方式。",claim,"所以终究还是市场决定,一切要提高他们的薪资才有办法。","第四,建立权责医护。",[],[],False,,da9dc7192a590b88016170aaadad66dc,False,meeting1,,"第三,增加工会疫苗种类,比方说轮状病毒、肠病毒、加强型水痘疫苗,我认为疫苗还是在医学上最符合效益的治疗方式。",True,institution_only,False,,False,REVIEW,0.26115190982818604,,,False,REVIEW
meeting1_da467078975c,meeting1_da467078975c_u003,"其实健康比医疗重要,我们应当是投资让病人、让国民健康,而不是等他生病再去医疗。",context,"第六,预防甚于治疗。","所以关于这个运动的戒烟减重、癌症筛减、体检等等,甚至是三高的治疗,这些都比这医疗保险还重要。",[],[],False,,1524e1d284085b9020978597f12ba666,False,meeting1,,"其实健康比医疗重要,我们应当是投资让病人、让国民健康,而不是等他生病再去医疗。",True,institution_only,False,,False,REVIEW,0.3134223222732544,,,False,REVIEW
meeting1_da467078975c,meeting1_da467078975c_u007,投资健康就是说健康比医疗重要。,claim,"因此我主张投资健康,有效医疗、永续健保。","OK,我们是希望病人不生病,那现在我们的国民不生病。",[],[],False,,2f2030ba2842e8623d0b7bb502aa78cf,False,meeting1,,投资健康就是说健康比医疗重要。,True,institution_only,False,,False,REVIEW,0.22751197218894958,,,False,REVIEW
meeting1_da467078975c,meeting1_da467078975c_u012,"皇帝合一岁应当是用在社会住宅,总要用在这里贻正岁,这更奇怪,难道你希望今年多十几个有钱人吗?",context,"目前我国的肠皂基金用燕军皇帝合一睡跟一正睡来补充,用燕娟,这个就很奇怪,难道我们要鼓励大家错烟来做老人的参照吗?","裁员不稳定,东凑西凑,市场也只占 GDP 的 0.26 PERCENT 还低于 OECD 国家的1.7。",[],[],False,,67485d2c9fd063214158deb395e99008,False,meeting1,,"皇帝合一岁应当是用在社会住宅,总要用在这里贻正岁,这更奇怪,难道你希望今年多十几个有钱人吗?",True,institution_only,False,,False,REVIEW,0.3243846297264099,,,False,REVIEW
meeting1_da467078975c,meeting1_da467078975c_u014,percent 搞得长照只能做半套。,context,"裁员不稳定,东凑西凑,市场也只占 GDP 的 0.26 PERCENT 还低于 OECD 国家的1.7。",,[],[],False,,901109f8261bd4ebb53e777b7d534211,False,meeting1,,percent 搞得长照只能做半套。,True,institution_only,False,,False,REVIEW,0.2313082367181778,,,False,REVIEW
meeting1_de6a82b53810,meeting1_de6a82b53810_u001,"要做得好,预算就要够,服务要多元完整。",context,"卫部部长薛瑞远把打包票说,长照未来 5 年不会破产或者迟到,不会破产,因为基金里面还有钱,可是 5 年以后,所以我们不能把自己交给这种没有长期规划,走一步算一步的政府长债。","因此客人这个主张全面推动常造保险,也就是说政府、雇主跟人民共同负担,平常出一点钱,有需要的时候就有常照服务可以帮忙。",[],[],False,,43b477b6b74e6480b942fde61c80bb06,False,meeting1,,"要做得好,预算就要够,服务要多元完整。",True,institution_only,False,,False,REVIEW,0.3501766622066498,,,False,REVIEW
meeting1_de6a82b53810,meeting1_de6a82b53810_u002,"因此客人这个主张全面推动常造保险,也就是说政府、雇主跟人民共同负担,平常出一点钱,有需要的时候就有常照服务可以帮忙。",claim,"要做得好,预算就要够,服务要多元完整。",,[],[],False,,5f8e487e3a71b8834f717e559a12d868,False,meeting1,,"因此客人这个主张全面推动常造保险,也就是说政府、雇主跟人民共同负担,平常出一点钱,有需要的时候就有常照服务可以帮忙。",True,institution_only,False,,False,REVIEW,0.37146955728530884,,,False,REVIEW
meeting1_c7c69055e492,meeting1_c7c69055e492_u000,"最后关于劳保在 2017 年就入不敷出了, 2028 年应该有破产,所以应该缅甸拨补 1, 000 亿。",context,,"难道每年召开年轻改革国事会议,我们还是要每年检讨,来找出一个最好的解决方案?",[],[],False,,7789ef1e5eb173bdb8bbdf07dc83652e,False,meeting1,,"最后关于劳保在 2017 年就入不敷出了, 2028 年应该有破产,所以应该缅甸拨补 1, 000 亿。",True,institution_only,False,,False,REVIEW,0.3412531614303589,,,False,REVIEW
meeting1_e480ebc72191,meeting1_e480ebc72191_u005,"等你等到家长委员来的时候,为时已晚,如果特殊情形,要由同性别的老师执行检查,而对于合理管教孩头的因诉讼的老师,我们要给予做他们强烈的霍盾,给予相当的华丽协助,尤其对校园的辅导,亲子家庭教育的人力资源不足底下政府应该溃入更多的资源。",context,"我主张参考英国的规定,在一般情景底下,学生在场,另外一位老师见证的状况,校长老师就可以检查,在紧急情形,老师可以进行检查,维护校园的安全。","我们看到学校在舞蹈人员在三级辅导没有办法落实,是因为我们的辅导人力没有办法专责专用孩子的成长过程,希望我们同理跟关怀同比较视为安全网,这样整个系统能够连接起来,尤其我最痛恨的黑帮日军效应,一定要叫痛其醒。",[],[],False,,146bcd98aa4c070533fad7ecdbc2283a,False,meeting1,,"等你等到家长委员来的时候,为时已晚,如果特殊情形,要由同性别的老师执行检查,而对于合理管教孩头的因诉讼的老师,我们要给予做他们强烈的霍盾,给予相当的华丽协助,尤其对校园的辅导,亲子家庭教育的人力资源不足底下政府应该溃入更多的资源。",True,institution_only,False,,False,REVIEW,0.301188588142395,,,False,REVIEW
meeting1_68a3cbf023d1,meeting1_68a3cbf023d1_u002,"所以这是一个严重,也是一个挑战我们公潜力的自然问题,我们一步一步的要让孩子在成长过程当中不要受到污染,不要受到伤害,政府必须拿出更强硬的态度向犯罪,现在这一点绝对不能妥协,我们才能够好好保护下一代。",context,"暴力、毒品诈骗都由车所开始做起,以及帮派的这些问题它是一个联动的,它不是单一个界面的。",,[],[],False,,17bdb68a6673938685d613ca72cd0969,False,meeting1,,"所以这是一个严重,也是一个挑战我们公潜力的自然问题,我们一步一步的要让孩子在成长过程当中不要受到污染,不要受到伤害,政府必须拿出更强硬的态度向犯罪,现在这一点绝对不能妥协,我们才能够好好保护下一代。",True,institution_only,False,,False,REVIEW,0.3580833077430725,,,False,REVIEW
meeting1_50687d8f2bb2,meeting1_50687d8f2bb2_u001,"在政府的现行的执法规划里面,是无法在学校去执法,在卖力还是会碰到瓶酒。",context,"一个国中生的死亡让人非常非常的伤心,再多的伤心也没有办法挽回这条宝贵的生命。","因而面临的不是技术层面的问题,那是一种价值的选择。",[],[],False,,2c0ce4124d328d9282753f932aacdfa1,False,meeting1,,"在政府的现行的执法规划里面,是无法在学校去执法,在卖力还是会碰到瓶酒。",True,institution_only,False,,False,REVIEW,0.2816312909126282,,,False,REVIEW
