window_id,doc_id,source,date,full_text_with_sentence_marks,l2_set_str,community_id,sampling_weight,interpretive_notes
_8357f298bfa8_w0002,_8357f298bfa8,03_Lai_chinatimes_news,,"[2] 活動吸引滿場支持者,大會先由多名立委上台致詞爭取連任,接著賴清德在會旗的簇擁下大進場,「當選」口號不絕於耳,賴清德並對各後援會授旗、授證。 [3] 賴清德會中表示,信賴台灣之友會成立,就是要信賴台灣、守護台灣,壯大中華民國台灣,台灣幾十年來民主進步、國家發展以及經濟成績獲國際肯定,都是大家共同努力的結果,在總統蔡英文帶領下讓國際看到台灣,他要持續守護、壯大民主的台灣。 [4] 提到4項具體做法,賴清德指出,第一就是拚經濟,將持續改善台灣投資環境,簽訂自由貿易協定、加入區域經濟,並讓人工智慧產業化提升競爭力,以及導入地方創生,支持青年創業、在地產業與社會企業,讓處處都可以安居,且堅定打擊黑金槍毒,建立安心社會。",L2-01|L2-03|L2-06|L2-07|L2-08,0,4.009886038985195,
_d6a4cb220d0e_w0010,_d6a4cb220d0e,03_Lai_ltn_news,,"[10] 此外,台灣也提出「跨太平洋夥伴全面進步協定」(CPTPP)申請案,希望得到理念相近國家的支持,加入CPTPP,或與他國簽訂自由貿易協定。 [11] 賴清德說,政府也與越南、菲律賓、印度等國更新投資保障協定,讓企業到外國投資時,資金、人力及物力都受到保障。 [12] 今年上半年,台灣對美國的投資金額也大於對中國投資金額。",L2-01|L2-03|L2-06|L2-07,0,4.009456936518244,
_122ca01eab5a_w0003,_122ca01eab5a,03_Lai_chinatimes_news,,"[3] 另一則史瓦帝尼政府的臉書貼文則寫道:「總理戴克禮(Cleopas Sipho Dlamini)與副總理馬速庫(H.E. Themba Masuku,另譯,馬蘇庫)都接受台灣政務官、國安局長蔡明彥博士的禮貌性拜訪。」 「蔡博士到訪史瓦帝尼王國,將強化史瓦帝尼-台灣持續55年的雙邊關係。台灣的蔡英文總統將於9月初前來史瓦帝尼。」 蔡總統9月5日至8日將專機出訪史瓦帝尼,盼達成同慶兩國邦誼、促進永續合作的目標。 [4] 民進黨立委邱志偉、邱泰源、范雲、民眾黨立委邱臣遠將隨團出訪。 [5]  [6] (譯者:楊昭彥/核稿:林治平)1120830 總統提入聯重要性 友邦史瓦帝尼大使:推動台灣再次加入聯合國 史瓦帝尼國王:台灣無法入聯 全球進展少了重要元素 蔡總統見證台史婦女創業等3文件簽署 史王:台灣是第一世界典範 蔡總統抵史瓦帝尼 見證台史簽署婦女創業等3文件 國安局安維八號實兵演練 動員近千人規模歷屆之最 吳怡農批蔡明彥中共無力攻台說詞 國安人士澄清",L2-01|L2-03|L2-06|L2-07,0,4.009361399868385,
萧美琴专访_d60ae253e66a_w0035,萧美琴专访_d60ae253e66a,萧美琴专访,,"[121] 萧美琴: 确实是很棘手,因为我们一直想要深化跟美国的经贸关系那我记得有一位以前布什时代的官员曾经跟我说当年他们在跟韩国谈自由贸易协议的时候曾经有内部讨论要不要也跟台湾启动可是那个时候几乎是一面倒的不认为台湾已经准备好也。 [122]  [123]  [124] 萧美琴: 他们觉得台湾应该要展现一个跟国际接轨的的努力跟标准。 [125]  [126] 那确实在国内上也引发很大的争议到后来我们政府也做做各种边境检查啦什么这个标签啦等等的这些作为我们的科学标准是已经把它一致化了。",L2-01|L2-03|L2-04|L2-06|L2-07,0,4.00867738953776,
_8357f298bfa8_w0003,_8357f298bfa8,03_Lai_chinatimes_news,,"[3] 賴清德會中表示,信賴台灣之友會成立,就是要信賴台灣、守護台灣,壯大中華民國台灣,台灣幾十年來民主進步、國家發展以及經濟成績獲國際肯定,都是大家共同努力的結果,在總統蔡英文帶領下讓國際看到台灣,他要持續守護、壯大民主的台灣。 [4] 提到4項具體做法,賴清德指出,第一就是拚經濟,將持續改善台灣投資環境,簽訂自由貿易協定、加入區域經濟,並讓人工智慧產業化提升競爭力,以及導入地方創生,支持青年創業、在地產業與社會企業,讓處處都可以安居,且堅定打擊黑金槍毒,建立安心社會。 [5] 第二,要護民主,有民主才有自由,民主自由得來不易,要充分珍惜,蔡總統前日出訪邦交國,同時間前總統馬英九也有中國行,但他是走回過去一個中國的架構,蔡總統是走在堅持自由的道路,兩者是截然不同。",L2-01|L2-02|L2-03|L2-06|L2-07|L2-08,0,4.008183078687039,
_260e3464fa9e_w0007,_260e3464fa9e,03_Lai_ltn_news,,"[8] 賴清德說,他在貝尼亞總統午宴時,有位女企業家主動打招呼,感謝台灣協助巴拉圭蘭花產業的技術移轉,從與台巴科大學生的互動,感受得到巴國政府、民間對台灣的肯定,能擔任蔡總統特使他感到很榮幸,也很感動這是許多人累積的成果。 [9] 賴清德提到,他在巴拉圭受到禮遇,在檢閱軍警遊行時,貝尼亞特別交代要將他安排在靠近自己的位置,因此他與貝尼亞之間只隔著副總統及最高法院院長伉儷,午宴時他還被安排在主桌、副總統旁邊座位,從一下機受到熱烈歡迎,到每個國家禮儀場合,都感受到巴拉圭將台灣奉為貴賓,這是一趟相當完整的國家行程,未來也一定會持續深化兩國合作關係。 [10] 被問及與哈蘭德交談一分多鐘的內容,賴清德表示,哈蘭德非常客氣、親切、關懷、尊重,在聊天時看到他的徽章歪了,還伸手幫他擺正,但跟其他國際領袖談話的內容,不宜由他透露,這是基於禮貌,也是國際慣例。",L2-01|L2-03|L2-06|L2-07,0,4.00787432221986,
_bfe944230827_w0004,_bfe944230827,03_Lai_ltn_news,,"[10] 沈伯洋也說明於昨晚線上參與美國美中經濟與安全審查委員會的報告内容。 [11] 他指出,由於台灣已經用有韌性、靈活方式來對抗中國影響力,為此才受到美國國會的邀請,在聽證會上報告台灣對抗中國影響力的經驗與提供相關建議。 [12] 沈伯洋建議美國行政部門應積極反制中國的不實資訊與訊息操作,以讓美國持續發揮領導者角色,台美也應考慮共同建立一個「反混合戰中心」(Center of excellence)來應對中國影響力,以集中資源和專業人才,使美台雙方產出有效的對策,並合作制定國際標準和規範以解決不實資訊與訊息操作的未來挑戰。",L2-01|L2-03|L2-05|L2-06|L2-07,0,4.007866497124936,
_733dd4ca85f0_w0003,_733dd4ca85f0,03_Lai_ltn_news,,"[11] 歷史上還曾經出現過日裔總統藤森。 [12] 矢板明夫續指,日本政府能夠把擔任過駐秘魯大使的片山先生調到台灣來,可見對台灣的重視。 [13] 另外,台灣政府現在正在全力推動的,加入CPTPP(跨太平洋夥伴全面進步協定),秘魯是其中一個重要的成員國。",L2-01|L2-03|L2-06|L2-07,0,4.007436003651076,
_ac813a53ae11_w0004,_ac813a53ae11,03_Lai_ltn_news,,"[4] 賴清德指出,政府協助企業立足台灣,行銷全世界,從總統蔡英文提出歡迎台商回台投資專案、企業加碼投資、歡迎海外資金回流,並積極加入區域經濟、洽簽台美21世紀貿易倡議、歐盟緊密合作等,未來更會解決淨零轉型、疫後經濟復甦、俄侵烏帶動的地緣政治變化等問題,台灣成功數位轉型、智慧轉型,發揮韌性,因應未來挑戰。 [5] 賴清德表示,如沒有民主保障,國際公司、創意研發公司無法持續發展,為了守住台灣,在蔡英文領導下推動全民國防,強調「和平靠國防、國防靠全民」強調和平只有經由力量才能得到,懦弱是最大的挑釁,給予侵略者的政治企圖,所以強化我國國防,是保護自己、民主成果、經濟成就,及人民的生活。 [6] 賴清德說,「我們從來沒有想要去侵略哪個國家,強化國防是我們追求和平的手段,要共同合作保護、追求和平,對於和平,絕對不放棄,而且和平不只是台灣的責任,民主國家都要站在一起,以和平為最大目標,重申戰爭沒有贏家,和平才能符合共同利益,只要我們團結一致、2024年團結一致,追求和平,一定讓台灣更好。」 磐石會會長交接典禮,賴清德與企業人士合影。",L2-01|L2-03|L2-05|L2-06|L2-07|L2-08,0,4.007347251307806,
_ac813a53ae11_w0002,_ac813a53ae11,03_Lai_ltn_news,,"[2] 因此必須強化我國國防,強調和平不只是台灣的責任,民主國家都要站在一起,2024年團結一致。 [3] 賴清德也重申近日提及中國如果攻打台灣,不但台灣受到傷害,中國也因此辜負幾10年台商對中國經濟發展的貢獻,造成世界重大災難,包括中國本身都要承受、也難以承受得起,認為全世界應該看到台灣良善的力量,台灣希望在民主世界成為MVP,呼籲大家共同挺台灣、成為台灣隊,此番話也獲得現場與會者熱烈掌聲。 [4] 賴清德指出,政府協助企業立足台灣,行銷全世界,從總統蔡英文提出歡迎台商回台投資專案、企業加碼投資、歡迎海外資金回流,並積極加入區域經濟、洽簽台美21世紀貿易倡議、歐盟緊密合作等,未來更會解決淨零轉型、疫後經濟復甦、俄侵烏帶動的地緣政治變化等問題,台灣成功數位轉型、智慧轉型,發揮韌性,因應未來挑戰。",L2-01|L2-03|L2-05|L2-06|L2-07|L2-08,0,4.0065607387909505,
