pair,n_ab,raw_OR,lift,fdsm_ratio,conditional_OR,cond_CI,cond_sig,raw_OR_CI,raw_OR_sig,lift_CI,lift_sig,fdsm_sig,verdict
01-02,180,10.122,5.392,1.457,3.788,"[2.88,4.98]",True,"[8.02,12.74]",True,"[4.77,6.07]",True,True,robust positive (4/4)
01-03,57,4.977,3.63,1.202,2.936,"[1.87,4.61]",True,"[3.40,7.07]",True,"[2.75,4.53]",True,True,robust positive (4/4)
01-04,111,1.923,1.732,0.886,0.913,"[0.68,1.23]",False,"[1.47,2.49]",True,"[1.39,2.13]",True,False,"partial, same sign (2/4)"
01-05,360,2.261,1.847,0.945,0.506,"[0.43,0.60]",True,"[1.95,2.67]",True,"[1.67,2.06]",True,False,SIGN CONFLICT
01-06,460,3.239,2.332,1.093,3.056,"[2.59,3.60]",True,"[2.76,3.79]",True,"[2.11,2.57]",True,True,robust positive (4/4)
01-07,647,1.45,1.257,0.978,1.165,"[1.03,1.32]",True,"[1.29,1.64]",True,"[1.18,1.34]",True,False,"partial, same sign (3/4)"
01-08,298,3.393,2.555,1.11,1.788,"[1.49,2.15]",True,"[2.91,3.95]",True,"[2.29,2.82]",True,True,robust positive (4/4)
02-03,5,1.647,1.484,0.904,0.624,"[0.25,1.55]",False,"[0.49,3.01]",False,"[0.34,2.73]",False,False,no estimand significant
02-04,54,4.699,3.925,1.155,2.077,"[1.41,3.05]",True,"[3.26,6.40]",True,"[2.89,5.02]",True,False,"partial, same sign (3/4)"
02-05,137,4.756,3.275,1.041,1.344,"[1.01,1.78]",True,"[3.79,6.11]",True,"[2.82,3.85]",True,False,"partial, same sign (3/4)"
02-06,59,1.486,1.393,0.901,0.695,"[0.49,0.99]",True,"[1.09,1.94]",True,"[1.07,1.73]",True,False,SIGN CONFLICT
02-07,145,1.514,1.313,0.88,0.796,"[0.62,1.03]",False,"[1.19,1.86]",True,"[1.13,1.48]",True,True,SIGN CONFLICT
02-08,144,9.48,5.752,1.415,4.65,"[3.50,6.18]",True,"[7.48,11.91]",True,"[4.95,6.61]",True,True,robust positive (4/4)
03-04,12,2.003,1.855,0.885,1.157,"[0.57,2.35]",False,"[0.84,3.49]",False,"[0.78,3.09]",False,False,no estimand significant
03-05,27,1.464,1.373,0.839,0.691,"[0.40,1.20]",False,"[0.92,2.29]",False,"[0.90,1.98]",False,False,no estimand significant
03-06,54,3.51,2.711,1.144,1.496,"[0.94,2.37]",False,"[2.47,4.93]",True,"[2.09,3.41]",True,False,"partial, same sign (2/4)"
03-07,85,2.212,1.636,1.171,1.513,"[1.07,2.13]",True,"[1.64,3.00]",True,"[1.38,1.90]",True,True,robust positive (4/4)
03-08,17,1.535,1.444,0.712,1.036,"[0.55,1.96]",False,"[0.84,2.42]",False,"[0.81,2.16]",False,False,no estimand significant
04-05,151,2.189,1.88,1.015,1.171,"[0.91,1.51]",False,"[1.76,2.72]",True,"[1.58,2.21]",True,False,"partial, same sign (2/4)"
04-06,187,2.896,2.3,1.256,2.4,"[1.94,2.96]",True,"[2.35,3.66]",True,"[1.98,2.70]",True,True,robust positive (4/4)
04-07,267,1.424,1.259,0.888,0.908,"[0.76,1.09]",False,"[1.21,1.67]",True,"[1.13,1.38]",True,True,SIGN CONFLICT
04-08,175,4.976,3.641,1.157,3.248,"[2.55,4.13]",True,"[4.01,6.10]",True,"[3.12,4.16]",True,True,robust positive (4/4)
05-06,295,1.257,1.193,0.87,0.973,"[0.81,1.17]",False,"[1.09,1.47]",True,"[1.07,1.34]",True,True,SIGN CONFLICT
05-07,814,1.475,1.262,0.967,1.219,"[1.08,1.38]",True,"[1.32,1.65]",True,"[1.18,1.35]",True,False,"partial, same sign (3/4)"
05-08,297,2.526,2.032,0.996,1.257,"[1.04,1.51]",True,"[2.18,2.95]",True,"[1.83,2.27]",True,False,"partial, same sign (3/4)"
06-07,837,1.518,1.282,0.902,1.173,"[1.04,1.32]",True,"[1.36,1.68]",True,"[1.20,1.36]",True,True,SIGN CONFLICT
06-08,227,1.716,1.534,0.843,1.374,"[1.15,1.65]",True,"[1.40,2.00]",True,"[1.31,1.72]",True,True,SIGN CONFLICT
07-08,776,3.726,2.011,1.08,3.364,"[2.93,3.86]",True,"[3.26,4.14]",True,"[1.90,2.11]",True,True,robust positive (4/4)
