run,stratum_dir,edges,sig_old,sig_old_below_threshold,sig_new
06_phase2_coarticulation,npmi_by_camp,84,63,0,63
06_phase2_coarticulation,npmi_by_camp__n1,84,64,2,64
06_phase2_coarticulation,npmi_by_camp__n2,84,62,0,62
06_phase2_coarticulation,npmi_by_camp__n5,84,65,0,65
06_phase2_coarticulation,npmi_by_camp__ndocument,84,83,0,83
06_phase2_coarticulation,npmi_by_camp_genre,115,79,5,74
06_phase2_coarticulation,npmi_by_camp_genre__n1,100,71,5,66
06_phase2_coarticulation,npmi_by_camp_genre__n2,111,77,7,70
06_phase2_coarticulation,npmi_by_camp_genre__n5,122,86,4,82
06_phase2_coarticulation,npmi_by_camp_genre__ndocument,85,81,0,81
06_phase2_coarticulation,npmi_by_camp_time,260,155,17,138
06_phase2_coarticulation,npmi_by_camp_time__n1,201,127,40,87
06_phase2_coarticulation,npmi_by_camp_time__n2,239,146,25,120
06_phase2_coarticulation,npmi_by_camp_time__n5,267,166,10,159
06_phase2_coarticulation,npmi_by_camp_time__ndocument,144,130,1,129
06_phase2_coarticulation_deepseek,npmi_by_camp,84,71,1,70
06_phase2_coarticulation_deepseek,npmi_by_camp__n1,84,72,10,62
06_phase2_coarticulation_deepseek,npmi_by_camp__n2,84,69,1,68
06_phase2_coarticulation_deepseek,npmi_by_camp__n5,84,70,1,69
06_phase2_coarticulation_deepseek,npmi_by_camp__ndocument,84,76,4,72
06_phase2_coarticulation_deepseek,npmi_by_camp_genre,116,89,15,74
06_phase2_coarticulation_deepseek,npmi_by_camp_genre__n1,97,79,15,64
06_phase2_coarticulation_deepseek,npmi_by_camp_genre__n2,105,81,8,73
06_phase2_coarticulation_deepseek,npmi_by_camp_genre__n5,127,93,12,80
06_phase2_coarticulation_deepseek,npmi_by_camp_genre__ndocument,84,76,5,71
06_phase2_coarticulation_deepseek,npmi_by_camp_time,244,177,35,142
06_phase2_coarticulation_deepseek,npmi_by_camp_time__n1,164,119,39,82
06_phase2_coarticulation_deepseek,npmi_by_camp_time__n2,216,157,37,120
06_phase2_coarticulation_deepseek,npmi_by_camp_time__n5,269,180,28,152
06_phase2_coarticulation_deepseek,npmi_by_camp_time__ndocument,123,115,9,106
