unit_id,camp,L1_gpt,category,is_enumeration,mentions_lai,sent_text
_002c6b18cc15_u007,DPP,L1-03,C achievement list,True,False,"林佳龍強調,從堅持主權、提高國家安全、加強經濟實力、促進民主進步、加強國際交流等面向,都是不能停下的工作。"
_01bb5a13a43f_u007,TPP,L1-03,C achievement list,True,True,"蕭美琴指出,要推動外交,要有比較好的產品,台灣有好的產品,就是台灣的民主、台灣人民的慷慨善良、台灣的經濟成就,讓台灣更能獲得國際支持。"
_049fe1d6ae71_u004,TPP,L1-03,H other,False,True,"賴清德致詞表示,總統大選首要任務是守護台灣主權,確保台灣土地所有權屬於人民,沒主權就沒民主、沒民主就沒自由,根據國際經濟學人調查,台灣民主分數是亞洲第1名,宗教自由也僅次於日本,這在沒有宗教自由的中國是不可能的事。"
_0567d83ca2cf_u004,DPP,L1-03,B four-slogan list,True,True,"賴清德表示,堅持台灣主權立場不變,未來執政四大方針「拚經濟、護民主 、強國防、保和平」,並勾勒澎湖未來發展藍圖,配合國家2050淨零轉型 政策,建設澎湖成為低碳示範城市,利用海底電纜來往供電,發展太陽能、潮汐、風力發電綠能,供應澎湖全島,交通工具全用電動車,讓澎湖發展觀光產業,賴也不忘「牽成」立委楊曜,要求群眾也要投票支持楊曜。"
_05a6ea111183_u023,DPP,L1-03,H other,False,True,(譯者:蔡佳敏/核稿:陳亦偉)1120914 彭博專訪 賴清德:中國製造台海緊張 國際紅線就是台灣紅線 侯友宜接受彭博專訪 暢談中國、國防預算與半導體 總統:台灣不尋求軍事對抗 但隨時準備好捍衛民主生活方式 麻生太郎:嚇阻才能避免台海戰爭 台灣須向對手表達動武意志 葛來儀:無論誰成為台灣總統 北京都不會終止施壓 柯文哲與美代表團會面 強調台美關係不因誰執政改變 諾魯與台灣斷交 柯文哲:遺憾但不與中國惡性競爭 投資人權衡美國通膨數據 亞股走勢分歧 彭博2024最值得關注50家企業 台灣聯發科唯一上榜 2025/05/24 13:14 2025/05/23 10:31 2025/05/22 15:22 2025/05/21 19:20 2025/05/20 12:01 2025/05/20 11:57
_064bc8986006_u000,TPP,L1-06,F lexical false positive (org name),False,False,"台灣經濟民主連合召開「台美21世紀貿易倡議,國會應如何監督」記者會,由召集人賴中強(右)與研究員歐栩韶(左)說明。"
_064bc8986006_u002,TPP,L1-06,F lexical false positive (org name),False,False,"經濟民主連合智庫今日召開記者會,呼籲國會與政院檢討「因應貿易自由化調整支援條例」、「因應貿易自由化勞工就業調整支援措施實施辦法」等規範,強化貿易自由化衝擊評估和救助,並將因應反制中國「經濟脅迫」的措施,例如強制投保「西進險」一併納入條例規範。"
_08e54e529541_u014,TPP,L1-06,D democratic-alliance + trade,False,True,"黨政人士表示,蔡英文除了不像前兩任總統在第二任後期涉入弊案,或是陷入爭議性的議題,再加上她在總統任期內強化國防、總體經濟的成長,以及加入國際民主陣營,讓台灣被世界看見,並維持兩岸現況的穩定,都讓國人願意讓賴清德接續蔡英文路線,讓現有的執政團隊繼續協助治理國家。"
_0f6194dd249b_u004,TPP,L1-01,D democratic-alliance + trade,True,False,"蔡英文指出,行政團隊全力以赴,在全國同胞努力下守住非洲豬瘟、也穩住疫情、確保民生用水,台灣不僅挺過來,更維持經濟穩定成長和正常生活,台灣這幾年成為國際民主夥伴支持的焦點。"
_10d47dfdf6b1_u003,DPP,L1-03,H other,True,True,"賴清德表示,他將落實愛、和平、非暴力的民進黨核心價值,照顧基層,擴大投資社會,且秉持和平理念處理兩岸關係,「總統蔡英文說和平是唯一的選擇,和平也是未來清德的使命」,用和平當燈塔,民主做指南針,帶領人民勇敢向前走。"
_12b5759f704f_u001,TPP,L1-03,H other,False,False,"習近平在昨天發表2024新年賀詞說,「疫情防控平穩轉段,中國經濟持續回升向好」,並提到「祖國統一是歷史必然,兩岸同胞要攜手同心,共享民族復興的偉大榮光。」 國民黨今天上午舉辦元旦升旗,朱立倫在受訪時說,中共或者是中共的領導人談話,都是很正常的,但是大家的信念是永遠堅守中華民國,永遠捍衛中華民國,永遠堅持民主自由。"
_1446ed8ea4c5_u004,DPP,L1-03,C achievement list,True,True,"有關台美關係經營,蕭美琴說,推動台美關係永遠要以台灣為主體,過程中找到共同價值與利益,例如守護民主自由是共同價值,印太地區的和平穩定與繁榮則是共同利益,就能提升國家安全、經濟、國際參與等,進而壯大台灣。"
_18caed88aa28_u003,KMT,L1-03,C achievement list,True,True,"卓榮泰說,賴清德提出信賴台灣以及民主和平繁榮,一個和平、繁榮、發展經濟的地方,怎麼會有戰爭的可能性,台灣只是強化自我防衛的能力,加強國防自主,絕對不是引來戰爭的原因。"
_1cfcd646c417_u007,TPP,L1-03,A Lai's four-pillar formula,True,False,"他在總統蔡英文的四大堅持上提出和平四大支柱行動方案,有強化國防力量、提升經濟安全實力、和民主陣營並肩站在一起,以及在對等尊嚴下,願意和中國進行交流合作,增進兩岸人民福祉。"
_2075a7701d7b_u009,DPP,L1-06,C achievement list,True,True,"賴清德表示,感謝南投人過去「選對的人、走對的路」,蔡總統把「台灣這台車」開得非常穩健,台灣走在民主路上和世界做朋友,國防越來越有力、經濟越來越繁榮、社會福利越來越完整,他承諾與蕭美琴持續走在蔡總統這條正確道路,未來也會不分黨派用人唯才。"
_2094a553d92d_u003,KMT,L1-03,A Lai's four-pillar formula,True,False,這4大支柱包括必須建立台灣的威懾力、提升經濟安全、基於與全世界民主國家建立夥伴關係、穩定而有原則的兩岸關係領導能力。
_20afb2de1725_u009,KMT,L1-03,A Lai's four-pillar formula,True,True,"賴清德強調,他若當選,兩岸發生戰爭的機會最小,他會在總統蔡英文的四大堅持之上,透過和平四大支柱行動方案,包含建立台灣的威懾力、經濟安全是國家安全、與全世界民主國家建立夥伴關係,穩定而有原則的兩岸關係領導能力等,讓台海永續和平與國家繁榮。"
_22bae0f8a1ca_u003,KMT,L1-01,D democratic-alliance + trade,True,True,"賴清德表示,世界局勢正在劇烈變化,台灣必須團結一致,將數位轉型及2050淨零轉型的挑戰化為進步的動力,他將推動7大主張,包含發展「五大信賴產業」、打造智慧科技島、建構「以人為本」智慧新社會、推動金融創新與發展、創新創業雨林生態系、發展護國群山、綠色成長新戰略,以此迎向新的國際經貿體系,善用自由民主國家同盟的身分、站穩全球供應鏈關鍵角色,推動創新驅動的經濟發展模式,打造人人擁有能力與公平機會追求自我實現的創新經濟與智慧國家。"
_23cdb56875f8_u005,DPP,L1-03,H other,False,True,黃重諺:不聰明傳言 賴副總統過境紐約 將出席僑宴並與青年座談交流意見 蘇姿丰抵台再掀AI風潮 台南囝仔用5%法則率超微成功翻身 蘇姿丰:沒有台積電協助 超微無法推出AI應用晶片 出訪巴拉圭 賴清德:讓國際了解台灣堅持民主自由 過境紐約見僑胞 賴清德喊台灣安全世界就安全 學者:賴清德過境台美緊密協調 展現長期互信 賴清德紐約僑宴 AIT主席影片預告舊金山相會 賴清德:放棄主權的和平是假和平 籲支持守護主權者 侯友宜不排斥侯習會 促賴清德說清楚贊成或反對台獨 賴清德會支持者 談民主前輩一路相挺數度哽咽 2024/04/14 17:42 2023/08/14 03:16 2023/08/14 00:19 2023/08/13 21:18 2023/08/13 17:14 2023/08/13 14:14
_25f01a76a3d3_u001,DPP,L1-01,F lexical false positive (org name),False,False,"經濟民主連合智庫直指,若重啟服貿,將衝擊台灣上千行業及四二三萬就業人口;"
_269258d1e6e9_u013,TPP,L1-01,D democratic-alliance + trade,True,True,"賴清德表示,CPTPP是更高標準的區域經濟體、由西方民主陣營主導,RCEP是由中國在控制,就台灣的立場應該要優先加入CPTPP,而且台灣也已經提出申請、也得到日本等國家的公開支持,有信心未來加入CPTPP。"
_2ac023930dab_u016,TPP,L1-03,H other,False,False,"要有尊嚴的爭取和平,維護自由民主的體制,要做全世界的經濟和平島的中華民國。"
