window_id,doc_id,source,date,full_text_with_sentence_marks,l2_set_str,community_id,sampling_weight,interpretive_notes
_c6b3902e49ce_w0002,_c6b3902e49ce,03_Lai_chinatimes_news,,"[2] 歐洲是台灣最大的外國投資來源,截至今年8月,歐洲對台投資累積超過570億美元,值得肯定。 [3] 他表示,許多歐洲領袖強調反對任何單方面透過武力或脅迫改變兩岸現狀的企圖。 [4] 作為民主盟友,台歐雙方認識到台灣海峽的穩定對國際安全與繁榮至關重要;",L2-01|L2-03|L2-05|L2-06|L2-08,0,2.009991047304742,
_c39034cc2739_w0002,_c39034cc2739,03_Lai_ltn_news,,"[2] 行政院長陳建仁今(21)日受訪表示,希望馬此行能夠維護我國尊嚴和主權,更重要的,能夠向對岸、全球展現,對於台灣主權的對等、尊重。 [3] 立法院今續邀請陳建仁率各部會首長進行施政總質詢。 [4]  [5] 陳建仁說,馬前總統也應該聽見了台灣人民的聲音,希望他此行,能夠維護我國尊嚴和主權,且馬總統不只是「馬先生」,更是卸任元首,其行為舉止動見觀瞻,希望他此行,能夠向對岸、全球展現,對於台灣主權的對等、尊重。",L2-01|L2-03,0,2.009970346578376,
_348d8c228f7f_w0016,_348d8c228f7f,03_Lai_chinatimes_news,,"[25] 「目的是讓法國大眾容易閱讀,很快了解在蔡英文這位非凡女性的帶領下,台灣8年間在國際走出了什麼道路、遇到了什麼問題。」 沃勒函說,台灣在世界具有特殊性。 [26]  [27]  [28] 另外,台灣在世界經濟的角色也無法忽略。 [29] 若真的開戰,會導致全球經濟災難。",L2-01|L2-02|L2-03|L2-05|L2-06,0,2.0099237556405583,
_b9caa451b565_w0002,_b9caa451b565,03_Lai_chinatimes_news,,"[2] 賴清德日前提及,台灣不放棄走入世界,當「台灣總統可走入白宮,所追求政治目標就已經達成」。 [3] 媒體詢問,賴清德「走入白宮」的說法是否造成美方困擾,黃重諺上午在總統府記者會表示,台美過去這幾年來的往來緊密、關係深化,應該是有目共睹; [4] 有關賴副總統的說法,台美之間都在相互清楚與了解狀況之下,也沒有外界所說造成誤會等問題。",L2-01|L2-03|L2-06|L2-07,0,2.0098663154492433,
_e0ec3fee450d_w0000,_e0ec3fee450d,03_Lai_chinatimes_news,,"[0] 早安世界》賴清德8月出席巴拉圭總統就職典禮 循例過境美國 2023/7/18 07:19 (7/20 14:40 更新) 今晨最新美前防長艾斯培:台若縮短兵役 盟友恐質疑自衛決心歐盟門戶計畫加碼投資拉美 4年內達450億歐元馬克宏將訪西南太平洋 在中美外推出「法國選擇」 總統府17日召開記者會,外交部次長俞大㵢表示,總統蔡英文指派副總統賴清德擔任特使,8月將率團出席巴拉圭共和國新任總統潘尼亞就職典禮。 [1] 他表示,此行賴副總統代表政府與人民,赴巴拉圭恭賀堅定挺台的潘尼亞就職,具有彰顯兩國邦誼的重要意義。 [2]  [3] 美國國務卿布林肯也證實,副總統賴清德8月出訪巴拉圭往返將過境美國。",L2-01|L2-03,0,2.0098020478489866,
_e3e29ba69393_w0001,_e3e29ba69393,03_Lai_chinatimes_news,,"[1] 對此,美國國務院重申,賴清德過境符合台灣副總統過境慣例與美台長期非官方關係,美國一中政策不變。 [2] 總統蔡英文指派賴清德擔任特使,率團出席巴拉圭共和國新任總統潘尼亞(Santiago Peña Palacios,另譯:貝尼亞)就職典禮; [3]  [4]  [5] 賴清德過境符合副總統過境慣例。",L2-01|L2-03,0,2.009800271795542,
_91b03f3014d8_w0007,_91b03f3014d8,03_Lai_chinatimes_news,,"[8] 潘尼亞說,巴拉圭和中國雖然有貿易往來,但巴拉圭對各國都持開放態度,「但我們所建立的經貿關係,不會建立在任何外交限制的前提之下」。 [9] 他表示,如果有國家說,因為和台灣有邦交就不和巴拉圭做生意,「那我們仍會持續深化巴台關係,並和有意打交道的國家合作」。 [10] 巴拉圭是台灣在南美洲唯一邦交國,是否面臨其他國家的壓力,潘尼亞舉例,巴拉圭最大貿易夥伴是世界第8大經濟體的巴西,亦是包含中國在內的「金磚國家」(BRICS)成員,「我們向他們表達巴拉圭立場,對方也尊重」,因為自己和台灣的好交情無需置疑。",L2-01|L2-02|L2-03|L2-05,0,2.009795706805866,
副总统辩论_a4a3572e071e_w0001,副总统辩论_a4a3572e071e,副总统辩论,,"[4] 全世界高度关注台湾人民即将选出什么样的领导人,什么样的总统。 [5] 因为这个选择不只关系到台湾的未来,更关系着台湾是不是持续在正确的道路上和国际一起合作,壮大还是从世界脱队,成为风险的来源,这攸关全球的稳定跟繁荣。 [6]  [7] 我们告别22K走出经济上多年的困顿和停滞成为全球供应链的要角。",L2-01|L2-03|L2-05|L2-06|L2-07,0,2.0097562235163675,
_3b6d2b235ec4_w0007,_3b6d2b235ec4,03_Lai_ltn_news,,"[9] 我國與宏都拉斯邦誼近82年,卡蕬楚2021年競選期間就主張外交轉向,當選後在美國斡旋下維繫與台灣關係; [10] 副總統賴清德去年曾出訪宏國出席就職典禮,邦交暫時穩定,不過宏國外長雷依納仍形容與台灣的關係是「流動的」。 [11] 陸委會表示,中共持續透過各種手段誘拉、惡意強奪我邦交國,意圖在國際間矮化台灣、消滅中華民國,我方嚴正抗議。",L2-01|L2-03|L2-05,0,2.0097182642606097,
副总统辩论_a4a3572e071e_w0074,副总统辩论_a4a3572e071e,副总统辩论,,[232] 陈杉荣: 请问你们有什么更好的办法可以扩展台湾的国际空间? [233] 可以增加中华民国的邦交国数量? [234]  [235]  [236]  [237]  [238]  [239]  [240]  [241]  [242]  [243]  [244] 刚刚陈先生提到未来怎么协助总统。,L2-01|L2-03,0,2.009706980243949,
_15c486da051c_w0000,_15c486da051c,03_Lai_chinatimes_news,,"[0] 巴拉圭總統就職典禮 美內政部長邀賴清德合照[影] 2023/8/15 23:34 (8/16 08:03 更新) (中央社記者葉素萍亞松森15日電)副總統賴清德今天出席巴拉總統潘尼亞就職典禮,與多國政要同台,美國內政部長哈蘭見賴副總統到場,提前起身等候握手寒暄,並主動邀請合照; [1] 賴副總統並與西班牙國王菲利佩六世、巴西總統魯拉等元首寒暄致意。 [2] 潘尼亞就職演說兩次提台灣 強調兄弟情誼進一步合作 賴清德出席巴拉圭總統潘尼亞就職典禮 各國政要同場 賴副總統12日至18日以特使身分率團出席友邦巴拉圭共和國新任總統潘尼亞(Santiago Peña Palacios,另譯:貝尼亞)、副總統阿里亞納(Pedro Alliana,另譯亞力安納)就職典禮,此行共計7天6夜,去程過境美國紐約,回程過境美國舊金山。",L2-01|L2-03|L2-06,0,2.009691763773477,
