camp,genre,L1,l2s,sent_text
KMT,news,L1-04,L2-06+L2-07,"吳欣盈說,數位健康可以做得更多,醫療是投資不是支出,政府應增加對健康的投入,再窮不能窮健康,台灣的人均GDP雖然超越韓國,但民眾健康情況卻不如韓國,在嬰兒死亡率、平均餘命等重要健康指標,全面落後韓國。"
DPP,news,L1-06,L2-06+L2-07,"與會人士轉述,賴清德提到行政院透過10大面向打造韌性經濟與社會,並表示蔡政府不但沒有亂花錢,而且超前部署幫助中小企業與弱勢。"
TPP,news,L1-01,L2-06+L2-07,"賴副總統強調,他對台灣很有信心,例如今天參訪的福比麵包廠,雖成立沒多久,但已經著手進行自動化及綠色轉型,這代表台灣社會具備底蘊,只要政府明確點出方向,並與大家一起合作,相信一定會成功。"
KMT,news,L1-02,L2-06+L2-07,"柯文哲指出,2016年民進黨上台,以為會是一個謙卑的政府,結果8年過去,國民黨沒有解決的問題,民進黨一樣也沒有解決,而且更加貪污腐敗。"
KMT,news,L1-02,L2-05+L2-06+L2-07,"柯文哲表示,當執政者為了一黨一派的利益犧牲國家與人民,就不要怪有6成民意期待政黨輪替,「今天如果你幹得好,怎麼會有這種事情?」 柯文哲也諷刺,賴清德在行政院長任內,要求台電燒乾淨的媒、要年輕人民把工作當作做功德,「你曉不曉得你的外號叫賴功德?」 侯友宜:賴清德不放棄台獨謀害台灣 忘恩負義 賴清德強調護台穩兩岸 批侯沒準備好、柯政見複製貼上 柯文哲表示,他今年5月20日在淡水宣布參選後,就提出台灣不應是外媒所說世界最危險的地方。"
KMT,news,L1-03,L2-01+L2-05+L2-06+L2-07,"賴清德指出,台灣是國際社會的一員,處在第一島鏈的關鍵位置,應該可以扮演更積極角色,展現守護國家的決心,不能因為4個月役期比較輕鬆、就做出重新恢復的選擇,靠實力獲得的和平,才是真和平。"
DPP,news,L1-03,L2-01+L2-05+L2-06+L2-07,"賴清德表示,畜牧業、農業都是國家的主人,台灣農業每年產值逾六千億元,但沒有主權就沒有所有權,沒有所有權就無法種植、畜牧,台灣主權就像是這塊土地的所有權,無論台灣遇到什麼威脅,都應該勇敢面對、確保主權及掌握所有權,拜託大家一起捍衛台灣主權。"
TPP,news,L1-01,L2-06+L2-07,"今天該校舉辦58周年校慶及產學成果電動車捐贈典禮時,副總統賴清德應邀出席時,除引用宣捷集團創辦人宣明智的話,指「電動車未來的產值將比半導體更大」之外,更強調,推動數位轉型、淨零排放,將讓台灣的產業更智慧、更永續且更有韌性。"
TPP,news,L1-06,L2-06+L2-07,"她解釋,蔡英文政府是歷史上最會還債的政府,執政8年總共還債超過新台幣9000億元,且嚴守財政紀律、沒有債留子孫,「你們可以放心投民進黨」。"
DPP,news,L1-01,L2-05+L2-06+L2-07,"蔡英文指出,感謝在場的企業負責人對於經濟發展的貢獻,台灣去年貿易總額超過9千億美元創新高,能有這樣的表現,在場都是很重要的力量,今年要面對的挑戰還很多,包括俄烏戰爭、貨幣緊縮,政府不會讓大家孤單,政府會加強照顧中小企業,在疫情後協助中小企業轉型升級,符合低碳生產趨勢,也會撥出資源淨零轉型,讓台灣成為全球供應鏈的關鍵力量。"
KMT,news,L1-01,L2-02+L2-04+L2-06+L2-07,"針對兩岸服貿協議議題,賴清德則說,1997年香港回歸中國,結果失去全世界,台灣則是迎向世界走向未來,目前台股已經超過香港恆生指數,柯文哲真的認為過時的服務貿易協定、開放大量中生來台就業,會對台灣民眾更好嗎?"
TPP,news,L1-07,L2-06+L2-07+L2-08,"(12/10 14:26 更新) (中央社記者林巧璉高雄10日電)台北市長蔣萬安今天南下至高雄輔選,他說,民眾不需要只是橡皮圖章、只會護航的立委,「過去8年大家過得很辛苦,做不好就換人、政黨輪替」。"
DPP,news,L1-03,L2-06+L2-07+L2-08,"陳世凱表示,台灣是民主防線的最前緣,具有重要的關鍵地位,蔡英文總統這幾年來,堅定國家立場,遇到壓力不屈服的原則帶領執政團隊,和全體國人一起打拚,讓台灣成為國際重要的良善力量,也得到國際社會更多的信任與支持,這點有目共睹,相信特定媒體的刻意操作,改變不了這個事實。"
TPP,news,L1-03,L2-01+L2-06+L2-07,"阿布鐸提到,近年來,台灣與巴拉圭在國防方面的合作頻密,兩國軍校進行的學員交流,也讓巴拉圭軍方有機會與台灣國軍進行最高等級的培訓,他們相當珍惜這樣的合作,期待未來可以進一步強化臺巴雙邊在國防上的關係。"
TPP,news,L1-03,L2-06+L2-07,"呂秀蓮話鋒一轉,批現在的政客為了選票,沒有一個人說不要和平,那你要怎樣確保台灣的和平,和平是需要投資的,請每一位要參選總統的人,在喊和平的時候,請講清楚你要如何確保和平?"
KMT,news,L1-02,L2-06+L2-07,"呼籲下架貪污政府、建立清廉政府,完成政黨輪替。"
KMT,news,L1-05,L2-06+L2-07,"然而,侯朱兩人面對社會經濟相對弱勢的塭仔圳市民,卻在重劃案中僅規劃2100戶社會住宅,絲毫不理會有迫切需求的年輕人。"
TPP,news,L1-04,L2-06+L2-07,"她說,再3年多就可從醫院退休,台灣醫療、健保、教育需要有人大刀闊斧改革,年輕人房子買不起、孩子不敢生,台灣還能再蹉跎4年嗎?"
DPP,news,L1-03,L2-05+L2-06+L2-07,"賴清德說,蔡總統這幾年積極發展國防自主,勇鷹號教練機已經升空,海鯤艦也已經問世,這些成就會繼續保護台灣的海空安全;"
KMT,news,L1-02,L2-05+L2-06+L2-07,"侯友宜表示,民進黨眼睜睜看詐騙集團一直騙到現在,民怨沸騰,最痛心的是有民進黨立委竟長期接受imB詐團贊助,賴清德發言人更說這是「小東西」,難道民眾被騙錢到想結束生命叫做小事嗎;"
DPP,news,L1-06,L2-01+L2-06+L2-07+L2-08,"賴清德會中表示,信賴台灣之友會成立,就是要信賴台灣、守護台灣,壯大中華民國台灣,台灣幾十年來民主進步、國家發展以及經濟成績獲國際肯定,都是大家共同努力的結果,在總統蔡英文帶領下讓國際看到台灣,他要持續守護、壯大民主的台灣。"
KMT,news,L1-07,L2-04+L2-06+L2-07,"從2000年政黨輪替以來,這24年裡,民進黨執政了16年,我們只有一句話:受夠了、真的是受不了!"
DPP,news,L1-03,L2-01+L2-06+L2-07,"中國統派團體則在50公尺外集結近百人高喊「打倒賴清德、打倒台獨!台灣是中國的!」他們痛斥台灣應該搞好經濟,不要跑到國外拍馬屁,但被記者反問中國大批青年失業,他們怒斥:「中國很團結!我們靠自己!」 統派團體約上午11時起陸續在50公尺外集結,雖號稱集結500人,但現場目測約近百人。"
KMT,news,L1-03,L2-04+L2-05+L2-06+L2-07,"過去他在立院擔任幹事長,親身經歷朝小野大情況,程序委員會前後擋69次軍購案,在外卻說支持軍購,如果國民黨回來,國防自主8年辛苦道路勢必停止。"
KMT,news,L1-01,L2-05+L2-06+L2-07,"吳欣盈呼籲,處在關鍵的時刻,已經沒有時間浪費,日本有「失落的30年」,台灣也失落20年,錯誤的政策跟貪污一樣可怕,讓年輕人賺不到錢,買不起房子,生活中還缺錢、缺電、缺蛋、缺疫苗,「缺缺缺成為2023年的關鍵字」。"
KMT,news,L1-02,L2-06+L2-07,"柯文哲也向總統蔡英文喊話,「7年前你給台灣人民的承諾是什麼?」「清廉、勤政、愛鄉土」曾是民進黨主張,但現在還有人會把清廉勤政跟民進黨劃上等號嗎,希望民進黨要反省。"
DPP,news,L1-01,L2-06+L2-07,"科技進步、電動車出現,賴清德指出,台灣半導體、ICT產業、精密機械具有國際競爭優勢,世界在變化,就是台灣的機會,台灣政府也要這樣看待。"
