doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date,preprocessed_text,hard_rule_keep,hard_rule_reason,policy_gate,policy_gate_reason,priority_keep,semantic_status,semantic_similarity,nli_status,nli_score,key_hit,final_status
_721a42ec8fa3,_721a42ec8fa3_u008,"該園有幼生家長批評市府未事前通知,造成困擾,新北市府對此回應,實際上媒體並未進入幼兒園,侯友宜也完全理解家長的心情,今天沒有影響到小朋友正常上課,他是來替幼教老師加油打氣,也呼籲副總統賴清德出來面對,為造謠、撕裂親師互信造成家長害怕、社會不安而道歉。",claim,"張容甄補充,餵藥事件確實有打擊、撕裂部分親師互信,可能家長受媒體或輿論風向影響,產生不同認知,園方都給予尊重,家長送孩子來接受教育,一定期望孩子受到良好照顧,相信園方、老師只要做好,讓家長感受孩子是開心、快樂的,親師之間的信任也會慢慢修復。",侯友宜今日到板橋區布查花園幼兒園關心。,"[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""侯友宜"", ""party"": ""KMT""}]",[],False,,3eb1f7b3880509069e510f93be1033ab,False,01_Ho_ltn_news,2023-07-18 12:08:48,"該園有幼生家長批評市府未事前通知,造成困擾,新北市府對此回應,實際上媒體並未進入幼兒園,侯友宜也完全理解家長的心情,今天沒有影響到小朋友正常上課,他是來替幼教老師加油打氣,也呼籲副總統賴清德出來面對,為造謠、撕裂親師互信造成家長害怕、社會不安而道歉。",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.5482113361358643,,,True,KEEP
_152515317947,_152515317947_u000,陳昭姿曾擔任一邊一國行動聯盟理事長、前總統陳水扁醫療小組發言人。,context,,"(資料照,記者陳鈺馥攝) 2023/11/21 17:55 〔記者陳鈺馥/台北報導〕民眾黨主席柯文哲主張「兩岸一家親」,「台派」背景的前總統陳水扁醫療小組發言人陳昭姿將被民眾黨列入不分區立委安全名單內。",[],[],False,,6e3202507a8d4a14c2bcb00003f8c3e9,False,01_Ho_ltn_news,2023-11-21 17:55:16,陳昭姿曾擔任一邊一國行動聯盟理事長、前總統陳水扁醫療小組發言人。,True,institution_only,True,gate: core_election,False,KEEP,0.6016522645950317,,,True,KEEP
_152515317947,_152515317947_u001,"(資料照,記者陳鈺馥攝) 2023/11/21 17:55 〔記者陳鈺馥/台北報導〕民眾黨主席柯文哲主張「兩岸一家親」,「台派」背景的前總統陳水扁醫療小組發言人陳昭姿將被民眾黨列入不分區立委安全名單內。",claim,陳昭姿曾擔任一邊一國行動聯盟理事長、前總統陳水扁醫療小組發言人。,"本土社團台灣北社今日發聲明強調,陳昭姿一切言行概與北社無關,陳女能被民眾黨提名,可見其立場已完全丕變,更顯示與北社堅持的理念完全不同。","[{""name"": ""柯文哲"", ""party"": ""TPP""}, {""name"": ""民眾黨"", ""party"": ""TPP""}]","[""兩岸|cross-strait""]",False,,883e3f044099829a695a5391c1aafa58,False,01_Ho_ltn_news,2023-11-21 17:55:16,"(資料照,記者陳鈺馥攝) 2023/11/21 17:55 〔記者陳鈺馥/台北報導〕民眾黨主席柯文哲主張「兩岸一家親」,「台派」背景的前總統陳水扁醫療小組發言人陳昭姿將被民眾黨列入不分區立委安全名單內。",True,cooccur: actor×institution,True,gate: actor×inst,True,KEEP,1.0,KEEP,1.0,True,KEEP
_152515317947,_152515317947_u003,"民眾黨今天上午開會討論不分區立委名單,傳前8名分別為前台北市副市長黃珊珊、前總統陳水扁醫療小組發言人陳昭姿、台灣新住民黨黨主席麥玉珍、花蓮縣藥師公會理事長林憶君、前立委黃國昌、戰國策傳播集團董事長吳春城、前北市議員林國成、資深媒體人張啟楷等。",context,"本土社團台灣北社今日發聲明強調,陳昭姿一切言行概與北社無關,陳女能被民眾黨提名,可見其立場已完全丕變,更顯示與北社堅持的理念完全不同。","台灣北社表示,民眾黨提名不分區立委,陳昭姿早在多年前已非台灣北社社員,若有聽聞陳女發表任何有關北社言論,概屬其個人言行,與北社無關。","[{""name"": ""民眾黨"", ""party"": ""TPP""}]",[],False,,d0a274c4d972af23d7ae73418f055ff0,False,01_Ho_ltn_news,2023-11-21 17:55:16,"民眾黨今天上午開會討論不分區立委名單,傳前8名分別為前台北市副市長黃珊珊、前總統陳水扁醫療小組發言人陳昭姿、台灣新住民黨黨主席麥玉珍、花蓮縣藥師公會理事長林憶君、前立委黃國昌、戰國策傳播集團董事長吳春城、前北市議員林國成、資深媒體人張啟楷等。",True,cooccur: actor×institution,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP
_152515317947,_152515317947_u004,"台灣北社表示,民眾黨提名不分區立委,陳昭姿早在多年前已非台灣北社社員,若有聽聞陳女發表任何有關北社言論,概屬其個人言行,與北社無關。",claim,"民眾黨今天上午開會討論不分區立委名單,傳前8名分別為前台北市副市長黃珊珊、前總統陳水扁醫療小組發言人陳昭姿、台灣新住民黨黨主席麥玉珍、花蓮縣藥師公會理事長林憶君、前立委黃國昌、戰國策傳播集團董事長吳春城、前北市議員林國成、資深媒體人張啟楷等。","謹此鄭重聲明,並特予澄清。","[{""name"": ""民眾黨"", ""party"": ""TPP""}]",[],False,,1a6adcc43b12cbd9fe5c96bc631463d0,False,01_Ho_ltn_news,2023-11-21 17:55:16,"台灣北社表示,民眾黨提名不分區立委,陳昭姿早在多年前已非台灣北社社員,若有聽聞陳女發表任何有關北社言論,概屬其個人言行,與北社無關。",True,cooccur: actor×institution,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP
_152515317947,_152515317947_u006,"台灣北社指出,陳昭姿從前曾因其「台派」立場而獲自由台灣黨、一邊一國行動黨提名不分區立委第一名,但皆不歡而散;",claim,"謹此鄭重聲明,並特予澄清。","如今能被民眾黨提名,可見其立場已完全丕變,更顯示與北社堅持的理念完全不同,謹此一併報告台灣國人週知。",[],[],False,,338746dd78d726e4f424cf2bfe8ec223,False,01_Ho_ltn_news,2023-11-21 17:55:16,"台灣北社指出,陳昭姿從前曾因其「台派」立場而獲自由台灣黨、一邊一國行動黨提名不分區立委第一名,但皆不歡而散;",True,institution_only,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP
_61a3a9ca277f,_61a3a9ca277f_u001,"(新北市捷運工程局提供) 2023/04/14 18:44 〔記者翁聿煌/新北報導〕新北市五股泰山輕軌可行性研究歷經13年,今天(14日)終獲行政院宣布核定,捷運局為加速推動五泰輕軌,已先行啟動綜合規劃作業,積極爭取2年內完成綜合規劃中央核定,朝向核定後6年完工通車目標,2030願景邁進,以提供市民更便捷的三環六線捷運路網,捷運工程局長李政安指出,五泰輕軌的重要性在於未來可延伸到泰山板橋輕軌,打造新北市的小外環路網。",claim,五泰輕軌模擬圖。,"新北市捷運局說,五泰輕軌於2010年8月完成可行性研究,國發會去年2月21日建議行政院核定,經過1年多的等待與補充,在地方與中央共同合作努力下,終獲得行政院宣布核定。",[],[],False,,b6c1a85f19ce94b190aff5c4d2902340,False,01_Ho_ltn_news,2023-04-14 18:44:12,"(新北市捷運工程局提供) 2023/04/14 18:44 〔記者翁聿煌/新北報導〕新北市五股泰山輕軌可行性研究歷經13年,今天(14日)終獲行政院宣布核定,捷運局為加速推動五泰輕軌,已先行啟動綜合規劃作業,積極爭取2年內完成綜合規劃中央核定,朝向核定後6年完工通車目標,2030願景邁進,以提供市民更便捷的三環六線捷運路網,捷運工程局長李政安指出,五泰輕軌的重要性在於未來可延伸到泰山板橋輕軌,打造新北市的小外環路網。",True,institution_only,True,gate: core_election,False,KEEP,0.5369781255722046,,,False,KEEP
_61a3a9ca277f,_61a3a9ca277f_u002,"新北市捷運局說,五泰輕軌於2010年8月完成可行性研究,國發會去年2月21日建議行政院核定,經過1年多的等待與補充,在地方與中央共同合作努力下,終獲得行政院宣布核定。",claim,"(新北市捷運工程局提供) 2023/04/14 18:44 〔記者翁聿煌/新北報導〕新北市五股泰山輕軌可行性研究歷經13年,今天(14日)終獲行政院宣布核定,捷運局為加速推動五泰輕軌,已先行啟動綜合規劃作業,積極爭取2年內完成綜合規劃中央核定,朝向核定後6年完工通車目標,2030願景邁進,以提供市民更便捷的三環六線捷運路網,捷運工程局長李政安指出,五泰輕軌的重要性在於未來可延伸到泰山板橋輕軌,打造新北市的小外環路網。","李政安說,歷經13年總算爭取到行政院核定,爭取等待過程中,捷運局仍不停歇,已於2022年6月先行啟動綜合規劃,可接續辦理加速推動,朝向2024年第1季提出綜規報告送中央審議為目標,以市民期待為優先,朝向核定後6年完工的願景邁進。",[],[],False,,a64e1873a85e0e6bf0a1e9c44727ae6b,False,01_Ho_ltn_news,2023-04-14 18:44:12,"新北市捷運局說,五泰輕軌於2010年8月完成可行性研究,國發會去年2月21日建議行政院核定,經過1年多的等待與補充,在地方與中央共同合作努力下,終獲得行政院宣布核定。",True,institution_only,True,gate: core_election,False,KEEP,0.4288053512573242,,,False,KEEP
_61a3a9ca277f,_61a3a9ca277f_u003,"李政安說,歷經13年總算爭取到行政院核定,爭取等待過程中,捷運局仍不停歇,已於2022年6月先行啟動綜合規劃,可接續辦理加速推動,朝向2024年第1季提出綜規報告送中央審議為目標,以市民期待為優先,朝向核定後6年完工的願景邁進。",claim,"新北市捷運局說,五泰輕軌於2010年8月完成可行性研究,國發會去年2月21日建議行政院核定,經過1年多的等待與補充,在地方與中央共同合作努力下,終獲得行政院宣布核定。","五泰輕軌路線全長11.6公里,設置14座車站及1座機廠,可與環狀線北環段Y22、蘆洲線蘆洲站以及機場線規劃增設A5a站轉乘,計畫預估總工程經費227.29億元,新北市府負擔155.57億元,中央補助72.22億元,路線行經三重、蘆洲、五股、泰山計36萬人口稠密地區。",[],[],False,,3f27a8d07972905966105388225b3c41,False,01_Ho_ltn_news,2023-04-14 18:44:12,"李政安說,歷經13年總算爭取到行政院核定,爭取等待過程中,捷運局仍不停歇,已於2022年6月先行啟動綜合規劃,可接續辦理加速推動,朝向2024年第1季提出綜規報告送中央審議為目標,以市民期待為優先,朝向核定後6年完工的願景邁進。",True,institution_only,True,gate: core_election,False,KEEP,0.45003941655158997,,,False,KEEP
_33be6a003e2f,_33be6a003e2f_u006,"潘德並提到,去年8月當時的美國聯邦眾議院議長裴洛西(Nancy Pelosi)訪台,中國發表「台灣問題白皮書」,重申了「統一」台灣的決心。",claim,"他在講述中國的軍事崛起時抨擊,中國在南海地區的擴張、在海事爭議上拒絕接受國際仲裁結果、以及在台灣海峽與印中邊界的「好戰」行為,都顯現出「強權即真理」的國際秩序觀。","印度近年雖因邊界衝突而與中國交惡,但外交官員及軍事將領仍鮮少公開談及台灣,有觀察人士認為潘德此次演講三度提及台灣,背後因素或動機值得玩味。",[],[],False,,05271157f6f7a7af872f6523590059e7,False,01_Ho_ltn_news,2023-03-28 22:57:04,"潘德並提到,去年8月當時的美國聯邦眾議院議長裴洛西(Nancy Pelosi)訪台,中國發表「台灣問題白皮書」,重申了「統一」台灣的決心。",True,institution_only,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,False,KEEP
