pair,annotator,unit,estimand,threshold20,n_ab,value,p,dropped_by_threshold
01-02,ds,sentence,raw_OR,False,180,10.1216,,False
01-03,ds,sentence,raw_OR,False,57,4.9771,,False
01-04,ds,sentence,raw_OR,False,111,1.9233,,False
01-05,ds,sentence,raw_OR,False,360,2.2612,,False
01-06,ds,sentence,raw_OR,False,460,3.2392,,False
01-07,ds,sentence,raw_OR,False,647,1.4502,,False
01-08,ds,sentence,raw_OR,False,298,3.3926,,False
02-03,ds,sentence,raw_OR,False,5,1.6474,,False
02-04,ds,sentence,raw_OR,False,54,4.6986,,False
02-05,ds,sentence,raw_OR,False,137,4.7562,,False
02-06,ds,sentence,raw_OR,False,59,1.4862,,False
02-07,ds,sentence,raw_OR,False,145,1.5143,,False
02-08,ds,sentence,raw_OR,False,144,9.4799,,False
03-04,ds,sentence,raw_OR,False,12,2.0032,,False
03-05,ds,sentence,raw_OR,False,27,1.4644,,False
03-06,ds,sentence,raw_OR,False,54,3.5103,,False
03-07,ds,sentence,raw_OR,False,85,2.2122,,False
03-08,ds,sentence,raw_OR,False,17,1.5347,,False
04-05,ds,sentence,raw_OR,False,151,2.1888,,False
04-06,ds,sentence,raw_OR,False,187,2.8965,,False
04-07,ds,sentence,raw_OR,False,267,1.4241,,False
04-08,ds,sentence,raw_OR,False,175,4.9761,,False
05-06,ds,sentence,raw_OR,False,295,1.2569,,False
05-07,ds,sentence,raw_OR,False,814,1.4752,,False
05-08,ds,sentence,raw_OR,False,297,2.5258,,False
06-07,ds,sentence,raw_OR,False,837,1.5178,,False
06-08,ds,sentence,raw_OR,False,227,1.7156,,False
07-08,ds,sentence,raw_OR,False,776,3.726,,False
01-02,ds,sentence,raw_OR,True,180,10.1216,,False
01-03,ds,sentence,raw_OR,True,57,4.9771,,False
01-04,ds,sentence,raw_OR,True,111,1.9233,,False
01-05,ds,sentence,raw_OR,True,360,2.2612,,False
01-06,ds,sentence,raw_OR,True,460,3.2392,,False
01-07,ds,sentence,raw_OR,True,647,1.4502,,False
01-08,ds,sentence,raw_OR,True,298,3.3926,,False
02-03,ds,sentence,raw_OR,True,5,,,True
02-04,ds,sentence,raw_OR,True,54,4.6986,,False
02-05,ds,sentence,raw_OR,True,137,4.7562,,False
02-06,ds,sentence,raw_OR,True,59,1.4862,,False
02-07,ds,sentence,raw_OR,True,145,1.5143,,False
02-08,ds,sentence,raw_OR,True,144,9.4799,,False
03-04,ds,sentence,raw_OR,True,12,,,True
03-05,ds,sentence,raw_OR,True,27,1.4644,,False
03-06,ds,sentence,raw_OR,True,54,3.5103,,False
03-07,ds,sentence,raw_OR,True,85,2.2122,,False
03-08,ds,sentence,raw_OR,True,17,,,True
04-05,ds,sentence,raw_OR,True,151,2.1888,,False
04-06,ds,sentence,raw_OR,True,187,2.8965,,False
04-07,ds,sentence,raw_OR,True,267,1.4241,,False
04-08,ds,sentence,raw_OR,True,175,4.9761,,False
05-06,ds,sentence,raw_OR,True,295,1.2569,,False
05-07,ds,sentence,raw_OR,True,814,1.4752,,False
05-08,ds,sentence,raw_OR,True,297,2.5258,,False
06-07,ds,sentence,raw_OR,True,837,1.5178,,False
06-08,ds,sentence,raw_OR,True,227,1.7156,,False
07-08,ds,sentence,raw_OR,True,776,3.726,,False
01-02,ds,sentence,lift,False,180,5.3915,,False
01-03,ds,sentence,lift,False,57,3.6304,,False
01-04,ds,sentence,lift,False,111,1.7317,,False
01-05,ds,sentence,lift,False,360,1.8473,,False
01-06,ds,sentence,lift,False,460,2.3315,,False
01-07,ds,sentence,lift,False,647,1.2571,,False
01-08,ds,sentence,lift,False,298,2.555,,False
02-03,ds,sentence,lift,False,5,1.4837,,False
02-04,ds,sentence,lift,False,54,3.925,,False
02-05,ds,sentence,lift,False,137,3.2752,,False
02-06,ds,sentence,lift,False,59,1.3932,,False
02-07,ds,sentence,lift,False,145,1.3126,,False
02-08,ds,sentence,lift,False,144,5.752,,False
03-04,ds,sentence,lift,False,12,1.8547,,False
03-05,ds,sentence,lift,False,27,1.3725,,False
03-06,ds,sentence,lift,False,54,2.7115,,False
03-07,ds,sentence,lift,False,85,1.6361,,False
03-08,ds,sentence,lift,False,17,1.4439,,False
04-05,ds,sentence,lift,False,151,1.8803,,False
04-06,ds,sentence,lift,False,187,2.3,,False
04-07,ds,sentence,lift,False,267,1.2589,,False
04-08,ds,sentence,lift,False,175,3.641,,False
05-06,ds,sentence,lift,False,295,1.1934,,False
05-07,ds,sentence,lift,False,814,1.2623,,False
05-08,ds,sentence,lift,False,297,2.0324,,False
06-07,ds,sentence,lift,False,837,1.2821,,False
06-08,ds,sentence,lift,False,227,1.5344,,False
07-08,ds,sentence,lift,False,776,2.0107,,False
01-02,ds,sentence,lift,True,180,5.3915,,False
01-03,ds,sentence,lift,True,57,3.6304,,False
01-04,ds,sentence,lift,True,111,1.7317,,False
01-05,ds,sentence,lift,True,360,1.8473,,False
01-06,ds,sentence,lift,True,460,2.3315,,False
01-07,ds,sentence,lift,True,647,1.2571,,False
01-08,ds,sentence,lift,True,298,2.555,,False
02-03,ds,sentence,lift,True,5,,,True
02-04,ds,sentence,lift,True,54,3.925,,False
02-05,ds,sentence,lift,True,137,3.2752,,False
02-06,ds,sentence,lift,True,59,1.3932,,False
02-07,ds,sentence,lift,True,145,1.3126,,False
02-08,ds,sentence,lift,True,144,5.752,,False
03-04,ds,sentence,lift,True,12,,,True
03-05,ds,sentence,lift,True,27,1.3725,,False
03-06,ds,sentence,lift,True,54,2.7115,,False
03-07,ds,sentence,lift,True,85,1.6361,,False
03-08,ds,sentence,lift,True,17,,,True
04-05,ds,sentence,lift,True,151,1.8803,,False
04-06,ds,sentence,lift,True,187,2.3,,False
04-07,ds,sentence,lift,True,267,1.2589,,False
04-08,ds,sentence,lift,True,175,3.641,,False
05-06,ds,sentence,lift,True,295,1.1934,,False
05-07,ds,sentence,lift,True,814,1.2623,,False
05-08,ds,sentence,lift,True,297,2.0324,,False
06-07,ds,sentence,lift,True,837,1.2821,,False
06-08,ds,sentence,lift,True,227,1.5344,,False
07-08,ds,sentence,lift,True,776,2.0107,,False
01-02,ds,sentence,null_model,False,180,1.4663,0.0066,False
01-03,ds,sentence,null_model,False,57,1.2074,0.0133,False
01-04,ds,sentence,null_model,False,111,0.8801,0.0133,False
01-05,ds,sentence,null_model,False,360,0.9455,0.0465,False
01-06,ds,sentence,null_model,False,460,1.0925,0.0066,False
01-07,ds,sentence,null_model,False,647,0.9759,0.1794,False
01-08,ds,sentence,null_model,False,298,1.1111,0.0133,False
02-03,ds,sentence,null_model,False,5,0.8982,0.9967,False
02-04,ds,sentence,null_model,False,54,1.1559,0.113,False
02-05,ds,sentence,null_model,False,137,1.0384,0.485,False
02-06,ds,sentence,null_model,False,59,0.9113,0.3588,False
02-07,ds,sentence,null_model,False,145,0.8793,0.0066,False
02-08,ds,sentence,null_model,False,144,1.4236,0.0066,False
03-04,ds,sentence,null_model,False,12,0.8843,0.6578,False
03-05,ds,sentence,null_model,False,27,0.8411,0.186,False
03-06,ds,sentence,null_model,False,54,1.1422,0.1196,False
03-07,ds,sentence,null_model,False,85,1.1774,0.0066,False
03-08,ds,sentence,null_model,False,17,0.7102,0.0664,False
04-05,ds,sentence,null_model,False,151,1.016,0.8106,False
04-06,ds,sentence,null_model,False,187,1.2529,0.0066,False
04-07,ds,sentence,null_model,False,267,0.8893,0.0066,False
04-08,ds,sentence,null_model,False,175,1.1539,0.0066,False
05-06,ds,sentence,null_model,False,295,0.8686,0.0066,False
05-07,ds,sentence,null_model,False,814,0.9662,0.0332,False
05-08,ds,sentence,null_model,False,297,0.9935,0.897,False
06-07,ds,sentence,null_model,False,837,0.9035,0.0066,False
06-08,ds,sentence,null_model,False,227,0.8464,0.0066,False
07-08,ds,sentence,null_model,False,776,1.0786,0.0066,False
01-02,ds,sentence,null_model,True,180,1.4663,0.0066,False
01-03,ds,sentence,null_model,True,57,1.2074,0.0133,False
01-04,ds,sentence,null_model,True,111,0.8801,0.0133,False
01-05,ds,sentence,null_model,True,360,0.9455,0.0465,False
01-06,ds,sentence,null_model,True,460,1.0925,0.0066,False
01-07,ds,sentence,null_model,True,647,0.9759,0.1794,False
01-08,ds,sentence,null_model,True,298,1.1111,0.0133,False
02-03,ds,sentence,null_model,True,5,,,True
02-04,ds,sentence,null_model,True,54,1.1559,0.113,False
02-05,ds,sentence,null_model,True,137,1.0384,0.485,False
02-06,ds,sentence,null_model,True,59,0.9113,0.3588,False
02-07,ds,sentence,null_model,True,145,0.8793,0.0066,False
02-08,ds,sentence,null_model,True,144,1.4236,0.0066,False
03-04,ds,sentence,null_model,True,12,,,True
03-05,ds,sentence,null_model,True,27,0.8411,0.186,False
03-06,ds,sentence,null_model,True,54,1.1422,0.1196,False
03-07,ds,sentence,null_model,True,85,1.1774,0.0066,False
03-08,ds,sentence,null_model,True,17,,,True
04-05,ds,sentence,null_model,True,151,1.016,0.8106,False
04-06,ds,sentence,null_model,True,187,1.2529,0.0066,False
04-07,ds,sentence,null_model,True,267,0.8893,0.0066,False
04-08,ds,sentence,null_model,True,175,1.1539,0.0066,False
05-06,ds,sentence,null_model,True,295,0.8686,0.0066,False
05-07,ds,sentence,null_model,True,814,0.9662,0.0332,False
05-08,ds,sentence,null_model,True,297,0.9935,0.897,False
06-07,ds,sentence,null_model,True,837,0.9035,0.0066,False
06-08,ds,sentence,null_model,True,227,0.8464,0.0066,False
07-08,ds,sentence,null_model,True,776,1.0786,0.0066,False
01-02,ds,sentence,conditional_OR(L1_gpt),False,180,3.7879,0.0,False
01-03,ds,sentence,conditional_OR(L1_gpt),False,57,2.9363,0.0,False
01-04,ds,sentence,conditional_OR(L1_gpt),False,111,0.913,0.5489,False
01-05,ds,sentence,conditional_OR(L1_gpt),False,360,0.5057,0.0,False
01-06,ds,sentence,conditional_OR(L1_gpt),False,460,3.0557,0.0,False
01-07,ds,sentence,conditional_OR(L1_gpt),False,647,1.1649,0.0183,False
01-08,ds,sentence,conditional_OR(L1_gpt),False,298,1.7884,0.0,False
02-03,ds,sentence,conditional_OR(L1_gpt),False,5,0.6239,0.311,False
02-04,ds,sentence,conditional_OR(L1_gpt),False,54,2.077,0.0002,False
02-05,ds,sentence,conditional_OR(L1_gpt),False,137,1.3435,0.0399,False
02-06,ds,sentence,conditional_OR(L1_gpt),False,59,0.6949,0.0433,False
02-07,ds,sentence,conditional_OR(L1_gpt),False,145,0.7956,0.0789,False
02-08,ds,sentence,conditional_OR(L1_gpt),False,144,4.6498,0.0,False
03-04,ds,sentence,conditional_OR(L1_gpt),False,12,1.1569,0.6875,False
03-05,ds,sentence,conditional_OR(L1_gpt),False,27,0.6908,0.1921,False
03-06,ds,sentence,conditional_OR(L1_gpt),False,54,1.4964,0.0866,False
03-07,ds,sentence,conditional_OR(L1_gpt),False,85,1.5129,0.0177,False
03-08,ds,sentence,conditional_OR(L1_gpt),False,17,1.0362,0.9132,False
04-05,ds,sentence,conditional_OR(L1_gpt),False,151,1.1708,0.2288,False
04-06,ds,sentence,conditional_OR(L1_gpt),False,187,2.3996,0.0,False
04-07,ds,sentence,conditional_OR(L1_gpt),False,267,0.9083,0.2901,False
04-08,ds,sentence,conditional_OR(L1_gpt),False,175,3.2485,0.0,False
05-06,ds,sentence,conditional_OR(L1_gpt),False,295,0.9733,0.7774,False
05-07,ds,sentence,conditional_OR(L1_gpt),False,814,1.2193,0.0014,False
05-08,ds,sentence,conditional_OR(L1_gpt),False,297,1.2571,0.0161,False
06-07,ds,sentence,conditional_OR(L1_gpt),False,837,1.1726,0.0093,False
06-08,ds,sentence,conditional_OR(L1_gpt),False,227,1.3744,0.0006,False
07-08,ds,sentence,conditional_OR(L1_gpt),False,776,3.3644,0.0,False
01-02,ds,sentence,conditional_OR(L1_gpt),True,180,3.7879,0.0,False
01-03,ds,sentence,conditional_OR(L1_gpt),True,57,2.9363,0.0,False
01-04,ds,sentence,conditional_OR(L1_gpt),True,111,0.913,0.5489,False
01-05,ds,sentence,conditional_OR(L1_gpt),True,360,0.5057,0.0,False
01-06,ds,sentence,conditional_OR(L1_gpt),True,460,3.0557,0.0,False
01-07,ds,sentence,conditional_OR(L1_gpt),True,647,1.1649,0.0183,False
01-08,ds,sentence,conditional_OR(L1_gpt),True,298,1.7884,0.0,False
02-03,ds,sentence,conditional_OR(L1_gpt),True,5,,,True
02-04,ds,sentence,conditional_OR(L1_gpt),True,54,2.077,0.0002,False
02-05,ds,sentence,conditional_OR(L1_gpt),True,137,1.3435,0.0399,False
02-06,ds,sentence,conditional_OR(L1_gpt),True,59,0.6949,0.0433,False
02-07,ds,sentence,conditional_OR(L1_gpt),True,145,0.7956,0.0789,False
02-08,ds,sentence,conditional_OR(L1_gpt),True,144,4.6498,0.0,False
03-04,ds,sentence,conditional_OR(L1_gpt),True,12,,,True
03-05,ds,sentence,conditional_OR(L1_gpt),True,27,0.6908,0.1921,False
03-06,ds,sentence,conditional_OR(L1_gpt),True,54,1.4964,0.0866,False
03-07,ds,sentence,conditional_OR(L1_gpt),True,85,1.5129,0.0177,False
03-08,ds,sentence,conditional_OR(L1_gpt),True,17,,,True
