run,pair,edge,ci_disjoint,n_ab_a,n_ab_b,both_pass
06_phase2_coarticulation,DPP-KMT,L2-01~L2-02,True,313,323,True
06_phase2_coarticulation,DPP-KMT,L2-01~L2-03,False,487,218,True
06_phase2_coarticulation,DPP-KMT,L2-01~L2-04,False,143,99,True
06_phase2_coarticulation,DPP-KMT,L2-01~L2-05,True,1008,852,True
06_phase2_coarticulation,DPP-KMT,L2-01~L2-06,False,866,534,True
06_phase2_coarticulation,DPP-KMT,L2-01~L2-07,False,979,784,True
06_phase2_coarticulation,DPP-KMT,L2-01~L2-08,False,565,340,True
06_phase2_coarticulation,DPP-KMT,L2-02~L2-03,False,78,59,True
06_phase2_coarticulation,DPP-KMT,L2-02~L2-04,False,44,54,True
06_phase2_coarticulation,DPP-KMT,L2-02~L2-05,False,327,380,True
06_phase2_coarticulation,DPP-KMT,L2-02~L2-06,False,202,209,True
06_phase2_coarticulation,DPP-KMT,L2-02~L2-07,False,255,263,True
06_phase2_coarticulation,DPP-KMT,L2-02~L2-08,False,186,185,True
06_phase2_coarticulation,DPP-KMT,L2-03~L2-04,False,31,18,False
06_phase2_coarticulation,DPP-KMT,L2-03~L2-05,False,370,203,True
06_phase2_coarticulation,DPP-KMT,L2-03~L2-06,False,358,183,True
06_phase2_coarticulation,DPP-KMT,L2-03~L2-07,False,357,204,True
06_phase2_coarticulation,DPP-KMT,L2-03~L2-08,False,242,108,True
06_phase2_coarticulation,DPP-KMT,L2-04~L2-05,False,130,127,True
06_phase2_coarticulation,DPP-KMT,L2-04~L2-06,False,137,96,True
06_phase2_coarticulation,DPP-KMT,L2-04~L2-07,True,162,89,True
06_phase2_coarticulation,DPP-KMT,L2-04~L2-08,False,142,72,True
06_phase2_coarticulation,DPP-KMT,L2-05~L2-06,True,730,689,True
06_phase2_coarticulation,DPP-KMT,L2-05~L2-07,False,951,949,True
06_phase2_coarticulation,DPP-KMT,L2-05~L2-08,False,530,372,True
06_phase2_coarticulation,DPP-KMT,L2-06~L2-07,True,1328,1207,True
06_phase2_coarticulation,DPP-KMT,L2-06~L2-08,False,454,256,True
06_phase2_coarticulation,DPP-KMT,L2-07~L2-08,True,645,347,True
06_phase2_coarticulation,DPP-TPP,L2-01~L2-02,True,313,393,True
06_phase2_coarticulation,DPP-TPP,L2-01~L2-03,False,487,472,True
06_phase2_coarticulation,DPP-TPP,L2-01~L2-04,False,143,149,True
06_phase2_coarticulation,DPP-TPP,L2-01~L2-05,True,1008,1056,True
06_phase2_coarticulation,DPP-TPP,L2-01~L2-06,False,866,815,True
06_phase2_coarticulation,DPP-TPP,L2-01~L2-07,False,979,1000,True
06_phase2_coarticulation,DPP-TPP,L2-01~L2-08,False,565,571,True
06_phase2_coarticulation,DPP-TPP,L2-02~L2-03,False,78,102,True
06_phase2_coarticulation,DPP-TPP,L2-02~L2-04,False,44,65,True
06_phase2_coarticulation,DPP-TPP,L2-02~L2-05,False,327,407,True
06_phase2_coarticulation,DPP-TPP,L2-02~L2-06,False,202,203,True
06_phase2_coarticulation,DPP-TPP,L2-02~L2-07,False,255,271,True
06_phase2_coarticulation,DPP-TPP,L2-02~L2-08,False,186,202,True
06_phase2_coarticulation,DPP-TPP,L2-03~L2-04,False,31,34,True
06_phase2_coarticulation,DPP-TPP,L2-03~L2-05,False,370,350,True
06_phase2_coarticulation,DPP-TPP,L2-03~L2-06,False,358,305,True
06_phase2_coarticulation,DPP-TPP,L2-03~L2-07,False,357,334,True
06_phase2_coarticulation,DPP-TPP,L2-03~L2-08,False,242,206,True
06_phase2_coarticulation,DPP-TPP,L2-04~L2-05,False,130,136,True
06_phase2_coarticulation,DPP-TPP,L2-04~L2-06,False,137,125,True
06_phase2_coarticulation,DPP-TPP,L2-04~L2-07,False,162,160,True
06_phase2_coarticulation,DPP-TPP,L2-04~L2-08,True,142,92,True
06_phase2_coarticulation,DPP-TPP,L2-05~L2-06,True,730,728,True
06_phase2_coarticulation,DPP-TPP,L2-05~L2-07,False,951,987,True
06_phase2_coarticulation,DPP-TPP,L2-05~L2-08,False,530,517,True
06_phase2_coarticulation,DPP-TPP,L2-06~L2-07,True,1328,1570,True
06_phase2_coarticulation,DPP-TPP,L2-06~L2-08,False,454,401,True
