doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date,preprocessed_text,hard_rule_keep,hard_rule_reason,policy_gate,policy_gate_reason,priority_keep,semantic_status,semantic_similarity,nli_status,nli_score,key_hit,final_status
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u001,"胡元辉: 由媒体主办的唯一一场总统候选人辩论会,在选举活动进入最后阶段的今天来举办,格外有它的意义与价值。",context,"胡元辉: 观众朋友,大家好,这场全球都在看的选举,即将在两周之后进行投票,要怎么投票你决定了吗?","总统候选人辩论会从2004年第一次举办以来,已经成为我国选举不可分割的一个部分,也是台湾民主一个具有特色的传统,受到选民高度关注。",[],"[""辩论|procedure""]",True,debate/manifesto,6a8979087410311104dc2db312ec08ae,False,总统辩论,,"胡元辉: 由媒体主办的唯一一场总统候选人辩论会,在选举活动进入最后阶段的今天来举办,格外有它的意义与价值。",True,institution_only,True,gate: core_election,True,KEEP,1.0,KEEP,1.0,False,KEEP
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u002,"总统候选人辩论会从2004年第一次举办以来,已经成为我国选举不可分割的一个部分,也是台湾民主一个具有特色的传统,受到选民高度关注。",context,"胡元辉: 由媒体主办的唯一一场总统候选人辩论会,在选举活动进入最后阶段的今天来举办,格外有它的意义与价值。",胡元辉: 希望透过辩论会进一步了解候选人的政见主张及人格特质。,[],"[""辩论|procedure""]",True,debate/manifesto,313a93c2331fc6c0aecc3722fc5a0573,False,总统辩论,,"总统候选人辩论会从2004年第一次举办以来,已经成为我国选举不可分割的一个部分,也是台湾民主一个具有特色的传统,受到选民高度关注。",True,institution_only,True,gate: core_election,True,KEEP,1.0,KEEP,1.0,False,KEEP
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u003,胡元辉: 希望透过辩论会进一步了解候选人的政见主张及人格特质。,claim,"总统候选人辩论会从2004年第一次举办以来,已经成为我国选举不可分割的一个部分,也是台湾民主一个具有特色的传统,受到选民高度关注。",我是公视董事长胡元辉。,[],"[""辩论|procedure""]",True,debate/manifesto,5b91d891040d7a35b4d953636f0f0d72,False,总统辩论,,胡元辉: 希望透过辩论会进一步了解候选人的政见主张及人格特质。,True,institution_only,True,gate: core_election,True,KEEP,1.0,KEEP,1.0,False,KEEP
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u005,"基于公共服务的职责,公视很荣幸和媒体共同合作举办本届总统候选人电视辩论会,为我国民主选举、民主发展尽一份心力。",context,我是公视董事长胡元辉。,"胡元辉: 接下来就为大家介绍今天参与辩论的三位总统候选人,依照先前抽签决定的辩论顺序。",[],"[""辩论|procedure""]",True,debate/manifesto,709cd60a312d2b47e3257c46d4bbbfe2,False,总统辩论,,"基于公共服务的职责,公视很荣幸和媒体共同合作举办本届总统候选人电视辩论会,为我国民主选举、民主发展尽一份心力。",True,institution_only,True,gate: core_election,True,KEEP,1.0,KEEP,1.0,False,KEEP
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u006,"胡元辉: 接下来就为大家介绍今天参与辩论的三位总统候选人,依照先前抽签决定的辩论顺序。",context,"基于公共服务的职责,公视很荣幸和媒体共同合作举办本届总统候选人电视辩论会,为我国民主选举、民主发展尽一份心力。","第一位要向大家介绍的是民主进步党总统候选人,赖清德先生。",[],"[""辩论|procedure""]",True,debate/manifesto,6910438da710a80122b179ae84c6093c,False,总统辩论,,"胡元辉: 接下来就为大家介绍今天参与辩论的三位总统候选人,依照先前抽签决定的辩论顺序。",True,institution_only,True,gate: core_election,False,KEEP,0.6206248998641968,,,False,KEEP
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u007,"第一位要向大家介绍的是民主进步党总统候选人,赖清德先生。",context,"胡元辉: 接下来就为大家介绍今天参与辩论的三位总统候选人,依照先前抽签决定的辩论顺序。",胡元辉: 第二位是中国国民党总统候选人侯友宜先生。,"[{""name"": ""赖清德"", ""party"": ""DPP""}]",[],False,,62a2b95e04e37a39b727e181d2e675e2,False,总统辩论,,"第一位要向大家介绍的是民主进步党总统候选人,赖清德先生。",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.559180498123169,,,False,KEEP
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u008,胡元辉: 第二位是中国国民党总统候选人侯友宜先生。,context,"第一位要向大家介绍的是民主进步党总统候选人,赖清德先生。",胡元辉: 第三位是台湾民众党总统候选人柯文哲先生。,"[{""name"": ""侯友宜"", ""party"": ""KMT""}, {""name"": ""国民党"", ""party"": ""KMT""}]",[],False,,d37252bcf4ec0c7620e4a85b9831e5bc,False,总统辩论,,胡元辉: 第二位是中国国民党总统候选人侯友宜先生。,True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.5400073528289795,,,False,KEEP
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u009,胡元辉: 第三位是台湾民众党总统候选人柯文哲先生。,context,胡元辉: 第二位是中国国民党总统候选人侯友宜先生。,"胡元辉: 今天的辩论会一共分为四个程序,依序是候选人申论,媒体提问,候选人交互诘问,以及最后的候选人发表结论。","[{""name"": ""柯文哲"", ""party"": ""TPP""}, {""name"": ""民众党"", ""party"": ""TPP""}]",[],False,,faa8d46bd2a1deb8daf0c6eb66530c84,False,总统辩论,,胡元辉: 第三位是台湾民众党总统候选人柯文哲先生。,True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.5828397274017334,,,False,KEEP
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u010,"胡元辉: 今天的辩论会一共分为四个程序,依序是候选人申论,媒体提问,候选人交互诘问,以及最后的候选人发表结论。",context,胡元辉: 第三位是台湾民众党总统候选人柯文哲先生。,这一次的辩论会有11个媒体共同主办。,[],"[""辩论|procedure""]",True,debate/manifesto,639ca031d3b84e936a1f098f96d02e76,False,总统辩论,,"胡元辉: 今天的辩论会一共分为四个程序,依序是候选人申论,媒体提问,候选人交互诘问,以及最后的候选人发表结论。",True,institution_only,True,gate: core_election,True,KEEP,1.0,KEEP,1.0,False,KEEP
总统辩论_3c9723712c15,总统辩论_3c9723712c15_u011,这一次的辩论会有11个媒体共同主办。,context,"胡元辉: 今天的辩论会一共分为四个程序,依序是候选人申论,媒体提问,候选人交互诘问,以及最后的候选人发表结论。",胡元辉: 请容许我为大家做个说明。,[],"[""辩论|procedure""]",True,debate/manifesto,8100052c2b22943f00cfc73f762881db,False,总统辩论,,这一次的辩论会有11个媒体共同主办。,True,institution_only,True,gate: core_election,True,KEEP,1.0,KEEP,1.0,False,KEEP
