unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,source,date,target_l1,sample_score,score_reasons,sampling_reason
_22bae0f8a1ca_u003,"賴清德表示,世界局勢正在劇烈變化,台灣必須團結一致,將數位轉型及2050淨零轉型的挑戰化為進步的動力,他將推動7大主張,包含發展「五大信賴產業」、打造智慧科技島、建構「以人為本」智慧新社會、推動金融創新與發展、創新創業雨林生態系、發展護國群山、綠色成長新戰略,以此迎向新的國際經貿體系,善用自由民主國家同盟的身分、站穩全球供應鏈關鍵角色,推動創新驅動的經濟發展模式,打造人人擁有能力與公平機會追求自我實現的創新經濟與智慧國家。",claim,目標5年內創造2萬個新創就業、新創投資金額每年達1500億元、10年內讓台灣成為創新解決方案的淨輸出國。,"賴清德表示,他會持續推動蔡英文總統提出的「六大核心戰略產業」,進一步發展半導體、人工智慧、軍工、安控及通訊等「五大信賴產業」,支持台灣產業立足台灣、佈局全球、行銷全世界,成為全球供應鏈可信任的夥伴,包含協助企業建立跨國雙向研發中心,","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],False,,02_Ke_ltn_news,2023-10-03 11:58:35,L1-01,12.8,boundary_semantic|l2_L2-02|l2_L2-03|l2_L2-05|l2_L2-10|l2_L2-11|l2_L2-13|l2_L2-14|l2_L2-15|has_speaker|has_target|claim,l1_gap_filling
_22bae0f8a1ca_u003,"賴清德表示,世界局勢正在劇烈變化,台灣必須團結一致,將數位轉型及2050淨零轉型的挑戰化為進步的動力,他將推動7大主張,包含發展「五大信賴產業」、打造智慧科技島、建構「以人為本」智慧新社會、推動金融創新與發展、創新創業雨林生態系、發展護國群山、綠色成長新戰略,以此迎向新的國際經貿體系,善用自由民主國家同盟的身分、站穩全球供應鏈關鍵角色,推動創新驅動的經濟發展模式,打造人人擁有能力與公平機會追求自我實現的創新經濟與智慧國家。",claim,目標5年內創造2萬個新創就業、新創投資金額每年達1500億元、10年內讓台灣成為創新解決方案的淨輸出國。,"賴清德表示,他會持續推動蔡英文總統提出的「六大核心戰略產業」,進一步發展半導體、人工智慧、軍工、安控及通訊等「五大信賴產業」,支持台灣產業立足台灣、佈局全球、行銷全世界,成為全球供應鏈可信任的夥伴,包含協助企業建立跨國雙向研發中心,","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],False,,01_Ho_ltn_news,2023-10-03 11:58:35,L1-01,12.8,boundary_semantic|l2_L2-02|l2_L2-03|l2_L2-05|l2_L2-10|l2_L2-11|l2_L2-13|l2_L2-14|l2_L2-15|has_speaker|has_target|claim,l1_gap_filling
_22bae0f8a1ca_u003,"賴清德表示,世界局勢正在劇烈變化,台灣必須團結一致,將數位轉型及2050淨零轉型的挑戰化為進步的動力,他將推動7大主張,包含發展「五大信賴產業」、打造智慧科技島、建構「以人為本」智慧新社會、推動金融創新與發展、創新創業雨林生態系、發展護國群山、綠色成長新戰略,以此迎向新的國際經貿體系,善用自由民主國家同盟的身分、站穩全球供應鏈關鍵角色,推動創新驅動的經濟發展模式,打造人人擁有能力與公平機會追求自我實現的創新經濟與智慧國家。",claim,目標5年內創造2萬個新創就業、新創投資金額每年達1500億元、10年內讓台灣成為創新解決方案的淨輸出國。,"賴清德表示,他會持續推動蔡英文總統提出的「六大核心戰略產業」,進一步發展半導體、人工智慧、軍工、安控及通訊等「五大信賴產業」,支持台灣產業立足台灣、佈局全球、行銷全世界,成為全球供應鏈可信任的夥伴,包含協助企業建立跨國雙向研發中心,","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],False,,03_Lai_ltn_news,2023-10-03 11:58:35,L1-01,12.8,boundary_semantic|l2_L2-02|l2_L2-03|l2_L2-05|l2_L2-10|l2_L2-11|l2_L2-13|l2_L2-14|l2_L2-15|has_speaker|has_target|claim,l1_gap_filling
_5e83e31eaafd_u014,"賴清德提出的4大支柱理念全文如下: 「首先,我們必須建立台灣的威懾力,防禦力是國家安全的基石。在蔡英文總統領導下,我們提高國防預算、實現兵役改革、增強軍隊實力;這些行動增加北京動武的風險和代價達到減少軍事衝突風險的目的。我將加速轉型、強化不對稱作戰,注重成本效益和機動能力。我將在兵力訓練、重組訓練程序、民防、訊息交換上,尋求與民主夥伴和盟友更廣泛的合作。 第二,經濟安全是國家安全。自民主化後,台灣展現強大科技實力。身為前台南市長,我對見證推動下一代技術的半導體產業在台南和台灣各地發展感到驕傲。身為前行政院長,我致力提高工資、減稅、和吸引新投資。 我們的經濟成果為我們帶來機會的同時,也為我們構成了挑戰,對中國貿易的依賴成為被利用的弱點、使我們承受經濟脅迫。我們必須確保供應鏈安全,同時追求能使對外貿易多元化的貿易協定。我將支持本土產業創新,減少不必要的監管措施,努力確保經濟成長的果實更為均衡共享。 第三支柱是基於與全世界民主國家建立夥伴關係。今年,台灣派出全亞洲第一支前往烏克蘭義診的醫療團,協助因戰火受傷的民眾。各國國會議員、非政府組織、智庫和官方代表訪台人數寫下紀錄,這證明儘管中共持續威脅,我們並不孤單。 第四支柱是穩定而有原則的兩岸關係領導能力。近年來,中國切斷交流,堅持九二共識和一個中國框架,習近平視此框架為實現統一的途徑。中國解放軍對台灣、日本和東南海鄰國的威脅行動,加劇區域的軍事緊張局勢。 儘管軍事和經濟挑戰日益增加,我的首要任務仍維持務實與一致性。我將支持兩岸現狀,這也符合中華民國,也就是台灣,以及國際社會的最佳利益。我不排除在對等和尊嚴的原則基礎上,進行無前提條件對話的可能性。 1996年來,儘管很多事情發生變化,但很多事情並沒有改變。中國軍機和軍艦依舊在台海四周活動、試圖影響我們的民主選舉。經濟上的緊張情勢依舊存在。每天我們都被提醒著,永遠不能將自由和民主視作理所當然。然而我現在的承諾和27年前一樣明確:我將永遠為台灣人民和國際社會的和平與穩定努力奮鬥」。",claim,看清當前所面對到的挑戰、並確保台海維持和平穩定。,"(編輯:張芷瑄)1120705 賴清德:台灣能成為經濟日不落國 重啟服貿是錯誤 賴清德:服貿若簽訂 台灣經濟將被鎖進一中原則市場 柯文哲:九二共識版本多 恢復兩岸實質交流較重要 侯友宜:接受合乎中華民國憲法的九二共識 賴清德:放棄主權的和平是假和平 籲支持守護主權者 侯友宜不排斥侯習會 促賴清德說清楚贊成或反對台獨 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。","[{""name"": ""賴清德"", ""party"": ""DPP""}]","[""兩岸|cross-strait""]",False,,02_Ke_chinatimes_news,2023-07-05 09:01:00,L1-01,12.8,l2_L2-02|l2_L2-03|l2_L2-04|l2_L2-05|l2_L2-07|l2_L2-08|l2_L2-10|l2_L2-13|l2_L2-14|l2_L2-15|has_speaker|has_target|claim,l1_gap_filling
_5e83e31eaafd_u014,"賴清德提出的4大支柱理念全文如下: 「首先,我們必須建立台灣的威懾力,防禦力是國家安全的基石。在蔡英文總統領導下,我們提高國防預算、實現兵役改革、增強軍隊實力;這些行動增加北京動武的風險和代價達到減少軍事衝突風險的目的。我將加速轉型、強化不對稱作戰,注重成本效益和機動能力。我將在兵力訓練、重組訓練程序、民防、訊息交換上,尋求與民主夥伴和盟友更廣泛的合作。 第二,經濟安全是國家安全。自民主化後,台灣展現強大科技實力。身為前台南市長,我對見證推動下一代技術的半導體產業在台南和台灣各地發展感到驕傲。身為前行政院長,我致力提高工資、減稅、和吸引新投資。 我們的經濟成果為我們帶來機會的同時,也為我們構成了挑戰,對中國貿易的依賴成為被利用的弱點、使我們承受經濟脅迫。我們必須確保供應鏈安全,同時追求能使對外貿易多元化的貿易協定。我將支持本土產業創新,減少不必要的監管措施,努力確保經濟成長的果實更為均衡共享。 第三支柱是基於與全世界民主國家建立夥伴關係。今年,台灣派出全亞洲第一支前往烏克蘭義診的醫療團,協助因戰火受傷的民眾。各國國會議員、非政府組織、智庫和官方代表訪台人數寫下紀錄,這證明儘管中共持續威脅,我們並不孤單。 第四支柱是穩定而有原則的兩岸關係領導能力。近年來,中國切斷交流,堅持九二共識和一個中國框架,習近平視此框架為實現統一的途徑。中國解放軍對台灣、日本和東南海鄰國的威脅行動,加劇區域的軍事緊張局勢。 儘管軍事和經濟挑戰日益增加,我的首要任務仍維持務實與一致性。我將支持兩岸現狀,這也符合中華民國,也就是台灣,以及國際社會的最佳利益。我不排除在對等和尊嚴的原則基礎上,進行無前提條件對話的可能性。 1996年來,儘管很多事情發生變化,但很多事情並沒有改變。中國軍機和軍艦依舊在台海四周活動、試圖影響我們的民主選舉。經濟上的緊張情勢依舊存在。每天我們都被提醒著,永遠不能將自由和民主視作理所當然。然而我現在的承諾和27年前一樣明確:我將永遠為台灣人民和國際社會的和平與穩定努力奮鬥」。",claim,看清當前所面對到的挑戰、並確保台海維持和平穩定。,"(編輯:張芷瑄)1120705 賴清德:台灣能成為經濟日不落國 重啟服貿是錯誤 賴清德:服貿若簽訂 台灣經濟將被鎖進一中原則市場 柯文哲:九二共識版本多 恢復兩岸實質交流較重要 侯友宜:接受合乎中華民國憲法的九二共識 賴清德:放棄主權的和平是假和平 籲支持守護主權者 侯友宜不排斥侯習會 促賴清德說清楚贊成或反對台獨 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。","[{""name"": ""賴清德"", ""party"": ""DPP""}]","[""兩岸|cross-strait""]",False,,03_Lai_chinatimes_news,2023-07-05 09:01:00,L1-01,12.8,l2_L2-02|l2_L2-03|l2_L2-04|l2_L2-05|l2_L2-07|l2_L2-08|l2_L2-10|l2_L2-13|l2_L2-14|l2_L2-15|has_speaker|has_target|claim,l1_gap_filling
_92ebe4c0b6cb_u003,"賴清德以英文致詞表示,台灣是民主國家,民眾可以自由展現意志,在貿易、科技、文化和創新議題上居於全球領先地位,有非常多故事值得國際媒體報導,駐台國際媒體與日俱增,反映出國際社會期待更加認識台灣,也彰顯和平與穩定對世界各國的重要性。",claim,"會中廣泛交流台灣選舉、台灣在印太區域的定位、台澳及台日合作,以及兩岸關係等議題。","賴清德說,未來將引領「價值外交新時代」,把民主、和平與繁榮價值視為最大的力量來源,藉此擴大台灣國際合作、建立更緊密國際連結,向世界展現台灣是一股良善的力量。","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],False,,03_Lai_chinatimes_news,2023-08-25 19:56:00,L1-01,12.3,boundary_semantic|l2_L2-02|l2_L2-04|l2_L2-05|l2_L2-06|l2_L2-10|l2_L2-12|l2_L2-13|has_speaker|has_target|claim|good_length,l1_gap_filling
_da75b72672c1_u006,"他說,民主和平就是嚴守民主自由的體制,維持兩岸和平,創新團結就是要繼續拚經濟,推動產業轉型,至於公益永續,則是要延續總統蔡英文的長照、0到6歲國家養與減輕青年負擔的社會政策。",claim,"提到宗教自由,賴清德指出,如果失去民主,宗教就沒有那麼自由,全世界目前還是有些地方宗教受到限制,就像對岸的中國,在藏傳佛教、新疆維吾爾族等也受到限制,「守護我們的主權與民主自由,是大家應該要做的事。」 透過 Google News 賴清德提到,若順利得到大家的支持、當選總統,他要推動打造民主和平、創新團結與公益永續的台灣。","鄭文燦說,台灣跟中國最大的不同,就是台灣有宗教自由,宗教是台灣無形的資產,也是保護台灣的力量,沒有民主的台灣就沒有宗教自由,要繼續支持賴清德,才能讓宗教的自由繼續走下去。",[],"[""兩岸|cross-strait""]",False,,03_Lai_chinatimes_news,2023-07-23 17:01:00,L1-01,12.3,boundary_semantic|l2_L2-02|l2_L2-03|l2_L2-04|l2_L2-05|l2_L2-11|l2_L2-13|l2_L2-14|has_speaker|has_target|claim|good_length,l1_gap_filling
_50fc79ba72b7_u004,"侯友宜自信表示,投給「侯趙配」代表了我國第三波的民主革命,這一票涉及國家安全、社會安全、公平正義和未來經濟發展,兩岸只有和平才能創造安居樂業的環境,以及清明、廉能、有效率的政府,「侯趙配」是在野陣營最強的組合,只有集中選票投給藍營,才能實現政黨輪替、民主制衡。",claim,"侯友宜反問「選民有那麼好操作?可以被操作嗎?」侯說,他相信選民的判斷是理智的,每個人都有自主想法,他不擔心棄保問題,也不會刻意操作選民,因為這是污辱選民的智慧。","藍綠選情膠著,記者問侯是否會辭去新北市長宣示破釜沉舟的決心?","[{""name"": ""侯友宜"", ""party"": ""KMT""}, {""name"": ""藍營"", ""party"": ""KMT""}]","[""兩岸|cross-strait""]",False,,03_Lai_ltn_news,2024-01-05 00:00:01,L1-01,11.3,boundary_semantic|l2_L2-02|l2_L2-03|l2_L2-04|l2_L2-05|l2_L2-07|l2_L2-11|has_speaker|has_target|claim|good_length,l1_gap_filling
_50fc79ba72b7_u004,"侯友宜自信表示,投給「侯趙配」代表了我國第三波的民主革命,這一票涉及國家安全、社會安全、公平正義和未來經濟發展,兩岸只有和平才能創造安居樂業的環境,以及清明、廉能、有效率的政府,「侯趙配」是在野陣營最強的組合,只有集中選票投給藍營,才能實現政黨輪替、民主制衡。",claim,"侯友宜反問「選民有那麼好操作?可以被操作嗎?」侯說,他相信選民的判斷是理智的,每個人都有自主想法,他不擔心棄保問題,也不會刻意操作選民,因為這是污辱選民的智慧。","藍綠選情膠著,記者問侯是否會辭去新北市長宣示破釜沉舟的決心?","[{""name"": ""侯友宜"", ""party"": ""KMT""}, {""name"": ""藍營"", ""party"": ""KMT""}]","[""兩岸|cross-strait""]",False,,01_Ho_ltn_news,2024-01-05 00:00:01,L1-01,11.3,boundary_semantic|l2_L2-02|l2_L2-03|l2_L2-04|l2_L2-05|l2_L2-07|l2_L2-11|has_speaker|has_target|claim|good_length,l1_gap_filling
_564e616f0f7c_u008,"趙少康說,尤其是兩岸有同樣的文化、同樣的血緣,陸方很難向大陸民眾解釋,為何民主制度可以在台灣發展,卻不能夠適用於中國大陸,台灣的民主發展,一定會對中國大陸有所影響。",claim,"對於兩岸的未來發展,趙少康指出,和平是唯一的選擇,和平必須要以實力做後盾,台灣的防衛實力,需要美國的支持和協助,而民主,則是台灣面對中國大陸,最重要也是最好的武器。","(編輯:林克倫、張均懋)1121209 外交循蔡總統路線 柯文哲:我沒民進黨包袱將更靈活 柯文哲循蔡總統外交路線 侯友宜:我主張親美和中 時代雜誌專訪 賴清德:不會認同「統一的幻想」 柯文哲指侯康配急速傾中 趙少康:己所不欲勿施於人 指侯康配傾中 柯文哲:抹紅他剛好而已 賴清德:讓台灣持續走入國際 不走一中老路 法國外交部賀台灣選舉展現民主 呼籲尊重現狀 新北市議會民進黨團要求侯友宜到會補施政報告 趙少康復出政壇搶鎂光燈 昔政治金童難救選情 蔣萬安陪同投票 趙少康:心情輕鬆、有信心 2024/01/08 22:03 2023/12/10 19:32 2023/12/10 18:37 2023/12/09 22:25 2023/12/08 18:59 2023/12/08 17:11 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。","[{""name"": ""趙少康"", ""party"": ""KMT""}]","[""兩岸|cross-strait""]",False,,03_Lai_chinatimes_news,2023-12-09 22:25:00,L1-01,11.3,boundary_semantic|l2_L2-02|l2_L2-03|l2_L2-04|l2_L2-06|l2_L2-09|l2_L2-12|has_speaker|has_target|claim|good_length,l1_gap_filling
