Tweet Date,Tweet Content,Favorite Count,Retweet Count,Reply Count
2024/1/2 22:43,"On our way, continuing on the path of democracy.  #MadeinTaiwan ",17732,2179,998
2024/1/1 10:42,"Wishing everyone a peaceful, happy, and prosperous new 2024!   #MadeinTaiwan ",3550,368,126
2023/12/27 6:41,"I know I’m a few days late on this platform.  Nevertheless, seasons greetings to all across the globe, though no holiday for me these days. ",4403,399,172
2023/12/16 0:21,"Ahead of Taiwan’s election on January 13th, Hsiao Bi-khim, the country’s former representative to America and current vice-presidential candidate sat down for an interview with The Economist. Read the transcript of the conversation ",734,118,62
2023/12/14 19:16,"I did an interview with the Economist, in which I spoke about the balance Taiwan seeks to maintain in a complicated environment.  

",1718,236,84
2023/12/12 18:21,Made in TAIWAN. ,7988,996,503
2023/11/21 8:24,Back in Taiwan!  Honored to join @ChingteLai on the ticket as VP for 2024.  Tough road ahead expected as I shoulder a heavier burden.  Taiwan’s democracy deserves our best efforts. ,10410,1312,579
2023/11/18 7:00,Very pleased to meet with Dr. Morris Chang in San Francisco to follow up on our meeting last year during APEC in Bangkok. We spoke about @POTUS and my agenda for the Indo-Pacific region and our relationship on the economy and technology. ,4338,816,935
2023/11/6 23:28,"Just spoke virtually to my niece’s high school class in New England.  They have been studying the questions of strategic ambiguity and semiconductor supply chains, topics that are impressively synchronized with current affairs.",1290,96,86
2023/11/2 22:17,"中國對台灣的威脅，台灣做好什麼準備了？

我現在演講很常被問這個問題，因此我做了一個圖，把中國整體作戰幾個大方向列舉出來，藉此來看看台灣做好準備了沒。

1. #純軍事威脅：要應對這個，當然就是靠國軍。國防的改革雖然緩慢，但至少是現在進行式。不過我仍然非常悲觀。目前民間的力量偏弱，無法造成壓力。

2. #網路攻擊：中國駭客的能力非常強，高於世界平均，而資安不是只有政府要做，是全民都要做。目前台灣這一塊來說，大家對於資安的不設防可說是突破天際。我們能做的就只有不斷宣導。必要的時候，可能必須立法。

3. #統戰工作：因為兩國龐大的交流紅利與聲量，使得反制統戰工作非常麻煩。連徐春鶯這種明擺著跟統戰部聯絡的，都還可以被考慮當不分區立委，然後我們台灣人還沒什麼反應。我跟朋友當時推的代理人法案就是這樣，即使得到不少立委支持，但各選區反彈的力道大到沒有辦法推，這就是社會現實。

4. #外交戰：台灣的邦交國不斷被策反，能做的就是用非官方方式交盟友，並用一定的法律框架反擊，這牽涉到最後一個法律戰。對此我稍微比較樂觀一點，因為台灣官方和盟友都很努力。而我們民間能夠做的，就是串連更多盟友，讓全世界「認識中國」，這也是為什麼我們台灣民主實驗室要每年做全球中國指數（China Index）的最重要原因：根據最近研究，大家會當台灣的盟友，不是因為多「認識台灣」，而是因為「認清中國」。

5. #經濟戰：對於中資的審查仍然嚴重不足，中國繞道投資太多，更不要說地方經濟與中國的依賴經濟。台灣每次地方選舉大家都以為沒有中國因素，殊不知中國統戰重點就是地方。選錯了人，就是把地方直接推向與中國經濟結盟的深淵。這邊民間最努力的是經濟民主聯合，是當年反服貿成立的團體，也是最符合反服貿精神的團體（與中國的經濟協議），結果318之後，大家跑去追的政治明星現在對經濟戰的態度是長成什麼樣子，XXX。

6. #情報戰：自從馬英九時代把國安人員從中國叫回來，然後開放中國各單位自由來台灣之後，情報戰可以說是輸到脫褲，等到之後要彌補的時候又發生國安人員的資料外洩（駭客攻擊）。現在要彌補，就是乾脆讓全民能夠有蒐集情報的能力作反制，這也是黑熊學院現在在努力的事，然後我現在和研究統戰的同伴也在編寫情報蒐集的教科書。

7. #輿論戰（認知作戰）：不用我說，台灣最慘的領域。一方面跟統戰不設防有關，因為從1949年開始，中國在台灣放謠言不是書面而已，而是在地方上到處透過代理人放謠言，後來才慢慢開始變成買報紙、買媒體、買地下電台，到現在的買粉專、經營中國社群平台，並搭配駭客攻擊。我們民主實驗室從四年多前成立到現在都在研究這些，但礙於資源，無法去發展太多反制方法。

政府雖然針對假消息有一套，但是對於陰謀論可說是很難反擊。這邊能夠做的其實必須跟前面的能力搭配：當大家都能夠有基本的情搜能力，自然就容易辨別有沒有中國在背後操作。必須注意，傳統的媒體識讀可以應對承平時期的資訊識別，但完全無法應對戰爭等級的資訊操作。現在為了能夠更快速地讓大家進入蒐集情報以及反制的狀態，我們已經在開發工具，請大家拭目以待。先講會被中國反攻。

8. #法律戰：台灣基本上應對超級不足，但中國的教科書明擺著就是在打法律戰。那為何應對不足，很簡單，因為沒人研究，所以根本也不知道該怎麼做。我們目前的法律戰，都是五眼聯盟在幫忙打...

最後，要真的反制作戰，事實上要具備一定的 #敵我意識。比如說，沒有敵我意識，國軍有再強的武器也沒用；沒有敵我意識，反制統戰也不會有效果；沒有敵我意識，反制輿論戰也推不起來。敵我意識包含兩個層次：對自己的認識（轉型正義）跟對中國的認識（理解敵人）。

黑熊學院主要在建立對敵人的認知和基本防禦的工作（後勤），但因為我能力不足，很多人還是不夠認識，更不要說造謠的聲音從不間斷；法律戰基本上沒太多人要做（我看可能直接體制內最快，但需要搭配學者），情報搜集團隊雖然已經在建立，但總覺害怕會趕不上戰爭（而且中國這方面很強大）；輿論戰的部份Tiktok成為主戰場已經很麻煩了，更不要講一堆在地協力者；中資相關議題得不到民眾關注，大家可能還更喜歡聽政治人物開直播和跳舞？外交戰算是比較能夠撐住，但需要盟友的士氣持續（不要小看中國策反其他國家的能力）；反制統戰可說是一敗塗地，如果大家對這點再不醒來，第五縱隊和假消息就足夠滅掉我們。至於國防，很多軍人是值得尊敬的，國防的問題是在制度，所以可能必須在體制內改革，並且搭配民間已經建立的能量，最後關於資安，我覺得目前只能...聽天由命？

還是希望大家多多幫忙，至少讓身邊的人知道「台灣的處境」，唯有如此，這些改革才能繼續。否則，當大家對現實越不瞭解，我們阻礙就越多，最後就是中國對我們全面壓制與血洗。如果覺得講這些很傷感情，請千萬記得，一時的鄉愿，犧牲掉的是你我身邊的自由與性命。

生為台灣人是很辛苦，但我們台灣是絕對不會倒的。

",2387,597,132
2023/11/1 22:49,"Congratulations to Kurt from a long-time admirer of his vision, expertise, diplomatic savvy and personal warmth😻.   ",765,74,22
2023/10/27 22:20,"As a former NJ resident, glad to see a successful visit of @GovMurphy to Taiwan, plans for a trade office, and collaboration in science, tech, education, investments and much more!",1079,110,46
2023/10/27 19:42,"Having met @GovMurphy this year in the US, I am delighted to welcome him, @FirstLadyNJ &amp; the delegation to Taiwan. I look forward to deepening #Taiwan-#NewJersey collaboration in ICT, healthcare, biotech, &amp; green energy, &amp; working together to build resilient global supply chains. ",3543,425,365
2023/10/18 8:32,"Invisible Nation, a documentary featuring interviews with President Tsai, tells the story of Taiwan’s democracy and unique challenges.  Coming to Virginia this Saturday.  
Find ticket information here:
",1141,182,52
2023/10/11 16:33,"Today is the 112th National Day of the Republic of China. After three long years, we finally took off our masks to see one another again and gathered together to celebrate our country's National Day. ",12731,1930,802
2023/9/22 2:03,"Grateful to our friends for speaking up for #Taiwan at #UNGA78. Thank you to #Belize PM @JohnBricenoBZE, #Guatemala President @DrGiammattei, #Paraguay President @SantiPenap &amp; #Palau President @Surangeljr for highlighting the importance of Taiwan’s international participation. ",3115,511,175
2023/9/20 3:24,A big welcome to the new Virginia-Taiwan Trade Office! Appreciate  @GovernorVA  leadership on this and look forward to robust two-way trade and investments.  Thanks @ReevesVA ,543,75,48
2023/9/15 4:45,"An important milestone moving towards relief in double taxation, with the reciprocal goal of incentivizing more two-way investments and deeper Taiwan-US economic ties.   ",1253,167,44
2023/9/13 7:38,Thanks to the Congressional Taiwan Caucus leadership for their continuing commitment to support Taiwan’s meaningful participation in international organizations.  ,914,104,32
2023/9/5 23:59,"#UNGA78 begins today with the theme “Rebuilding Trust &amp; Reigniting Global Solidarity,” yet #Taiwan🇹🇼, a peace-loving democracy vital to the global economy &amp; security, isn’t invited. Watch the video &amp; learn how #China’s undue influence on @UN has consequences that affect us all. ",715,147,29
2023/8/31 0:43,"“Taiwan citizens used to be allowed into this building and they’re not allowed now. How did that change?”

I hope journalists continue to ask these questions at the @UN next week because my dad enjoys laughing at these videos with me. 

",1126,321,6
2023/8/28 2:48,A big congratulations to the Taoyuan Gueishan Elementary School baseball team which came in 3rd in the Little League World Series at Williamsport.  We are all so proud of you!  ⚾️ 🇹🇼 🥉🏆⚾️💪😻 ,1248,110,36
2023/8/23 6:09,"Love these photos of f @iingwen attending a warm-up basketball match between Latvia 🇱🇻 and Lithuania 🇱🇹 in Taipei with the former LT President.  Again, the passion for sports crosses boundaries and borders. ",1691,140,23
2023/8/22 23:46,"""China is attacking Lai because he is reasonable, not because he’s a hothead,"" @joshrogin writes. ""That makes him much harder for Beijing to undermine."" ",224,46,4
2023/8/22 9:45,"We welcome the staunch support for #TaiwanStrait peace &amp; stability expressed at the #US🇺🇸-#Japan🇯🇵-#ROK🇰🇷 leaders summit &amp; thank @POTUS, @kishida230 &amp; @President_KR for their assertiveness in the face of #China’s military exercises around #Taiwan🇹🇼.
📄",514,111,39
2023/8/22 9:45,We sincerely applaud #Guatemala 🇬🇹 on its successful presidential election &amp; congratulate @BArevalodeLeon &amp;  @KarinHerreraVP.  #Taiwan🇹🇼 looks forward to continuing cooperation with our democratic ally to benefit both our peoples. Viva Guatemala!,129,22,1
2023/8/18 21:15,A moment with AIT Managing Director Ingrid Larson in New York.  Indeed we are like-minded in many ways. ,3262,181,81
2023/8/14 20:26,"A rare moment of relaxation in the Big Apple!

The passion for baseball crosses borders. ",4796,502,139
2023/8/13 9:41,Glad to welcome our Vice President to New York!,2807,258,78
2023/8/12 20:41,Deepest sympathies to all the Hawaiian people affected by the devastating fires 🙏,941,71,19
2023/8/8 5:40,"A big birthday wish.  🥰🎂 Supported by Congress, the US Taiwan trade agreement was signed into law by President Biden today.    ",2144,301,123
2023/8/3 20:53,Many thanks again for the bipartisan congressional commitment to supporting deeper trade and commercial ties between Taiwan and the United States.  ,1311,170,34
2023/8/3 8:38,"One year ago, our Congressional delegation’s arrival in Taiwan sent an unequivocal message: America stands with Taiwan as it defends itself and its freedom.
 
Solidarity with Taiwan is as important as ever, as our world faces a stark choice between democracy and autocracy. ",8936,1506,1374
2023/8/1 21:33,President Tsai extends condolences to victims of severe flooding around Beijing China.,1524,113,45
2023/7/23 9:30,"Attended a bell-ringing celebration as lead cheerleader at the NYSE this week, marking Taiwan company CHT’s 20th anniversary since listing.   One of Taiwan’s successful privatized and internationalized SOE’s that contributes to innovation. ",1055,104,16
