doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date,final_status,_source_file,_corpus_tier
_380c2a9edcdb,_380c2a9edcdb_u000,日本有事は台湾有事です。,context,,台湾と日本の人たちの心は一つです。,[],[],False,,513146564238379c96b023ffc14fda3d,False,03_Lai_X_datasets,2024-01-05 12:39:00,,03_X_datasets/03_Lai_X_datasets_units.csv,2
_380c2a9edcdb,_380c2a9edcdb_u002,台湾と日本の人たちの心は一つです。,context,日本有事は台湾有事です。,私たちと一緒に「善の循環」を継続させていきましょう!,[],[],False,,dd8a7741215b5b693a8bd99369f1a962,False,03_Lai_X_datasets,2024-01-05 12:39:00,,03_X_datasets/03_Lai_X_datasets_units.csv,2
_380c2a9edcdb,_380c2a9edcdb_u005,私たちと一緒に「善の循環」を継続させていきましょう!,context,台湾と日本の人たちの心は一つです。,,[],[],False,,75e43c61d70ecb039c652e271a1bb708,False,03_Lai_X_datasets,2024-01-05 12:39:00,,03_X_datasets/03_Lai_X_datasets_units.csv,2
_7d22c3a0bd7b,_7d22c3a0bd7b_u000,The new year unfolds with raising the ROC flag at our Presidential Office. I’m grateful for everyone who contributed to  resilience and strength in 2023. My dedication to fostering safety and prosperity in Taiwan remains steadfast. Here's to a strong 2024!,context,,,[],[],False,,6e3640353ffdf43c032feb0bcb116b89,False,03_Lai_X_datasets,2024-01-01 15:56:00,,03_X_datasets/03_Lai_X_datasets_units.csv,2
_677d857d4379,_677d857d4379_u000,"Honoured to share my National Project of Hope at the European Chamber of Commerce Taiwan luncheon.  and  have never been closer. As democracies that share the same values, we are committed to upholding global supply chain stability &amp;",context,,,[],[],False,,e5931c01ef15e6b20ba66c0c1317be94,False,03_Lai_X_datasets,2023-11-07 18:02:00,,03_X_datasets/03_Lai_X_datasets_units.csv,2
_5f4d18326853,_5f4d18326853_u000,"Honoured to speak at the @AmChamTaiwan Luncheon where I shared my vision for cross-strait stability and Taiwan-US cooperation in various sectors. Our unwavering partnership will continue to pave the way for a future of democracy, peace, and prosperity.",context,,,[],[],False,,e38042c66068ded3233089dbc20a5497,False,03_Lai_X_datasets,2023-10-18 11:29:00,,03_X_datasets/03_Lai_X_datasets_units.csv,2
_7574a2066134,_7574a2066134_u001,"together we can go far. Amid mounting global challenges, Taiwan will continue to work with like-minded partners to advance democracy, peace &amp;",context,,,[],[],False,,e5c84c8e205cece3cec31d9b906bc048,False,03_Lai_X_datasets,2023-10-12 18:42:00,,03_X_datasets/03_Lai_X_datasets_units.csv,2
_bda253869e37,_bda253869e37_u000,"On the National Day of the ROC (Taiwan), I pledge to build on the foundation President @iingwen has laid over the past eight years, resolutely leading  forward on the path of democracy, peace, and prosperity.",context,,,[],[],False,,f14c473a2fb9ce2ba2fcf9244f57cb90,False,03_Lai_X_datasets,2023-10-10 18:14:00,,03_X_datasets/03_Lai_X_datasets_units.csv,2
_6b421cb4765f,_6b421cb4765f_u000,Taiwan continues to stand with the global community in condemning the violence and attacks on Israeli civilians. Disputes must be resolved through peaceful means.,context,,,[],[],False,,2468a2e0a1c69a3e3c5c55d57b8cb7b7,False,03_Lai_X_datasets,2023-10-08 16:15:00,,03_X_datasets/03_Lai_X_datasets_units.csv,2
_53e140c8a763,_53e140c8a763_u001,台湾は日本と全方位的な連携を展開すべきだと思い、国民同士の交流強化、経済分野での連携、及び地域安全保障での連携を含め、さらに連携しながら2050年ネットゼロ移行等の挑戦に取り組んでいかなければなりません。,context,,,[],[],False,,0be32d5cccb50869a17f3496f672542c,False,03_Lai_X_datasets,2023-10-05 22:28:00,,03_X_datasets/03_Lai_X_datasets_units.csv,2
