window_id,doc_id,source,date,full_text_with_sentence_marks,l2_set_str,community_id,sampling_weight,interpretive_notes
_b7c7a5175553_w0006,_b7c7a5175553,02_Ke_chinatimes_news,,"[8] 媒體詢問,號召這場集會活動,是否要展現對政府的怒火。 [9] 黃國昌回答,蔡政府多年來做了許多承諾及開支票,但遺憾是近幾年人民看到的是橫行權貴,就連2017年司法國是會議有許多改革訴求都無法做到,才導致近來外役監條例引發如此大風波。 [10] 他表示,今天大家不分黨派站出來,就是希望用共同價值及對公平正義的渴望,發出人民的聲音,要讓後面的總統府聽到人民心聲及怒吼,不分黨派、團結一致要求政府落實居住正義、喚回司法公正。",L2-04|L2-06|L2-07,2,2.0099237556405583,
_01d0ae0f7572_w0006,_01d0ae0f7572,02_Ke_chinatimes_news,,"[7] 蔡總統特別提到,在野黨批評她債留子孫,但實際上她很會賺錢,「我到現在為止,已經還債還了7960億,明年還要再還1150億,總共9000多億,是有史以來最會還債的總統」,政府負債比從占GDP 33%左右降為約27%,減少6個百分點,很少看到有國家財務結構如此健康。 [8] 她表示,蔡政府之所以能做這麼多事,就是因為「人民支持、國會過半」,才能在面對國際局勢變化、自然災害、疫病侵襲關關平安過,做到過去做不到的事情,期待下一任總統也能有民眾的團結力挺。 [9]  [10] 且在野黨還意圖重啟特偵組,當年馬王政爭就與特偵組有關,造成政局不穩、經濟不安、社會動盪。",L2-04|L2-05|L2-06|L2-07|L2-08,2,2.0097562235163675,
_d090bd572004_w0001,_d090bd572004,02_Ke_chinatimes_news,,"[1] 蔡總統8年執政接近尾聲,這次選戰結果,堪稱是8年執政的驗收,回顧2008年後在民進黨敗選後一片愁雲慘霧接任黨主席,到如今將「賴蕭配」推上勝選之路,相當於選民對過去8年執政投下信任票,已從入黨之初的「非典型」黨員,成為形塑民進黨路線的領袖。 [2] 在外交兩岸領域,蔡總統堅守「維持現狀」,不冒進、不挑釁的沉穩冷靜路線,深受國際社會肯定; [3] 儘管在野試圖以斷交9國攻擊蔡總統的外交成績,但民眾更有感的是台灣能見度大幅提升,走出孤島格局。",L2-01|L2-04|L2-06,2,2.0097182642606097,
_190a153f839f_w0002,_190a153f839f,02_Ke_chinatimes_news,,"[2] 綠批柯文哲喊內閣制心裡皇帝制 柯辦:憲政制度改革 柯文哲晚間出席台北廟口開講活動,他致詞時說,台灣歷經前總統李登輝、陳水扁與馬英九等3任總統,到現在的總統蔡英文,國家看起來沒有比較好,就要嚴重懷疑、就要想一下「司機有沒有問題」。 [3] 柯文哲說,台灣會變成這樣,是因為選舉贏者全拿、毫無制衡,只取決總統選舉跟六都市長,因為六都占台灣總人口數7成; [4] 且選上總統後完全沒辦法制衡,提名行政院長也不用立法院同意,蔡總統更有700多天沒開記者會,「不像我每天被堵麥(記者麥克風)」。",L2-04|L2-06|L2-08,2,2.009706980243949,
_6d5b292ba5f6_w0025,_6d5b292ba5f6,02_Ke_chinatimes_news,,"[36] 2024立委選舉激戰區一次看 16政黨搶34席不分區 不分區立委名單一次看 民進黨林月琴、國民黨韓國瑜、民眾黨黃珊珊列第1 綜觀近3屆區域立委版圖,國民黨2012年有44席,2020年總統選舉失利,國會席次也直接砍半,退居濁水溪以北。 [37] 2016年在蔡英文領軍下,民進黨一舉贏得49席區域立委,不僅拿下濁水溪以南全部席次,連過去被視為藍營鐵票區的花蓮,也由民進黨蕭美琴成功插旗。 [38] 2020年民進黨區域立委減為46席,但在幾個艱困選區有所突破,包括新北第12選區賴品妤、台中市第5選區莊競程,分別擊敗國民黨老將李永萍與沈智慧。",L2-04|L2-06,2,2.009691763773477,
_2683746df41c_w0004,_2683746df41c,02_Ke_chinatimes_news,,"[6] 林飛帆提到自己力擋服貿的經歷,在野黨說要下架民進黨、要重啟服貿,將會讓台灣重回依賴單一市場的舊方向,開放對岸勞工進入台灣就業市場,也將影響台灣人的工作權。 [7]  [8] 潛艦國造展現台灣邁入軍事發展的新階段,與總統蔡英文保衛台灣的決心,更有助於促進兩岸和平及區域穩定。 [9] 吳琪銘表示,台灣去年簽訂「台美21世紀貿易倡議」,在全球舞台樹立台灣的地位。",L2-01|L2-03|L2-04|L2-05|L2-06|L2-07,2,2.009675097324342,
_f6ff95359528_w0004,_f6ff95359528,02_Ke_chinatimes_news,,"[8] 馬英九基金會執行長蕭旭岑透過新聞稿表示,馬英九接受德國之聲訪問說的重點,就是兩岸要有互信,才能和平交流與談判,但不代表沒有自己的主張,更沒有失去自己的立場,馬英九執政8年的對等尊嚴就是例證。 [9] 這次所有朝野總統候選人,都說如果當選要和中國大陸對話,請問兩岸沒有互信要如何對話。 [10]  [11] 蕭旭岑表示,總統蔡英文與賴清德都不接受中華民國憲法關於兩岸定位的規定,才造成兩岸關係惡化,馬英九闡述中華民國憲法,呼籲回到馬英九執政時期兩岸對等、尊嚴、相互尊重,難道對台灣人不好嗎,為何要抹紅,難道台灣人的安危對蔡總統和賴清德不重要嗎。",L2-01|L2-04|L2-05|L2-06|L2-07,2,2.009662319121432,
_6d5b292ba5f6_w0006,_6d5b292ba5f6,02_Ke_chinatimes_news,,"[7] 2004年總統大選,國親合推的連宋配以0.22個百分點不敵民進黨陳呂配,這是歷屆選舉國、民兩黨得票率差距最小的一次。 [8] 2008年總統大選,馬英九拿下765萬9014票,得票率高達58.4%,帶領國民黨重返執政,也是國民黨在歷屆總統選舉票數、得票率最佳紀錄。 [9] 2012年總統大選民進黨推派蔡英文迎戰競選連任的馬英九,雖然落敗,但把藍綠兩黨得票率差距縮小到5.9個百分點。",L2-04|L2-06,2,2.0096189766454953,
_8f41fb39fd25_w0003,_8f41fb39fd25,02_Ke_chinatimes_news,,"[4] 賴清德認為,不只是需要神,也需要人,媽祖慈悲、聞聲救苦,需要人實現,所以總統蔡英文8年前獲得大家的支持帶領國家,近幾年來,台灣已經走出正確的路。 [5] 賴清德指出,在外交和國防方面,蔡總統採踏實外交,提升國防能量,與美國合作外,同時第一階段的國艦國造,獲得國際肯定。 [6] 而經濟方面,股票來到1萬7000多點,前總統馬英九卸任時,股票才8000多點,在企業界的共同打拚,經濟持續進步。",L2-04|L2-06,2,2.0095855921324146,
_dc4ae4b0dcf0_w0001,_dc4ae4b0dcf0,02_Ke_ltn_news,,"[1] 〔記者林哲遠/台北報導〕選戰倒數兩天,親民黨主席宋楚瑜今日率不分區立委候選人共同召開記者會,他也在會中提出,親民黨五大信念「天大地大,人民最大」並強調親民黨是非綠過半的關鍵,搶救親民黨,成就國會的多數聯盟。 [2] 宋楚瑜說,想當年前總統蔣經國時代,為什麼能創造亞洲奇蹟,很多人都在懷念那段時光,投票日就是蔣經國逝世紀念日,做為蔣經國14年的秘書,明天將會到頭寮謁陵,緬懷經國先生為台灣所做的貢獻。 [3] 宋也提出5大信念,首先是「人民優先」、「天大地大,人民最大」,立法院需要一個真正把人民放心上的政黨;",L2-04|L2-06|L2-07,2,2.00955623257047,
_a8c536759942_w0002,_a8c536759942,02_Ke_chinatimes_news,,"[2] 民眾黨27日舉行黨內公職人員共識營,中央黨部今天釋出柯文哲演講,內容觸及兩岸議題。 [3]  [4] 柯文哲表示,第二階段是1996到2016年,1996年台灣首次總統直選,從那時起就建立台灣主體性,且每次投票台灣主體性就愈來愈強。 [5] 他強調,台灣沒有九二共識,只有「九六共識」。",L2-01|L2-02|L2-04|L2-06|L2-08,2,2.0095289939506973,
_92e6b94baa89_w0003,_92e6b94baa89,02_Ke_ltn_news,,"[3] 今日陪同上山者有清晨甫下機的李安妮獨子賴緯綸,民進黨立委郭國文、李登輝基金會執行長鄭睦群等人; [4]  [5] 李安妮在追思後表示,當年蔣經國總統突然撒手人寰,父親依照憲法繼任總統,當初也沒人認為其總統大位能長久安坐。 [6] 但歷史證明,李前總統靠著信仰與遠見,在堅持與妥協中匍匐前進,最終完成中華民國的民主化及本土化,也獲得「民主先生」的美譽。",L2-04|L2-06|L2-08,2,2.00937826454975,
_c76a4fd33977_w0005,_c76a4fd33977,02_Ke_chinatimes_news,,"[6] 藍白政黨協商共識:民調決勝負 18日公布結果 藍白整合民調定正副 聯合政府國民黨建設發展民眾黨監督制衡 賴清德表示,台灣人民過去數十年共同打拚,堅持民主價值、追求自由人權,得到國際社會肯定,特別是台灣產業發展。 [7] 兩岸問題不是過去國民黨與中國共產黨內戰問題,台灣與中國間問題是國際性問題。 [8] 他說,G7(7大工業國集團,由美國、英國、德國、法國、日本、義大利及加拿大組成)反對中國用武力威脅改變台海和平,強調台灣安全、印太和平穩定是全世界繁榮穩定發展要因。",L2-01|L2-02|L2-04|L2-05|L2-06|L2-08,2,2.009368131505338,
_b6dd51024d8f_w0001,_b6dd51024d8f,02_Ke_chinatimes_news,,"[2] 賴清德談及兩岸交流時說,其實是中國關起大門、並非台灣,國際社會也認為兩岸情勢升高,問題出在中國; [3] 且過去前總統陳水扁曾希望對中國釋出善意,中國卻選擇「聽其言觀其行」,總統蔡英文也表達交流善意,中國依然沒有接受,「中國是真的要繼續這樣下去嗎?對他(中國)沒有好處」。 [4] 賴清德表示,中國其實應該要感謝台灣人民,因為中國經濟這20年、30年來突飛猛進,最大的外資來自台灣,赴中國的人才人數也多,等同帶給中國人才、資金、科技還有專業,可說是展現善意;",L2-04|L2-05|L2-06|L2-07,2,2.0093604357004895,
_f9ed79754473_w0008,_f9ed79754473,02_Ke_chinatimes_news,,"[8] 張其祿也批賴士葆今天未出席,民眾怎麼聽得到政見,這種只看政黨的「含淚投票」只是讓人民選出主人、卻不是真正讓人民做主; [9] 而低薪、高房價、少子化、缺水缺電、兩岸問題,「在民主化過程這些問題有被解決,還是越來越糟?」 透過 Google News 張其祿說,一切就是因為沒有選對的人,國會還是滿滿的利益與黑金政治,政策還是淺碟與零碎化; [10] 主張強化廉政透明、實踐居住正義、落實財政紀律。",L2-04|L2-05|L2-06|L2-07|L2-08,2,2.0093302322160023,
_d92aa1051212_w0004,_d92aa1051212,02_Ke_chinatimes_news,,"[6] 他指出,若卸任者不講,接任者將一無所悉,何況許多事情並無檔案文件,都在總統的腦袋裡,能否完整移交取決於卸任者的態度積極與否。 [7] 松田康博在演講時表示,李登輝作為總統發揮3種平衡感,首先是黨內外的權力平衡,再者是政策議題的保守與改革,第3則是新大陸政策及務實外交的平衡,即追求開放與抵抗的平衡感。 [8]  [9] 此外,李登輝指示減少對中投資的台積電在台灣扎根,如今成為全球知名的台灣「護國神山」。",L2-04|L2-06,2,2.009275625510065,
_07ffec390976_w0007,_07ffec390976,02_Ke_chinatimes_news,,"[7] 民進黨團副書記長洪申翰說,之所以提出新南向政策,是因為在前總統馬英九執政時期,台灣整體貿易與經濟,跟中國綁得太緊,這是很大的風險,而這幾年來,很多西方國家開始意識到中國作為威權國家,當中有安全風險等問題,開始尋求與中國脫鉤。 [8] 透過 Google News 洪申翰指出,國民黨團想要把經濟政策或對外地緣政治的重要戰略放入選舉口水戰,令人遺憾,況且相關數據顯示,台灣對新南向國家的進出口貿易量都大幅增加,也透過新南向政策,與中國在經濟議題上,出現比較健康的脫鉤,這都是成績。 [9]  [10] 2023/10/27 13:09",L2-02|L2-04|L2-05|L2-06,2,2.009267649888486,
_89237d5175e4_w0008,_89237d5175e4,02_Ke_chinatimes_news,,"[11] 談及能源發展,柯文哲說,他會發展穩定能源,不讓跳電成為台灣的危機,並且延長現役核電廠的使用年限,確保能源轉型期的安全,鼓勵再生能源穩定發展。 [12] 柯文哲說,台灣民主30年,固然有其成績,但現在也面臨意識型態衝突內耗,歷經3位總統無法解決。 [13] 柯文哲說,若他當選總統,會以聯合政府創造和諧社會,並主動召開國是會議,邀請主要政黨領導人凝聚共識,並依據憲法規定到立法院進行國情報告,建立責任政治,解決總統有權無責的亂象。",L2-04|L2-05|L2-06|L2-07|L2-08,2,2.0092512011837678,
_dcc3a59b7514_w0001,_dcc3a59b7514,02_Ke_chinatimes_news,,"[1] 總統大選結果今天晚間出爐,由民進黨總統候選人賴清德勝出。 [2]  [3] 2024總統暨立委選舉結果出爐,這次為了讓中華民國能夠撥亂反正,台灣人民安居樂業,大家用盡了每一分力,很可惜,只差一哩路,很遺憾無法團結所有在野力量,無法實踐政黨輪替。 [4] 朱立倫指出,民進黨過去8年執政一人獨裁,製造對立,在今天確實有高達6成的民意站出來否定。",L2-04|L2-06|L2-07,2,2.0092480842931204,
_9b2cce8ec845_w0010,_9b2cce8ec845,02_Ke_chinatimes_news,,"[15] 國防部:1年義務役首梯1月25日入營 可返家過春節 1年制義務役男下部隊 分發單位含戒護排戍守高山站台 六、屏東科技產業園區明揚國際科技股份有限公司9月22日傍晚發生火災,造成10人死亡、109人受傷,其中死者為4名消防員、6名員工,傷者為10名消防員、1名義消、98名民眾。 [16] 屏東工廠爆炸消防員4死 近10年31名打火兄弟殉職 七、蔡總統美西時間4月5日與美國眾議長麥卡錫在美國加州雷根總統圖書館會晤,這是1979年台美斷交後,中華民國總統在美國進行的最高級別會晤。 [17] 蔡麥會後不久,共軍隨即在台海周邊軍演,引發緊張情勢。",L2-01|L2-04|L2-05|L2-06,2,2.009160118451376,
_6d5b292ba5f6_w0007,_6d5b292ba5f6,02_Ke_chinatimes_news,,"[8] 2008年總統大選,馬英九拿下765萬9014票,得票率高達58.4%,帶領國民黨重返執政,也是國民黨在歷屆總統選舉票數、得票率最佳紀錄。 [9] 2012年總統大選民進黨推派蔡英文迎戰競選連任的馬英九,雖然落敗,但把藍綠兩黨得票率差距縮小到5.9個百分點。 [10] 馬英九第2任期因為經濟衰退、食安風波等問題,加上2014年服貿協議引爆的太陽花運動,2016年總統大選投票前夕,藝人周子瑜道歉風波催出綠營選票,讓蔡英文以689萬4744票、56.12%得票率締造第3次政黨輪替,成為台灣首位女性總統。",L2-04|L2-06,2,2.009085806907076,
_7158de126bdc_w0004,_7158de126bdc,02_Ke_chinatimes_news,,"[5] 外交議題部分,趙少康表示,民進黨執政期間,台灣進不去任何一個國際組織; [6] 反觀前總統馬英九執政時期一個邦交國都沒丟。 [7] 自由亞洲電台查證其說法有誤,據外交部資料,台灣參與政府間的國際組織、多邊機制及其下屬機構,在部分組織中具正式會員身分;",L2-01|L2-03|L2-04|L2-06,2,2.0090260239654385,
_991452476e7b_w0008,_991452476e7b,02_Ke_chinatimes_news,,"[10] 賴清德指出,如果台灣接受九二共識、開放服貿、開放大量中國學生來台灣就業,「台灣就可以得到和平嗎?不是、不可能。」 他指出,早在民進黨成立之前,中國就主張攻打並拿下台灣,民國47年823砲戰就開始了,也不是民進黨主張台灣不是中華人民共和國的一部分; [11]  [12]  [13] 以前總統馬英九卸任前最後一年與現在做比較,台灣對外貿易增加70%,台灣的國內生產毛額(GDP)由17兆增加到23兆,這些都是大家共同努力的結果。 [14] 他表示,他未來當總統,只要中國秉持對等與尊嚴,門永遠都是開的,願意幫助中國特別是在中國困難的時候,一個穩定的中國可以提供安全的台灣,中國必須要認知一個繁榮的台灣可以促成進步的中國,大家都有好處,不要因為政治關係非得要併吞台灣不可。",L2-01|L2-04|L2-05|L2-06|L2-07,2,2.0089616077183976,
_bb436ce0d63a_w0005,_bb436ce0d63a,02_Ke_chinatimes_news,,"[8] 透過 Google News 賴清德認為,若國民黨回來會產生3大問題,包括服務貿易協定會重啟,藍白兩黨候選人都說要推服貿,中國人來台就業會衝擊各行各業,影響社會安定; [9]  [10] 最後,守護台灣的國防力量將受到威脅,軍事採購將遇到阻礙,除了過去國民黨在國會擋69次國防預算,國民黨也公開講過,台灣國防強就是在挑釁中國。 [11] 賴清德表示,如果國民黨回來,美國國會對台灣的看法一定改變,美方會質疑親中政權是否值得繼續信任,這是嚴肅問題,所以,「我們一定要贏、非贏不可」,為了台灣的未來,一定要贏這場選舉。",L2-04|L2-05|L2-06|L2-07,2,2.008934466396979,
_1e65dbb336e6_w0000,_1e65dbb336e6,02_Ke_chinatimes_news,,"[0] 澎湖開講國家永續發展 柯文哲:相信制度而非個人 2023/12/4 20:57 (12/4 22:16 更新) (中央社澎湖縣4日電)民眾黨總統參選人柯文哲今晚在澎湖天后宮廟口開講時表示,當總統沒什麼,相信制度而不是相信個人,要做到正常的國家,讓國家永續發展。 [1] 柯文哲偕妻子陳佩琪晚間抵達澎湖天后宮,在主委蔡光明等人歡迎下,向天上聖母參拜,天后宮廣場擠滿人潮,揮舞競選旗幟高喊凍選。 [2] 柯文哲說,回想8年前,小英當選總統第1次拿下本土政權那天,也替她高興,小英也說,沒有1位台灣人必須因為認同而道歉,說台灣從此變成一共融社會,全民和諧相處,但8年下來,讓人看到有些弊端,因此相信制度、不相信個人,對絕對權力讓人腐化感觸滿深。",L2-04|L2-06|L2-07,2,2.008931211213222,
_b7c7a5175553_w0007,_b7c7a5175553,02_Ke_chinatimes_news,,"[9] 黃國昌回答,蔡政府多年來做了許多承諾及開支票,但遺憾是近幾年人民看到的是橫行權貴,就連2017年司法國是會議有許多改革訴求都無法做到,才導致近來外役監條例引發如此大風波。 [10] 他表示,今天大家不分黨派站出來,就是希望用共同價值及對公平正義的渴望,發出人民的聲音,要讓後面的總統府聽到人民心聲及怒吼,不分黨派、團結一致要求政府落實居住正義、喚回司法公正。 [11] 有關外界對於活動正當性疑慮,黃國昌指出,大家可看到這次活動的訴求,許多是政府過去承諾迄今未做,有些則是政府百般推託但在集會前夕卻大轉彎,包括囤房稅2.0及社宅輪候制等,反映出人民站出來會有力量,開始讓政府學會謙卑。",L2-04|L2-06|L2-07,2,2.008916772662549,
