doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date
_87c5e1d9557c,_87c5e1d9557c_u000,"Joined by @bikhim, I discussed our policy frameworks with the international press today. Aligned with President Tsai’s initiatives, we remain committed to maintaining the status quo, ensuring peace &amp;",context,,"stability in the Indo-Pacific region, and fostering global prosperity.",[],[],False,,e833cd7b56df6cc9d85d877843998a6c,False,03_Lai_X_datasets,2024-01-09 16:19:00
_87c5e1d9557c,_87c5e1d9557c_u001,"stability in the Indo-Pacific region, and fostering global prosperity.",context,"Joined by @bikhim, I discussed our policy frameworks with the international press today. Aligned with President Tsai’s initiatives, we remain committed to maintaining the status quo, ensuring peace &amp;",,[],[],False,,16204d935415653fad558eb24dbe941b,False,03_Lai_X_datasets,2024-01-09 16:19:00
_380c2a9edcdb,_380c2a9edcdb_u000,日本有事は台湾有事です。,context,,被災された方には改めてお見舞い申し上げます。,[],[],False,,513146564238379c96b023ffc14fda3d,False,03_Lai_X_datasets,2024-01-05 12:39:00
_380c2a9edcdb,_380c2a9edcdb_u001,被災された方には改めてお見舞い申し上げます。,context,日本有事は台湾有事です。,台湾と日本の人たちの心は一つです。,[],[],False,,b99bd6dcb553174737337dc27e35ffbd,False,03_Lai_X_datasets,2024-01-05 12:39:00
_380c2a9edcdb,_380c2a9edcdb_u002,台湾と日本の人たちの心は一つです。,context,被災された方には改めてお見舞い申し上げます。,私たちの少しばかりの気持ちが、日本政府の救助活動や被災地再建の一助となるよう願っています。,[],[],False,,dd8a7741215b5b693a8bd99369f1a962,False,03_Lai_X_datasets,2024-01-05 12:39:00
_380c2a9edcdb,_380c2a9edcdb_u003,私たちの少しばかりの気持ちが、日本政府の救助活動や被災地再建の一助となるよう願っています。,context,台湾と日本の人たちの心は一つです。,まさかの時の友こそ真の友。,[],[],False,,3d4f48a66ae3c02fd74969eedaeb243d,False,03_Lai_X_datasets,2024-01-05 12:39:00
_380c2a9edcdb,_380c2a9edcdb_u004,まさかの時の友こそ真の友。,context,私たちの少しばかりの気持ちが、日本政府の救助活動や被災地再建の一助となるよう願っています。,私たちと一緒に「善の循環」を継続させていきましょう!,[],[],False,,fee0c7dffd2c5f7e61eee313a4c1c1bd,False,03_Lai_X_datasets,2024-01-05 12:39:00
_380c2a9edcdb,_380c2a9edcdb_u005,私たちと一緒に「善の循環」を継続させていきましょう!,context,まさかの時の友こそ真の友。,,[],[],False,,75e43c61d70ecb039c652e271a1bb708,False,03_Lai_X_datasets,2024-01-05 12:39:00
_d5aad697404e,_d5aad697404e_u000,羽田空港での航空機接触事故の報に接し、心よりお見舞いを申し上げます。,context,,亡くなられた方々のご冥福と、けがをされた方々の一日も早いご回復をお祈りします。,[],[],False,,37e5396809c59688b0d569da955e1d9d,False,03_Lai_X_datasets,2024-01-02 22:21:00
_d5aad697404e,_d5aad697404e_u001,亡くなられた方々のご冥福と、けがをされた方々の一日も早いご回復をお祈りします。,context,羽田空港での航空機接触事故の報に接し、心よりお見舞いを申し上げます。,また、緊急脱出に関わったすべての皆さまに敬意を表します。,[],[],False,,2d7ae56994bc40bf5a74ba6237cccca1,False,03_Lai_X_datasets,2024-01-02 22:21:00
