window_id,doc_id,source,date,full_text_with_sentence_marks,l2_set_str,community_id,sampling_weight,interpretive_notes
_da7ca2bc7d8b_w0001,_da7ca2bc7d8b,01_Ho_ltn_news,,"[1] 〔記者施曉光/台北報導〕前總統馬英九今日下午在「侯友宜總統暨立委台北市競選總部成立誓師大會」致詞時表示,民進黨在野時期還有模有樣,但執政後卻倒行逆施,最近除了民進黨立委趙天麟被爆出婚外情,還有一位鄭姓大老的偷情照片被媒體報導,可見民進黨現在已經是「桃花黨」,「桃花朵朵開」。 [2]  [3] 馬英九指出,2015年他與中國國家主席習近平在新加坡見面,雙方同意好好實施「九二共識」、解決爭端,當時英國的經濟學人雜誌指這是中共對台灣最大的讓步,但6年後該雜誌卻說台灣是全世界最危險的地方,可見在外國人的眼中,台灣現在墮落有多麼的嚴重。 [4] 馬英九說,他很難想像一個政府可以爛到這個地步,要做到這麼爛,也實在不容易,尤其蔡英文總統拋出中華民國與中華人民共和國互不隸屬的兩國論,違反中華民國憲法,也違反其當初就職時宣示會遵守中華民國憲法的承諾,造成兩岸兵凶戰危,未來一定要重新回歸兩岸互不承認主權、互不否認治權的兩岸關係。",L2-01|L2-04|L2-05|L2-06|L2-07,2,2.0099237556405583,
_05754aedc889_w0000,_05754aedc889,01_Ho_ltn_news,,"[7] 黃暐瀚指出,517國民黨徵召侯友宜的時候,如果郭台銘公開祝福侯友宜勝選,但強調政黨輪替大於個人利益,未來非綠在野泛藍,需要整合一組,讓「最強者」出線,那麼當侯友宜民調落後給柯文哲的時候,郭台銘就該順勢宣佈參選,救中華民國,拖到現在越等越沒存在感。 [8]  [9] 黃暐瀚續指,郭董不懂人心有兩例,第一為8月22日到金門,郭台銘丟出兩千萬美金(台幣六億四)說要成立兩岸和平倡議基金會,媒體大幅報導,郭董出手大方。 [10]  [11]  [12]  [13] 第三為同一場演講中,郭董還對北京喊話:「台灣人民絕對不會主動挑起戰爭,也絕不會、不可能怯戰。如果台海兩岸真有戰爭的必要,台灣人勢必仿效823砲戰先賢的精神,團結合作,同仇敵愾,非到致勝那天,絕不罷休」;",L2-04|L2-05|L2-06|L2-07,2,2.0097562235163675,
_1a452c5a0b05_w0002,_1a452c5a0b05,01_Ho_chinatimes_news,,"[2] 台灣智庫諮詢委員張國城表示,儘管現今藍綠白參選人還未提出政策白皮書,但整體而言仍以賴清德的最為一致,且最佳確定與明顯,因為是承襲現今總統蔡英文的兩岸政策。 [3] 張國城進一步指出,國民黨總統參選人侯友宜提出的憲法九二像是有意重回前總統馬英九的路線,這種與中國不帶有節制的交流,在台灣社會仍有疑慮; [4] 而現今民意高漲的民眾黨總統參選人柯文哲,在兩岸政策的中國態度相對模糊,「這裡說一套,哪裡又說一套」。",L2-04|L2-05,2,2.009706980243949,
_70cb455ebe68_w0006,_70cb455ebe68,01_Ho_ltn_news,,"[8] 民調報告指出,2022年九合一地方選舉國民黨大勝後,輿論開始出現這樣的論調,「2024是戰爭與和平的選擇」,鼓吹這個論調的人主要是藍營意見領袖,這些人廣泛來自政、學、媒體各界,從去年12月到現在,蔚為一時風潮; [9] 此一論調未來也很可能成為國民黨2024年總統與立委大選的主軸。 [10] 民調分析,從全國民眾的角度看,意圖行銷「民進黨執政會帶來戰爭,國民黨執政會帶來和平」將非常困難,因為近七成的人不相信,會相信的人還不到二成。",L2-04|L2-05,2,2.009691763773477,
_272186537fa5_w0002,_272186537fa5,01_Ho_chinatimes_news,,"[2] 吳欣盈:推動數位轉型 從源頭解決詐騙犯罪問題 蕭美琴:捍衛和平現狀 不會讓台海爆發戰爭 趙少康在第2輪發言時指出,蕭美琴說他曾說過民進黨執政,中華民國會滅亡,他說這個不是開玩笑的,他當時不只是對民進黨說,也對時任國民黨主席李登輝說,李登輝說自己不是台獨,結果成立了比民進黨還獨的政黨,這大家都看得到。 [3] 趙少康表示,民進黨的黨綱是台獨黨綱,不就是要消滅中華民國,台獨難道是要保衛、支持中華民國嗎。 [4] 民進黨與共產黨是一樣的,都想消滅中華民國,只是現在被逼急了,改口說中華民國台灣,還是不肯講中華民國,就是想假借中華民國,遂行台獨主張。",L2-01|L2-04|L2-05|L2-07,2,2.009675097324342,
_6dedef05c7f7_w0000,_6dedef05c7f7,01_Ho_ltn_news,,"[1] 〔即時新聞/綜合報導〕明天就是2024總統、立委選舉投票日,YouTube網紅「林辰 Buchi」昨也在社群分享一則短片,內容為「狼大王與三隻小羊」的寓言故事,片中描述有隻狼一直想進入農場吃掉小羊,卻又懼怕被牧羊犬咬傷,只能常常亂吼亂叫亂大便,威脅農場主人得將牧羊犬送進收容所。 [2]  [3]  [4]  [5] 故事中指出,最近狼大王因為財務狀況沒搞好,家裡經濟亂成一團,實在餓得受不了,因此跑來跟農場主人溝通,並稱「這個農場自古以來都是我在管的,我決定大發慈悲給你兩條路選」,第一條是把牧羊犬送進收容所,牠就保證不吃小羊,雙方和平共處。 [6]  [7]  [8]  [9]  [10]  [11]  [12]  [13]  [14]  [15]  [16]  [17] 不過也有網友留言稱「故事都不用聽,看到畫面一片綠油油,大概就猜到了結論」、「對這段影片寓意和頻道當前的方向有點失望」、「我以為正常的選舉應該是支持自己的候選人,並表示其候選人優於其他人的特點,以爭取更多人的支持,而不是以隱喻/醜化/貶低對手的方式」、「現在問題的重點可能是...那隻牧羊犬不受控,不只看到狼會叫,整天都在叫。我提議換一隻正常點的牧羊犬」、「但是農場主人會把羊的飼料偷工減料,還要扒更多的羊皮,既然狼大王絕對不會消失,我想要選個比較有可能會照顧小羊的主人」、「拋棄無聊的意識形態對立,選一個真正願意著手提升軍備能力、提高軍費佔比GDP達到3%以上的總統,才是最好的選擇,棄藍綠保台灣」、「如果農場主人能夠不依靠牧羊犬,就能自己把狼王擊退的話,那何必還要擔心狼王翻越柵欄攻擊牧場呢?農場主人都把資源給了牧羊犬,裡頭的羊都快餓死光了,那養羊的目的又是如何呢?」。",L2-01|L2-04|L2-05|L2-07,2,2.0096189766454953,
_9df6c3008540_w0003,_9df6c3008540,01_Ho_ltn_news,,"[4] 吳瑟致分析,如果民進黨立委席次不過半,國民黨、民眾黨席次相加可以過半,當國會變成「朝小野大」的狀態,中共未來就有深入操作的空間。 [5] 吳瑟致舉例,2004年民進黨執政時是「朝小野大」,中國在2005年制定「反分裂國家法」,2006年8月出現倒扁紅衫軍,中共更加以操弄此事,讓台灣出現很大憲政問題,而2008年馬英九上台,台灣在經貿等議題上遂走向與中國結合之路。 [6]  [7] 就算民進黨拿下總統,立法院席次「朝小野大」的話,將對台灣未來憲政發展非常不利,中共有更多機會可操弄台灣的政治發展。",L2-04|L2-05,2,2.0095855921324146,
_d5b62d35110b_w0001,_d5b62d35110b,01_Ho_chinatimes_news,,"[2] 總統候選人辯論會 賴侯柯發言一次看 賴質疑重啟服貿挺核電 侯酸不廢ECFA、非核家園跳票 賴清德在第3階段第2輪提問,兩岸服務貿易協議10年前被太陽花學運擋掉,台灣的經濟才有動能,這幾年台灣經濟持續不斷成長,股市屢創新高,這時侯、柯重提10年前失敗的政策,要重啟服貿,難道要把台灣再度鎖進一個中國市場。 [3] 賴清德表示,在能源轉型方面,侯、柯過去擔任市長時,都說沒有核安,沒能力處理核廢料,不應該用核電,現在兩人不約而同說核電廠要延役,能源政策裡核電要佔到10%以上,這要蓋到核八,請問要蓋在哪裡,核廢料怎麼處理。 [4] 柯文哲回應表示,剛才賴清德又示範一次什麼叫詐騙,太陽花學運是反黑箱、不是反服貿,要搞清楚當時太陽花學運,民進黨向場外那些學生答應的是,要通過兩岸協議監督條例,通過以後才開始規範服貿。",L2-02|L2-04|L2-05|L2-06|L2-07,2,2.0095289939506973,
_9e0d90c323d1_w0003,_9e0d90c323d1,01_Ho_ltn_news,,"[3] 賴清德說,中共未放棄武力侵吞台灣,如果發動戰爭,將會掀起全球性災難,中國也是難承受,全世界愛好和平,沒有人希望戰爭,國際友邦挺台灣,就是為了維護世界和平。 [4] 賴清德說,台灣是中國的最大外資,20多年來,台商奮鬥打拚,為中國解決了多少需求及協助發展,「中國應該要善待台灣,否則如何報答台商2、30年來在中國大陸的投資建設,解決中國的需求跟設備問題」、「和平無價、戰爭沒有贏家」。 [5] 賴清德強調,台灣民主自由仰賴前輩們艱辛奮鬥及現在台灣人共同守護,民主是台灣對國際社會貢獻,也是國際友邦最大投資,2024大選很重要,關係整個印太地區安全及全球和平,面對中共侵台野心未減,台灣國防也必須相對因應更加堅實防備,他將會用「民主團結」、「民主治理」、「民主和平」三大行動,持續壯大民主台灣,讓世界看見台灣的價值,擁抱台灣。",L2-04|L2-05|L2-06|L2-07|L2-08,2,2.00937826454975,
_f8968f5fe795_w0007,_f8968f5fe795,01_Ho_ltn_news,,"[7] 侯友宜說,下一代應該比這一代過得更好,但現在台灣的下一代竟然要面對戰爭的威脅,民進黨要讓人民上戰場,而且人民生活難過,經濟成長創新低,政府完全沒有給人民期待,執政沒半步,但選舉全奧步,4年前韓國瑜參選總統敗選,就是因為民進黨打「抗中保台」,如果當年韓國瑜當選總統,現在大家就能吃飽飽、過好日子。 [8]  [9] 侯友宜說,中華民國是把他養大的媽媽,為了中華民國與台灣,他死也要拚,即便被侮辱也認了,他要提升台灣的防衛能力,顧好台灣,同時與對岸增進交流與了解,穩定兩岸關係穩定,操弄意識型態的情況絕對不能再發生。 [10] 侯友宜說,賴清德過去誇他嫉惡如仇,是掃黑除暴英雄,現在卻說他與黑金站在一起,賴清德縱容新潮流,就是同流合汙,只要他當選總統,一定會成立新的特偵組,把所有弊案一件件查出來。",L2-04|L2-05|L2-06|L2-07,2,2.009368131505338,
