doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date,preprocessed_text,hard_rule_keep,hard_rule_reason,policy_gate,policy_gate_reason,priority_keep,semantic_status,semantic_similarity,nli_status,nli_score,key_hit,final_status
_de343f452c7f,_de343f452c7f_u002,112年國慶大會禮賓紀念品公開亮相。,context,"另外也將於「中華民國讚國慶」臉書舉辦抽獎活動,抽出50名幸運兒能獲得國慶紀念品,歡慶中華民國生日快樂。",(圖/慶籌會提供) 112年國慶大會禮賓紀念品公開亮相。,[],[],False,,a8cf5adffcfe1aec5b61165d41a88bde,False,01_Ho_tvbs_news.csv,2023-09-22 14:55:00,112年國慶大會禮賓紀念品公開亮相。,True,institution_only,False,,False,REVIEW,0.33202096819877625,,,True,REVIEW
_de343f452c7f,_de343f452c7f_u003,(圖/慶籌會提供) 112年國慶大會禮賓紀念品公開亮相。,context,112年國慶大會禮賓紀念品公開亮相。,(圖/慶籌會提供) 2023杭州亞運/中華隊選手名單、賽程/奪牌全記錄一次看 2023杭州亞運/中華隊選手名單、賽程/奪牌全記錄一次看 2024總統大選倒數、候選人、民調分析盡在TVBS 咖啡免費抽!,[],[],False,,c9323e1042071899418dc60ea3b67ca2,False,01_Ho_tvbs_news.csv,2023-09-22 14:55:00,(圖/慶籌會提供) 112年國慶大會禮賓紀念品公開亮相。,True,institution_only,False,,False,KEEP,0.4209890067577362,,,True,REVIEW
_e2b6c7a11314,_e2b6c7a11314_u005,2023國內外10大新聞哪個議題最有感?,context,"侯友宜比出佛光山手勢,意即「大家好」。",TVBS陪你回顧 2024總統大選 TVBS報票員招募中 年度夢幻車款你選誰?,[],[],False,,200cca8326a55c6ba343f0b5e50bde74,False,01_Ho_tvbs_news.csv,2023-12-26 18:10:00,2023國內外10大新聞哪個議題最有感?,True,institution_only,False,,False,KEEP,0.4650447368621826,,,False,REVIEW
_feb0f8b78318,_feb0f8b78318_u004,"全部相加共100萬戶,期盼滿足年輕人、弱勢民眾的住屋需求。",context,"租金補貼現在約24萬戶,未來會增加26萬戶,等於50萬戶;",副總統賴清德今(3日)出席國家住都中心在高雄市三民區興建的「本和安居」社宅舉行的動土典禮。,[],[],False,,2bd22eb128495288063db1c707a4354d,False,01_Ho_tvbs_news.csv,2023-08-03 14:01:00,"全部相加共100萬戶,期盼滿足年輕人、弱勢民眾的住屋需求。",True,institution_only,False,,False,REVIEW,0.2859202027320862,,,False,REVIEW
_9953158945c9,_9953158945c9_u002,"若賴侯單挑對決,賴獲44.4%支持度,小勝侯的40.2%,兩人僅差距4個百分點左右。",claim,藍綠白三方競逐下賴清德支持度39.3%、侯友宜27.8%、民眾黨主席柯文哲18.2%;,戲劇人氣夯品WL Coffee濾掛組!,[],[],False,,84cdc0f7a8a8a24b60b6266be111f665,False,01_Ho_tvbs_news.csv,2023-03-15 12:32:00,"若賴侯單挑對決,賴獲44.4%支持度,小勝侯的40.2%,兩人僅差距4個百分點左右。",True,institution_only,False,,False,REVIEW,0.4168301224708557,,,False,REVIEW
_606959d37e39,_606959d37e39_u000,"今年漢光演習將移師北部驗證兩棲登陸,國軍會將全台灣的海灘進行分類,假如是共軍可能登陸的地點,就會列為紅色海灘重點防禦,而台灣地形破碎狹小,相當不利兩棲進攻,可說是易守難攻,然而共軍新興發展的登陸載具以及戰術戰法,卻可能顛覆過去的態勢。",claim,,戲劇人氣夯品WL Coffee濾掛組!,[],[],False,,96d79010b8e7687acb4a83a1a9acbf8f,False,01_Ho_tvbs_news.csv,2023-03-15 22:58:00,"今年漢光演習將移師北部驗證兩棲登陸,國軍會將全台灣的海灘進行分類,假如是共軍可能登陸的地點,就會列為紅色海灘重點防禦,而台灣地形破碎狹小,相當不利兩棲進攻,可說是易守難攻,然而共軍新興發展的登陸載具以及戰術戰法,卻可能顛覆過去的態勢。",True,institution_only,False,,False,REVIEW,0.24553757905960083,,,False,REVIEW
_a677555e94cb,_a677555e94cb_u001,"我駐教廷大使館確認監視錄影畫面後證實此事,發表聲明指責這群學生行徑詭異、骯髒,低劣玩笑真正傷害及玷污的是中國人在海外的形象及國際觀感。",context,"網路近日流傳一段影片,內容為幾名中國年輕人光天化日下將鼻涕抹在我國駐教廷大使館館牌,嘻鬧之後逃離現場。","大使館除了呼籲國人及國際社會共同譴責此一行徑,更在聲明中挖苦這群年輕人「症狀很有可能是對民主的感冒,以及對自由的過敏」,已將影片證據交給義大利警方處理。",[],[],False,,0671db7fe642610759c3552368b3922c,False,01_Ho_tvbs_news.csv,2023-12-29 09:33:00,"我駐教廷大使館確認監視錄影畫面後證實此事,發表聲明指責這群學生行徑詭異、骯髒,低劣玩笑真正傷害及玷污的是中國人在海外的形象及國際觀感。",True,institution_only,False,,False,REVIEW,0.2698048949241638,,,False,REVIEW
_a677555e94cb,_a677555e94cb_u002,"大使館除了呼籲國人及國際社會共同譴責此一行徑,更在聲明中挖苦這群年輕人「症狀很有可能是對民主的感冒,以及對自由的過敏」,已將影片證據交給義大利警方處理。",claim,"我駐教廷大使館確認監視錄影畫面後證實此事,發表聲明指責這群學生行徑詭異、骯髒,低劣玩笑真正傷害及玷污的是中國人在海外的形象及國際觀感。",2023國內外10大新聞哪個議題最有感?,[],[],False,,2725e76bf0175f96de92a6f7949426fe,False,01_Ho_tvbs_news.csv,2023-12-29 09:33:00,"大使館除了呼籲國人及國際社會共同譴責此一行徑,更在聲明中挖苦這群年輕人「症狀很有可能是對民主的感冒,以及對自由的過敏」,已將影片證據交給義大利警方處理。",True,institution_only,False,,False,REVIEW,0.2948710322380066,,,False,REVIEW
_a20371564442,_a20371564442_u004,「貴妃美容功」助你展現無口罩的完美肌膚 醫警告:腳抽筋=高血脂! ?,context,點我加TVBS新聞LINE好友 迎接解封新生活!,快看「高血脂」神對策 👉早上空腹喝黑咖啡的真相 👉代謝出狀況?,[],[],False,,80732555ae8eb8b04d8baed6c72f7af3,False,01_Ho_tvbs_news.csv,2023-05-26 14:34:00,「貴妃美容功」助你展現無口罩的完美肌膚 醫警告:腳抽筋=高血脂! ?,True,institution_only,False,,False,REVIEW,0.05838818848133087,KEEP,0.5275875627994537,False,REVIEW
_d39f8a6b71fa,_d39f8a6b71fa_u001,往上抬頭看天空滿是國旗海。,context,"雙十國慶到來,近年來除了國慶會場看得見國旗飄海的場景外,幾乎很少看到街道掛滿國旗飄揚的模樣,不過在高雄果貿社區,就有民眾直擊社區掛滿國旗的壯觀景象,讓他讚嘆是「連假最美的社區」,貼文一出立即引發熱議。",(圖/翻攝自路上觀察學院臉書) 更多新聞:巨幅國旗與它們的產地!,[],"[""國旗|symbol""]",False,,608595a4730ebe20e53d1af374eb3f44,False,01_Ho_tvbs_news.csv,2023-10-10 12:57:00,往上抬頭看天空滿是國旗海。,True,institution_only,False,,False,REVIEW,0.14267465472221375,KEEP,0.6436470448970795,True,REVIEW
